,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,AGE-RAGE signaling pathway in diabetic complications,0.42565592794912627,3.0773845630300114,0.0,0.0,0.0,65/89,36.97%,EGR1;MAPK14;JAK2;F3;STAT3;SMAD4;PLCG1;FN1;JUN;MAPK13;PRKCD;PRKCE;SMAD3;PIK3CA;MMP2;IL1B;COL4A5;PLCD1;MAPK9;BCL2;PIK3CD;TGFB3;NRAS;PRKCA;FOXO1;AKT3;COL4A3;PLCB1;VCAM1;CDKN1B;STAT5A;PIK3CB;AKT1;STAT1;CCL2;PLCG2;IL6;HRAS;EDN1;RELA;PIK3R1;CDC42;CASP3;TGFBR2;AGTR1;NFKB1;TGFBR1;TGFB2;MAPK8;NOX1;SMAD2;PRKCZ;CYBB;AKT2;PLCB3;VEGFC;RAC1;CCND1;KRAS;BAX;MAPK3;PIK3R2;ICAM1;MAPK11;NFATC1
1,prerank,Hepatitis B,0.3649459125830605,2.8937240170091814,0.0,0.0,0.0,104/153,38.06%,MAPK14;JAK2;STAT3;NFATC3;RAF1;TP53;SMAD4;CREB3L2;NFATC4;IRAK4;JUN;MAPK13;STAT4;NFKBIA;TAB2;E2F1;SMAD3;TBK1;STAT2;ATF2;DDB2;FAS;PIK3CA;IFNA2;CDK2;TICAM1;IRF7;GRB2;MAPK9;STAT6;BCL2;IFNA16;TRAF3;PIK3CD;RB1;TGFB3;NRAS;CREBBP;CCNE1;JAK3;PRKCA;FADD;IFNA17;AKT3;STAT5A;PIK3CB;IKBKE;AKT1;CHUK;STAT1;IKBKB;IFNA21;APAF1;IL6;BID;PRKCG;HRAS;IFIH1;TLR2;CYCS;EP300;RELA;PIK3R1;CCNA2;CASP3;TGFBR2;FOS;TLR4;NFKB1;CREB1;TGFBR1;TGFB2;MAPK8;SOS2;TYK2;PCNA;SMAD2;NFATC2;ATF4;IFNB1;TLR3;TICAM2;AKT2;IKBKG;SOS1;KRAS;IFNA14;MMP9;BAX;BRAF;IRAK1;MAP3K1;MAPK3;IFNAR1;MAP2K1;CREB3L4;DDX58;EGR2;PIK3R2;MAPK11;NFATC1;IFNA1;MYC;CASP8
2,prerank,Kaposi sarcoma-associated herpesvirus infection,0.35636120445467745,2.8606942020575294,0.0,0.0,0.0,111/159,40.35%,PIK3R5;MAPK14;JAK2;STAT3;NFATC3;RAF1;TP53;HLA-A;PLCG1;GNB4;NFATC4;JUN;MAPK13;NFKBIA;C3;CTNNB1;TRADD;E2F1;GNG12;TBK1;PPP3R2;STAT2;FAS;PIK3CA;IFNA2;IFNGR1;TICAM1;IRF7;SYK;CCR5;MAPK9;IFNA16;TRAF3;PIK3CD;RB1;EIF2AK2;NRAS;CREBBP;FADD;IFNA17;CCR4;AKT3;BAK1;PIK3CB;IKBKE;AKT1;CHUK;STAT1;MAPKAPK2;TRAF2;CALM3;IKBKB;GNG11;IFNA21;HIF1A;PLCG2;IL6;BID;HRAS;CYCS;ITPR1;EP300;RELA;PIK3R1;CASP3;FOS;GNB2;BECN1;NFKB1;CREB1;MAPK8;TYK2;LYN;PIK3C3;NFATC2;IFNB1;TLR3;GNG4;FGF2;AKT2;PIK3CG;RAC1;IKBKG;CCND1;KRAS;IFNA14;CXCL3;BAX;CD86;GNG8;MAPK3;TNFRSF1A;IFNAR1;MAP2K1;PPP3CA;GNGT2;GSK3B;PIK3R2;CXCL2;ICAM1;MAPK11;CALM1;NFATC1;IFNA1;MYC;CASP8;CDK4;JAK1;MAP2K6;PPP3CB;PIK3R3
3,prerank,Osteoclast differentiation,0.37164119321295724,2.853113841656745,0.0,0.0,0.0,87/122,40.35%,MAPK14;MAP3K14;LCK;CSF1;NCF4;JUN;MAPK13;NFKBIA;FYN;TAB2;IFNG;MITF;PPP3R2;STAT2;PPARG;PIK3CA;IFNGR1;IL1B;GRB2;SYK;MAPK9;CYLD;PIK3CD;BLNK;TREM2;LILRA6;FCGR1A;NCF2;FCGR3B;AKT3;PIK3CB;AKT1;IL1R1;CHUK;SQSTM1;STAT1;TRAF2;IKBKB;PLCG2;FCGR3A;SIRPG;RELA;PIK3R1;TGFBR2;FOS;FCGR2A;LILRA1;NFKB1;CREB1;FHL2;TGFBR1;TGFB2;CSF1R;MAPK8;TYK2;NOX1;FOSB;FOSL2;CTSK;NFATC2;IFNB1;AKT2;FOSL1;RAC1;IKBKG;SIRPA;JUNB;TNFRSF11A;TEC;NCF1;TNFSF11;LILRA2;LILRB5;MAPK3;TNFRSF1A;IFNAR1;MAP2K1;PPP3CA;NFKB2;PIK3R2;MAPK11;NFATC1;JAK1;MAP2K6;PPP3CB;LILRA5;PIK3R3
4,prerank,TNF signaling pathway,0.363241171284738,2.732205597909139,0.0,0.0,0.0,74/104,40.35%,MAPK14;MAP3K14;CREB3L2;RPS6KA4;CX3CL1;TRAF5;CSF1;JUN;TNFAIP3;MAPK13;NFKBIA;MAP3K5;TRADD;TAB2;ATF2;IL15;FAS;CASP7;PIK3CA;IL1B;MAPK9;CCL5;TRAF3;PIK3CD;FADD;AKT3;VCAM1;PIK3CB;AKT1;CHUK;TRAF2;IL18R1;DNM1L;IKBKB;CCL2;IL6;EDN1;RELA;PIK3R1;CASP3;RPS6KA5;FOS;BIRC2;CCL20;CXCL5;NFKB1;CREB1;MAPK8;MMP14;ATF4;IFNB1;AKT2;MLKL;JAG1;VEGFC;IKBKG;JUNB;CXCL3;MMP9;TRAF1;MAPK3;CFLAR;TNFRSF1A;MAP2K1;CREB3L4;PIK3R2;CXCL2;ICAM1;MAPK11;CXCL10;CASP8;BCL3;MAP2K6;PIK3R3
5,prerank,B cell receptor signaling pathway,0.4093848042052606,2.7116408296748116,0.0,0.0,0.0,52/68,40.42%,CARD11;NFATC3;RAF1;JUN;NFKBIA;CD79B;PPP3R2;PIK3CA;MALT1;NFKBIB;GRB2;SYK;CD19;PIK3CD;BLNK;NRAS;AKT3;VAV1;PIK3CB;AKT1;CHUK;IKBKB;RAC3;PLCG2;HRAS;INPPL1;RELA;PIK3R1;FOS;NFKB1;SOS2;LYN;VAV3;NFATC2;AKT2;RAC1;IKBKG;SOS1;KRAS;PTPN6;INPP5D;CD72;MAPK3;MAP2K1;PPP3CA;DAPP1;GSK3B;PIK3R2;NFATC1;PPP3CB;PIK3R3;CD81
6,prerank,Neurotrophin signaling pathway,0.3652474817659582,2.6943264089911794,0.0,0.0,0.0,73/103,40.35%,RHOA;IRS1;MAPK14;RAF1;TP53;NTRK3;RAP1A;PLCG1;IRAK4;JUN;MAPK13;NFKBIA;MAP3K5;NTRK1;PRKCD;RPS6KA1;PIK3CA;NFKBIB;GRB2;MAPK9;BCL2;PIK3CD;NRAS;IRAK2;AKT3;PIK3CB;MAPK7;MAGED1;AKT1;MAPKAPK2;CALM3;IKBKB;PLCG2;HRAS;RELA;PIK3R1;NGF;CDC42;RPS6KA5;NFKB1;MAPK8;SOS2;RIPK2;ABL1;PDPK1;CAMK2G;SORT1;FRS2;ATF4;CAMK2A;CRKL;AKT2;RAC1;SOS1;KRAS;BAX;BRAF;IRAK1;MAP3K1;MAPK3;MAP2K1;ARHGDIB;NGFR;GSK3B;PIK3R2;MAPK11;CALM1;SH2B3;SHC1;PSEN1;PRDM4;CRK;PIK3R3
7,prerank,Colorectal cancer,0.3872240270951878,2.680852664799738,0.0,0.0,0.0,54/79,35.93%,RHOA;RAF1;TP53;SMAD4;RPS6KB1;PMAIP1;JUN;TCF7L2;CTNNB1;GADD45B;SMAD3;DDB2;PIK3CA;GRB2;MAPK9;BCL2;PIK3CD;TGFB3;NRAS;AKT3;BAK1;PIK3CB;AKT1;AXIN2;RAC3;LEF1;HRAS;CYCS;PIK3R1;CASP3;TGFBR2;FOS;EGFR;RPS6KB2;TGFBR1;TGFB2;MAPK8;SOS2;MLH1;SMAD2;APC;AKT2;RAC1;CCND1;SOS1;KRAS;AXIN1;BAX;RALA;BRAF;MAPK3;MAP2K1;GSK3B;PIK3R2
8,prerank,Hepatitis C,0.3480089973151219,2.6594604167208096,0.0,0.0,0.0,87/124,40.42%,STAT3;EIF2AK1;RAF1;TP53;RSAD2;OAS1;NFKBIA;CTNNB1;TRADD;IFNG;E2F1;TBK1;STAT2;FAS;PIK3CA;IFNA2;CDK2;TICAM1;IRF7;GRB2;EIF2AK3;IFNA16;TRAF3;PIK3CD;RB1;EIF2AK2;NRAS;PIAS1;YWHAH;FADD;IFNA17;AKT3;PPP2R2A;BAK1;PIK3CB;IKBKE;AKT1;CHUK;STAT1;TRAF2;IKBKB;IFNA21;APAF1;BID;HRAS;CYCS;RELA;PIK3R1;CASP3;EGFR;NFKB1;SOS2;TYK2;MX1;RXRA;PPP2CB;IFNB1;TLR3;AKT2;IKBKG;CCND1;SOS1;KRAS;IFNA14;PPP2R1A;BAX;SCARB1;BRAF;MAPK3;CFLAR;TNFRSF1A;IFNAR1;EIF2AK4;MAP2K1;PPARA;GSK3B;DDX58;PIK3R2;PPP2R2C;IFNA1;CXCL10;MYC;CASP8;CDK4;JAK1;PIK3R3;CD81
9,prerank,Measles,0.34536576113206147,2.6388117288465764,0.0,0.0,0.0,83/126,37.06%,STAT3;EIF2AK1;HSPA1A;CSNK2A1;TP53;IRAK4;OAS1;CD46;BCL2L1;JUN;TNFAIP3;NFKBIA;TRADD;TAB2;TBK1;STAT2;FAS;TLR9;PIK3CA;IFNA2;CDK2;IRF7;NFKBIB;IL1B;MAPK9;EIF2AK3;BCL2;IFNA16;TRAF3;PIK3CD;EIF2AK2;CCNE1;JAK3;FADD;IFNA17;AKT3;CDKN1B;STAT5A;BAK1;PIK3CB;IKBKE;AKT1;CHUK;STAT1;IKBKB;IFNA21;APAF1;IL6;BID;TLR7;IFIH1;TLR2;CYCS;RELA;PIK3R1;IL12A;CASP3;FOS;TLR4;NFKB1;HSPA1B;MAPK8;TYK2;CSNK2A2;MX1;CCND3;IFNB1;AKT2;IKBKG;CCND1;IFNA14;CD209;CD3D;BAX;IRAK1;IFNAR1;EIF2AK4;GSK3B;DDX58;PIK3R2;RCHY1;IL2RA;IFNA1
10,prerank,Chemokine signaling pathway,0.3298904135981533,2.6229387991656026,0.0,0.0,0.0,107/159,40.35%,RHOA;PIK3R5;JAK2;STAT3;RAF1;CCL24;RAP1A;GNB4;CX3CL1;CCL19;NFKBIA;PRKCD;PTK2;PRKACG;GNG12;CCL18;STAT2;TIAM1;GRK7;CXCR1;GRK3;CCL13;PIK3CA;NFKBIB;GRB2;CCR5;CCL5;CCL22;ADCY7;ROCK1;ROCK2;PIK3CD;NRAS;CCL28;JAK3;CCR2;CCR4;AKT3;PLCB1;VAV1;PIK3CB;AKT1;CHUK;CXCL12;STAT1;IKBKB;RAC3;GNG11;CCL2;ADCY6;HRAS;RELA;ITK;PIK3R1;CDC42;RASGRP2;GNB2;GNAI2;CCL20;CXCL5;NFKB1;CCR9;SOS2;LYN;VAV3;PRKCZ;CXCR4;ELMO1;GNG4;GRK6;XCL1;CRKL;AKT2;PPBP;PLCB3;PIK3CG;ARRB1;RAC1;IKBKG;SOS1;KRAS;GSK3A;NCF1;CXCL3;GRK4;ADCY3;BRAF;GNG8;PRKACA;CCL3;MAPK3;MAP2K1;CXCR2;GNGT2;GSK3B;PIK3R2;CXCL2;PRKACB;CXCL10;ADCY5;SHC1;CXCL11;CXCR5;WAS;CRK;CCL7;PIK3R3
11,prerank,Influenza A,0.3257755622213702,2.5718874131877563,0.0,0.0,0.0,97/145,40.35%,MAPK14;IL18;JAK2;EIF2AK1;HSPA1A;RAF1;RSAD2;IRAK4;OAS1;JUN;MAPK13;NFKBIA;IFNG;TBK1;STAT2;ATF2;IL33;PML;FAS;PIK3CA;IFNA2;IFNGR1;TICAM1;PRSS3;IRF7;NFKBIB;IL1B;MAPK9;EIF2AK3;CCL5;PRSS2;ACTG1;HLA-DMB;IFNA16;PIK3CD;EIF2AK2;CREBBP;PRKCA;IFNA17;HLA-DRA;AKT3;HLA-DPA1;PIK3CB;IKBKE;AKT1;STAT1;IKBKB;ACTB;IFNA21;CCL2;IL6;HLA-DQA1;TLR7;IFIH1;CYCS;EP300;RELA;PIK3R1;IL12A;HLA-DRB5;TLR4;VDAC1;NFKB1;HSPA1B;MAPK8;TYK2;MX1;CPSF4;HLA-DQB1;NXF1;IFNB1;CIITA;TLR3;HLA-DRB3;AKT2;SLC25A6;IFNA14;FDPS;MAPK3;TNFRSF1A;IFNAR1;EIF2AK4;MAP2K1;GSK3B;DDX58;PIK3R2;ICAM1;MAPK11;NLRP3;IFNA1;CXCL10;HLA-DPB1;PLG;JAK1;MAP2K6;HLA-DOB;PIK3R3
12,prerank,Prostate cancer,0.3562128745565588,2.555279410918316,0.0,0.0,0.0,59/89,36.13%,RAF1;TP53;CREB3L2;NFKBIA;TCF7L2;CTNNB1;E2F1;PLAT;ETV5;NKX3-1;PIK3CA;CDK2;INS;GRB2;BCL2;HSP90AB1;ERBB2;PIK3CD;RB1;NRAS;CREBBP;PLAU;CCNE1;FGFR1;FOXO1;AKT3;CDKN1B;PIK3CB;AKT1;CHUK;IKBKB;LEF1;HRAS;EP300;RELA;PIK3R1;EGFR;NFKB1;CREB1;SOS2;GSTP1;PDPK1;ATF4;AKT2;IKBKG;CCND1;SOS1;ZEB1;KRAS;MMP9;HSP90B1;BRAF;MDM2;MAPK3;MAP2K1;CREB3L4;GSK3B;PIK3R2;PTEN
13,prerank,Apoptosis,0.33488377026001376,2.5472726219568935,0.0,0.0,0.0,78/123,36.58%,MCL1;MAP3K14;RAF1;TP53;BCL2L1;PMAIP1;JUN;NFKBIA;MAP3K5;NTRK1;BCL2A1;TRADD;GADD45B;FAS;DAXX;CASP7;PIK3CA;MAPK9;EIF2AK3;BCL2;ACTG1;SPTAN1;PIK3CD;DFFA;NRAS;FADD;DDIT3;CTSB;AKT3;BAK1;PIK3CB;ATM;AKT1;CHUK;TRAF2;IKBKB;ACTB;APAF1;BID;HRAS;CYCS;ITPR1;RELA;PIK3R1;NGF;CASP3;FOS;BIRC2;BECN1;PARP2;NFKB1;MAPK8;PDPK1;DFFB;PARP4;CTSK;ATF4;PARP1;AKT2;LMNA;TUBA1A;CTSW;IKBKG;KRAS;TUBA8;BAX;TRAF1;BIRC7;ENDOG;ERN1;MAPK3;CFLAR;TNFRSF1A;MAP2K1;TUBA4A;NGFR;PIK3R2;TUBA3C
14,prerank,Human cytomegalovirus infection,0.30586601641657535,2.5453784194213824,0.0,0.0,0.0,127/197,40.35%,RHOA;MAPK14;PTGER4;STAT3;NFATC3;RAF1;TP53;CREB3L2;HLA-A;GNA13;GNB4;RPS6KB1;NFATC4;CX3CL1;TRAF5;MAPK13;AKAP13;NFKBIA;CTNNB1;TRADD;PTK2;E2F1;PRKACG;GNG12;TBK1;PPP3R2;ATF2;FAS;RHEB;PIK3CA;IFNA2;IL1B;GRB2;ARHGEF12;CCR5;CCL5;ADCY7;ROCK1;ROCK2;IFNA16;PIK3CD;RB1;IL10RB;NRAS;PRKCA;FADD;IFNA17;AKT3;PLCB1;BAK1;IL6R;PIK3CB;AKT1;IL1R1;CHUK;CXCL12;TRAF2;CALM3;IKBKB;RAC3;GNG11;IFNA21;CCL2;ADCY6;IL6;BID;PRKCG;HRAS;CYCS;ITPR1;RELA;PIK3R1;CASP3;GNB2;EGFR;TMEM173;GNAI2;NFKB1;CREB1;RPS6KB2;SOS2;NFATC2;CXCR4;ATF4;IFNB1;GNG4;CRKL;AKT2;PLCB3;RAC1;IKBKG;CCND1;SOS1;KRAS;IFNA14;BAX;ADCY3;GNG8;PRKACA;CCL3;MDM2;MAPK3;TNFRSF1A;TSC2;MAP2K1;PPP3CA;CXCR2;CREB3L4;GNGT2;GSK3B;PIK3R2;MAPK11;CALM1;PRKACB;NFATC1;IFNA1;MYC;CASP8;ADCY5;TSC1;GNAS;CDK4;JAK1;MAP2K6;CRK;PPP3CB;PIK3R3
15,prerank,Inositol phosphate metabolism,0.4228606562749967,2.539321519455143,0.0,6.632738032991337e-05,0.001,37/49,38.35%,IPMK;PIP5K1A;PI4KA;INPP1;PIP4K2C;ITPKB;PLCG1;PIK3C2B;PIK3C2G;PIK3CA;PLCD1;PIK3CD;PLCB1;PIK3CB;PIKFYVE;PLCG2;PIP5K1C;INPP5F;PI4K2A;INPPL1;PIK3C3;INPP5A;PIP5KL1;PLCB3;PIK3CG;PIP4K2B;ITPKA;CDIPT;TPI1;INPP5D;INPP4B;ALDH6A1;IMPA1;PTEN;ITPK1;PI4K2B;PI4KB
16,prerank,Endometrial cancer,0.4086227490431391,2.5294718590647345,0.0,6.242576972227141e-05,0.001,38/53,36.13%,RAF1;TP53;TCF7L2;CTNNB1;GADD45B;DDB2;PIK3CA;GRB2;ERBB2;PIK3CD;NRAS;AKT3;BAK1;PIK3CB;AKT1;AXIN2;LEF1;HRAS;ILK;PIK3R1;EGFR;SOS2;MLH1;PDPK1;APC;AKT2;CCND1;SOS1;KRAS;AXIN1;BAX;CTNNA1;BRAF;MAPK3;MAP2K1;GSK3B;PIK3R2;PTEN
17,prerank,Gastric cancer,0.3368642804444419,2.516387047714846,0.0,5.895767140436743e-05,0.001,71/114,36.23%,RAF1;TP53;SMAD4;RPS6KB1;WNT5A;CSNK1A1L;WNT10B;TCF7L2;CTNNB1;E2F1;GADD45B;SMAD3;FZD10;DDB2;PIK3CA;CDK2;CDX2;GRB2;BCL2;CSNK1A1;ERBB2;PIK3CD;RB1;TGFB3;NRAS;CCNE1;MET;AKT3;CDKN1B;BAK1;PIK3CB;AKT1;RARB;AXIN2;FGF1;LEF1;HRAS;ABCB1;PIK3R1;TGFBR2;EGFR;WNT7A;FZD9;RPS6KB2;TGFBR1;TGFB2;SOS2;MLH1;SMAD2;RXRA;APC;FZD7;FGF2;AKT2;DVL1;FZD2;CCND1;SOS1;KRAS;AXIN1;WNT7B;BAX;CTNNA1;BRAF;CDKN2B;MAPK3;MAP2K1;FGF9;GSK3B;PIK3R2;DVL2
18,prerank,Pancreatic cancer,0.3716108293058887,2.5097683553639927,0.0,5.5854636067295464e-05,0.001,48/71,35.93%,STAT3;RAF1;TP53;SMAD4;RPS6KB1;BCL2L1;E2F1;GADD45B;SMAD3;DDB2;PIK3CA;MAPK9;ERBB2;PIK3CD;RB1;TGFB3;AKT3;BAK1;PIK3CB;AKT1;CHUK;STAT1;IKBKB;RAC3;RELA;PIK3R1;CDC42;PLD1;TGFBR2;EGFR;NFKB1;RPS6KB2;TGFBR1;TGFB2;MAPK8;SMAD2;AKT2;RAC1;IKBKG;CCND1;KRAS;BRCA2;BAX;RALA;BRAF;MAPK3;MAP2K1;PIK3R2
19,prerank,Sphingolipid signaling pathway,0.340272265016382,2.5061136260090233,0.0,5.3061904263930694e-05,0.001,64/101,36.93%,RHOA;MAPK14;RAF1;TP53;GNA13;MAPK13;ASAH1;MAP3K5;TRADD;FYN;PRKCE;PIK3CA;KNG1;SPTLC2;MAPK9;BCL2;ROCK1;ROCK2;PIK3CD;NRAS;PRKCA;AKT3;PLCB1;PPP2R2A;SPHK1;PIK3CB;AKT1;TRAF2;RAC3;BID;PRKCG;HRAS;RELA;PIK3R1;SPTLC1;PLD2;PLD1;ABCC1;GNAI2;SGPL1;NFKB1;MAPK8;PPP2R3C;PDPK1;FCER1G;PRKCZ;PPP2CB;AKT2;PLCB3;RAC1;KRAS;PPP2R5B;S1PR4;S1PR2;PPP2R1A;BAX;MS4A2;MAPK3;TNFRSF1A;MAP2K1;PIK3R2;PTEN;MAPK11;PPP2R2C
20,prerank,FoxO signaling pathway,0.3303109773875541,2.5059310289594725,0.0,5.0535146918029225e-05,0.001,75/119,36.38%,IRS1;MAPK14;STAT3;RAF1;PRKAG3;PRKAG2;BCL6;SMAD4;PRKAG1;MAPK13;STK11;GADD45B;SMAD3;CAT;PIK3CA;CDK2;CSNK1E;INS;GRB2;MAPK9;SGK3;PIK3CD;TGFB3;NRAS;CREBBP;PCK1;FOXO1;AKT3;CDKN1B;PIK3CB;ATM;AKT1;CHUK;GRM1;SKP2;HOMER2;IKBKB;G6PC2;IL6;HRAS;EP300;NLK;PIK3R1;PRKAA1;TGFBR2;EGFR;FOXO4;TGFBR1;TGFB2;MAPK8;SOS2;PDPK1;CCNB1;SMAD2;PLK1;SETD7;AKT2;CCND1;SOS1;CCNB2;IL7R;KRAS;S1PR4;PCK2;BRAF;MDM2;CDKN2B;MAPK3;C8ORF44-SGK3;MAP2K1;PLK4;PIK3R2;PTEN;MAPK11;PLK3
