,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,AGE-RAGE signaling pathway in diabetic complications,0.4402002419484393,3.5384575249611423,0.0,0.0,0.0,62/88,30.29%,STAT5B;AKT1;KRAS;CCND1;PIK3CA;AKT2;PRKCZ;MAPK9;PIK3CD;PLCG1;VEGFA;PIM1;STAT3;VEGFC;MAPK13;PLCG2;STAT5A;MAPK14;TNF;ICAM1;MAPK12;BAX;RELA;TGFBR2;MAPK3;AKT3;IL6;TGFB2;CASP3;PIK3R3;PLCB4;PIK3R1;THBD;NFKB1;PLCD1;NOX1;TGFBR1;F3;IL1B;PLCB1;CDK4;SMAD3;MAPK1;CXCL8;VCAM1;CDKN1B;JAK2;SMAD4;EDN1;AGTR1;HRAS;PRKCA;BCL2;NOS3;MMP2;EGR1;PLCB3;RAC1;PRKCE;TGFB3;COL4A2;SMAD2
1,prerank,Small cell lung cancer,0.44432178732258687,3.476696070151377,0.0,0.0,0.0,49/78,23.12%,TP53;AKT1;CCND1;IKBKB;CKS2;PTK2;RXRA;CDKN2B;PIK3CA;AKT2;CCNE1;E2F1;PIK3CD;BCL2L1;SKP2;TRAF6;CKS1B;TRAF4;CYCS;BAX;RELA;CDK6;AKT3;LAMB2;RB1;MAX;LAMB3;CASP3;CDK2;PIK3R3;CASP9;TRAF1;PIK3R1;CHUK;NFKB1;NOS2;PTEN;RXRB;BIRC3;ITGAV;ITGA3;RXRG;TRAF2;TRAF5;CDK4;IKBKG;LAMA3;NFKBIA;CDKN1B
2,prerank,Non-alcoholic fatty liver disease (NAFLD),0.38719412600925773,3.457025338902015,0.0,0.0,0.0,75/124,26.18%,FASLG;AKT1;CASP8;NDUFB1;IKBKB;FAS;NDUFAB1;RXRA;PIK3CA;NDUFA3;AKT2;SOCS3;MAP3K5;MAPK9;NDUFS6;SDHB;PIK3CD;NDUFA13;NDUFV2;NDUFA1;SDHA;PRKAA1;BCL2L11;COX6C;SDHC;NDUFV1;ERN1;COX6B2;GSK3B;TNF;DDIT3;PRKAG1;CYCS;LEP;BAX;RELA;NDUFB3;NDUFB7;COX7B;NDUFB5;NDUFB8;AKT3;IL6;NDUFS1;SDHD;NDUFB2;CASP3;PIK3R3;NDUFB6;ADIPOR2;NDUFS5;NDUFB9;PIK3R1;NDUFA4;NR1H3;NFKB1;COX5B;NDUFA5;TNFRSF1A;NDUFS7;TRAF2;IL1B;CYP2E1;CXCL8;COX8A;NDUFA2;NDUFS4;PRKAG3;CASP7;BID;IL6R;UQCRB;PPARA;ATF4;NDUFA7
3,prerank,Chronic myeloid leukemia,0.4532048097689524,3.414725189039248,0.0,0.0,0.0,46/71,24.41%,TP53;ARAF;STAT5B;AKT1;KRAS;CCND1;CDKN2A;BRAF;IKBKB;PIK3CA;AKT2;HDAC1;MDM2;RAF1;MAP2K1;E2F1;SHC4;PIK3CD;ABL1;SOS1;RUNX1;BCL2L1;CRK;STAT5A;BAX;RELA;CDK6;TGFBR2;MAPK3;AKT3;BCR;RB1;TGFB2;PIK3R3;PIK3R1;CHUK;NFKB1;TGFBR1;CDK4;SMAD3;MAPK1;IKBKG;NFKBIA;CDKN1B;SMAD4;HRAS
4,prerank,ErbB signaling pathway,0.4285551999806567,3.3563052616984543,0.0,0.0,0.0,71/79,50.82%,ARAF;STAT5B;AKT1;KRAS;ABL2;SRC;BRAF;PRKCG;PTK2;PIK3CA;AKT2;ELK1;RAF1;MAP2K1;MAPK9;SHC4;PIK3CD;ABL1;EIF4EBP1;SOS1;ERBB2;PLCG1;EREG;PAK2;MAP2K4;PAK1;CRK;PLCG2;STAT5A;GSK3B;PAK5;EGFR;TGFA;MAPK3;AKT3;PAK4;PIK3R3;PAK3;PIK3R1;RPS6KB1;NRG1;MAPK1;CAMK2D;CDKN1B;NRG4;HRAS;PRKCA;GAB1;ERBB3;ERBB4;HBEGF;MTOR;NRAS;BTC;SHC1;AREG;RPS6KB2;PIK3R2;MAPK8;GRB2;JUN;CBL;MAP2K2;CAMK2G;CRKL;MYC;PIK3CB;CDKN1A;CBLB;NCK1;MAP2K7
5,prerank,Measles,0.37242620267013454,3.321639158362549,0.0,0.0,0.0,72/126,24.59%,TBK1;TP53;FASLG;STAT5B;AKT1;CASP8;CCND1;IFNA10;IKBKB;FAS;MYD88;PIK3CA;AKT2;CCND3;CCNE1;MAPK9;IRAK4;PIK3CD;BCL2L1;OAS1;STAT3;TRAF6;TLR4;IL12A;STAT5A;GSK3B;CD209;TRADD;TLR7;CD3D;IRF7;CYCS;BAX;RELA;CDK6;EIF2AK1;FOS;AKT3;CD46;IL6;HSPA1B;TLR2;JAK3;IFNA1;CSNK2A2;CASP3;CDK2;PIK3R3;MX1;CASP9;IFNAR2;PIK3R1;TYK2;CHUK;NFKB1;CCND2;JAK1;HSPA2;IL1B;CDK4;DDX58;IL2RB;IFNA16;SLAMF1;IFNA14;IKBKG;IL12B;NFKBIA;ADAR;CDKN1B;BID;BCL2
6,prerank,Hepatitis B,0.35448868442035414,3.2815849709713,0.0,0.0,0.0,84/153,24.81%,TBK1;TP53;FASLG;ARAF;STAT5B;AKT1;CASP8;KRAS;SRC;BRAF;IFNA10;IKBKB;PRKCG;FAS;MYD88;PIK3CA;AKT2;ELK1;RAF1;CCNE1;MAP2K1;MAPK9;E2F1;IRAK4;PIK3CD;SOS1;MAP2K4;TICAM1;EGR3;STAT3;TRAF6;MAPK13;TLR4;CCNA2;STAT5A;MAPK14;CREB3L4;TNF;IRF7;MAPK12;CYCS;BAX;RELA;TGFBR2;ATF2;FOS;TIRAP;MAPK3;AKT3;RB1;IL6;TLR2;JAK3;TGFB2;IFNA1;CASP3;CDK2;PIK3R3;CASP9;PIK3R1;TYK2;CHUK;NFKB1;TGFBR1;JAK1;SLC10A1;DDX58;SMAD3;IFNA16;MAPK1;CXCL8;IFNA14;EGR2;STAT4;IKBKG;NFKBIA;JAK2;SMAD4;BID;HRAS;PRKCA;BCL2;MAP3K1;STAT6
7,prerank,Hepatitis C,0.3650225561558629,3.225350597662679,0.0,0.0,0.0,71/124,25.47%,TBK1;TP53;FASLG;ARAF;AKT1;CASP8;KRAS;CCND1;CD81;BRAF;IFNA10;IKBKB;FAS;RXRA;PIK3CA;AKT2;SOCS3;RAF1;MAP2K1;CFLAR;E2F1;PIK3CD;SOS1;CTNNB1;CLDN1;OAS1;TICAM1;STAT3;TRAF6;GSK3B;TNF;TRADD;IRF7;CYCS;EGFR;BAX;RELA;CDK6;EIF2AK1;MAPK3;AKT3;RB1;IFNA1;CASP3;CDK2;PIK3R3;MX1;CASP9;IFIT1;IFNAR2;PIK3R1;TYK2;NR1H3;CHUK;NFKB1;JAK1;TNFRSF1A;TRAF2;CDK4;DDX58;IFNA16;MAPK1;IFNA14;IKBKG;NFKBIA;IFNG;BID;PPP2R1A;HRAS;PPARA;PPP2R2A
8,prerank,Pancreatic cancer,0.4197383187003509,3.1750204364331207,0.0,0.0,0.0,42/71,21.88%,TP53;ARAF;AKT1;KRAS;CCND1;CDKN2A;PLD1;BRAF;IKBKB;PIK3CA;AKT2;RAF1;MAP2K1;MAPK9;E2F1;PIK3CD;ERBB2;VEGFA;BCL2L1;STAT3;EGFR;TGFA;BAX;RELA;CDK6;TGFBR2;MAPK3;AKT3;RB1;TGFB2;PIK3R3;CASP9;PIK3R1;CHUK;NFKB1;RPS6KB1;TGFBR1;JAK1;CDK4;SMAD3;MAPK1;IKBKG
9,prerank,Kaposi sarcoma-associated herpesvirus infection,0.3285817645436837,3.1488829721888916,0.0,0.0,0.0,83/159,24.41%,TBK1;TP53;CALM1;CXCL2;CD200R1;AKT1;CASP8;KRAS;CCND1;SRC;PPP3CC;IFNA10;IKBKB;ZFP36;FAS;PIK3CA;AKT2;RAF1;PPP3CA;MAP2K1;MAPK9;E2F1;ATG3;PIK3CD;CTNNB1;GNGT2;PLCG1;VEGFA;MAP2K4;TICAM1;STAT3;MAPK13;PLCG2;MAPK14;GSK3B;TRADD;IRF7;ICAM1;HLA-A;MAPK12;CYCS;BAX;GABARAPL1;RELA;CDK6;FOS;MAPK3;AKT3;RB1;IL6;C3;GNB5;HIF1A;IFNA1;CASP3;PIK3R3;CASP9;IFNAR2;PIK3R1;TYK2;CHUK;NFKB1;JAK1;TNFRSF1A;TRAF2;CDK4;IFNA16;MAPK1;CXCL8;MAPKAPK2;IFNA14;IKBKG;UBB;GNB2;GNG7;CCR5;NFKBIA;JAK2;BECN1;BID;ITPR3;IFNGR1;HRAS
