,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Viral carcinogenesis,0.43796941061917566,2.174645754001274,0.0,0.0050623252947520556,0.005,81/141,28.80%,CCNA2;HIST1H2BD;HRAS;KRAS;JAK3;CCNA1;HIST1H2BK;SRF;IKBKG;BAD;DNAJA3;PXN;CREB3L2;HIST2H2BE;POLB;HDAC5;HDAC4;C3;HDAC3;CCND3;CCR4;JUN;CDK6;PIK3CA;CHD4;CDC42;CDKN1A;RELA;PRKACG;GTF2E2;NRAS;PMAIP1;TP53;ATF4;ACTN4;HDAC8;RB1;SNW1;CDKN1B;HDAC1;TRAF3;SKP2;CCR5;HLA-A;GTF2B;CDK2;IRF3;PKM;NFKBIA;TRAF1;MAPK3;KAT2A;GTF2A2;JAK1;EP300;MAPKAPK2;IL6ST;HDAC6;STAT5B;TRAF5;USP7;LYN;NFKB1;PRKACA;MAPK1;CHEK1;NFKB2;HIST1H4E;CCND2;GRB2;CASP8;BAX;HDAC10;CDKN2B;RHOA;STAT3;HDAC7;CDK4;CCR3;PRKACB;KAT2B
1,prerank,Spliceosome,0.4370635438058815,1.9326371665890771,0.0,0.03695497465169001,0.067,23/53,19.00%,CHERP;PPIE;DDX42;SNRPA1;SF3B1;SNRNP70;LSM5;LSM6;SRSF8;NCBP1;LSM7;SMNDC1;SNW1;DHX16;TRA2B;PRPF6;SRSF3;DHX8;DDX5;PUF60;PHF5A;SF3A2;NCBP2
2,prerank,"Valine, leucine and isoleucine degradation",0.45618666924662243,1.9179254636531655,0.0,0.03172390518044622,0.087,17/39,17.47%,HADH;HMGCS1;ACAA1;PCCB;OXCT1;BCKDHA;HSD17B10;ACAD8;IL4I1;PCCA;AGXT2;AOX1;ACAT2;HMGCL;BCAT2;ALDH1B1;DLD
3,prerank,p53 signaling pathway,0.43021695534423987,1.9140615290492822,0.0,0.026070975267973088,0.095,31/56,27.46%,BID;GADD45B;BCL2;THBS1;SESN1;FAS;SFN;CCND3;CDK6;TSC2;CDKN1A;ATR;PMAIP1;TP53;CHEK2;SERPINB5;CYCS;CDK2;MDM4;DDB2;TNFRSF10B;RRM2;ATM;APAF1;CHEK1;CCND2;CASP8;SIAH1;BAX;BCL2L1;CDK4
4,prerank,Hepatitis B,0.3784030183955778,1.9041170901456186,0.0,0.02348918936764954,0.106,87/153,32.96%,BID;CCNA2;HRAS;TBK1;KRAS;AKT1;JAK3;CCNA1;BCL2;FADD;IKBKB;IKBKE;IKBKG;BAD;CREB3L2;PRKCA;FOS;FAS;SMAD2;JUN;PIK3CA;STAT1;BRAF;JAK2;MAP3K7;CDKN1A;RELA;NRAS;TP53;ATF4;RB1;TRAF3;FASLG;IFNA10;MAPK14;TICAM1;MAP3K1;NFATC3;CYCS;CDK2;IFIH1;IRF3;MYD88;DDB2;NFKBIA;NFATC1;MAPK3;JAK1;TGFBR1;EP300;IFNA14;APAF1;IFNA4;STAT5B;STAT6;IFNA2;NFKB1;RAF1;MAPK1;NFATC4;TLR4;IFNA1;SMAD4;PRKCB;GRB2;CASP8;IL6;CXCL8;ATP6AP1;PRKCG;IFNB1;BAX;BIRC5;STAT3;TIRAP;TLR3;TLR2;ARAF;MAP2K7;CCNE1;IFNA7;IFNA5;IRAK4;CHUK;CASP10;TAB2;DDX58
5,prerank,Non-small cell lung cancer,0.4176620129198955,1.8839174017986946,0.0,0.02564911482674375,0.13,34/63,27.46%,EGFR;STK4;HRAS;GADD45B;KRAS;AKT1;JAK3;BAD;PRKCA;RARB;CDK6;PIK3CA;BRAF;EML4;CDKN1A;NRAS;TP53;RB1;ERBB2;DDB2;RXRA;MAPK3;STAT5B;RAF1;MAPK1;PDPK1;ALK;PRKCB;GRB2;PRKCG;BAX;RXRG;STAT3;CDK4
6,prerank,Th17 cell differentiation,0.38677025666024495,1.869426595957144,0.0,0.026758005129403725,0.16,56/107,27.05%,IL4R;JAK3;IKBKB;LAT;IKBKG;FOS;LCK;SMAD2;JUN;HIF1A;STAT1;HLA-DOA;IL23R;JAK2;RELA;HLA-DRB5;GATA3;RARA;HLA-DPA1;HLA-DMB;HSP90AB1;MAPK14;NFATC3;MTOR;AHR;IL1RAP;NFKBIA;IL1R1;RXRA;NFATC1;MAPK3;JAK1;HLA-DOB;TGFBR1;IRF4;IL6ST;HLA-DRB3;STAT5B;STAT6;NFKB1;IL27RA;MAPK1;IL23A;HSP90AA1;RORC;SMAD4;HLA-DRA;HLA-DQB1;HLA-DMA;IFNG;PPP3R2;IL6;HLA-DPB1;ZAP70;RXRG;STAT3
7,prerank,Human T-cell leukemia virus 1 infection,0.3674350749374329,1.8684543105210911,0.0,0.023919487017703467,0.164,96/189,28.80%,CCNA2;HRAS;RELB;KRAS;AKT1;SLC25A4;JAK3;CCNA1;IKBKB;SRF;IKBKG;CREB3L2;FOS;LCK;POLB;VDAC1;SMAD2;SLC2A1;CCND3;JUN;PIK3CA;B2M;HLA-DOA;BUB1B;IL15;CDKN1A;RELA;PRKACG;CDKN2C;HLA-DRB5;ICAM1;NRAS;BUB3;ATR;TP53;ATF4;HLA-DPA1;RB1;CHEK2;HLA-DMB;FOSL1;LTA;MAP3K1;ETS2;MAP3K14;HLA-A;NFATC3;CDK2;VDAC2;SLC25A5;NFKBIA;IL1R1;NFATC1;MAPK3;CSF2;PTTG1;KAT2A;JAK1;HLA-DOB;TGFBR1;EP300;ATM;ETS1;HLA-DRB3;CANX;ADCY3;STAT5B;KAT5;NFKB1;PRKACA;MAPK1;CHEK1;NFKB2;NFATC4;CCND2;SMAD4;HLA-DRA;HLA-DQB1;HLA-DMA;PPP3R2;ADCY5;NFYB;IL6;HLA-DPB1;XPO1;NRP1;FDPS;BAX;CDKN2B;CRTC3;BCL2L1;EGR1;CDK4;ITGB2;PRKACB;KAT2B
8,prerank,Mitophagy,0.43651198377791917,1.86774664642867,0.0010111223458038423,0.021261766237958637,0.164,24/43,28.34%,HRAS;TBK1;KRAS;FIS1;BECN1;TBC1D15;CSNK2A1;JUN;HIF1A;RELA;NRAS;TP53;ATF4;BNIP3;CSNK2B;BNIP3L;RAB7A;MITF;EIF2AK3;ULK1;BCL2L1;UBB;PINK1;PRKN
9,prerank,Vibrio cholerae infection,0.4730668018450398,1.864004345823997,0.0,0.019439329131847895,0.167,18/30,28.46%,ATP6V1D;ATP6V0B;KDELR2;PRKCA;SEC61A2;PRKACG;GNAS;KDELR3;TCIRG1;ATP6V0C;ATP6V1F;ADCY3;PRKACA;ACTG1;ARF1;ATP6AP1;CFTR;PRKACB
