,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Amyotrophic lateral sclerosis (ALS),0.5141752055194349,2.161360378566857,0.0,0.0030290503488163657,0.003,32/43,35.03%,BCL2;MAPK11;CAT;BCL2L1;TP53;CASP1;NEFM;APAF1;CASP9;TNF;GRIA2;BID;CYCS;PPP3R2;GPX1;BAD;MAP2K6;RAC1;CASP3;RAB5A;SOD1;PPP3CB;GRIN2C;TNFRSF1B;MAPK14;TNFRSF1A;PPP3CA;DAXX;BAX;GRIN1;DERL1;SLC1A2
1,prerank,Pyruvate metabolism,0.5239070258447228,2.090442991113148,0.0,0.004038733798421821,0.008,26/34,34.20%,ACACA;PDHB;PKM;ALDH9A1;ME2;ACAT2;ME1;DLD;ALDH3A2;ME3;PCK2;PC;DLAT;PCK1;MDH2;ACSS1;ACAT1;ALDH1B1;LDHB;ALDH2;ALDH7A1;LDHAL6B;PDHA1;LDHAL6A;GRHPR;LDHA
2,prerank,Legionellosis,0.48857945701397615,2.064113253541526,0.0,0.004375294948290306,0.013,26/47,22.79%,NFKBIA;NFKB1;TLR4;IL18;TLR5;ITGB2;CXCL8;CASP1;HSF1;APAF1;NLRC4;CASP7;CD14;CASP9;ARF1;TLR2;C3;RELA;TNF;HSPA2;IL12A;CYCS;CASP8;CLK1;CASP3;CXCL1
3,prerank,Bladder cancer,0.48717846643378826,1.9897446967952923,0.0,0.00732020500963955,0.029,28/39,32.20%,MAPK1;CDK4;ARAF;CXCL8;RASSF1;TP53;NRAS;ERBB2;EGFR;HRAS;BRAF;RPS6KA5;MAP2K2;THBS1;RB1;MMP2;MAPK3;FGFR3;MMP1;CDH1;CDKN2A;HBEGF;DAPK2;MAP2K1;TYMP;SRC;CDKN1A;MYC
4,prerank,Vibrio cholerae infection,0.5024751398359312,1.9722422475074948,0.0,0.006865847457317095,0.033,24/30,36.21%,PLCG1;KCNQ1;ATP6V1F;ACTB;ARF1;ADCY9;PDIA4;PRKACA;PRKCA;TJP1;SLC12A2;PLCG2;KDELR3;ATP6V1D;ADCY3;GNAS;ACTG1;PRKACG;TCIRG1;KDELR2;SEC61A2;CFTR;ATP6V1C1;ATP6V0B
5,prerank,Relaxin signaling pathway,0.41395805877200487,1.9257696218413465,0.0,0.010265115070988795,0.057,62/103,30.29%,NFKBIA;NFKB1;GNB1;MAPK11;ACTA2;JUN;CREB3L4;MAPK1;RXFP4;PIK3R3;MAPK8;GNG11;GNAI2;NRAS;EGFR;GNAI3;GNG4;HRAS;AKT1;CREB5;ADCY9;ARRB1;GNB2;RELA;CREB3L1;SMAD2;COL4A5;MAP2K2;PRKACA;GNAI1;PRKCA;GRB2;MMP2;CREB1;ATF2;MAPK3;GNG12;AKT2;EDNRB;MMP1;VEGFB;PIK3R1;SMAD3;MAP2K4;GNB5;GNA15;TGFBR1;ADCY3;GNAS;PRKACG;MAPK9;MAP2K1;PRKCZ;EDN1;CREB3L2;TGFBR2;PLCB3;SHC1;SRC;GNB4;MAPK14;VEGFC
6,prerank,Adherens junction,0.43334233723230997,1.8988192284559513,0.0,0.011106517945660007,0.069,41/58,39.68%,MAPK1;FYN;NECTIN3;ACTB;CTNNB1;ERBB2;EGFR;WASF3;MET;SMAD2;CSNK2B;MAP3K7;MAPK3;TJP1;SMAD4;CDH1;SNAI2;RHOA;SMAD3;ACTN4;TGFBR1;RAC1;CSNK2A2;PTPN1;PTPN6;ACTG1;IGF1R;ACTN1;TGFBR2;SRC;PTPRM;LEF1;TCF7L2;CDC42;PTPRJ;TCF7;YES1;AFDN;RAC3;FGFR1;EP300
7,prerank,Viral myocarditis,0.4503992083926175,1.896392148766783,0.0,0.00997062406485387,0.071,26/45,24.62%,HLA-DPA1;ITGB2;FYN;DMD;ACTB;ICAM1;HLA-DRB1;CASP9;CD55;HLA-DMB;PRF1;BID;CYCS;ABL1;HLA-DPB1;CXADR;CASP8;RAC1;CD40;HLA-DRB3;HLA-A;CASP3;EIF4G1;HLA-DMA;HLA-DRB4;ACTG1
8,prerank,Epithelial cell signaling in Helicobacter pylori infection,0.4375220647998393,1.8752942586825676,0.0,0.010657769745835361,0.085,40/52,42.33%,NFKBIA;NFKB1;PLCG1;MAPK11;JUN;CXCL8;MAPK8;ATP6V1F;LYN;EGFR;CXCR2;MET;RELA;NOD1;TJP1;PAK1;PLCG2;MAP2K4;RAC1;ATP6V1D;F11R;CASP3;ADAM17;HBEGF;CXCL1;CHUK;MAPK9;TCIRG1;SRC;ADAM10;MAPK14;CDC42;ATP6V1C1;ATP6V0B;IKBKG;CSK;ATP6AP1;PTPN11;CCL5;MAPK12
9,prerank,Colorectal cancer,0.41314977999318026,1.8745322909660598,0.0,0.00969296111621237,0.085,48/78,32.20%,BBC3;BCL2;RPS6KB2;JUN;MAPK1;ARAF;PIK3R3;MAPK8;AXIN1;TP53;NRAS;CTNNB1;EGFR;TGFB3;HRAS;AKT1;BRAF;CASP9;SMAD2;MAP2K2;GRB2;MAPK3;AKT2;RALGDS;SMAD4;CYCS;TGFA;BAD;PIK3R1;RHOA;SMAD3;TGFBR1;RAC1;GSK3B;MSH6;AREG;CASP3;MAPK9;MAP2K1;TGFBR2;MSH2;LEF1;TCF7L2;RPS6KB1;BAX;CDKN1A;MLH1;MYC
10,prerank,Shigellosis,0.440162149730778,1.8623067203721861,0.0,0.010280413305073727,0.099,39/48,45.73%,NFKBIA;NFKB1;MAPK11;MAPK1;CXCL8;MAPK8;ACTB;ROCK1;RIPK2;ROCK2;CTTN;RELA;NOD1;ARPC4;NFKBIB;MAPK3;ABL1;RAC1;FBXW11;ATG5;ARPC1B;ACTG1;CHUK;MAPK9;SRC;MAPK14;CDC42;CRKL;ARPC3;CD44;NOD2;IKBKG;PFN2;MAPK12;CRK;ARPC5;HCLS1;ELMO1;MAPK10
