,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pancreatic cancer,0.4352609067536645,2.208640196152459,0.0,0.003051274681053353,0.002,50/71,35.12%,ERBB2;EGFR;BCL2L1;STAT3;RPS6KB2;MAPK8;IKBKG;TP53;ARHGEF6;DDB2;NFKB1;MAPK3;IKBKB;CDK4;SMAD3;AKT3;MAPK9;TGFA;AKT1;CASP9;TGFBR1;CCND1;RB1;TGFBR2;ARAF;SMAD4;PIK3CA;PIK3R1;GADD45A;RALB;BAD;BAX;MAPK1;CDKN2A;CDKN1A;BRCA2;BRAF;SMAD2;STAT1;RALBP1;KRAS;RAF1;RPS6KB1;PLD1;JAK1;MAP2K1;RALA;CDK6;TGFB3;EGF
1,prerank,Kaposi sarcoma-associated herpesvirus infection,0.3905226717694938,2.193562848245219,0.0,0.0015256373405266766,0.002,121/159,45.04%,MAPK11;LYN;CXCL8;NFKBIA;STAT2;STAT3;NRAS;MAPK8;GNB4;IKBKG;ZFP36;GNB5;TP53;PTGS2;BECN1;IFNGR1;BID;GSK3B;SYK;NFATC3;NFKB1;GNB2;MAPK3;MAP2K4;IKBKB;CCR3;CDK4;UBB;IFNA10;HIF1A;GNG11;AKT3;MAPK9;AKT1;CASP9;PLCG1;CXCL1;JAK2;NFATC1;CALM3;CCND1;RB1;CASP3;NFATC4;ICAM1;IL6;HLA-A;PIK3CA;PIK3R1;GNG12;MAPK13;CCR4;EP300;PPP3CA;GNG5;IRF3;BAX;MAPK1;IFNB1;TRAF3;IL6ST;IFNA4;GNGT2;CDKN1A;IFNA7;EIF2AK2;TICAM1;CREB1;MAPKAPK2;IRF9;JUN;CCR1;CTNNB1;ITPR3;STAT1;CALM2;IFNAR2;KRAS;CCR5;MYC;RAF1;PIK3CG;MAP2K6;JAK1;MAP2K1;PIK3C3;RCAN1;GABARAPL1;IKBKE;CXCL3;TNFRSF1A;TRADD;CREBBP;IRF7;CDK6;IFNA2;MAPK12;HRAS;C3;CD86;SRC;IFNA16;FGF2;GNB1;PPP3CC;RELA;TBK1;PPP3R2;MAP2K7;HLA-B;MAPK14;CALML6;RAC1;GNG7;PIK3CD;FAS;AKT2;FADD;ITPR1;CALM1;HCK
2,prerank,Endometrial cancer,0.447925954320271,2.1863201914697874,0.0,0.0010170915603511176,0.002,39/53,35.93%,FOXO3;ERBB2;EGFR;NRAS;TP53;GSK3B;PDPK1;LEF1;DDB2;MAPK3;AXIN2;PTEN;GRB2;AKT3;AKT1;CASP9;CCND1;TCF7L2;ARAF;PIK3CA;PIK3R1;GADD45A;BAD;BAX;MAPK1;SOS2;MLH1;CDKN1A;BRAF;CTNNB1;TCF7;KRAS;MYC;RAF1;MAP2K1;ILK;CDH1;EGF;HRAS
3,prerank,AGE-RAGE signaling pathway in diabetic complications,0.41541810278352365,2.18050595584002,0.0,0.0007628186702633383,0.002,69/89,43.49%,MAPK11;CXCL8;STAT3;NRAS;MAPK8;F3;EGR1;PRKCD;NFKB1;MAPK3;CDK4;BCL2;SMAD3;AKT3;MAPK9;PLCB4;AKT1;PLCG1;PRKCZ;JAK2;NFATC1;TGFBR1;VEGFB;CCND1;CASP3;COL4A5;TGFBR2;ICAM1;IL6;SMAD4;PIK3CA;PIK3R1;MAPK13;CDKN1B;BAX;MAPK1;PRKCE;NOX1;PLCD1;PRKCB;SELE;JUN;SMAD2;STAT1;VEGFC;MMP2;KRAS;THBD;AGER;PRKCA;PLCB3;STAT5A;PIM1;NOS3;TGFB3;EDN1;MAPK12;HRAS;TNF;SERPINE1;RELA;MAPK14;FOXO1;RAC1;PIK3CD;PLCB1;AGTR1;AGT;AKT2
4,prerank,Relaxin signaling pathway,0.3971209613466582,2.1265452377909,0.0,0.0022376014327724586,0.01,77/103,43.49%,ARRB1;MAPK11;NFKBIA;GNA15;EGFR;CREB3L4;NRAS;MAPK8;GNB4;ADCY6;GNB5;ATF4;PRKACB;NFKB1;GNB2;MAPK3;MAP2K4;SMAD3;GRB2;GNAI1;GNG11;AKT3;MAPK9;PLCB4;ATF2;AKT1;GNAS;PRKCZ;GNAI2;ADCY9;TGFBR1;VEGFB;COL4A5;TGFBR2;PIK3CA;PIK3R1;GNG12;SHC1;MAPK13;GNG5;MAPK1;PRKACA;MMP13;SOS2;GNGT2;CREB1;JUN;SMAD2;EDNRB;CREB3;VEGFC;MMP2;ACTA2;NOS2;KRAS;PRKCA;PLCB3;RAF1;MAP2K1;CREB3L1;NOS3;EDN1;MAPK12;HRAS;ADCY7;SRC;ADCY3;GNB1;RELA;MAP2K7;MAPK14;GNG7;PIK3CD;MMP1;PLCB1;CREB3L2;AKT2
5,prerank,Hepatitis B,0.3791778843276719,2.1215474230216316,0.0,0.0020341831207022353,0.011,105/153,40.37%,MAPK11;CXCL8;NFKBIA;TLR4;CREB3L4;STAT2;STAT3;NRAS;MAPK8;IKBKG;ATP6AP1;TP53;PTK2B;IRAK4;ATF4;BID;NFATC3;MAP3K7;DDB2;YWHAQ;NFKB1;CCNA1;MAPK3;CCNE2;CDK2;MAP2K4;IKBKB;BCL2;IFNA10;SMAD3;GRB2;AKT3;MAPK9;ATF2;AKT1;CASP9;JAK2;NFATC1;TGFBR1;MAP3K1;RB1;CASP3;NFATC4;TGFBR2;TIRAP;IL6;ARAF;MAP2K3;SMAD4;PIK3CA;PIK3R1;MAPK13;EP300;BAD;IRF3;TAB2;BAX;MAPK1;IFNB1;TRAF3;IFNA4;SOS2;APAF1;CDKN1A;IFNA7;TICAM1;CREB1;FASLG;PRKCB;BRAF;STAT6;JUN;SMAD2;CREB3;STAT1;STAT4;KRAS;MYC;PRKCA;STAT5A;RAF1;TLR2;MAP2K6;JAK1;MAP2K1;CREB3L1;IKBKE;CREBBP;IRF7;IFNA2;TGFB3;MAPK12;HRAS;HSPG2;TNF;SRC;IFNA16;TICAM2;RELA;TBK1;TRAF6;MAP2K7;CASP10;CCNE1;MAPK14
6,prerank,Non-small cell lung cancer,0.4188176724008656,2.0946701955098184,0.0,0.002324780709373983,0.015,40/63,31.17%,FOXO3;ERBB2;EGFR;STAT3;NRAS;TP53;EML4;PDPK1;DDB2;MAPK3;CDK4;GRB2;AKT3;TGFA;AKT1;CASP9;PLCG1;CCND1;RB1;ARAF;PIK3CA;PIK3R1;GADD45A;RXRA;BAD;BAX;MAPK1;RARB;CDKN2A;RASSF1;SOS2;CDKN1A;PRKCB;BRAF;RASSF5;KRAS;PRKCA;STAT5A;RAF1;MAP2K1
7,prerank,Prostate cancer,0.398991492758054,2.088106304423289,0.0,0.0022884560107900146,0.017,51/89,27.37%,ERBB2;NFKBIA;EGFR;CREB3L4;NRAS;PLAU;GSTP1;IKBKG;TP53;ERG;PLAT;IL1R2;HSP90AB1;ATF4;GSK3B;PDPK1;LEF1;NFKB1;MAPK3;CCNE2;CDK2;IKBKB;BCL2;PTEN;GRB2;AKT3;TGFA;AKT1;FGFR1;CASP9;HSP90B1;CCND1;RB1;TCF7L2;ARAF;PIK3CA;PIK3R1;EP300;CDKN1B;BAD;MAPK1;SOS2;INS;CDKN1A;CREB1;BRAF;CREB3;CTNNB1;MDM2;TCF7;KRAS
8,prerank,Bladder cancer,0.4566716301795096,2.085339261614074,0.0,0.0022602034674469285,0.019,31/39,40.19%,ERBB2;CXCL8;EGFR;NRAS;TP53;MAPK3;CDK4;CCND1;RB1;ARAF;MAPK1;CDKN2A;RASSF1;CDKN1A;BRAF;MMP2;MDM2;KRAS;DAPK3;MYC;RAF1;MAP2K1;DAPK2;RPS6KA5;THBS1;CDH1;EGF;HRAS;SRC;FGFR3;DAPK1
9,prerank,Apelin signaling pathway,0.38607300633373837,2.0849740744122798,0.0,0.0020341831207022353,0.019,80/105,45.91%,RPS6KB2;NRAS;PRKAA1;GNB4;RPS6;MYLK3;SLC8A1;ADCY6;GNB5;PLAT;BECN1;JAG1;MEF2D;SPHK2;PRKACB;EGR1;GNB2;GNA13;MAPK3;MYLK2;PIK3R4;SMAD3;GNAI1;PRKAG1;GNG11;AKT3;PLCB4;AKT1;SPP1;KLF2;GNAI2;ADCY9;CALM3;TGFBR1;CCND1;MEF2C;SMAD4;GNG12;GNG5;MAPK1;PRKCE;PRKACA;GNGT2;MYLK4;PRKAG3;PRKAG2;SMAD2;PRKAB2;PRKAB1;ITPR3;CALM2;ACTA2;NOS2;KRAS;PLCB3;HDAC4;RAF1;PIK3CG;RPS6KB1;MAP2K1;PIK3C3;GABARAPL1;NOS3;RYR2;CDH1;HRAS;ADCY7;ADCY3;GNB1;SERPINE1;SPHK1;CALML6;GNG7;PLCB1;AGTR1;AKT2;ITPR1;CALM1;GNAI3;GNG4
