,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,AGE-RAGE signaling pathway in diabetic complications,0.41218505319069254,2.6718203745247386,0.0,0.0,0.0,69/89,41.73%,AKT1;PIK3CD;PIK3R3;PLCD1;EGR1;TGFB1;SMAD2;JUN;KRAS;NFATC1;CCL2;STAT1;MAPK1;PLCG2;CCND1;COL1A2;CASP3;STAT5B;EDN1;SMAD4;PLCB4;TGFBR1;MMP2;RELA;PIK3CA;NOX1;STAT3;PLCG1;TGFBR2;PIK3CB;PIM1;SMAD3;STAT5A;THBD;CDC42;RAC1;TNF;NFKB1;PLCB3;PRKCZ;FN1;TGFB2;ICAM1;VEGFC;MAPK8;SELE;BCL2;JAK2;PRKCE;FOXO1;PLCB1;PIK3R1;VEGFB;HRAS;AGTR1;BAX;COL4A2;MAPK3;F3;TGFB3;CDKN1B;MAPK13;COL4A3;NRAS;PRKCB;AKT2;IL1B;MAPK9;MAPK14
1,prerank,Thyroid hormone signaling pathway,0.39298278493209415,2.56514282626926,0.0,0.0,0.0,57/95,27.59%,TP53;ATP2A2;SLC2A1;RXRA;BAD;TSC2;AKT1;PIK3CD;PIK3R3;MAP2K1;CTNNB1;PLCD1;EP300;KRAS;NCOA2;PRKACB;NOTCH2;STAT1;MAP2K2;MAPK1;PLCG2;CCND1;ATP1B1;ACTB;HIF1A;PLCB4;KAT2A;PIK3CA;PLCG1;NOTCH1;MYC;PIK3CB;ATP1B3;PDPK1;RCAN1;ITGAV;SIN3A;NCOA3;HDAC1;NCOA1;ATP1A4;PLCB3;BMP4;PRKACA;MED12;HDAC2;ATP1A1;SLC16A10;GATA4;PRKCG;FOXO1;MED13;PLCB1;RXRB;PIK3R1;CREBBP;HRAS
2,prerank,Human papillomavirus infection,0.3291899422068188,2.3970901324832017,0.0,0.00034672839692962543,0.001,133/232,32.94%,TP53;PXN;LAMB1;ATP6V0B;BAD;PKM;TSC2;AKT1;IFNA5;EGFR;ATP6V1F;WNT1;FZD3;PIK3CD;IRF3;PIK3R3;TICAM1;MAP2K1;CCNA2;TRAF3;MAML2;ATP6V1D;CTNNB1;DVL3;HES1;ATP6V1A;EP300;HLA-B;PPP2R3C;KRAS;PPP2CA;AXIN2;PRKACB;NOTCH2;ATM;CCNE1;TLR3;E2F1;TCF7L1;STAT1;TERT;ITGB8;MAP2K2;WNT2;MAPK1;IFNAR1;CCND1;COL1A2;JAG1;HLA-A;CASP3;GNAS;IFNA1;TUBG1;PPP2R2C;WNT5A;ITGA1;RELA;ITGB4;PIK3CA;EGF;PPP2R3A;MX1;ITGA11;NOTCH1;PIK3CB;ITGA2;ISG15;ITGAV;RB1;THBS3;TADA3;TSC1;CDC42;SPP1;FASLG;TNF;HDAC1;NFKB1;AXIN1;ITGB5;FZD4;PRKCZ;PPP2R5A;FN1;PRKACA;IFNA4;PTK2;TCF7;IRF9;CREB5;CSNK1A1L;HDAC2;CREB3L1;CCNA1;ITGB1;DVL2;PPP2R2D;CREB3L2;PTGER4;PSEN1;TBP;FOXO1;RPS6KB2;FADD;ATR;RFNG;PIK3R1;ATP6V0C;WNT3;CREBBP;HRAS;BAK1;CCND3;TCF7L2;CHUK;EIF4EBP1;PTEN;RPS6KB1;TBK1;PPP2R5B;IFNA21;RHEB;LAMB2;BAX;TNFRSF1A;COL4A2;IFNAR2;CDK2;DLG2;UBE3A;LAMA3;MAPK3
3,prerank,Viral myocarditis,0.4318321001479701,2.395291239723351,0.0,0.0002600462976972191,0.001,41/45,50.29%,FYN;CD55;HLA-DRA;HLA-DRB5;HLA-B;CD80;DAG1;CAV1;CCND1;ACTB;HLA-A;CASP3;RAC3;PRF1;CD40;HLA-DPA1;HLA-DQB1;SGCB;ITGB2;HLA-DOA;RAC1;HLA-DRB4;ABL2;ICAM1;HLA-DRB3;HLA-DPB1;HLA-DMA;HLA-DQA1;BID;HLA-DMB;DMD;EIF4G1;CASP9;ACTG1;CD40LG;HLA-DQA2;HLA-DRB1;ABL1;CD28;ITGAL;CXADR
4,prerank,Choline metabolism in cancer,0.3818007031320636,2.385513663765529,0.0,0.0004160740763155506,0.002,62/78,47.93%,SLC22A2;TSC2;AKT1;EGFR;PIK3CD;PIK3R3;MAP2K1;PLD2;SLC22A1;CHKB;PIP5K1A;JUN;KRAS;MAP2K2;MAPK1;RAC3;HIF1A;PDGFRA;DGKB;PIK3CA;EGF;PLCG1;FOS;SLC44A1;PIK3CB;PDPK1;DGKK;PCYT1B;PLA2G4A;DGKZ;TSC1;RAC1;DGKI;MAPK8;SLC22A5;DGKE;PRKCG;RPS6KB2;PIK3R1;PDGFC;HRAS;EIF4EBP1;RPS6KB1;RHEB;WASF3;PLPP3;MAPK3;PDGFD;PDGFRB;DGKQ;WASL;NRAS;PRKCB;AKT2;SOS2;MAPK9;PIP5K1C;DGKA;GRB2;RAF1;SLC22A4;CHKA
5,prerank,Colorectal cancer,0.3777048311489717,2.3597351781277527,0.0,0.00034672839692962543,0.002,57/79,41.47%,TP53;AREG;BAD;AKT1;EGFR;PIK3CD;PIK3R3;MAP2K1;CTNNB1;TGFB1;SMAD2;JUN;KRAS;AXIN2;TCF7L1;MAP2K2;MAPK1;CCND1;CASP3;RAC3;SMAD4;TGFBR1;PIK3CA;EGF;TGFBR2;FOS;MYC;PIK3CB;ARAF;SMAD3;RAC1;AXIN1;TGFB2;TCF7;MAPK8;RHOA;BCL2;GADD45B;BBC3;RPS6KB2;PIK3R1;HRAS;BAK1;TCF7L2;RPS6KB1;BAX;MAPK3;GSK3B;TGFB3;CDKN1A;RALB;BRAF;NRAS;AKT2;SOS2;MAPK9;CASP9
6,prerank,Melanoma,0.41397082742734276,2.343551810654971,0.0,0.0002971957687968218,0.002,40/52,41.60%,TP53;BAD;MITF;AKT1;EGFR;PIK3CD;PIK3R3;MAP2K1;MET;KRAS;E2F1;MAP2K2;MAPK1;CCND1;PDGFRA;FGF9;PIK3CA;EGF;PIK3CB;ARAF;RB1;CDKN2A;GADD45B;IGF1R;PIK3R1;PDGFC;HRAS;BAK1;PTEN;BAX;MAPK3;PDGFD;CDKN1A;PDGFRB;CDH1;BRAF;NRAS;AKT2;FGF2;MDM2
7,prerank,AMPK signaling pathway,0.3574172647336984,2.3326131712575484,0.0,0.0002600462976972191,0.002,58/100,30.09%,FASN;SREBF1;SCD;TSC2;AKT1;HMGCR;CPT1A;G6PC;PIK3CD;PIK3R3;STK11;CCNA2;PRKAA1;PFKFB3;PPP2R3C;PPP2CA;AKT1S1;CAMKK2;ULK1;CCND1;CD36;FBP1;INS;PPP2R2C;PRKAB1;LEPR;PRKAG1;PIK3CA;CAB39;PPP2R3A;GYS1;PIK3CB;LEP;PDPK1;TSC1;PPARG;PRKAB2;G6PC3;PPP2R5A;CREB5;CREB3L1;CCNA1;ACACB;PPP2R2D;CREB3L2;PPARGC1A;FOXO1;IGF1R;SIRT1;RPS6KB2;PIK3R1;PCK1;EIF4EBP1;PFKL;RPS6KB1;PPP2R5B;PRKAG2;RHEB
8,prerank,Longevity regulating pathway,0.3696784316276922,2.3256399431841395,0.0,0.0002311522646197503,0.002,50/85,30.91%,TP53;TSC2;AKT1;PIK3CD;PIK3R3;STK11;CAT;PRKAA1;KRAS;PRKACB;AKT1S1;CAMKK2;ULK1;INS;PRKAB1;RELA;HSPA1B;PRKAG1;PIK3CA;PIK3CB;EHMT2;ADCY9;TSC1;ATG5;PPARG;PRKAB2;HDAC1;NFKB1;ADCY3;PRKACA;ADCY5;ATF2;CREB5;HDAC2;CREB3L1;CREB3L2;PPARGC1A;FOXO1;IGF1R;SIRT1;RPS6KB2;PIK3R1;FOXA2;EIF4E;HRAS;EIF4EBP1;RPS6KB1;PRKAG2;RHEB;BAX
9,prerank,Inflammatory bowel disease (IBD),0.39054761256350107,2.324949858316664,0.0,0.0002080370381577753,0.002,44/64,35.53%,NOD2;HLA-DRA;HLA-DRB5;TGFB1;SMAD2;JUN;IL12A;NFATC1;STAT1;FOXP3;HLA-DPA1;HLA-DQB1;RELA;IL12RB1;STAT3;RORC;MAF;IL18;TLR4;IL18R1;HLA-DOA;IL4R;SMAD3;GATA3;TNF;NFKB1;HLA-DRB4;IL23R;TGFB2;TLR5;IL18RAP;IL21R;IL17F;HLA-DRB3;RORA;HLA-DPB1;IL10;IL21;HLA-DMA;HLA-DQA1;STAT4;IL22;IL12B;TGFB3
10,prerank,B cell receptor signaling pathway,0.3820367730301811,2.317678536564436,0.0,0.0001891245801434321,0.002,50/68,41.13%,CD79B;VAV3;AKT1;PIK3CD;PTPN6;PIK3R3;MAP2K1;CD19;JUN;KRAS;NFATC1;MAP2K2;MAPK1;NFATC2;PLCG2;LILRB3;NFATC3;RAC3;RELA;CARD11;NFKBIA;PIK3CA;FOS;PIK3CB;RAC1;NFKB1;INPPL1;SYK;BCL10;BLNK;IFITM1;PIK3R1;NFKBIB;HRAS;CHUK;PPP3R2;MALT1;PPP3R1;CD81;BTK;MAPK3;PPP3CA;PIK3AP1;GSK3B;CD72;NRAS;PRKCB;AKT2;CD79A;SOS2
11,prerank,FoxO signaling pathway,0.3438933923194112,2.3157278686342555,0.0,0.00017336419846481272,0.002,82/119,41.73%,AKT1;G6PC;EGFR;CSNK1E;PIK3CD;PIK3R3;STK11;MAP2K1;CAT;SGK2;PRKAA1;TGFB1;SMAD2;EP300;KRAS;ATM;BCL6;RAG1;MAP2K2;MAPK1;CCND1;SMAD4;INS;TGFBR1;PRKAB1;PRKAG1;PIK3CA;EGF;STAT3;NLK;TGFBR2;PIK3CB;IL7R;PDPK1;ARAF;SMAD3;PRKAB2;FASLG;C8ORF44-SGK3;TNFSF10;G6PC3;TGFB2;MAPK8;SGK3;PRMT1;PLK4;FOXO1;GADD45B;IGF1R;SIRT1;PIK3R1;CCNB1;CREBBP;IL10;HRAS;CHUK;PCK1;PTEN;HOMER2;PRKAG2;CDK2;MAPK3;SETD7;USP7;TGFB3;CDKN1A;CDKN1B;MAPK13;BRAF;SKP2;IRS1;NRAS;AKT2;PCK2;SGK1;S1PR1;ATG12;SOS2;MAPK9;PLK1;MDM2;MAPK14
12,prerank,Central carbon metabolism in cancer,0.3922263862514517,2.3041493112138705,0.0,0.00016002849089059637,0.002,43/60,39.84%,TP53;G6PD;SLC2A1;PKM;GCK;AKT1;EGFR;PIK3CD;PIK3R3;MAP2K1;MET;TIGAR;KRAS;ERBB2;MAP2K2;MAPK1;HIF1A;PDGFRA;SIRT6;PDHB;IDH1;PDHA1;PIK3CA;MYC;PIK3CB;HK1;SLC7A5;SIRT3;FGFR2;PIK3R1;LDHA;HRAS;PTEN;PFKL;FLT3;SLC2A2;FGFR3;MAPK3;PDK1;PDGFRB;NRAS;AKT2;HK2
13,prerank,Small cell lung cancer,0.36755260779273774,2.293572496046368,0.0,0.0003714947109960273,0.005,62/79,47.19%,TP53;LAMB1;RXRA;AKT1;BIRC2;PIK3CD;PIK3R3;TRAF3;MAX;CCNE1;E2F1;TRAF4;CCND1;BIRC7;CASP3;TRAF2;RELA;CKS1B;NFKBIA;PIK3CA;MYC;PIK3CB;XIAP;ITGA2;ITGAV;RB1;NFKB1;BCL2L1;FN1;PTK2;ITGB1;BCL2;GADD45B;RXRB;PIK3R1;BAK1;CHUK;PTEN;TRAF1;RARB;LAMB2;BAX;COL4A2;TRAF6;CDK2;LAMA3;TRAF5;CDKN1A;CDKN1B;COL4A3;SKP2;ITGA3;AKT2;CKS2;CASP9;BIRC3;COL4A4;ITGA2B;NOS2;ITGA6;CDK6;CDKN2B
14,prerank,Human T-cell leukemia virus 1 infection,0.3179130662431755,2.290302299527786,0.0,0.00034672839692962554,0.005,107/189,33.42%,TP53;NRP1;SLC2A1;AKT1;FDPS;PIK3CD;PIK3R3;GPS2;MAP2K1;CCNA2;HLA-DRA;EGR1;HLA-DRB5;TGFB1;SMAD2;SRF;EP300;HLA-B;JUN;KRAS;PRKACB;ATM;NFATC1;CCNE1;E2F1;TERT;MAP2K2;MAPK1;NFATC2;CSF2;CCND1;NFATC3;HLA-A;STAT5B;SMAD4;B2M;CD40;CANX;HLA-DPA1;TGFBR1;HLA-DQB1;RELA;KAT2A;NFKBIA;PIK3CA;TGFBR2;IL2RB;KAT5;FOS;MYC;PIK3CB;XIAP;XPO1;ITGB2;RB1;ADCY9;HLA-DOA;CDKN2A;SMAD3;STAT5A;TNF;NFKB1;HLA-DRB4;ADCY3;BCL2L1;TGFB2;PRKACA;ADCY5;SPI1;ICAM1;ATF2;IL2RA;CREB5;ELK4;MAPK8;CREB3L1;CCNA1;ETS2;LCK;CREB3L2;BUB1B;VDAC1;HLA-DRB3;TBP;ATR;HLA-DPB1;LTA;PIK3R1;CREBBP;HRAS;CCND3;CHUK;SLC25A6;PTEN;PPP3R2;PPP3R1;BAX;TNFRSF1A;HLA-DMA;HLA-DQA1;CDK2;ATF4;ELK1;MAPK3;LTBR;PPP3CA;NFKB2
15,prerank,Toxoplasmosis,0.35049148684918935,2.2860250253334864,0.0,0.00032505787212152394,0.005,76/99,47.47%,LDLR;LAMB1;BAD;AKT1;SOCS1;IRGM;BIRC2;HLA-DRA;TAB2;HLA-DRB5;TGFB1;IL12A;STAT1;MAPK1;BIRC7;CASP3;CD40;ALOX5;HLA-DPA1;HLA-DQB1;RELA;HSPA1B;NFKBIA;STAT3;XIAP;TLR4;PDPK1;HLA-DOA;TNF;NFKB1;HLA-DRB4;BCL2L1;TGFB2;MYD88;MAPK8;ITGB1;BCL2;JAK2;HLA-DRB3;IL10RB;HLA-DPB1;NFKBIB;MAP2K3;IL10;CHUK;IRAK1;LAMB2;TNFRSF1A;HLA-DMA;TRAF6;HLA-DQA1;LAMA3;MAPK3;IL12B;TGFB3;MAPK13;GNAI1;AKT2;HLA-DMB;PIK3CG;MAPK9;CASP9;MAPK14;MAP3K7;BIRC3;HSPA2;GNAI3;PPIF;NOS2;CD40LG;ITGA6;HLA-DQA2;IRAK4;HLA-DRB1;MAP2K6;JAK1
16,prerank,Prostate cancer,0.35741619967227495,2.2706324307578476,0.0,0.0004894989133124125,0.008,63/89,41.60%,TP53;BAD;AKT1;EGFR;PIK3CD;PIK3R3;MAP2K1;CTNNB1;HSP90AA1;GSTP1;EP300;KRAS;ERBB2;CCNE1;E2F1;TCF7L1;MAP2K2;MAPK1;CCND1;PDGFRA;INS;RELA;NFKBIA;PIK3CA;EGF;PIK3CB;PDPK1;PLAT;ARAF;RB1;NFKB1;TCF7;CREB5;CREB3L1;FGFR2;BCL2;CREB3L2;FOXO1;IGF1R;PIK3R1;PDGFC;CREBBP;HRAS;TCF7L2;CHUK;PTEN;ZEB1;CDK2;ATF4;MAPK3;GSK3B;HSP90B1;PDGFD;CDKN1A;PDGFRB;CDKN1B;BRAF;NRAS;AKT2;ETV5;SOS2;CASP9;MDM2
17,prerank,Insulin signaling pathway,0.3440471444760871,2.270468171922212,0.0,0.0004623045292395006,0.008,76/111,41.77%,FASN;BAD;CALM2;SREBF1;TSC2;GCK;AKT1;SOCS1;G6PC;MKNK2;PIK3CD;PIK3R3;MAP2K1;CBLB;PRKAA1;KRAS;TRIP10;PRKACB;MAP2K2;MAPK1;FBP1;INS;PRKAB1;PTPN1;PRKAG1;PIK3CA;GYS1;SHC4;PIK3CB;PDPK1;ARAF;HK1;TSC1;PRKAB2;PYGL;MKNK1;INPPL1;PTPRF;G6PC3;PRKCZ;PRKACA;MAPK8;ACACB;PPP1CA;PPARGC1A;FOXO1;CALML6;RPS6KB2;PIK3R1;EIF4E;PRKAR1A;HRAS;PCK1;EIF4EBP1;SHC1;RPS6KB1;PRKAG2;RHEB;CALM1;ELK1;MAPK3;GSK3B;PYGB;SOCS2;PRKAR1B;BRAF;RPS6;IRS1;NRAS;AKT2;ACACA;PCK2;HK2;SOS2;MAPK9;HKDC1
18,prerank,Endometrial cancer,0.3957177130381759,2.2614383620109155,0.0,0.0005474658898888823,0.01,41/53,42.75%,TP53;BAD;AKT1;EGFR;PIK3CD;PIK3R3;MAP2K1;CTNNB1;KRAS;AXIN2;ERBB2;TCF7L1;MAP2K2;MAPK1;CCND1;PIK3CA;EGF;MYC;PIK3CB;PDPK1;ARAF;AXIN1;TCF7;GADD45B;PIK3R1;HRAS;BAK1;TCF7L2;PTEN;BAX;ELK1;MAPK3;GSK3B;CDKN1A;CDH1;BRAF;NRAS;AKT2;SOS2;CASP9;MLH1
19,prerank,Apoptosis,0.33461048264736315,2.2591125889522163,0.0,0.0005721018549338821,0.011,87/123,43.87%,TP53;BAD;AKT1;BIRC2;PIK3CD;PIK3R3;MAP2K1;RIPK1;CTSB;DDIT3;JUN;KRAS;ATM;EIF2AK3;MAP2K2;MAPK1;ACTB;BIRC7;CASP3;CFLAR;TRAF2;PRF1;CTSW;CTSC;RELA;NFKBIA;PIK3CA;CTSD;FOS;NGFR;PIK3CB;XIAP;PARP2;PDPK1;ERN1;CTSH;BECN1;FASLG;TNF;NFKB1;AIFM1;TNFSF10;BCL2L1;TUBA8;MAPK8;TUBA1A;ITPR2;BCL2;TUBA4A;EIF2S1;GADD45B;BBC3;FADD;PIK3R1;HRAS;BAK1;CHUK;LMNA;SPTA1;TRAF1;BAX;TNFRSF1A;NGF;BCL2A1;CTSL;ATF4;MAPK3;BIRC6;HRK;PARP4;LMNB2;DFFB;TNFRSF10A;FAS;NRAS;BID;AKT2;GZMB;PARP1;CASP10;MAPK9;CASP9;DIABLO;MAP3K5;BIRC3;CASP6;ACTG1
