,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Endometrial cancer,0.5183495541121161,2.6640274790832033,0.0,0.0,0.0,37/53,24.51%,KRAS;NRAS;EGFR;AKT1;TP53;CTNNB1;PDPK1;MLH1;PIK3CB;CASP9;MAP2K1;MAPK1;PIK3CD;RAF1;TCF7L2;AKT3;GRB2;MYC;APC;ARAF;ELK1;BRAF;ILK;FOXO3;DDB2;PIK3CA;BAX;GADD45B;PTEN;BAD;CDKN1A;PIK3R3;BAK1;CCND1;ERBB2;PIK3R1;MAP2K2
1,prerank,Colorectal cancer,0.47251065315331076,2.619428563298323,0.0,0.0,0.0,66/79,41.58%,KRAS;NRAS;EGFR;AKT1;TP53;CTNNB1;RAC1;MLH1;PIK3CB;CASP9;MAP2K1;MAPK1;MSH6;PIK3CD;RAF1;TCF7L2;AKT3;GRB2;BBC3;MYC;APC;ARAF;BRAF;RPS6KB1;JUN;SMAD4;SMAD3;RHOA;BCL2;DDB2;PIK3CA;BIRC5;MTOR;BAX;GADD45B;CYCS;MSH2;BCL2L11;BAD;CDKN1A;MAPK8;PIK3R3;BAK1;CCND1;TGFB3;PIK3R1;MAP2K2;RALA;CASP3;TGFB1;AKT2;SMAD2;EGF;PIK3R2;SOS2;GSK3B;TGFBR2;MAPK9;MAPK3;HRAS;TGFB2;AXIN2;PMAIP1;LEF1;TGFBR1;AREG
2,prerank,Non-small cell lung cancer,0.47566220698770983,2.5259037930878057,0.0,0.0,0.0,49/63,37.71%,KRAS;RXRG;NRAS;ALK;EGFR;AKT1;TP53;PDPK1;PIK3CB;CASP9;MAP2K1;MAPK1;STK4;PIK3CD;RAF1;AKT3;GRB2;ARAF;BRAF;FOXO3;DDB2;PIK3CA;JAK3;STAT5B;BAX;GADD45B;RXRA;BAD;CDKN1A;PIK3R3;BAK1;CCND1;ERBB2;PIK3R1;MAP2K2;CDK4;STAT5A;STAT3;CDK6;AKT2;EGF;PIK3R2;SOS2;MAPK3;CDKN2A;PLCG2;HRAS;EML4;RB1
3,prerank,Chronic myeloid leukemia,0.4643407227727559,2.521636155077785,0.0,0.0,0.0,58/71,40.74%,KRAS;CTBP2;NRAS;AKT1;TP53;SHC1;CTBP1;PIK3CB;ABL1;MAP2K1;MAPK1;HDAC2;PIK3CD;RAF1;SHC4;AKT3;GRB2;MYC;ARAF;BRAF;SMAD4;SMAD3;CRKL;DDB2;PIK3CA;RELA;BCL2L1;STAT5B;BAX;GADD45B;MECOM;BAD;CDKN1A;PIK3R3;BAK1;CCND1;TGFB3;PIK3R1;MAP2K2;CDK4;STAT5A;NFKB1;TGFB1;CDK6;AKT2;NFKBIA;PIK3R2;SOS2;HDAC1;BCR;TGFBR2;MAPK3;CDKN2A;HRAS;RB1;TGFB2;MDM2;TGFBR1
4,prerank,Progesterone-mediated oocyte maturation,0.4661049604042122,2.5011926540511005,0.0,0.0,0.0,50/64,38.60%,CCNA2;KRAS;STK10;AKT1;MAPK13;CDC25B;CDC25A;GNAI1;PIK3CB;MAPK12;MAP2K1;MAPK1;CCNB1;PIK3CD;RAF1;AKT3;CDK1;CDK2;ARAF;BRAF;IGF1R;PIK3CA;PRKACB;MOS;HSP90AB1;PRKACG;CCNB2;MAPK8;PIK3R3;PRKACA;PIK3R1;ADCY3;PLK1;PGR;AKT2;HSP90AA1;PIK3R2;RPS6KA2;RPS6KA6;AURKA;RPS6KA1;ADCY2;INS;MAPK9;RPS6KA3;MAPK3;MAPK14;ADCY7;ANAPC5;CCNA1
5,prerank,Central carbon metabolism in cancer,0.45901392545402636,2.4561844511987347,0.0,0.0,0.0,51/60,44.51%,KRAS;SLC2A1;NRAS;EGFR;AKT1;TP53;HIF1A;PIK3CB;MAP2K1;MAPK1;SIRT6;PIK3CD;RAF1;NTRK3;AKT3;MYC;PDK1;PGAM1;GCK;PIK3CA;SLC16A3;MTOR;FGFR2;SLC1A5;PTEN;HK1;FGFR3;PIK3R3;PDGFRB;PDHB;PKM;SIRT3;ERBB2;PIK3R1;MAP2K2;LDHA;AKT2;PIK3R2;PFKM;PDHA1;KIT;MAPK3;FLT3;HRAS;NTRK1;PDGFRA;HK2;SLC2A2;G6PD;RET;PFKL
6,prerank,Human T-cell leukemia virus 1 infection,0.3921487879294695,2.4524923234615312,0.0,0.0,0.0,141/188,43.08%,CCNA2;DLG1;KRAS;SLC2A1;NRAS;ETS1;ICAM1;BUB3;KAT5;AKT1;TP53;SLC25A6;POLB;HLA-DQB1;BUB1B;CCND3;TNFRSF13C;SLC25A5;PIK3CB;FDPS;MAP2K1;FOSL1;MAPK1;EGR1;LCK;HLA-DMB;PIK3CD;AKT3;HLA-DPA1;XIAP;HLA-A;MYC;CD40;CDC20;CDK2;ELK1;LTBR;ATF4;JUN;NFKB2;CD3D;SMAD4;SMAD3;SLC25A4;CREB3;ITGB2;PPP3CA;NFATC2;ATR;CREB3L4;RAN;HLA-DRB4;IL2RA;HLA-B;PIK3CA;JAK3;CCNE1;PRKACB;RELA;XPO1;RELB;MSX1;NFATC3;BCL2L1;STAT5B;EP300;BAX;PTEN;CREBBP;PRKACG;HLA-DMA;IL2RB;IL2;CDKN1A;CCNB2;IL15;VDAC2;MAPK8;TBPL1;PIK3R3;PRKACA;NFATC1;ESPL1;CCND1;SPI1;TGFB3;PIK3R1;MAP2K2;CDK4;ETS2;STAT5A;NFKB1;CHEK1;TNFRSF1A;NFYB;ELK4;VDAC1;ADCY3;TRRAP;TGFB1;IL6;SRF;TNF;AKT2;SMAD2;HLA-DRB3;CALR;NFKBIA;PIK3R2;B2M;CCND2;ZFP36;CREB1;HLA-DRB5;LTA;HLA-DOA;ADCY2;TGFBR2;MAPK9;MAPK3;ADCY7;CDKN2A;HLA-DRA;HRAS;ANAPC5;RB1;TGFB2;MAP2K4;CCNA1;PTTG1;NFATC4;PPP3R1;CANX;TGFBR1;CDKN2C;CHEK2;HLA-DQA2;ITGAL;PPP3R2;EGR2;MAP3K3
7,prerank,Neurotrophin signaling pathway,0.4217855913457434,2.4329115382958806,0.0,0.0,0.0,75/103,39.44%,KRAS;NRAS;MAPKAPK2;AKT1;TP53;MAPK13;CDC42;PDPK1;SHC1;PSEN1;NFKBIB;RAC1;PIK3CB;MAPK12;ABL1;MAP2K1;MAPK1;PIK3CD;RAF1;NTRK3;SHC4;AKT3;GRB2;ATF4;BRAF;PSEN2;PRKCD;JUN;RHOA;FOXO3;BCL2;CRKL;PIK3CA;RPS6KA5;RELA;TRAF6;PRDM4;BAX;IRAK4;GAB1;BAD;MAPK8;PIK3R3;MAPK7;CAMK2D;ARHGDIA;PIK3R1;MAP2K2;NFKB1;NGFR;CALM3;CAMK2G;AKT2;NFKBIA;PIK3R2;RPS6KA2;RPS6KA6;SOS2;RPS6KA1;GSK3B;FASLG;MAPK9;RPS6KA3;RIPK2;IRAK1;MAPK3;MAPK14;CALM2;IRAK2;PLCG2;HRAS;MAP2K7;NTRK1;CALM1;ZNF274
8,prerank,Hepatitis B,0.3998637861128059,2.4240604697711583,0.0,0.0,0.0,112/153,40.74%,CCNA2;KRAS;NRAS;FADD;AKT1;TP53;MAPK13;IFNA21;EGR3;PIK3CB;MAPK12;CASP9;MAP2K3;MAP2K1;MYD88;MAPK1;TAB2;JAK2;MAP2K6;CASP8;IFNA8;PIK3CD;RAF1;AKT3;GRB2;MYC;CDK2;ARAF;ELK1;ATF4;BRAF;IRF7;JUN;SMAD4;SMAD3;CREB3;NFATC2;CREB3L4;BCL2;STAT6;STAT4;BID;DDB2;PIK3CA;IFNB1;JAK3;BIRC5;CCNE1;TRAF3;RELA;NFATC3;TRAF6;STAT5B;EP300;BAX;CREBBP;CYCS;SRC;TICAM1;DDX58;IRAK4;BAD;CDKN1A;FAS;MAPK8;IRF3;PIK3R3;NFATC1;CASP10;ATP6AP1;TGFB3;PIK3R1;MAP2K2;TLR2;STAT5A;NFKB1;CASP3;STAT3;TGFB1;IL6;TNF;AKT2;SMAD2;IKBKE;STAT2;NFKBIA;PIK3R2;IFNA5;PCNA;SOS2;CREB1;IFIH1;YWHAZ;TGFBR2;FASLG;MAPK9;IRAK1;MAPK3;MAPK14;HRAS;RB1;IFNA2;TGFB2;MAP2K4;CCNA1;MAP2K7;IFNA4;NFATC4;STAT1;TICAM2;TIRAP;TGFBR1
9,prerank,Cell cycle,0.4195062536795385,2.4040784299172624,0.0,0.0,0.0,77/94,47.32%,CCNA2;CDC7;TTK;BUB3;RBL1;TP53;CDC25B;MCM2;BUB1B;CDC25A;CCND3;PRKDC;ABL1;SKP2;HDAC2;CCNB1;CDK1;MYC;CDC20;CDK2;CDKN1C;SMAD4;RBX1;SMAD3;TFDP1;ATR;MCM3;ORC1;CCNH;SKP1;CCNE1;ORC4;EP300;GADD45B;CDC45;CREBBP;CDKN1A;CCNB2;CDK7;SMC1A;ESPL1;SMC3;CCND1;TGFB3;CDK4;CHEK1;TFDP2;MCM7;PLK1;TGFB1;CDK6;WEE1;SMAD2;CDC14A;PCNA;CCND2;HDAC1;YWHAZ;GSK3B;CDKN2A;WEE2;ANAPC5;RB1;TGFB2;CCNA1;MCM4;PTTG1;MDM2;PKMYT1;CDKN2C;CHEK2;E2F5;BUB1;YWHAH;CDKN1B;CDKN2B;E2F1
