,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pancreatic cancer,0.42223895992269816,2.1034279056858285,0.0,0.020190036879976125,0.02,48/71,35.81%,AKT1;ARAF;CASP9;STAT3;RAC1;BRCA2;STAT1;GADD45B;TP53;RELA;AKT3;MTOR;SMAD4;RAC3;CHUK;TGFBR1;BCL2L1;SMAD3;BRAF;DDB2;CDKN1A;EGFR;CDK6;PLD1;SMAD2;TGFB2;CDC42;RB1;MAPK8;CDK4;BAK1;PIK3CA;CCND1;MAPK9;RAF1;RPS6KB1;ERBB2;MAPK3;NFKB1;RALGDS;TGFBR2;KRAS;E2F1;VEGFA;IKBKB;PIK3R2;BAX;RALBP1
1,prerank,Viral myocarditis,0.43555696284837103,2.002734704720141,0.0010090817356205853,0.028770802553965982,0.053,24/45,20.94%,DAG1;HLA-DMB;ABL1;EIF4G1;ACTG1;CASP9;ACTB;CYCS;RAC1;HLA-DQA1;HLA-A;HLA-DQB1;FYN;HLA-DRB3;ICAM1;RAC3;CAV1;CD80;DMD;BID;HLA-DRB4;CD55;SGCB;HLA-DRA
2,prerank,Epithelial cell signaling in Helicobacter pylori infection,0.4265568289618923,1.9998824102563686,0.0010070493454179255,0.020190036879976125,0.056,41/52,44.46%,ATP6V1D;CXCL1;SRC;HBEGF;RAC1;MET;LYN;NFKBIA;PLCG2;RELA;ADAM10;F11R;MAPK14;NOD1;PAK1;CHUK;ATP6V0B;JUN;ATP6V1F;EGFR;CXCR2;CDC42;MAPK8;CSK;MAPK9;NFKB1;CXCL8;JAM3;IKBKB;ATP6V0A1;CASP3;IGSF5;JAM2;MAP3K14;MAPK11;ATP6V1C1;MAPK13;PTPN11;CXCR1;MAPK12;IKBKG
3,prerank,p53 signaling pathway,0.4120973267410165,1.9959622440111826,0.0,0.0156472785819815,0.057,30/56,24.42%,FAS;TSC2;CHEK2;CASP9;CCNE1;PMAIP1;CYCS;GADD45B;CCND3;TP53;ATR;RCHY1;PPM1D;SIAH1;MDM2;PTEN;BCL2L1;BID;BCL2;DDB2;SFN;SESN1;CDKN1A;CDK6;CDK4;MDM4;ATM;CCND1;CDK2;TNFRSF10B
4,prerank,Epstein-Barr virus infection,0.3579597337533429,1.9855724683369482,0.0,0.013527324709584005,0.062,111/174,38.81%,JAK3;ENTPD3;IFNA8;IFNA5;HLA-DMB;AKT1;IFNA1;RELB;TBK1;FAS;IKBKE;CASP9;STAT3;CCNE1;CYCS;RAC1;TNFAIP3;HLA-DQA1;LYN;HLA-A;VIM;STAT1;HLA-DQB1;GADD45B;NFKBIA;DDX58;CCND3;B2M;TP53;IRAK4;PLCG2;RELA;AKT3;SKP2;HLA-DRB3;MAPK14;TRAF3;OAS2;ICAM1;SYK;MDM2;PSMD1;TLR2;CHUK;CALR;CD3D;CCNA2;ENTPD1;BID;BCL2;MAP3K7;DDB2;HLA-DRB4;OAS1;TRADD;JUN;CDKN1A;HDAC2;CDK6;HLA-DRA;RB1;CD3G;MAPK8;BCL2L11;CDK4;MYD88;BAK1;EIF2AK2;PIK3CA;CR2;IL6;CCND1;CDK2;MAPK9;HDAC1;IRF7;CDKN1B;NFKB1;TAPBP;CCND2;IFNA10;CD58;FADD;IFNAR1;USP7;CCNA1;E2F1;MAP2K3;IFNAR2;HES1;TAB2;IKBKB;PSMC5;HLA-DPA1;PIK3R2;CASP3;BAX;CD3E;MAP2K6;IFNA14;APAF1;PSMD2;RUNX3;TRAF5;MAP3K14;PSMD4;HLA-DRB5;BTK;MAPK11;NFKB2;PIK3CD
5,prerank,Measles,0.36918586904779394,1.980230066079299,0.0,0.011945771820652542,0.066,80/126,36.34%,JAK3;IFNA8;IFNA5;AKT1;IFNA1;IFIH1;TBK1;FAS;IKBKE;CSNK2B;CASP9;STAT3;CCNE1;CYCS;TNFAIP3;TLR4;STAT1;NFKBIA;CSNK2A1;DDX58;CCND3;IL12A;TP53;IRAK4;RELA;CD46;AKT3;TRAF3;RCHY1;OAS2;TLR2;CHUK;GSK3B;CD3D;BCL2L1;FOS;BID;IL1B;BCL2;MAP3K7;OAS1;TRADD;JUN;CDK6;CD3G;MAPK8;CDK4;MYD88;BAK1;EIF2AK2;PIK3CA;IL6;CCND1;CDK2;MAPK9;MX1;EIF2S1;IRF7;CDKN1B;NFKB1;CCND2;IFNA10;FADD;IFNAR1;EIF2AK1;ADAR;IFNAR2;TAB2;IKBKB;PIK3R2;CASP3;HSPA1B;BAX;SLAMF1;IL2RA;IL2RB;CD3E;IFNA14;APAF1;FASLG
6,prerank,Longevity regulating pathway,0.3819456036913892,1.959040137811376,0.0,0.012258236677128363,0.079,48/85,29.74%,AKT1;HRAS;FOXO3;TSC2;EIF4E;PRKACG;PRKAG2;PRKAA2;PRKAG1;SIRT1;CREB1;CREB3L4;TP53;CAMKK2;RELA;IRS1;ADCY9;AKT3;PPARG;CAT;ADCY3;ATF2;MTOR;IGF1R;EHMT2;PRKAB2;ADCY7;ATF4;STK11;ATG5;FOXO1;SESN1;HDAC2;ULK1;PRKAA1;PIK3CA;RPTOR;HDAC1;ADCY5;IRS2;RHEB;RPS6KB1;CAMK4;NFKB1;SOD1;EHMT1;CREB3L1;KRAS
7,prerank,Salmonella infection,0.4051283756084467,1.9558061430860632,0.0,0.01123070801448672,0.082,37/59,32.73%,CXCL1;CD14;ACTG1;ACTB;RAC1;PYCARD;TLR4;IFNGR1;ARPC4;LBP;ROCK1;CCL3;RELA;ARPC3;MAPK14;IL18;NLRC4;FOS;IL1B;FLNB;JUN;ROCK2;CDC42;MAPK8;MYD88;IFNG;IL6;MAPK9;TLR5;MAPK3;NFKB1;CXCL8;CCL4;ARPC1A;ARPC5;PKN3;CCL4L2
8,prerank,Influenza A,0.3529350365391624,1.9140546990798881,0.0,0.015591195146203784,0.12,93/145,38.81%,IFNA8;IFNA5;HLA-DMB;AKT1;IFNA1;IFIH1;TBK1;FAS;VDAC1;IKBKE;NLRP3;FURIN;ACTG1;CASP9;ACTB;CYCS;RAE1;PYCARD;HLA-DQA1;TLR4;PRSS3;PRKCA;STAT1;HLA-DQB1;IFNGR1;NFKBIA;CCL2;DDX58;PML;IL12A;IL33;EP300;IRAK4;RELA;SLC25A6;AKT3;HLA-DRB3;MAPK14;ATF2;OAS2;IL18;ICAM1;NXF1;GSK3B;IL1B;RNASEL;PLG;HLA-DRB4;OAS1;JUN;HLA-DRA;MAPK8;MYD88;TICAM1;EIF2AK2;IFNG;PIK3CA;IL6;MAPK9;TNFRSF10B;JAK2;MX1;EIF2S1;IRF7;RAF1;MAPK3;NFKB1;IFNA10;CXCL8;IFNAR1;PRKCB;EIF2AK1;CIITA;PRSS2;ADAR;TNFRSF10A;MAP2K3;IFNAR2;IKBKB;CPSF4;HLA-DPA1;PIK3R2;HSPA1B;MAP2K6;MAP2K2;IFNA14;FASLG;TLR3;PRSS1;HLA-DRB5;PABPN1;MAPK11;PIK3CD
9,prerank,Cell cycle,0.3676806204897597,1.9086229157648351,0.0,0.015142527659982094,0.128,52/94,33.09%,ABL1;SKP1;CHEK2;CDKN2C;CCNE1;CDC6;GADD45B;CDKN2B;CCND3;TP53;EP300;CCNH;ATR;SKP2;CDC25C;ANAPC5;SMAD4;MDM2;BUB1;GSK3B;CCNA2;SMAD3;TFDP1;MCM6;PKMYT1;SFN;CDKN1A;HDAC2;CDC20;CDC25B;CDK6;SMAD2;TGFB2;RB1;CDC14A;MCM2;WEE2;CDK4;ATM;MCM5;CCND1;CDK2;HDAC1;TTK;CDKN1B;CCND2;CCNA1;E2F1;CDK7;CDC45;STAG2;YWHAH
