,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Measles,0.35727786084400537,2.5228410886247246,0.0,0.0010207151861853056,0.001,86/126,39.07%,CSNK2B;JUN;JAK1;HSPA1A;IFNA8;RCHY1;IFNAR1;JAK3;STAT1;TLR4;TP53;TLR7;FADD;PIK3CD;IRAK1;CASP3;IL2;IRAK4;TRADD;APAF1;CSNK2A1;IFNA4;SLAMF1;BCL2;CD46;TBK1;FOS;IFNA21;CCNE1;IL2RA;ADAR;CCND3;EIF2AK2;NFKBIA;IL2RB;NFKB1;MAP3K7;HSPA1B;OAS1;TNFAIP3;BCL2L1;CCND1;IKBKG;STAT3;IFNA2;IFNA14;BAK1;TAB2;TYK2;OAS3;RELA;CBLB;OAS2;FCGR2B;IFNA7;CDK2;IFNB1;NFKBIB;AKT3;TLR2;AKT2;EIF2AK4;CYCS;BID;IL1B;IKBKB;HSPA2;TLR9;PIK3CA;BAD;CASP9;EIF2AK3;BAX;IFIH1;STAT2;IL12A;GSK3B;DDX58;PIK3R1;MAPK8;AKT1;EIF2AK1;MAPK9;BBC3;CHUK;CDK6
1,prerank,Lysine degradation,0.41573740286773697,2.393521777936579,0.0,0.004593218337833874,0.009,30/46,30.63%,AADAT;EHMT2;HADH;ALDH3A2;SETD1B;PRDM2;SETDB2;ACAT1;DLD;AASS;SETD1A;ACAT2;DOT1L;TMLHE;EHMT1;SETD7;SUV39H1;HADHA;SUV39H2;KMT2C;SETDB1;SETD2;ASH1L;KMT2D;ALDH9A1;ALDH1B1;EZH2;KMT2B;ALDH7A1;PHYKPL
2,prerank,Influenza A,0.3288415333866913,2.3928195903915004,0.0,0.0030621455585559164,0.009,94/145,38.54%,JUN;JAK1;HSPA1A;HLA-DOB;CXCL8;IFNA8;HLA-DPB1;IFNAR1;ICAM1;MAPK3;STAT1;PRKCA;TLR4;IL33;HLA-DRB5;TLR7;PLG;PIK3CD;IL18;MAP2K3;IRAK4;IFNA4;JAK2;TBK1;IFNA21;HLA-DMB;IFNGR1;ADAR;EIF2AK2;NFKBIA;HLA-DOA;TNFRSF1A;NFKB1;IFNG;MAP2K7;RAF1;TNFRSF10B;HSPA1B;OAS1;CXCL10;CCL5;HLA-DQA2;IFNA2;IFNA14;RNASEL;TYK2;OAS3;MAPK14;CREBBP;RELA;OAS2;VDAC1;ACTB;IFNA7;HLA-DRA;IFNB1;PRSS3;NFKBIB;TNFRSF10A;HLA-DRB3;AKT3;AKT2;FDPS;RSAD2;EIF2AK4;CYCS;MAP2K4;IL1B;IKBKB;HSPA2;HLA-DQA1;NLRP3;TLR3;PIK3CA;ACTG1;PABPN1;CASP9;EIF2AK3;IFIH1;STAT2;IL12A;CIITA;GSK3B;CASP1;DDX58;PIK3R1;MAPK8;AKT1;PRSS1;PRSS2;EIF2AK1;MAPK9;MAPK1;HLA-DQB1
3,prerank,Toxoplasmosis,0.3525343179107198,2.3817632108075144,0.0,0.002296609168916937,0.009,68/99,40.29%,TGFB1;JAK1;HSPA1A;HLA-DOB;HLA-DPB1;PIK3R6;MAPK3;STAT1;TLR4;HLA-DRB5;IRAK1;CASP3;MAP2K3;IRAK4;JAK2;BCL2;LAMB3;HLA-DMB;IFNGR1;NFKBIA;ITGA6;HLA-DOA;TNFRSF1A;NFKB1;IFNG;CCR5;MAP3K7;HSPA1B;BCL2L1;IKBKG;STAT3;HLA-DQA2;TAB2;TYK2;MAPK14;TGFB3;IL10RB;RELA;PDPK1;HLA-DRA;PIK3R5;NOS2;NFKBIB;HLA-DRB3;AKT3;TLR2;BIRC3;AKT2;CYCS;ALOX5;IKBKB;HSPA2;HLA-DQA1;BAD;CASP9;IL12A;CIITA;GNAI3;MAPK8;AKT1;GNAI2;MAPK9;MAPK1;HLA-DQB1;CHUK;MAP2K6;TGFB2;CD40
4,prerank,Fluid shear stress and atherosclerosis,0.3367560726294271,2.356456195159814,0.0,0.0020414303723706112,0.01,82/122,40.70%,GSTP1;EDN1;NCF2;DUSP1;JUN;ICAM1;ITGAV;TP53;ITGA2B;MAPK7;ACVR1;PIK3CD;BMPR2;PTK2;CDH5;CAV1;CAV2;BCL2;FOS;GSTA2;TXN;NFE2L2;NOX1;TNFRSF1A;NFKB1;GSTM1;GSTO1;IFNG;VCAM1;MAP2K7;RAC1;MAP3K7;ARHGEF2;IKBKG;MEF2C;IL1R1;MEF2A;MAPK14;RELA;SDC4;HSP90AB1;HMOX1;GSTA5;PRKAA1;MGST1;ACTB;HSP90B1;PLAT;SDC1;CTNNB1;ASS1;GSTM3;AKT3;ACVR2A;MAP2K5;AKT2;MAP2K4;IL1B;SDC2;IKBKB;PRKCZ;HSP90AA1;PIK3CA;RHOA;ACTG1;GSTT1;SQSTM1;MAP3K5;GPC1;PRKAA2;CALM1;PIK3R1;MAPK8;GSTM4;AKT1;MAPK9;CHUK;CTSL;MAP2K6;CALM3;CAV3;NQO1
5,prerank,Toll-like receptor signaling pathway,0.338881682731819,2.29326350064557,0.0,0.0027219071631608147,0.015,88/98,59.23%,JUN;CXCL8;IFNA8;IFNAR1;MAPK3;STAT1;TLR4;TLR7;FADD;PIK3CD;IRAK1;MAP2K3;IRAK4;IFNA4;TBK1;FOS;IFNA21;CCL3;NFKBIA;MAP3K8;NFKB1;MAP2K7;RAC1;MAP3K7;CXCL10;CCL5;IKBKG;IFNA2;IFNA14;TAB2;SPP1;MAPK14;RELA;TICAM2;CCL4;TLR8;IFNA7;IFNB1;AKT3;TLR2;CD86;AKT2;CTSK;MAP2K4;IL1B;IKBKB;TLR9;TLR3;PIK3CA;CXCL9;TLR5;IL12A;PIK3R1;MAPK8;AKT1;MAPK9;MAPK1;CHUK;IRF5;TIRAP;MAP2K6;CD40;CCL3L3;IFNA16;CD14;TICAM1;IL12B;IFNA5;CXCL11;IKBKE;TOLLIP;CD80;IL6;MAP2K1;PIK3R2;MYD88;IFNA17;LBP;MAPK12;PIK3CB;CASP8;CCL4L2;IFNA1;IFNAR2;IFNA10;MAPK13;IRF7;TLR6
6,prerank,Epstein-Barr virus infection,0.3082183100637031,2.2760607668317077,0.0,0.0024788797378785987,0.016,130/174,50.77%,CCNA2;JUN;JAK1;HLA-DOB;IFNA8;HLA-DPB1;TAP1;IFNAR1;JAK3;ICAM1;ENTPD3;STAT1;SIN3A;BLNK;TP53;HDAC1;HLA-DRB5;FADD;PIK3CD;SAP30;IRAK1;GADD45B;CASP3;MAP2K3;IRAK4;TRADD;CCNA1;APAF1;IFNA4;BCL2;B2M;MDM2;TBK1;IFNA21;CCNE1;CD19;HLA-DMB;CCND3;EIF2AK2;NFKBIA;HLA-DOA;TAP2;NFKB1;RB1;MAP2K7;USP7;RAC1;MAP3K7;CD58;CR2;OAS1;TNFAIP3;MAP3K14;CXCL10;CCND1;IKBKG;STAT3;HLA-DQA2;IFNA2;IFNA14;BAK1;CALR;TAB2;TYK2;OAS3;MAPK14;HES1;RELA;OAS2;IFNA7;HLA-DRA;CDK2;IFNB1;NFKBIB;HLA-DRB3;AKT3;TLR2;AKT2;CYCS;MAP2K4;BID;VIM;IKBKB;HLA-DQA1;RUNX3;PIK3CA;ENTPD1;CASP9;BAX;STAT2;CDKN1A;PSMD4;DDX58;NFKBIE;PIK3R1;MAPK8;AKT1;SYK;PLCG2;MAPK9;HLA-DQB1;CHUK;CD247;CDK6;HDAC2;MAP2K6;ITGAL;CD40;NFKB2;IFNA16;BTK;SKP2;IFNA5;CDKN1B;PSMD2;IKBKE;HLA-A;CD3D;TRAF2;CD3E;IL6;TRAF5;FCER2;DDB2;PIK3R2;CCND2;HLA-DPA1;MYD88;CD3G;IFNA17
7,prerank,Th1 and Th2 cell differentiation,0.3457383740098436,2.260890068939932,0.0,0.002679377363736427,0.02,61/87,43.32%,JUN;JAK1;HLA-DOB;HLA-DPB1;TBX21;NFATC1;JAK3;IL5;LCK;MAPK3;STAT1;HLA-DRB5;ZAP70;IL2;MAML2;JAK2;STAT6;FOS;IL2RA;HLA-DMB;IFNGR1;NFKBIA;HLA-DOA;IL2RB;NFKB1;DLL4;IFNG;LAT;IKBKG;HLA-DQA2;TYK2;IL13;MAPK14;NOTCH2;RELA;IL4R;NOTCH1;HLA-DRA;NFATC3;PPP3R2;STAT4;NFKBIB;HLA-DRB3;IL12RB2;IKBKB;HLA-DQA1;RUNX3;MAF;IL12A;NFKBIE;MAPK8;MAPK9;MAPK1;HLA-DQB1;CHUK;CD247;JAG1;PLCG1;IL2RG;IL12B;PPP3CA
8,prerank,Neurotrophin signaling pathway,0.3289266729778995,2.241566743303119,0.0,0.0027219071631608147,0.022,67/103,39.81%,JUN;MAPK3;TP53;PTPN11;MAPK7;PIK3CD;RPS6KA1;IRAK1;IRAK4;BCL2;GRB2;CAMK2G;RIPK2;SH2B3;NFKBIA;NFKB1;NRAS;MAP2K7;RAF1;RAC1;SOS1;NGF;RPS6KA5;BRAF;ZNF274;MAPK14;NTRK3;RELA;PDPK1;IRAK2;ATF4;CAMK2A;PRKCD;ABL1;NFKBIB;AKT3;MAP2K5;AKT2;ARHGDIA;IKBKB;SHC4;MAP3K1;PIK3CA;BAD;IRS1;RPS6KA3;SHC1;RHOA;MAGED1;BAX;GSK3B;MAP3K5;CALM1;MAPKAPK2;HRAS;NFKBIE;PIK3R1;MAPK8;AKT1;NTRK1;CAMK4;RPS6KA6;PLCG2;MAPK9;MAPK1;ARHGDIB;CALM3
9,prerank,Rheumatoid arthritis,0.3514326721690001,2.225760506395621,0.0,0.0027559310027003253,0.025,41/71,30.22%,TGFB1;JUN;HLA-DOB;CXCL8;HLA-DPB1;ICAM1;TNFSF13B;LTB;TLR4;HLA-DRB5;TNFSF11;IL18;ATP6V1C1;IL23A;FOS;CXCL1;HLA-DMB;CCL3;FLT1;HLA-DOA;CSF1;CXCL5;IFNG;TNFSF13;ITGB2;CXCL6;CCL5;HLA-DQA2;TGFB3;CCL20;TEK;HLA-DRA;CTLA4;HLA-DRB3;IL11;TLR2;IL15;CD86;CTSK;IL1B;HLA-DQA1
