,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Small cell lung cancer,0.4685646798462485,3.6019872100695207,0.0,0.0,0.0,54/79,27.07%,PIK3R1;CKS1B;PTK2;RELA;NFKB1;MAX;CDK4;TRAF1;PIK3R3;CDKN1B;FN1;BAX;ITGA2B;CCNE1;TRAF5;NFKBIA;FHIT;PIK3R2;AKT1;E2F1;CHUK;ITGA6;TP53;BCL2;CCND1;PIK3CA;RB1;RXRA;CASP3;BIRC2;CDK6;PTEN;ITGA3;LAMA3;AKT3;ITGB1;XIAP;APAF1;GADD45A;CDK2;MYC;IKBKB;BAK1;SKP2;PIK3CB;PIK3CD;GADD45B;CDKN1A;RXRG;LAMB3;IKBKG;COL4A5;CDKN2B;BCL2L1
1,prerank,MicroRNAs in cancer,0.3702574134866231,3.2509589533645507,0.0,0.0,0.0,68/129,21.97%,CDC25B;IGF2BP1;FGFR3;DDIT4;NFKB1;NOTCH2;EP300;CDKN1B;MAP2K1;ABCC1;CCNE1;PAK4;MCL1;EZH2;PIK3R2;SOCS1;DICER1;CYP24A1;EGFR;E2F1;TP53;BCL2;CCND1;PIK3CA;STAT3;CASP3;SHC1;RPTOR;CDK6;BMPR2;SHC4;PTEN;TGFB2;NOTCH1;PRKCE;MAPK7;ZEB1;ERBB3;SOS2;HDAC4;RPS6KA5;MTOR;IRS1;ERBB2;RHOA;BMF;CYP1B1;PRKCA;MET;TIMP3;FZD3;PLCG1;MYC;IKBKB;BCL2L2;BAK1;CDC25A;MMP9;ABL1;BCL2L11;BRCA1;APC;CRK;MDM4;RAF1;STMN1;CDKN1A;PIM1
2,prerank,Pancreatic cancer,0.43179762058847565,3.1519351594651854,0.0,0.0,0.0,42/71,21.50%,PIK3R1;RALGDS;RELA;NFKB1;BRAF;CDK4;PIK3R3;RAC1;MAP2K1;BAX;RAD51;PLD1;PIK3R2;AKT1;SMAD4;EGFR;E2F1;CHUK;TP53;CCND1;PIK3CA;RB1;STAT3;TGFBR2;CDK6;SMAD3;TGFB2;ARAF;MAPK9;AKT3;MTOR;ERBB2;GADD45A;CDC42;IKBKB;BAK1;PIK3CB;PIK3CD;GADD45B;RAF1;RPS6KB1;CDKN1A
3,prerank,T cell receptor signaling pathway,0.3669234292433191,2.9909260174061063,0.0,0.0,0.0,63/98,32.39%,PPP3CC;PIK3R1;RELA;MAP3K8;NFKBIB;NFKB1;CDK4;PIK3R3;MAPK14;MAP2K1;FYN;PAK4;NFKBIA;MAPK13;PIK3R2;AKT1;CHUK;PIK3CA;PAK3;PPP3CA;MALT1;MAP2K7;SOS2;IL10;MAPK9;AKT3;LCK;RHOA;IFNG;CDC42;CD247;PAK2;PLCG1;ZAP70;IKBKB;PAK1;DLG1;IL2;PIK3CB;RASGRP1;MAP3K7;PIK3CD;RAF1;CARD11;JUN;MAP3K14;CD3D;PRKCQ;GSK3B;PPP3CB;CD8B;FOS;CTLA4;IKBKG;IL5;BCL10;MAPK1;NFATC2;CBLB;NCK1;PDPK1;NFATC3;NFKBIE
4,prerank,Pathways in cancer,0.2733663083036051,2.9670267709099347,0.0,0.0,0.0,226/446,30.19%,FGFR3;PIK3R1;PLEKHG5;HEY1;CKS1B;RALGDS;PTK2;RELA;AXIN2;SHH;GNAI3;KEAP1;GNA13;NFKB1;MAX;IL15RA;CXCL12;BRAF;ADCY2;NOTCH2;EP300;CDK4;TRAF1;PIK3R3;RAC1;CDKN1B;MAP2K1;FN1;RARA;KIT;GSTO1;BAX;ITGA2B;WNT10B;IL12RB2;IL15;CCNE1;RAD51;TRAF5;IL6R;EML4;IL12RB1;NFKBIA;BMP4;PLD1;PIK3R2;LPAR6;GSTO2;AKT1;SPI1;MLH1;GLI1;GNA11;FZD1;TCF7L2;NFE2L2;WNT1;GNAS;ESR2;SMAD4;GNG8;GNA12;EGFR;E2F1;CHUK;ITGA6;TP53;BCL2;CCND1;VHL;PIK3CA;RB1;RXRA;STAT3;CASP3;IFNAR2;PTGER4;TXNRD2;CCND3;PLCB1;CUL2;BIRC2;TGFBR2;CDK6;SMAD3;FZD9;PTEN;ITGA3;HIF1A;TGFB2;NOTCH1;STAT4;ARAF;DAPK1;CAMK2G;PIM2;ARHGEF12;SOS2;EGLN1;EDNRB;IL4R;GNG4;PPARD;MAPK9;STAT6;NTRK1;TPM3;IL6ST;FGFR1;LAMA3;AKT3;CALM3;DVL2;RPS6KA5;ITGB1;MTOR;CASP7;ERBB2;XIAP;RHOA;DAPK3;APAF1;FGF1;GADD45A;GNG5;IFNG;CDK2;PRKCA;SLC2A1;MET;CDC42;FZD3;PLCG1;GNB1;MYC;IKBKB;GSTP1;FGF9;ALK;CTNNB1;GSTA5;BDKRB2;BIRC5;GNB2;NCOA3;BAK1;SMO;PGF;STAT2;MMP9;ETS1;GNB4;ABL1;BCL2L11;IL2;FOXO1;SKP2;CUL1;PIK3CB;RASGRP1;APC;PIK3CD;CRK;ESR1;DVL3;GADD45B;IFNA1;JAK3;IL7;RAF1;RPS6KB1;EGLN2;TPR;JUN;GSTM4;PPARG;DAPK2;CDKN1A;IFNA7;CXCR4;JAK2;PIM1;GSK3B;GNGT2;GNAI2;RXRG;HDAC1;CALM1;PMAIP1;VEGFA;FOS;PRKACB;LAMB3;IKBKG;NCOA1;FASLG;GSTM5;COL4A5;GNG7;ZBTB16;NFKB2;CDKN2B;FADD;CSF2RB;HSP90AB1;MITF;BCL2L1;FGFR2;IL5;SKP1;GNAI1;FLT4;BMP2;ARNT;GSTT1;AXIN1;EDNRA;IGF1R;MAPK1;CREBBP;PRKACG;IFNA16;FAS;RASGRP3;MGST1;LPAR3
5,prerank,Measles,0.3450756382096781,2.960717839617569,0.0,0.0,0.0,102/126,50.79%,PIK3R1;RELA;NFKBIB;NFKB1;CDK4;PIK3R3;CDKN1B;BAX;CCNE1;NFKBIA;TBK1;PIK3R2;AKT1;TYK2;CHUK;IRAK1;TP53;BCL2;CCND1;PIK3CA;STAT3;CASP3;IFNAR2;CCND3;CDK6;TLR9;RCHY1;TLR7;EIF2AK2;MAPK9;AKT3;IFIH1;TNFAIP3;APAF1;CDK2;IKBKB;BAK1;STAT2;IL2;PIK3CB;IFNB1;MAP3K7;PIK3CD;IFNA1;JAK3;JUN;IRF9;CD3D;ADAR;IFNA7;CD46;GSK3B;CD209;FOS;OAS1;IKBKG;FASLG;FADD;BCL2L1;FCGR2B;DDX58;IRAK4;EIF2AK3;HSPA1B;IFNA16;FAS;MX1;HSPA1A;CBLB;TRADD;IL2RG;CASP9;MYD88;EIF2AK1;IL12A;CD3G;CSNK2A2;IFNA14;IKBKE;STAT1;MAPK8;IFNA10;STAT5A;IRF3;TRAF3;TRAF6;EIF2AK4;CCND2;CASP8;TLR4;IL12B;JAK1;CSNK2B;BAD;CSNK2A1;IFNA21;BID;OAS2;IFNA4;OAS3;CD28;CYCS
6,prerank,Colorectal cancer,0.3857046564771453,2.9553598155216196,0.0,0.0,0.0,45/79,24.15%,PIK3R1;RALGDS;AXIN2;BRAF;PIK3R3;RAC1;MAP2K1;BAX;PIK3R2;AKT1;MLH1;TCF7L2;SMAD4;EGFR;TP53;BCL2;CCND1;PIK3CA;CASP3;TGFBR2;SMAD3;TGFB2;ARAF;SOS2;MAPK9;AKT3;MTOR;RHOA;GADD45A;MYC;CTNNB1;BIRC5;BAK1;BCL2L11;PIK3CB;APC;PIK3CD;GADD45B;RAF1;RPS6KB1;JUN;CDKN1A;GSK3B;PMAIP1;FOS
7,prerank,Breast cancer,0.3453860964662902,2.9077456954094827,0.0,0.0,0.0,57/112,22.11%,PIK3R1;HEY1;AXIN2;BRAF;NOTCH2;CDK4;PIK3R3;MAP2K1;KIT;BAX;WNT10B;CSNK1A1;PIK3R2;AKT1;FZD1;TCF7L2;WNT1;ESR2;EGFR;E2F1;TP53;CCND1;PIK3CA;RB1;SHC1;CDK6;SHC4;FZD9;PTEN;NOTCH1;ARAF;SOS2;FGFR1;AKT3;DVL2;MTOR;ERBB2;FGF1;GADD45A;FZD3;MYC;FGF9;CTNNB1;NCOA3;BAK1;BRCA1;PIK3CB;APC;PIK3CD;ESR1;DVL3;GADD45B;RAF1;RPS6KB1;JUN;CDKN1A;GSK3B
8,prerank,Chronic myeloid leukemia,0.39341417356747793,2.892638443896053,0.0,0.0,0.0,38/71,19.88%,PIK3R1;RELA;NFKB1;BRAF;CDK4;PIK3R3;CDKN1B;MAP2K1;BAX;NFKBIA;PIK3R2;AKT1;SMAD4;E2F1;CHUK;TP53;CCND1;PIK3CA;RB1;SHC1;TGFBR2;CDK6;SMAD3;SHC4;TGFB2;ARAF;SOS2;AKT3;GADD45A;MYC;IKBKB;BAK1;ABL1;PIK3CB;PIK3CD;CRK;GADD45B;RAF1
9,prerank,Gastric cancer,0.33549658220031225,2.851326082961108,0.0,0.0,0.0,54/114,20.11%,PIK3R1;AXIN2;SHH;BRAF;PIK3R3;CDKN1B;MAP2K1;BAX;WNT10B;CCNE1;CSNK1A1;PIK3R2;AKT1;MLH1;FZD1;TCF7L2;WNT1;SMAD4;EGFR;E2F1;TP53;BCL2;CCND1;PIK3CA;RB1;RXRA;SHC1;TGFBR2;SMAD3;SHC4;FZD9;TGFB2;ARAF;SOS2;AKT3;DVL2;MTOR;ERBB2;FGF1;GADD45A;CDK2;MET;FZD3;MYC;FGF9;CTNNB1;BAK1;PIK3CB;APC;PIK3CD;DVL3;GADD45B;RAF1;RPS6KB1
