,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Longevity regulating pathway,0.41748155198817544,2.1979889764854157,0.0,0.0010206232458037964,0.001,52/85,31.28%,AKT1;CAT;KRAS;IRS2;PRKACG;ATF4;PPARG;EIF4E;EIF4EBP1;ATG5;CAMKK2;SESN1;HDAC1;IGF1R;SIRT1;CREB3L4;PRKAA2;RELA;HRAS;STK11;FOXO1;CREB1;SOD1;TSC2;TP53;CREB3L1;PRKAB2;PRKAG1;PRKAG2;NFKB1;ATF2;PRKAG3;FOXO3;ADCY3;PRKAA1;ADCY9;AKT3;CAMK4;RPS6KB1;BAX;RPTOR;PIK3CA;HSPA1B;CREB3L2;CREB5;PRKACA;EHMT1;RHEB;HDAC2;INS;ADCY7;PRKAB1
1,prerank,AGE-RAGE signaling pathway in diabetic complications,0.3951875442991558,2.0995594210286073,0.0,0.008675297589332267,0.017,67/89,44.02%,AKT1;EDN1;PRKCA;PLCE1;KRAS;ICAM1;JUN;AGER;NFATC1;PRKCE;MAPK14;PRKCB;RELA;HRAS;VEGFA;FOXO1;CCND1;CCL2;JAK2;SMAD2;FN1;SMAD4;STAT1;EGR1;STAT3;NOX1;PLCB3;NFKB1;RAC1;MAPK12;BCL2;MAPK9;TGFBR1;SMAD3;PLCD1;AKT3;COL1A2;BAX;TGFB3;PIK3CA;MMP2;MAPK1;COL4A2;AGT;PLCG2;CDC42;PLCB4;MAPK8;PIM1;F3;VEGFC;CDKN1B;STAT5A;IL1B;MAPK3;PIK3R1;PRKCD;TNF;PRKCZ;CXCL8;TGFBR2;NRAS;COL4A4;THBD;IL6;CASP3;CDK4
2,prerank,Chronic myeloid leukemia,0.3937705551250192,1.9911191199216542,0.0,0.022793919156284786,0.062,54/71,44.80%,AKT1;GADD45B;BCR;CTBP1;MECOM;CDKN1A;KRAS;CRKL;ABL1;BRAF;HDAC1;IKBKG;RELA;HRAS;CCND1;RAF1;NFKBIA;BCL2L1;TP53;SMAD4;IKBKB;MAP2K2;NFKB1;SHC1;TGFBR1;SMAD3;DDB2;MDM2;AKT3;BAX;TGFB3;PIK3CA;MAPK1;HDAC2;RUNX1;CBL;CDKN1B;STAT5A;MAPK3;CDK6;PTPN11;ARAF;MYC;PIK3R1;CHUK;RB1;TGFBR2;NRAS;GRB2;SHC4;E2F1;CDK4;CTBP2;CDKN2A
3,prerank,Epithelial cell signaling in Helicobacter pylori infection,0.4005798768678971,1.96891572795629,0.0,0.023219178842036368,0.086,31/52,31.15%,ATP6V1D;HBEGF;EGFR;ATP6V0B;JUN;MAPK14;JAM2;IKBKG;CXCL1;RELA;PAK1;NFKBIA;LYN;CSK;CXCR2;IKBKB;ATP6V1F;NFKB1;RAC1;MAPK12;MAPK9;MAP3K14;ADAM10;MET;F11R;NOD1;ATP6V1C1;PLCG2;CDC42;TCIRG1;MAPK8
4,prerank,Sphingolipid signaling pathway,0.36639265675567184,1.9657571963015494,0.0,0.019595966319432886,0.091,51/101,26.24%,AKT1;ASAH1;PRKCA;KRAS;PPP2R5B;PPP2R3C;GNAI2;FYN;CERS2;BID;PRKCE;MAPK14;PRKCB;CTSD;ROCK1;RELA;HRAS;RAF1;SPTLC1;FCER1A;TP53;KNG1;PDPK1;PPP2R5E;GNA13;PPP2R1A;PLCB3;ABCC1;MAP2K2;PPP2R2C;GNAI3;NFKB1;RAC1;MAPK12;CERS6;BCL2;MAPK9;PPP2R3A;BDKRB2;MAP3K5;AKT3;PTEN;RHOA;BAX;PPP2R5A;PIK3CA;PPP2R5C;RAC3;ROCK2;MAPK1;SMPD1
5,prerank,FoxO signaling pathway,0.35399500622487723,1.958983420847099,0.0,0.017350595178664538,0.097,56/119,24.30%,AKT1;STK4;GADD45B;CAT;EGFR;CDKN1A;KRAS;IRS2;KLF2;SKP2;CSNK1E;BRAF;MAPK14;IGF1R;SIRT1;PRKAA2;HRAS;STK11;FOXO1;CCND1;RAF1;ATG12;SMAD2;SMAD4;PRKAB2;PRMT1;STAT3;PDPK1;CDKN2B;USP7;PRKAG1;IKBKB;PRKAG2;MAP2K2;PRKAG3;MAPK12;FOXO3;EP300;MAPK9;RAG2;CDK2;BCL6;TGFBR1;SMAD3;PRKAA1;MDM2;AKT3;PTEN;PLK4;SETD7;IL7R;TGFB3;PIK3CA;FOXO4;PLK1;SGK2
6,prerank,Fluid shear stress and atherosclerosis,0.3542299581629209,1.951639126160917,0.0,0.01676738189534808,0.107,78/122,40.03%,AKT1;TRPV4;EDN1;BMPR1B;CYBA;MAP2K5;ARHGEF2;ACTG1;KLF2;ICAM1;JUN;MAPK14;IKBKG;PRKAA2;RELA;FOS;HSP90AB1;NQO1;VEGFA;CCL2;TP53;GSTT1;GSTO1;TXN;NCF2;ACTB;NOX1;CAV3;IKBKB;KEAP1;PTK2;NFKB1;RAC1;MAPK12;GSTM4;BCL2;PLAT;MAPK9;SQSTM1;GSTP1;DUSP1;CTSL;PRKAA1;MAP3K5;AKT3;MAPK7;CAV1;RHOA;ACVR2A;IL1R1;PIK3CA;MMP2;RAC3;MAP3K7;BMPR1A;HSP90B1;CALM3;MAPK8;CTNNB1;GSTM3;MEF2C;ACVR2B;NCF1;ITGAV;IL1B;ASS1;MEF2A;ITGB3;SDC4;NFE2L2;PIK3R1;IFNG;HMOX1;MAP2K6;CHUK;TNF;PRKCZ;GSTM1
7,prerank,Mitophagy,0.41828954569394566,1.9512954210826412,0.001017293997965412,0.014671459158429571,0.107,22/43,23.48%,TBK1;TBC1D15;KRAS;FIS1;ATF4;JUN;ATG5;BECN1;RELA;HRAS;HIF1A;BCL2L1;TP53;EIF2AK3;PINK1;CSNK2B;FOXO3;MAPK9;SQSTM1;UBB;USP15;CSNK2A1
8,prerank,Oxytocin signaling pathway,0.34344356443747726,1.9132021864707518,0.0,0.019845452001740486,0.159,58/123,26.37%,MYL6;PRKCA;MAP2K5;EGFR;CDKN1A;ACTG1;KRAS;PRKACG;JUN;GNAI2;CACNA1C;ITPR3;NFATC1;CAMKK2;RYR3;PRKCB;ROCK1;CACNG1;PRKAA2;FOS;HRAS;MYL6B;MYLK2;OXTR;CCND1;RAF1;CAMK1;PRKAB2;RGS2;ACTB;PRKAG1;RYR1;PLCB3;EEF2K;KCNJ4;PRKAG2;MAP2K2;GNAI3;PRKAG3;PIK3R6;ADCY3;CAMK2G;CACNB4;PRKAA1;MYL9;ADCY9;PIK3CG;CAMK4;CACNA1D;MAPK7;RHOA;PPP1CA;CACNB2;PLA2G4A;ROCK2;MAPK1;GNAS;PRKACA
9,prerank,Adherens junction,0.38861934911742246,1.9107114629349422,0.0,0.018167093775307574,0.162,31/58,26.30%,EGFR;ACTG1;FYN;ERBB2;PTPN6;IGF1R;CTNND1;PTPRJ;IQGAP1;SNAI1;SMAD2;SMAD4;SNAI2;FER;ACTB;CSNK2B;RAC1;EP300;TCF7L2;TGFBR1;PTPN1;SMAD3;AFDN;MET;RHOA;NECTIN3;WASF3;CSNK2A1;RAC3;MAPK1;MAP3K7
