,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Mitophagy,0.5017975463550346,2.223152889837368,0.0,0.0010144709129870655,0.001,31/43,33.29%,TFE3;TP53;USP15;TBK1;HIF1A;PINK1;CSNK2B;SQSTM1;ATF4;OPTN;MAPK9;CSNK2A1;GABARAPL1;ULK1;CSNK2A2;SRC;HRAS;JUN;BECN1;FIS1;MITF;BCL2L13;ATG5;BCL2L1;MAPK8;TBC1D15;RELA;E2F1;UBB;KRAS;BNIP3L
1,prerank,Pancreatic cancer,0.4098272962601678,1.9711516085993672,0.0,0.0278979501071443,0.051,45/71,32.82%,RAC1;PIK3CB;PIK3CD;CCND1;TP53;NFKB1;CDC42;STAT1;PLD1;SMAD2;STAT3;MAP2K1;SMAD3;CASP9;BRCA2;AKT1;CDK4;GADD45B;ERBB2;MAPK9;SMAD4;BAD;AKT3;EGFR;PIK3R1;CDK6;RAF1;RALBP1;RALB;MAPK3;ARHGEF6;MAPK1;CDKN1A;TGFBR2;BCL2L1;MAPK8;RB1;TGFBR1;PIK3CA;RELA;E2F1;RPS6KB1;DDB2;GADD45A;KRAS
2,prerank,Prolactin signaling pathway,0.4084292156305541,1.9581740426800216,0.0,0.021303889172728376,0.058,47/64,41.64%,PIK3CB;PIK3CD;CCND1;SOCS2;NFKB1;STAT1;STAT3;MAP2K1;SOCS4;AKT1;SHC1;CCND2;JAK2;MAPK9;PRLR;AKT3;SRC;PIK3R1;GALT;RAF1;HRAS;TH;SHC4;MAPK3;SOS1;MAPK1;GRB2;SOCS5;FOS;ESR2;MAPK8;SLC2A2;MAPK11;PIK3CA;RELA;STAT5A;SOS2;PRL;KRAS;TNFRSF11A;MAPK14;GCK;GSK3B;AKT2;IRF1;MAPK13;SOCS1
3,prerank,Neurotrophin signaling pathway,0.3816749920415793,1.941467440287335,0.0,0.020543035987988074,0.074,63/103,33.28%,PRDM4;MAGED1;RAC1;PIK3CB;PIK3CD;RHOA;TP53;NFKB1;CDC42;PDPK1;NGF;IRAK4;NTRK1;RIPK2;MAP2K1;MAP2K5;CRKL;RPS6KA5;MAPKAPK2;AKT1;SHC1;NFKBIB;ATF4;FASLG;CALM1;MAPK9;CAMK2G;BAD;AKT3;PIK3R1;PRKCD;SORT1;RAF1;IRAK2;HRAS;JUN;SHC4;MAPK3;SOS1;IRAK1;RAP1A;MAPK1;GRB2;NTRK3;CAMK4;CAMK2D;IRS1;MAPK8;CALM3;MAPK11;RPS6KA6;PIK3CA;MAP2K7;RELA;CRK;SOS2;ABL1;ARHGDIB;SH2B3;NFKBIE;KRAS;MAPK14;MAPK7
4,prerank,Gastric cancer,0.37681556782735415,1.9384246824778846,0.0,0.01684021715558529,0.075,65/114,31.65%,RXRG;CSNK1A1;PIK3CB;PIK3CD;CCND1;TP53;CSNK1A1L;CDKN2B;RARB;SMAD2;CCNE1;MAP2K1;CTNNB1;FZD4;SMAD3;CDK2;DVL2;AKT1;SHC1;DVL3;GADD45B;ERBB2;SMAD4;AKT3;EGFR;PIK3R1;CTNNA1;CDH1;APC;RAF1;HRAS;DVL1;SHC4;MAPK3;SOS1;RXRA;FGF9;ABCB1;WNT9B;MET;MAPK1;GRB2;CDKN1A;TGFBR2;FZD10;FZD1;WNT7B;LRP6;CDX2;LEF1;REG4;AXIN2;RB1;TGFBR1;PIK3CA;AXIN1;FZD5;WNT1;E2F1;FZD9;SOS2;RPS6KB1;CCNE2;DDB2;GADD45A
5,prerank,Cysteine and methionine metabolism,0.4413920813907588,1.9287641690586175,0.00101010101010101,0.015386142180303828,0.083,22/40,20.97%,MAT1A;LDHAL6B;LDHB;MDH2;DNMT3A;GCLM;SMS;KYAT3;GOT2;BCAT1;MTAP;SDS;MAT2A;AMD1;CDO1;ADI1;MAT2B;MTR;ENOPH1;CTH;TST;MDH1
6,prerank,Shigellosis,0.4215968460903835,1.91569856631862,0.0,0.014202592781818915,0.09,30/48,30.28%,RAC1;NFKB1;CDC42;RIPK2;NOD2;CRKL;NOD1;NFKBIB;MAPK9;ROCK2;ARPC1B;ACTB;FBXW11;SRC;PFN2;MAPK3;MAPK1;ATG5;CTTN;ROCK1;ITGB1;MAPK8;MAPK11;ARPC5;RELA;ARPC1A;ARPC4;CRK;CD44;ABL1
7,prerank,RNA polymerase,0.5133137450806752,1.9084723205562284,0.0010718113612004287,0.013822166189448766,0.1,14/19,29.92%,POLR2D;POLR3E;POLR2H;POLR2F;POLR3K;POLR2K;POLR2I;POLR1C;POLR1B;POLR2C;POLR3C;POLR2A;POLR2E;POLR3D
8,prerank,Non-small cell lung cancer,0.3998856359671627,1.8980004958941246,0.0,0.01386443581082323,0.111,39/63,32.82%,RXRG;PIK3CB;PIK3CD;CCND1;TP53;PDPK1;RARB;STAT3;MAP2K1;JAK3;CASP9;AKT1;CDK4;GADD45B;ERBB2;BAD;AKT3;PRKCG;EGFR;PIK3R1;CDK6;ALK;RAF1;HRAS;MAPK3;SOS1;RXRA;MAPK1;GRB2;CDKN1A;RB1;PIK3CA;E2F1;STAT5A;SOS2;DDB2;GADD45A;PRKCA;KRAS
9,prerank,Insulin signaling pathway,0.37160238933060974,1.8954595520817357,0.0,0.012782333503637024,0.114,63/111,30.46%,RPTOR;PHKG2;PIK3CB;PIK3CD;PCK2;SOCS2;FASN;EIF4EBP1;PRKAR2A;PDPK1;PRKAA1;MAP2K1;PRKAB2;SOCS4;IRS2;RPS6;PRKAR2B;PTPN1;PYGL;RHEB;FBP1;PRKAG2;CRKL;AKT1;SHC1;ACACB;PRKAG1;PTPRF;CALM1;MAPK9;PRKACB;PHKG1;BAD;AKT3;PIK3R1;RAF1;HRAS;PRKCI;PPP1CC;SHC4;TSC2;MAPK3;SOS1;MAPK1;G6PC2;GRB2;IRS1;MAPK8;CALM3;TSC1;CBLB;EIF4E;HK1;PRKAA2;PIK3CA;INPPL1;GYS1;CRK;PRKCZ;SOS2;PCK1;PRKAR1A;RPS6KB1
