,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,AGE-RAGE signaling pathway in diabetic complications,0.3515914301782468,2.6340209007300532,0.0,0.0010661315104574958,0.001,68/89,45.76%,NOX1;SMAD3;NFATC1;AKT1;BCL2;MAPK12;STAT1;VEGFC;TGFB1;PIM1;STAT3;CDKN1B;RELA;TGFBR1;MAPK3;VEGFA;PLCB3;EDN1;KRAS;FOXO1;AGTR1;JUN;PLCG1;CCL2;CCND1;PRKCZ;SELE;JAK2;AKT3;SMAD4;MAPK1;CDC42;NRAS;ICAM1;IL1B;MAPK9;TGFBR2;PIK3CA;NFKB1;PRKCE;PIK3R1;EGR1;CASP3;COL1A2;PIK3CD;FN1;BAX;COL4A5;VEGFB;IL6;RAC1;MMP2;THBD;PLCD1;COL4A4;HRAS;PRKCD;PLCG2;MAPK11;AKT2;NOS3;F3;SERPINE1;MAPK13;SMAD2;PRKCB;PLCE1;CDK4
1,prerank,Prostate cancer,0.34288019297145916,2.5096337413140426,0.0,0.0010661315104574958,0.002,68/89,46.50%,IKBKG;AKT1;BCL2;CREB5;CTNNB1;EGFR;BRAF;IGF1;IGF1R;ERBB2;CDKN1B;RAF1;ERG;RELA;E2F1;CHUK;MAPK3;TP53;PTEN;ZEB1;KRAS;ARAF;RB1;FOXO1;GRB2;IL1R2;CREB3L2;HSP90AA1;CCND1;CDKN1A;GSK3B;MAP2K1;AKT3;CCNE1;TGFA;ETV5;MAPK1;PLAT;PDPK1;NRAS;FGFR2;GSTP1;CREB1;PLAU;MDM2;CREBBP;TCF7;PIK3CA;EP300;CREB3L4;NFKB1;PIK3R1;PDGFRB;SOS1;PIK3CD;PDGFRA;LEF1;FGFR1;HRAS;AKT2;TCF7L2;ATF4;NKX3-1;NFKBIA;CDK2;CREB3;MMP9;CASP9
2,prerank,Pancreatic cancer,0.3601163971478263,2.475973631835688,0.0,0.0007107543403049973,0.002,46/71,34.68%,IKBKG;SMAD3;AKT1;BRCA2;STAT1;TGFB1;BCL2L1;EGFR;BRAF;DDB2;STAT3;ERBB2;CDK6;RAF1;RELA;E2F1;TGFBR1;CHUK;MAPK3;VEGFA;TP53;KRAS;ARAF;RB1;BAK1;JAK1;CCND1;CDKN1A;MAP2K1;AKT3;TGFA;SMAD4;MAPK1;CDC42;ARHGEF6;MAPK9;TGFBR2;PIK3CA;RPS6KB1;NFKB1;PIK3R1;RAC3;PIK3CD;RALBP1;RALB;BAX
3,prerank,Hepatitis B,0.2858211053885602,2.3653701115390984,0.0,0.0034649274089868613,0.012,107/153,47.22%,IKBKG;TICAM1;MAP3K1;SMAD3;NFATC1;STAT2;AKT1;BCL2;TBK1;TLR4;CASP8;DDX58;MAPK12;APAF1;STAT1;CREB5;IFNA10;TGFB1;IFNAR1;IRAK4;BRAF;TLR2;DDB2;IKBKE;STAT3;IFNB1;RAF1;IFNA2;JAK3;RELA;E2F1;TGFBR1;CHUK;MAPK3;ATF2;TP53;IFNA4;STAT6;CYCS;KRAS;ARAF;IFIH1;TICAM2;RB1;GRB2;TAB2;TIRAP;JUN;TRAF3;MAP2K3;MAP2K4;IRAK1;CREB3L2;JAK1;CDKN1A;JAK2;CCNA2;MAP2K1;AKT3;CCNE1;NFATC3;SMAD4;MAPK1;NRAS;NFATC2;FAS;CREB1;MAPK9;FOS;MAP2K7;BID;TGFBR2;CREBBP;PIK3CA;EP300;STAT4;CREB3L4;NFKB1;PIK3R1;CASP3;SOS1;PIK3CD;BAX;IL6;IRF7;CCNA1;FADD;HRAS;IFNA14;MAPK11;AKT2;IFNA8;MAPK13;ATF4;MYC;SRC;SMAD2;PRKCB;NFKBIA;CDK2;PTK2B;CREB3;MMP9;CASP9;NFATC4;BIRC5;STAT5A
4,prerank,MAPK signaling pathway,0.2656253863586926,2.3562597072645137,0.0,0.0029851682292809886,0.013,161/233,48.07%,CACNA1S;IKBKG;GNG12;STK3;SRF;CSF1R;MAP3K1;NFATC1;AKT1;PAK1;NF1;MAPK12;CDC25B;HSPA1B;ERBB4;IL1R1;VEGFC;TGFB1;RASGRP2;MAPKAPK3;IRAK4;EGFR;BRAF;IGF1;IGF1R;GNA12;RPS6KA1;PPM1B;FLT4;ERBB2;RAF1;MAPT;RELA;PAK2;TGFBR1;CHUK;MAPK3;ATF2;PRKACB;PPP3CA;VEGFA;TP53;NTRK1;CACNG2;DUSP16;NTRK2;MAPKAPK5;PPP3R2;KRAS;STK4;MAP3K4;PGF;ARAF;CD14;FLT1;TAOK1;LAMTOR3;CACNA1I;GRB2;TAB2;JUN;ERBB3;RAP1A;DUSP2;MAP2K3;MAP2K4;DDIT3;IRAK1;DUSP7;PTPN7;CACNG1;CACNG3;DUSP4;NLK;MAPKAPK2;MAP2K1;MAP3K20;AKT3;HSPA2;NFATC3;TGFA;MAPK1;CACNA1D;CDC42;DUSP3;NRAS;TRAF2;MAP4K4;RASGRP1;CACNA1A;FAS;FGFR2;IL1B;NGF;MAP3K11;EREG;FGF1;MAPK9;FOS;MAP2K7;TGFBR2;DUSP1;MAP3K6;EPHA2;MAP3K14;STMN1;FGF2;TNFRSF1A;IL1RAP;NFKB1;RPS6KA2;PDGFRB;CASP3;RAC3;SOS1;PDGFRA;RPS6KA4;EFNA1;AREG;VEGFB;RPS6KA5;MAP3K5;KDR;RPS6KA6;RAC1;PLA2G4A;FGFR3;PRKACA;RASGRP4;RPS6KA3;FGFR1;HSPB1;ECSIT;FLNB;HRAS;PTPN5;RRAS2;MET;MAPK11;AKT2;CACNA1G;NR4A1;PPP3CC;MAPK13;ATF4;MYC;RELB;PRKCB;MKNK2;HSPA1A;MAX;CACNB1;FGFR4;CACNA2D2;DUSP9;FLT3;PPP5C;IGF2;CRK;MYD88;MAP3K13
5,prerank,Citrate cycle (TCA cycle),0.4592720106351335,2.3393712420978776,0.0,0.0033760831164487367,0.018,24/27,44.59%,CS;MDH2;SDHB;SDHD;SUCLG1;OGDH;IDH3A;SDHC;IDH2;DLAT;PDHA1;PCK2;IDH1;ACO2;DLD;FH;ACLY;PDHB;SDHA;IDH3G;MDH1;PCK1;PC;SUCLA2
6,prerank,Neurotrophin signaling pathway,0.30597470484328526,2.3367049372114392,0.0,0.0030460900298785597,0.019,76/103,48.61%,MAP3K1;AKT1;BCL2;CAMK2G;MAPK12;MATK;NFKBIE;IRAK4;BRAF;PSEN2;RPS6KA1;ABL1;ARHGDIB;RAF1;SHC1;RELA;MAPK3;TP53;NTRK1;RHOA;CAMK2A;NTRK2;KRAS;IRS1;GRB2;JUN;RAP1A;SHC4;PLCG1;IRAK1;CAMK2D;GSK3B;MAPKAPK2;SH2B3;MAP2K1;AKT3;MAPK1;CDC42;PDPK1;NRAS;NFKBIB;MAGED1;NGF;MAPK9;IRAK2;MAP2K7;PIK3CA;NTRK3;NFKB1;CALM2;ARHGDIA;PIK3R1;RPS6KA2;SOS1;PIK3CD;BAX;RIPK2;RPS6KA5;MAP3K5;RPS6KA6;RAC1;RPS6KA3;HRAS;PRKCD;PLCG2;MAPK11;AKT2;CALM3;MAPK13;ATF4;NFKBIA;ZNF274;PRDM4;FOXO3;CRK;CALM1
7,prerank,Kaposi sarcoma-associated herpesvirus infection,0.2806228489007064,2.323934451357479,0.0,0.0031983945313724875,0.023,112/159,47.76%,IKBKG;HCK;ITPR1;GNG12;TICAM1;NFATC1;STAT2;AKT1;TBK1;CASP8;MAPK12;STAT1;IFNA10;CTNNB1;HLA-A;IFNAR1;BECN1;CD86;IKBKE;STAT3;IFNB1;CDK6;GNB4;RAF1;IFNA2;HIF1A;RELA;E2F1;CHUK;MAPK3;PPP3CA;CCR5;VEGFA;TP53;IFNA4;GNG4;CYCS;PPP3R2;KRAS;RB1;PIK3R6;JUN;TRAF3;PLCG1;MAP2K4;BAK1;CXCL2;JAK1;CCND1;CDKN1A;GSK3B;JAK2;MAPKAPK2;MAP2K1;AKT3;NFATC3;MAPK1;MICB;NRAS;TRAF2;ICAM1;NFATC2;FAS;ATG3;CREB1;SYK;CXCL1;MAPK9;FOS;MAP2K7;BID;CREBBP;CCR3;PIK3CA;FGF2;EP300;TNFRSF1A;NFKB1;CALM2;PIK3R1;CASP3;PIK3CD;BAX;IL6;LYN;IRF7;ITPR3;RAC1;GNG7;PIK3C3;GNGT2;FADD;HRAS;IFNA14;PLCG2;MAPK11;AKT2;CALM3;PIK3R5;PPP3CC;IFNA8;MAPK13;MYC;SRC;UBB;NFKBIA;CDK4;CASP9;NFATC4;IFNAR2;CD200R1;GNG8
8,prerank,Glioma,0.3428559980805968,2.2985456694899065,0.0,0.0036722307582424856,0.03,46/65,41.95%,AKT1;CAMK2G;EGFR;BRAF;IGF1;IGF1R;DDB2;CDK6;RAF1;SHC1;E2F1;MAPK3;TP53;PTEN;CAMK2A;KRAS;ARAF;RB1;GRB2;SHC4;PLCG1;BAK1;CAMK2D;CCND1;CDKN1A;MAP2K1;AKT3;TGFA;MAPK1;NRAS;CAMK1;MDM2;PIK3CA;CALM2;PIK3R1;PDGFRB;SOS1;PIK3CD;PDGFRA;BAX;CAMK1D;CAMK1G;HRAS;PLCG2;AKT2;CALM3
9,prerank,Fluid shear stress and atherosclerosis,0.2886104844225019,2.2699527590496102,0.0,0.004371139192875733,0.039,82/122,43.62%,IKBKG;NOX1;CDH5;CAV1;AKT1;BCL2;MAPK12;SDC1;IL1R1;PRKAA1;CTNNB1;ASS1;NCF2;ACVR2B;NQO1;IFNG;PTK2;GSTA2;NCF1;BMPR1A;RELA;GSTA3;CHUK;VEGFA;TP53;BMPR2;GSTO2;RHOA;EDN1;ACTB;JUN;MAP2K4;GSTM1;IL1R2;CCL2;MEF2A;HSP90AA1;PRKCZ;SELE;AKT3;GPC1;GSTM5;PLAT;BMPR1B;ICAM1;IL1B;GSTP1;MAPK9;FOS;MAP2K7;DUSP1;PRKAA2;PIK3CA;TNFRSF1A;ARHGEF2;NFKB1;CALM2;PIK3R1;ACVR1;GSTO1;RAC3;PIK3CD;GSTA1;MAP3K5;KDR;RAC1;CAV2;KLF2;MMP2;CTSL;THBD;SDC2;HMOX1;MAPK11;AKT2;CALM3;ITGB3;NOS3;NFE2L2;MAPK13;TRPV4;SRC
