,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Central carbon metabolism in cancer,0.41608715420721987,2.275954060334526,0.0,0.00821938279907345,0.008,37/60,27.30%,EGFR;HIF1A;SLC2A2;HK3;SLC2A1;HRAS;PDK1;IDH1;AKT3;PTEN;FGFR3;SIRT3;HK1;RET;LDHA;AKT1;FGFR2;TP53;PDGFRB;PIK3CA;PIK3CD;MAP2K1;PIK3CB;PDHA1;FGFR1;PDGFRA;MET;G6PD;PDHB;SLC7A5;ERBB2;PFKM;SLC1A5;PFKL;MAPK3;RAF1;MAPK1
1,prerank,Relaxin signaling pathway,0.3698314127151525,2.254034726497643,0.0,0.004623402824478816,0.009,65/103,34.52%,GNAI1;PRKACB;EDNRB;ACTA2;EGFR;MAPK12;ADCY2;MAPK13;PRKACG;GNA15;MMP1;ADCY3;HRAS;VEGFB;EDN1;SMAD3;ADCY9;AKT3;FOS;RELA;SHC1;MMP13;AKT1;ADCY5;SMAD2;GNG4;SHC4;CREB3L4;GNG5;TGFBR2;JUN;PIK3CA;PIK3CD;MAP2K1;PIK3CB;PRKACA;GNB5;GNG8;GNAI2;ATF4;ATF2;PRKCA;MMP2;RXFP1;PLCB1;MAPK9;VEGFC;MAPK3;RAF1;CREB3;GNG7;PLCB3;MAPK1;NFKBIA;GNGT2;COL1A2;COL4A5;GNG12;MAP2K4;PRKCZ;COL4A2;PIK3R1;TGFBR1;NRAS;VEGFA
2,prerank,Kaposi sarcoma-associated herpesvirus infection,0.34662160143444537,2.227534586948333,0.0,0.0037672171162419985,0.011,115/159,44.82%,FADD;HIF1A;CALM3;MAPK12;STAT2;PLCG2;IFNGR1;MAPK13;PPP3CA;CASP3;BECN1;IRF7;HRAS;RAC1;AKT3;IFNB1;IKBKB;STAT3;CCR3;PIK3R6;MAPKAPK2;FOS;BID;CYCS;RELA;AKT1;CDK6;GNG4;HCK;IFNA8;E2F1;IRF9;EP300;GNG5;IRF3;TP53;JUN;IFNA2;HLA-A;TLR3;CASP8;IFNA21;CDK4;PIK3CA;PIK3CD;MAP2K1;PIK3CB;IFNAR2;GNB5;GNG8;TICAM1;JAK2;NFATC4;GSK3B;UBB;CCR1;IKBKG;PIK3R5;CASP9;CD200R1;MAPK9;GABARAPL1;C3;MAPK3;RAF1;GNG7;MAPK1;FAS;NFKBIA;GNGT2;PPP3R2;ITPR3;SYK;CHUK;PPP3CB;CXCL2;NFATC3;IFNA4;CALM1;GNG12;CTNNB1;IKBKE;NFATC1;MAP2K4;BAX;CCR5;PIK3R1;IFNA10;IL6;NRAS;JAK1;VEGFA;TBK1;TNFRSF1A;CXCL3;CREB1;ITPR1;ATG3;IFNA16;CCR4;TRADD;IL6ST;MAPK11;CXCL1;LYN;NFKB1;TYK2;PIK3CG;RB1;EIF2AK2;NFATC2;KRAS;IFNA17;GNB4;ICAM1
3,prerank,Estrogen signaling pathway,0.3680295299886949,2.224464269767138,0.0,0.0030822685496525444,0.012,65/98,38.48%,GNAI1;PRKACB;EGFR;KRT12;ESR1;CALM3;ADCY2;PRKACG;ADCY3;HRAS;ADCY9;AKT3;BCL2;PGR;FOS;TGFA;GABBR1;SHC1;AKT1;ADCY5;GPER1;KRT19;SHC4;HSP90B1;HSP90AA1;NCOA1;CREB3L4;JUN;POMC;HSP90AB1;PIK3CA;PIK3CD;MAP2K1;PIK3CB;RARA;PRKACA;NCOA3;GNAI2;ATF4;ATF2;MMP2;OPRM1;HBEGF;HSPA1B;PLCB1;ESR2;HSPA1A;HSPA2;MAPK3;RAF1;CREB3;PLCB3;MAPK1;GRM1;ITPR3;CALM1;PIK3R1;NRAS;KCNJ5;CREB5;KCNJ6;ADCY6;CREB1;ITPR1;KRT25
4,prerank,Chagas disease (American trypanosomiasis),0.36601311600163383,2.2157025437706848,0.0,0.002671299409698872,0.013,68/97,41.65%,GNAI1;FADD;MAPK12;IFNGR1;MAPK13;IFNG;BDKRB2;GNA15;SMAD3;AKT3;IL1B;IFNB1;IKBKB;KNG1;CD3D;IL10;CFLAR;FOS;RELA;AKT1;SMAD2;IL2;IRAK1;C1QB;PPP2R1A;TGFBR2;JUN;CASP8;PIK3CA;PIK3CD;PIK3CB;TLR4;TICAM1;GNAI2;IRAK4;IKBKG;PPP2CB;C1QC;PLCB1;GNA11;MAPK9;TGFB3;CCL2;C3;CCL5;MAPK3;CALR;PLCB3;MAPK1;FAS;NFKBIA;CHUK;SERPINE1;PPP2R2A;CCL3;MAP2K4;PIK3R1;CD247;IL6;TGFBR1;TNFRSF1A;TLR9;IL12B;TGFB1;TRAF6;IL12A;MAPK11;NFKB1
5,prerank,Apoptosis,0.3491268094378508,2.161201134466484,0.0,0.004452165682831452,0.025,77/123,36.21%,CASP6;PARP2;DDIT3;FADD;BCL2L1;APAF1;AIFM1;CASP7;CASP3;BECN1;DFFA;HRAS;AKT3;IKBKB;BCL2;CFLAR;EIF2AK3;FOS;BID;CYCS;MAP3K14;RELA;ERN1;CASP2;BIRC2;AKT1;TUBA8;TNFRSF10A;PDPK1;ACTB;TP53;JUN;CASP8;PIK3CA;PIK3CD;MAP2K1;PIK3CB;ATF4;TUBA4A;DAXX;CSF2RB;CTSW;IKBKG;TUBA3C;CAPN1;TUBA1A;CTSL;CASP9;PARP1;MAPK9;MAP3K5;CTSH;PMAIP1;MAPK3;RAF1;CTSK;NGFR;MAPK1;FAS;NFKBIA;DFFB;BCL2L11;CASP10;ITPR3;CHUK;ATM;DIABLO;LMNB2;BAX;PIK3R1;MCL1;NRAS;BIRC7;SPTA1;TNFRSF1A;HRK;ACTG1
6,prerank,Measles,0.34384738512263985,2.1411484855797935,0.0,0.00440324078521792,0.029,92/126,45.77%,CLEC4M;FADD;JAK3;BCL2L1;STAT2;APAF1;CASP3;CCND2;CSNK2A2;IRF7;AKT3;IL1B;IFNB1;IKBKB;BCL2;STAT3;CD3D;TNFAIP3;EIF2AK3;FOS;BID;CYCS;RELA;CD28;AKT1;CDK6;IL2;IRAK1;IFNA8;IRF9;CBLB;IRF3;IFIH1;TP53;JUN;IFNA2;CASP8;IFNA21;CDK4;PIK3CA;PIK3CD;PIK3CB;TLR4;MX1;IFNAR2;CCND3;TLR7;IRAK4;GSK3B;CSNK2B;IKBKG;CD46;HSPA1B;OAS1;CASP9;HSPA1A;MAPK9;DDX58;HSPA2;TAB2;EIF2AK1;EIF2AK4;FAS;NFKBIA;CHUK;NFKBIB;IFNA4;IKBKE;BAX;PIK3R1;RCHY1;IFNA10;IL6;JAK1;TBK1;TLR9;IL12B;CCNE1;IFNA16;TRADD;TRAF6;IL12A;NFKB1;TYK2;EIF2AK2;FCGR2B;IL2RG;IFNA17;SLAMF1;TLR2;MYD88;CDK2
7,prerank,Longevity regulating pathway,0.35765820548995425,2.1100839668657483,0.0,0.0056508256743629985,0.043,45/85,25.98%,PRKACB;RPTOR;ADCY2;IGF1R;SOD1;PRKACG;ADCY3;HRAS;ATG5;EHMT2;ADCY9;AKT3;PRKAB1;EHMT1;RELA;RPS6KB1;PRKAA1;IRS1;PPARG;STK11;AKT1;CAT;ADCY5;PRKAA2;FOXA2;CREB3L4;TP53;PIK3CA;PIK3CD;PIK3CB;PRKAG1;PRKACA;ATF4;ATF2;EIF4EBP1;RHEB;EIF4E;IRS2;HSPA1B;EIF4EBP2;SIRT1;PRKAG2;HSPA1A;HSPA2;CREB3
8,prerank,Proteasome,0.4863008020389044,2.0956821643440904,0.0,0.005479588532715634,0.047,18/23,39.66%,PSMA3;IFNG;PSMB2;PSMB7;PSMA1;PSME1;PSMA8;PSMD2;PSMB10;PSMB8;PSMB1;PSMD4;PSME2;PSMC5;PSMA5;PSMB5;PSMB9;PSMD1
9,prerank,Glioma,0.36996560389669547,2.0803637150038847,0.0,0.00554808338937458,0.053,41/65,34.77%,EGFR;CALM3;PLCG2;IGF1R;HRAS;AKT3;PTEN;CAMK2D;CAMK2A;TGFA;SHC1;CAMK1D;MDM2;AKT1;CDK6;SHC4;E2F1;ARAF;BRAF;TP53;PDGFRB;CDK4;PIK3CA;PIK3CD;MAP2K1;PIK3CB;PDGFRA;CDKN2A;PRKCA;CAMK2G;CAMK1G;MAPK3;RAF1;CAMK1;MAPK1;DDB2;CALM1;BAX;PIK3R1;NRAS;PRKCG
10,prerank,TNF signaling pathway,0.342621134470633,2.0779109936637203,0.0,0.005230516326683105,0.055,71/104,41.65%,FADD;JUNB;MAPK12;CEBPB;MAPK13;CASP7;CASP3;BCL3;EDN1;AKT3;IL1B;IFNB1;IKBKB;CFLAR;TNFAIP3;RPS6KA4;FOS;MAP3K14;RELA;BIRC2;IL15;AKT1;CXCL5;MMP14;TNFRSF1B;CREB3L4;MAP2K3;JUN;CASP8;PIK3CA;PIK3CD;MAP2K1;PIK3CB;ATF4;ATF2;TRAF5;IRF1;IKBKG;MAPK9;CCL2;MAP3K5;VEGFC;CCL5;MAPK3;CREB3;TAB2;MAPK1;FAS;NFKBIA;CASP10;CXCL10;CHUK;CXCL2;LIF;CCL20;MAP2K4;VCAM1;PIK3R1;IL6;CREB5;MAP3K8;TNFRSF1A;CXCL3;NOD2;CREB1;DNM1L;TRADD;JAG1;MAPK11;CXCL1;NFKB1
11,prerank,Pancreatic cancer,0.36608351922688787,2.0554715422671634,0.0,0.006078918528481406,0.068,45/71,34.52%,BCL2L1;EGFR;CDC42;RAC3;RAC1;SMAD3;AKT3;IKBKB;STAT3;TGFA;RELA;RPS6KB1;AKT1;CDK6;SMAD2;E2F1;TGFBR2;ARAF;BRAF;TP53;CDK4;PIK3CA;PIK3CD;MAP2K1;PIK3CB;CDKN2A;RALB;PLD1;SMAD4;IKBKG;ERBB2;CASP9;MAPK9;TGFB3;MAPK3;RAF1;MAPK1;DDB2;CHUK;BAX;PIK3R1;RALA;TGFBR1;JAK1;VEGFA
