,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Fatty acid degradation,0.5118431648567412,2.05839414454471,0.0,0.019202109156154452,0.019,27/34,37.06%,ADH5;HADH;CPT1B;ACAT2;ACAT1;HADHA;ACSL1;ACOX1;GCDH;ADH1B;ALDH9A1;ADH6;ALDH7A1;ACADM;CPT2;EHHADH;CPT1A;ADH1C;ALDH3A2;HADHB;ECI1;ACSL3;ACSL4;CYP4A11;ACSL6;ACAA2;ACADSB
1,prerank,Th17 cell differentiation,0.4132011855145172,1.9365992221854091,0.0,0.02223402112817884,0.042,59/107,27.28%,JUN;IL4R;JAK1;MAPK3;NFKBIB;STAT3;IRF4;TGFBR1;HSP90AB1;HLA-DRB5;IKBKG;IL23A;LCK;NFATC3;IL1RAP;NFATC1;HIF1A;HLA-DOA;GATA3;MAPK14;IKBKB;HLA-DOB;CD3G;STAT6;MAPK9;IFNG;FOXP3;IL2;HLA-DPB1;IFNGR1;IL6ST;LAT;SMAD2;TGFBR2;HSP90AA1;SMAD3;HLA-DMB;IL6R;TGFB1;NFKB1;JAK3;NFKBIE;MAPK12;JAK2;IL1B;SMAD4;AHR;IL1R1;STAT5A;HLA-DRB3;TBX21;IL17D;MTOR;PPP3R2;IL21R;RXRG;NFKBIA;HLA-DPA1;STAT1
2,prerank,"Parathyroid hormone synthesis, secretion and action",0.41924093820664954,1.9169365729624979,0.0,0.02223402112817884,0.061,63/85,45.53%,MAPK3;RAF1;ADCY7;MEF2C;AKAP13;PTHLH;CREB3L2;BCL2;GNAI2;ADCY5;EGFR;GNAI3;GNAS;ATF4;PRKACG;GATA3;CREB5;PDE4B;ADCY3;TNFSF11;ADCY9;PRKACA;MMP17;ITPR1;RHOA;MAP2K1;MMP15;CREB3;TRPV5;ARRB1;PLD2;FGFR1;MMP13;VDR;ADCY6;ARHGEF11;RXRG;PRKACB;PDE4D;LRP6;ADCY2;CREB1;RUNX2;RXRA;PDE4A;CASR;ATF2;MEF2D;FOS;BRAF;EGR1;ITPR3;PDE4C;CREB3L4;PLCB1;CYP24A1;PLCB3;PRKCA;PRKCB;MEF2A;GNA13;CYP27B1;JUND
3,prerank,Cholinergic synapse,0.40869802904568936,1.9092674631534994,0.0,0.01793881250114429,0.066,70/95,43.58%,PIK3R6;MAPK3;FYN;ADCY7;AKT1;CREB3L2;HRAS;BCL2;GNAI2;ADCY5;CHRM5;GNAI3;CACNA1C;ATF4;PRKACG;CHRNA6;CREB5;GNG12;ADCY3;CACNA1S;ADCY9;PRKACA;CAMK2A;KCNQ5;ITPR1;MAP2K1;CREB3;CHAT;PIK3R1;JAK2;PIK3CD;CACNA1D;PIK3CB;KCNJ4;NRAS;ADCY6;KCNQ3;CACNA1F;KCNJ14;PRKACB;PIK3R3;GNG7;CHRNA3;ADCY2;CAMK2G;GNG4;CREB1;KCNQ1;GNGT2;GNG5;AKT3;GNG11;CAMK2D;PIK3CA;KRAS;FOS;ACHE;CHRM1;ITPR3;GNB4;CREB3L4;CACNA1A;PLCB1;KCNJ6;GNB5;PLCB3;CHRM2;PIK3CG;PRKCA;PRKCB
4,prerank,Regulation of lipolysis in adipocytes,0.4579746935693463,1.9090743635718381,0.0010050251256281408,0.014351050000915432,0.066,29/43,33.44%,ADRB3;ADCY7;AKT1;IRS1;FABP4;MGLL;GNAI2;ADCY5;GNAI3;GNAS;PRKACG;ADCY3;PRKG2;ADCY9;PRKACA;TSHR;PTGER3;PDE3B;PIK3R1;PIK3CD;PIK3CB;IRS2;ADRB2;ADCY6;PRKACB;PIK3R3;ADCY2;AKT3;PIK3CA
5,prerank,Influenza A,0.39412578906277856,1.8998664283348408,0.0,0.013980482982112453,0.077,91/145,34.71%,JUN;EIF2AK1;JAK1;TLR4;MAPK3;RAF1;NFKBIB;HLA-DRB5;AKT1;IFNA2;TICAM1;OAS1;HSPA8;CREBBP;IFNB1;HLA-DOA;ICAM1;FAS;PLG;MAPK14;TBK1;IKBKB;ACTB;HLA-DOB;ADAR;CXCL8;FDPS;TLR7;NXF1;TNFRSF10A;MAPK9;IFNG;HLA-DPB1;IFNGR1;PRSS3;CCL5;IL33;CASP9;IKBKE;IFNAR1;HLA-DMB;MAP2K1;MAP2K4;NFKB1;OAS3;PIK3R1;HSPA2;MAPK12;JAK2;PIK3CD;IL1B;HSPA1A;PIK3CB;IRAK4;EIF2AK2;MAP2K3;HLA-DRB3;HSPA1B;NFKBIA;IFNA14;HLA-DPA1;STAT1;PIK3R3;GSK3B;MYD88;EIF2AK4;MAPK13;IFIH1;IFNA10;TNFRSF1A;ACTG1;PRSS1;FURIN;MX1;IFNA8;PYCARD;IFNA4;PRSS2;AKT3;CYCS;CIITA;RSAD2;MAP2K7;DNAJB1;PIK3CA;HLA-DRA;MAPK8;STAT2;EIF2AK3;ATF2;IRF7
6,prerank,Relaxin signaling pathway,0.4087602887313705,1.897638949476626,0.0,0.012127647888097547,0.078,83/102,49.11%,JUN;MAPK3;RAF1;ADCY7;TGFBR1;AKT1;CREB3L2;HRAS;SOS1;VEGFC;GNAI2;EDN1;ADCY5;VEGFA;SOS2;EGFR;GNAI3;GRB2;GNAS;ATF4;PRKACG;CREB5;MAPK14;GNG12;ADCY3;ADCY9;PRKACA;MAPK9;SMAD2;TGFBR2;SMAD3;MAP2K1;CREB3;TGFB1;MAP2K4;NFKB1;SHC1;PIK3R1;MAPK12;PIK3CD;PIK3CB;ARRB1;MMP13;NRAS;ADCY6;NFKBIA;PRKACB;PIK3R3;GNG7;MAPK13;GNA15;ADCY2;COL1A2;GNG4;CREB1;GNGT2;GNG5;AKT3;GNG11;MAP2K7;PIK3CA;KRAS;MAPK8;ATF2;FOS;EDNRB;COL4A4;GNB4;CREB3L4;PLCB1;GNB5;PLCB3;COL4A2;VEGFB;PRKCA;COL4A5;AKT2;ACTA2;GNAI1;MAPK11;NOS2;RXFP1;PRKCZ
7,prerank,Viral myocarditis,0.4448458398501617,1.8844052574654528,0.0,0.0117486588915945,0.086,31/45,37.74%,CD55;CXADR;CAV1;FYN;EIF4G1;HLA-DRB5;CASP8;ITGAL;HLA-DOA;ICAM1;SGCB;ACTB;HLA-DOB;ITGB2;ABL1;HLA-DPB1;CASP9;HLA-DMB;RAC1;HLA-A;DMD;CD40;HLA-DRB3;HLA-DPA1;ACTG1;CASP3;DAG1;CYCS;HLA-DRA;CD86;HLA-DQB1
8,prerank,Human T-cell leukemia virus 1 infection,0.38183450636602906,1.8805860548376712,0.0,0.010892424492087613,0.09,120/189,39.59%,IL15RA;B2M;JUN;JAK1;MAPK3;SRF;SLC25A4;ADCY7;TGFBR1;BUB1B;HLA-DRB5;AKT1;CREB3L2;IKBKG;LCK;HRAS;ITGAL;TP53;TSPO;NFATC3;SLC2A1;NFATC1;ADCY5;CREBBP;HLA-DOA;ICAM1;CCNA2;ATF4;PRKACG;SLC25A5;CREB5;IKBKB;HLA-DOB;MAP3K14;ADCY3;ITGB2;CD3G;FDPS;ADCY9;PRKACA;MAPK9;E2F1;IL2;CDC20;HLA-DPB1;MYC;SMAD2;CCNB2;IL1R2;TGFBR2;FOSL1;SMAD3;HLA-DMB;MAP2K1;CHEK1;CREB3;TGFB1;MAP2K4;NFKB1;JAK3;ETS2;BCL2L1;PIK3R1;HLA-A;PIK3CD;ETS1;SMAD4;PIK3CB;TGFB3;CD40;PTTG1;MAP3K1;IL1R1;STAT5A;CCNA1;CANX;NRAS;HLA-DRB3;CCND3;ADCY6;CCND2;PPP3R2;CRTC3;LTBR;NFKBIA;RB1;PRKACB;HLA-DPA1;PIK3R3;BUB3;TNFRSF1A;ADCY2;IL15;POLB;NFKB2;NRP1;PPP3CA;CREB1;AKT3;ZFP36;CHEK2;PIK3CA;KRAS;HLA-DRA;MAPK8;ATF2;FOS;SLC25A6;EGR1;NFYB;HLA-DQB1;KAT2A;KAT2B;CDK2;CCNE1;PPP3CC;CREB3L4;ATM;IL2RA;KAT5
9,prerank,Gastric acid secretion,0.42367645804155085,1.8780069464104283,0.0,0.010409564437283728,0.094,48/62,47.54%,ADCY7;KCNK2;GNAI2;ADCY5;GNAI3;GNAS;PRKACG;CCKBR;ACTB;KCNJ10;ADCY3;ADCY9;PRKACA;ATP1A4;CAMK2A;MYLK4;ITPR1;CFTR;HRH2;SST;ATP4A;ATP1B1;ADCY6;KCNK10;MYLK2;PRKACB;ATP1B2;SLC9A4;ADCY2;CAMK2G;KCNQ1;CALM1;CAMK2D;KCNE2;ATP1A1;SLC9A1;ITPR3;ATP1A3;PLCB1;CALM2;GAST;PLCB3;PRKCA;PRKCB;MYLK3;CALM3;GNAI1;KCNJ15
