,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pancreatic cancer,0.4285846690232177,2.700008039613101,0.0,0.0,0.0,47/71,29.70%,RB1;NFKB1;AKT3;CDC42;TP53;EGFR;RELA;IKBKG;RALGDS;BCL2L1;RPS6KB2;SMAD4;MAP2K1;AKT1;PIK3R2;BRCA2;MAPK9;RAC3;TGFBR2;BRAF;GADD45B;TGFB2;CDK4;MAPK8;DDB2;CDKN1A;VEGFA;RAD51;CHUK;IKBKB;SMAD3;E2F1;MTOR;CCND1;ARHGEF6;RALB;CASP9;ERBB2;STAT1;PIK3CD;PIK3CA;KRAS;RAC1;RALBP1;BAX;TGFBR1;RAF1
1,prerank,Epithelial cell signaling in Helicobacter pylori infection,0.4075476086273205,2.4058240116840106,0.0,0.002618479035028584,0.005,43/52,47.06%,NFKB1;NFKBIA;CDC42;CXCR2;ATP6V1D;MAPK13;EGFR;RELA;MAP2K4;CXCR1;IKBKG;MET;LYN;MAPK9;PAK1;MAPK8;CXCL1;ADAM17;JUN;TCIRG1;CHUK;IKBKB;TJP1;MAPK12;MAPK14;CASP3;CSK;CXCL8;ATP6V1A;RAC1;MAPK11;ATP6AP1;PLCG2;ADAM10;ATP6V0B;JAM3;ATP6V1F;NOD1;CCL5;IGSF5;ATP6V0A1;SRC;PLCG1
2,prerank,Proteoglycans in cancer,0.322865225562784,2.386067623669482,0.0,0.0017456526900190559,0.005,93/164,31.45%,PLAUR;GPC1;AKT3;PTPN6;CDC42;TP53;RPS6;MAPK13;EGFR;IGF1R;IGF2;TWIST1;ITPR1;SLC9A1;DROSHA;FAS;CTTN;PRKCA;ACTG1;TLR4;PRKACA;FLNB;PDPK1;WNT9B;TFAP4;FZD7;CAMK2G;RPS6KB2;TLR2;MAP2K1;MET;AKT1;ESR1;PIK3R2;PRKACB;TIAM1;PPP1CA;FGFR1;FZD10;PAK1;PLAU;BRAF;TWIST2;TGFB2;ERBB3;ITGB1;SDC4;HIF1A;CTSL;CDKN1A;VEGFA;WNT9A;WNT7A;MMP2;CAV3;ITPR3;SOS2;MDM2;TIMP3;MTOR;CCND1;ITGB5;FZD4;ARHGEF12;WNT7B;FN1;MAPK12;ERBB2;MAPK14;FZD1;PIK3CD;CASP3;PTK2;CTNNB1;GRB2;PIK3CA;SDC1;WNT5A;PPP1CC;ITGA2;FZD9;KRAS;RAC1;ACTB;CAV2;MAPK11;RHOA;RAF1;ROCK2;PRKCB;CD44;ERBB4;EIF4B
3,prerank,B cell receptor signaling pathway,0.3818454277269721,2.3786221428120835,0.0,0.001309239517514292,0.005,48/68,37.69%,NFKB1;NFKBIA;AKT3;PTPN6;IFITM1;CD81;RELA;NFATC3;IKBKG;BTK;MAP2K1;LYN;AKT1;PIK3R2;RAC3;PPP3CA;JUN;GSK3B;NFATC1;CHUK;SOS2;IKBKB;INPPL1;PIK3CD;FOS;MALT1;NFKBIB;GRB2;PIK3CA;PPP3R2;KRAS;RAC1;BCL10;RAF1;PRKCB;CD79A;CD19;BLNK;NRAS;PLCG2;SYK;INPP5D;AKT2;CD79B;MAPK3;PIK3AP1;PIK3CB;NFKBIE
4,prerank,Small cell lung cancer,0.3645010109622262,2.3511299353855017,0.0,0.0012568699368137206,0.006,47/79,29.33%,RB1;BIRC3;NFKB1;NFKBIA;AKT3;MAX;TP53;CKS1B;TRAF1;RELA;SKP2;IKBKG;PTEN;BCL2L1;AKT1;PIK3R2;BIRC7;GADD45B;TRAF4;CDK4;ITGB1;DDB2;ITGA6;CDKN1A;CKS2;RXRA;CHUK;IKBKB;E2F1;COL4A5;APAF1;CCND1;FN1;CASP9;TRAF3;RARB;LAMB3;PIK3CD;CASP3;PTK2;BIRC2;CDK2;PIK3CA;ITGA2;ITGA3;CCNE1;BAX
5,prerank,Fluid shear stress and atherosclerosis,0.33338794676052197,2.3434034236335934,0.0,0.0010473916140114337,0.006,100/122,53.34%,GPC1;NFKB1;AKT3;TP53;NCF2;MAPK13;RELA;MAP2K4;HSP90AA1;TNFRSF1A;CALM3;ACTG1;NFE2L2;PRKCZ;IKBKG;ACVR2B;MEF2A;NCF1;MAP3K5;AKT1;IFNG;PIK3R2;TXN;SQSTM1;MAPK9;RAC3;PLAT;EDN1;BMP4;MAPK8;SDC4;JUN;CTSL;VEGFA;MMP2;GSTO1;CAV3;CHUK;IKBKB;BMPR1B;HSP90AB1;ICAM1;PRKAA1;GSTO2;MAPK12;HSP90B1;MAPK14;PIK3CD;PTK2;CTNNB1;FOS;TRPV4;PIK3CA;SDC1;NOX1;RAC1;ACTB;CAV2;MAPK11;RHOA;HMOX1;ACVR1;BMPR2;NQO1;CALM1;KEAP1;GSTP1;AKT2;GSTM4;GSTA2;MGST2;PIK3CB;GSTM1;GSTA1;DUSP1;ACVR2A;MAP2K5;IL1R1;GSTM2;PECAM1;GSTT1;MMP9;ASS1;THBD;ARHGEF2;BMPR1A;GSTM5;PIK3R1;SRC;GSTA5;MEF2C;MAP2K7;PRKAA2;IL1B;GSTA3;TNF;CALM2;BCL2;MAP2K6;IL1R2
6,prerank,Prolactin signaling pathway,0.38191984941235513,2.340638335757423,0.0,0.0008977642405812289,0.006,53/64,50.85%,NFKB1;AKT3;CCND2;SOCS2;TNFSF11;MAPK13;RELA;JAK2;TH;SHC1;IRF1;GALT;GCK;MAP2K1;AKT1;ESR1;PIK3R2;FOXO3;MAPK9;MAPK8;GSK3B;SOS2;CISH;CCND1;MAPK12;SOCS4;STAT1;MAPK14;PIK3CD;FOS;GRB2;PIK3CA;PRL;KRAS;MAPK11;RAF1;SHC4;NRAS;AKT2;MAPK3;STAT3;PIK3CB;TNFRSF11A;SOCS1;PIK3R1;PRLR;SRC;ESR2;INS;STAT5A;HRAS;SOCS5;CGA
7,prerank,Prostate cancer,0.35033380089665295,2.318041858477599,0.0,0.001309239517514292,0.01,63/89,41.52%,RB1;NFKB1;NFKBIA;AKT3;PDGFRB;ERG;TP53;EGFR;RELA;IGF1R;HSP90AA1;INSRR;PDPK1;IKBKG;PTEN;ZEB1;CREB1;ETV5;MAP2K1;AKT1;PIK3R2;FGFR1;AR;PLAT;PLAU;BRAF;ATF4;PDGFRA;CDKN1A;GSK3B;CHUK;SOS2;IKBKB;HSP90AB1;E2F1;MDM2;MTOR;CCND1;CASP9;ERBB2;HSP90B1;PIK3CD;CREB3L4;CTNNB1;CDK2;GRB2;PIK3CA;KRAS;CCNE1;FGFR2;RAF1;NRAS;EP300;GSTP1;AKT2;FOXO1;MAPK3;TCF7L2;PIK3CB;BAD;CREBBP;ARAF;LEF1
8,prerank,Neurotrophin signaling pathway,0.34033402159809334,2.311460095960568,0.0,0.0011637684600127038,0.01,83/103,51.97%,CRK;NFKB1;NFKBIA;AKT3;CDC42;TP53;MAPK13;RELA;MAPKAPK2;SH2B3;CALM3;IRAK4;SHC1;PDPK1;CAMK2G;ABL1;MAP3K5;MAP2K1;AKT1;PIK3R2;RAP1A;FOXO3;ARHGDIB;MAPK9;NTRK1;BRAF;MAPK8;ATF4;IRS1;JUN;GSK3B;SOS2;IKBKB;MAPK12;MAPK14;PIK3CD;MATK;NFKBIB;GRB2;PIK3CA;KRAS;RAC1;MAPK11;RHOA;NGFR;BAX;RAF1;PRDM4;SHC4;MAGED1;MAP3K1;IRAK2;RPS6KA3;NRAS;PLCG2;SORT1;CALM1;RPS6KA1;CAMK2A;AKT2;MAPK3;PIK3CB;NFKBIE;BAD;PSEN2;CAMK4;MAP2K5;RIPK2;RPS6KA6;NTRK3;IRAK1;RPS6KA5;PIK3R1;PRKCD;PLCG1;CAMK2D;NGF;FRS2;HRAS;MAP2K7;ZNF274;CALM2;BCL2
9,prerank,Inositol phosphate metabolism,0.39947982233627427,2.301836159164176,0.0,0.0012568699368137206,0.012,43/49,50.54%,PIP4K2C;IMPA1;ITPK1;MTMR3;PTEN;ITPKB;INPP4B;INPP1;ITPKA;INPP5F;IMPA2;PIK3C3;INPPL1;PIK3CD;PIK3CG;PIK3CA;INPP4A;TPI1;PI4KB;INPP5A;IPMK;PIK3C2B;PIK3C2A;PLCG2;CDIPT;PLCD1;INPP5D;PIP5K1B;PIK3CB;PIK3C2G;PIP4K2B;PLCB3;PIP5K1C;PI4K2A;PLCB1;ITPKC;PI4KA;PIKFYVE;ALDH6A1;PLCG1;PIP5K1A;IPPK;SACM1L
10,prerank,Pathways in cancer,0.27724472051168564,2.2931721068014213,0.0,0.0011426090334670186,0.012,309/445,49.27%,RB1;IL15RA;CRK;BIRC3;NFKB1;GNAI2;NFKBIA;AKT3;CCND2;PDGFRB;MAX;IFNA10;CDC42;TP53;TXNRD2;IL15;ADCY9;PPARG;GNA13;CKS1B;TRAF1;GNAI1;ARNT;HES1;EGFR;DVL3;RELA;NCOA3;IGF1R;IGF2;AXIN2;FRAT1;NOTCH1;HSP90AA1;JAK2;FAS;PRKCA;DVL2;CALM3;SKP2;EPAS1;RARA;RASGRP4;GNG12;GNB5;PRKACA;NFE2L2;EGLN3;MLH1;EPO;LPAR5;WNT9B;IKBKG;SLC2A1;RALGDS;KNG1;IFNA2;FZD7;PTEN;RASGRP1;ETS1;PAX8;BCL2L1;PPARD;CAMK2G;ABL1;CCND3;LPAR6;RPS6KB2;SMAD4;MAP2K1;MET;AKT1;ESR1;IFNG;EDNRA;PIK3R2;PRKACB;IL7R;BRCA2;CEBPA;GNGT2;IL12A;FGFR1;MAPK9;AR;RAC3;STK4;BIRC7;FGFR3;FZD10;NTRK1;TGFBR2;BRAF;GADD45B;ARNT2;EDN1;TGFB2;BMP4;TRAF4;DLL4;CDK4;ITGB1;MAPK8;DDB2;APC;GNG4;GLI1;RASSF1;RASGRP2;ITGA6;DAPK1;SKP1;HIF1A;JUN;PDGFRA;TPM3;CDKN1A;VEGFA;WNT9A;ADCY6;PGF;RAD51;WNT7A;MMP2;GSK3B;CKS2;GSTO1;IL4R;NFKB2;IFNGR1;GNB4;IL6;RXRA;CHUK;STAT6;CASP7;SOS2;IKBKB;HSP90AB1;IFNA4;SMAD3;E2F1;MDM2;COL4A5;PML;APAF1;GNG5;MTOR;GNB2;IL2;TPR;CCND1;FZD4;ARHGEF12;GSTO2;WNT7B;FN1;ADCY7;DVL1;RALB;HEY1;CASP9;HEY2;ERBB2;HSP90B1;STAT1;EML4;TRAF3;RARB;DAPK3;ADCY2;LAMB3;FZD1;PIK3CD;SUFU;PTGER4;CTNNA1;CASP3;PTK2;CTBP2;CXCR4;CTNNB1;FOS;CXCL8;BIRC2;CDK2;GRB2;BDKRB2;PIK3CA;MSH2;WNT5A;TFG;ITGA2;MECOM;FADD;FZD9;ITGA3;IL6R;GNA12;KRAS;CCNE1;IFNA16;RET;RAC1;RALBP1;FGFR2;IL23R;F2R;RHOA;GNAI3;BAX;TGFBR1;RAF1;ROCK2;LPAR1;PRKCB;CXCL12;DAPK2;BMP2;HMOX1;PLD1;IL13RA1;IFNA21;ADCY3;IL4;WNT3;PMAIP1;NRAS;NQO1;PLCG2;IL5RA;BID;CALM1;KEAP1;IL13;EP300;FH;CAMK2A;VEGFC;GSTP1;AKT2;FOXO1;MAPK3;GSTM4;IFNA1;STAT3;TCF7L2;GSTA2;MGST2;PIK3CB;GSTM1;FZD5;BAD;TRAF5;CUL2;GSTA1;PLCB3;STAT2;VEGFB;IL6ST;MMP1;CREBBP;IL12RB1;GNG11;GSTM2;ARAF;LEF1;GNG8;PLCB1;TXNRD1;NCOA1;RUNX1;LPAR3;ROCK1;HDAC1;KITLG;SHH;GSTT1;MMP9;STAT4;IFNA17;PLEKHG5;RUNX1T1;TGFB1;RPS6KA5;MITF;GSTM5;WNT1;RXRG;PIK3R1;PTGS2;LRP6;COL4A4;FGFR4;PLCG1;CAMK2D;KIT;ESR2;BIRC5;CDK6;FGF2;ALK;GSTA5;IFNGR2;STAT5A;IGF1;HRAS;FLT3
11,prerank,Kaposi sarcoma-associated herpesvirus infection,0.3113249456727842,2.2767016811073986,0.0,0.0011346742485123865,0.012,127/159,53.67%,RB1;TRADD;NFKB1;NFKBIA;AKT3;IFNA10;TP53;MAPK13;RELA;MAPKAPK2;ITPR1;MAP2K4;JAK2;FAS;TNFRSF1A;CALM3;GNG12;IKBKE;GNB5;NFATC3;HLA-A;IKBKG;IFNA2;CREB1;NFATC4;MAP2K1;LYN;AKT1;PIK3R2;GNGT2;MAPK9;CDK4;MAPK8;CXCL1;GNG4;TYK2;PPP3CA;HIF1A;JUN;CDKN1A;VEGFA;GSK3B;NFATC1;IFNGR1;GNB4;IL6;ITPR3;CHUK;IKBKB;IFNA4;E2F1;GNG5;MTOR;GNB2;ICAM1;PIK3C3;CCND1;CCR5;MAPK12;CASP9;STAT1;MAPK14;TRAF3;PIK3CD;IFNB1;CASP3;CTNNB1;FOS;CXCL8;PIK3CG;PIK3CA;FADD;PPP3R2;KRAS;IFNA16;RAC1;MAPK11;CCR4;BAX;RAF1;HCK;TBK1;IFNA21;NRAS;PLCG2;SYK;BID;CALM1;CCR3;EP300;CXCL3;AKT2;MAPK3;IFNA1;STAT3;PIK3CB;C3;ATG3;STAT2;IL6ST;IRF9;CREBBP;PPP3CC;GNG11;UBB;GNG8;CD86;ZFP36;IFNA17;PIK3R1;PTGS2;PIK3R6;SRC;PLCG1;IRF7;CDK6;FGF2;HRAS;MAP2K7;CD200R1;BECN1;CALM2;CYCS;GABARAPL1;MAP2K6;IRF3;PIK3R5
12,prerank,Insulin signaling pathway,0.3318866521218984,2.2765125549791594,0.0,0.0010473916140114337,0.012,73/111,39.77%,PRKAG2;CRK;AKT3;PYGB;SOCS2;PHKA1;RPS6;PRKAR2B;FBP1;FASN;PRKAG3;PRKAR1A;PTPN1;CALM3;PRKAB2;PRKACA;PRKCZ;SHC1;PHKG1;PCK2;PDPK1;GCK;RPS6KB2;MAP2K1;AKT1;PIK3R2;PRKACB;MKNK2;PPP1CA;MAPK9;BRAF;MAPK8;IRS1;GSK3B;PRKAG1;SOS2;IKBKB;IRS2;HK1;PTPRF;ACACB;MTOR;PRKAA1;SOCS4;EIF4EBP1;INPPL1;PIK3CD;TSC2;GRB2;SLC2A4;G6PC2;PIK3CA;G6PC3;PPP1CC;KRAS;RPTOR;CBLB;RAF1;G6PC;ACACA;SHC4;RHEB;NRAS;PRKAB1;CALM1;AKT2;FOXO1;MAPK3;PYGL;PIK3CB;BAD;TRIP10;PRKCI
13,prerank,Sphingolipid signaling pathway,0.3351576621829254,2.257929012012607,0.0,0.0009725779272963313,0.012,67/101,39.93%,TRADD;SPHK1;NFKB1;GNAI2;CTSD;AKT3;TP53;GNA13;FYN;GNAI1;ASAH1;MAPK13;RELA;PRKCA;TNFRSF1A;PRKCZ;PDPK1;KNG1;PTEN;PPP2R3C;MAP3K5;PLD2;MAP2K1;AKT1;PIK3R2;SPTLC1;MAPK9;RAC3;MAPK8;ABCC1;MAPK12;SPTLC2;PPP2R2A;MAPK14;PIK3CD;SPTLC3;BDKRB2;PPP2R1A;PRKCE;PIK3CA;PPP2R2C;GNA12;KRAS;CERS4;RAC1;CERS2;MAPK11;RHOA;S1PR2;CERS3;GNAI3;BAX;RAF1;ROCK2;PRKCB;PPP2R5B;PLD1;NRAS;BID;FCER1G;AKT2;MAPK3;S1PR4;PIK3CB;PPP2R5C;PLCB3;PPP2R2D
