,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pancreatic cancer,0.45896135515684205,2.406433509246593,0.0,0.0010214580202959267,0.001,45/71,27.31%,ERBB2;MAPK8;EGFR;RPS6KB2;NFKB1;BCL2L1;TGFBR1;TP53;STAT3;CASP9;RALBP1;IKBKG;AKT1;MAP2K1;JAK1;BRCA2;BAD;RELA;ARAF;CDK4;MAPK1;DDB2;SMAD3;MAPK3;RAF1;RAC3;TGFBR2;BAK1;CHUK;SMAD2;CDKN1A;RAC1;SMAD4;BRAF;TGFA;CDKN2A;RB1;VEGFA;TGFB3;AKT3;BAX;PLD1;MAPK9;ARHGEF6;STAT1
1,prerank,Epithelial cell signaling in Helicobacter pylori infection,0.4527478463646806,2.2769771992991736,0.0,0.0020429160405918533,0.003,28/52,21.54%,NFKBIA;MAPK8;EGFR;NFKB1;MET;MAPK11;CXCL8;LYN;PLCG1;ATP6AP1;ADAM17;ATP6V1F;CXCR2;IKBKG;MAPK13;PAK1;MAP2K4;JUN;RELA;CSK;MAPK12;ATP6V0B;ATP6V1C1;ATP6V0A1;CHUK;CASP3;RAC1;ATP6V1D
2,prerank,Relaxin signaling pathway,0.4043071150762333,2.2573890962682066,0.0,0.0017024300338265446,0.004,72/103,38.21%,NFKBIA;MAPK8;EGFR;GNG11;NFKB1;MAPK11;CREB3L4;ARRB1;PRKACA;NRAS;TGFBR1;ADCY9;PRKCA;GNB4;SHC1;ATF2;ADCY6;AKT1;MAP2K1;GNA15;COL4A2;MAPK13;GNAI2;GNB5;PRKACB;MAP2K4;GNB2;JUN;COL1A2;ATF4;GNAI1;RELA;MAPK12;MAPK1;SMAD3;PRKCZ;MAPK3;RAF1;GNAS;GNG12;TGFBR2;CREB1;SMAD2;ADCY2;GNB1;GRB2;VEGFB;GNAI3;VEGFA;EDNRB;PLCB3;CREB5;AKT3;VEGFC;EDN1;MAPK9;RXFP4;PIK3CA;GNG8;ACTA2;MMP1;GNG5;GNG4;PRKACG;ADCY7;MMP13;PIK3R1;PLCB1;COL4A5;CREB3L1;ADCY1;CREB3
3,prerank,"Parathyroid hormone synthesis, secretion and action",0.39963375188445416,2.152356583399772,0.0,0.0035751030710357437,0.012,58/85,39.32%,EGFR;CREB3L4;ITPR3;ARRB1;PRKACA;VDR;ADCY9;PRKCA;BCL2;ATF2;ADCY6;PTHLH;MAP2K1;GNAI2;PRKACB;ATF4;GNAI1;PDE4B;MEF2C;ARAF;EGR1;MEF2D;MAPK1;MAPK3;RAF1;MMP17;GNAS;GNA13;CREB1;ADCY2;CDKN1A;TNFSF11;BRAF;GNAI3;PLCB3;CREB5;PLD1;PLD2;ITPR1;MMP14;LRP6;PRKCB;PRKACG;CYP24A1;RXRA;MEF2A;RHOA;ADCY7;MMP13;PLCB1;MMP15;GATA3;CREB3L1;ADCY1;CREB3;PDE4D;AKAP13;RXRB
4,prerank,Amyotrophic lateral sclerosis (ALS),0.43964696030005584,2.1011218769616966,0.0010162601626016261,0.005924456517716375,0.025,32/43,40.56%,MAPK11;BCL2L1;CASP1;RAB5A;BCL2;TP53;APAF1;CASP9;GRIA2;DERL1;MAPK13;BAD;CAT;NEFM;MAPK12;CASP3;BID;RAC1;GRIN2C;BAX;PPP3CA;SOD1;SLC1A2;TNFRSF1A;MAP3K5;DAXX;CYCS;GPX1;GRIA1;PPP3R2;PPP3CC;TNF
5,prerank,AGE-RAGE signaling pathway in diabetic complications,0.38209911754211273,2.088798371506756,0.0,0.006298991125158216,0.032,50/89,27.31%,MAPK8;NFKB1;MAPK11;CXCL8;PLCG1;NRAS;TGFBR1;PRKCA;BCL2;STAT3;AKT1;COL4A2;MAPK13;ICAM1;JUN;COL1A2;RELA;NFATC1;CDK4;EGR1;MAPK12;MAPK1;F3;SMAD3;PRKCZ;MAPK3;IL6;JAK2;TGFBR2;AGER;SMAD2;CASP3;RAC1;FOXO1;SMAD4;FN1;VEGFB;PLCD1;PRKCD;VEGFA;TGFB3;PLCB3;AKT3;VEGFC;EDN1;PRKCE;BAX;MAPK9;CDKN1B;STAT1
6,prerank,Shigellosis,0.41558159821542184,2.0483648932337943,0.0,0.0071502061420714875,0.043,30/48,32.10%,NFKBIA;MAPK8;NFKB1;MAPK11;CXCL8;ACTG1;CD44;ARPC4;BTRC;IKBKG;MAPK13;CTTN;ATG5;ACTB;ARPC5;ROCK1;RELA;MAPK12;MAPK1;MAPK3;ELMO1;CHUK;RAC1;ARPC1A;MAPK9;PFN2;NFKBIB;ABL1;NOD2;NOD1
7,prerank,Vibrio cholerae infection,0.46114359088926593,2.040529648686049,0.0,0.006894841636997506,0.047,15/30,15.58%,KCNQ1;ACTG1;PDIA4;PRKACA;PLCG1;ADCY9;PRKCA;ATP6AP1;ATP6V1F;ACTB;PRKACB;ATP6V0B;ATP6V1C1;ATP6V0A1;GNAS
8,prerank,Human T-cell leukemia virus 1 infection,0.33367833796723473,1.9984524451153196,0.0,0.009874094196193959,0.078,131/189,46.62%,NFKBIA;MAPK8;NFKB1;BCL2L1;CREB3L4;ETS1;PTTG1;CANX;PRKACA;NRAS;IL2;TGFBR1;ADCY9;IL1R1;ZFP36;LTBR;TP53;CDC20;NFYB;ATF2;ELK4;VDAC1;CDK2;IKBKG;ADCY6;SLC25A6;LCK;AKT1;MAP2K1;SLC2A1;ICAM1;HLA-DPA1;FDPS;JAK1;PRKACB;HLA-DRA;MAP2K4;CCND2;JUN;SLC25A5;ATF4;POLB;RELA;HLA-DMB;NFATC1;CDK4;EGR1;MAPK1;MSX2;B2M;SMAD3;IL1R2;MAPK3;IL6;CCNA1;TGFBR2;CHUK;CREB1;SMAD2;MAP3K1;ADCY2;SLC25A4;IL15RA;ETS2;CDKN1A;SMAD4;MMP7;CCND3;CDKN2A;RB1;NFATC3;NRP1;NFATC4;TGFB3;CRTC3;CREB5;AKT3;PTEN;HLA-DRB1;CD40;BAX;MAPK9;BUB1B;PPP3CA;CCNE1;PIK3CA;CALR;HLA-DPB1;CCNE2;HLA-A;FOSL1;KAT5;TNFRSF1A;DLG1;ANAPC5;PRKACG;TGFB2;HLA-DRB3;IKBKB;SRF;ADCY7;KAT2A;PIK3R1;EP300;IL2RA;HLA-DRB5;CREB3L1;ADCY1;ITGB2;CREB3;PPP3R2;PPP3CC;CD3D;CDKN2C;TNF;CHEK2;NFKB2;AKT2;RAN;CD4;LTA;KRAS;ADCY3;TSPO;BUB3;CCND1;MYC;ADCY5;E2F1;IL2RG;KAT2B
9,prerank,Chemokine signaling pathway,0.33928975378247417,1.9877519450678371,0.0,0.010112434400929675,0.087,114/159,46.98%,NFKBIA;FOXO3;GNG11;STAT2;NFKB1;CXCL8;ARRB1;LYN;PRKACA;NRAS;GRK4;ADCY9;GNB4;SHC1;STAT3;CXCR2;CXCL5;IKBKG;ADCY6;AKT1;MAP2K1;PAK1;GNAI2;DOCK2;GNB5;GSK3B;PRKACB;GNB2;CXCL9;BAD;GRK5;CXCR4;GNAI1;ROCK1;RELA;CCR5;CCL24;CCL21;MAPK1;CCR4;PRKCZ;MAPK3;ITK;ELMO1;RAF1;JAK2;GRK6;RAC3;GNG12;RASGRP2;CHUK;RAP1A;CXCL11;CCL4L2;CXCL10;ADCY2;CCL4;XCL2;GNB1;RAC1;GRB2;BRAF;PTK2B;PIK3CG;PRKCD;GNAI3;PLCB3;AKT3;CXCL3;CCL11;CCR3;STAT1;CCL20;NFKBIB;PIK3CA;GNG8;PRKCB;GNG5;GNG4;PRKACG;CXCL12;IKBKB;RHOA;ADCY7;GSK3A;PIK3R1;PLCB1;PTK2;ROCK2;CXCR5;ADCY1;CXCR6;VAV1;CRK;GNGT2;CCL23;PPBP;BCAR1;AKT2;FGR;TIAM1;KRAS;CDC42;ADCY3;CCL7;GRK3;CCL2;ADCY5;CCL1;CCR1;PIK3R5;CXCL1;CCR7;NCF1
