,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Epstein-Barr virus infection,0.3567718667515888,2.7549878204153386,0.0,0.0,0.0,123/174,41.12%,VIM;ICAM1;HLA-DRB1;MAPK9;CD44;DDB2;LYN;IL6;CCNA1;SNW1;SKP2;MAPK8;CDK6;MYC;NFKBIA;TBK1;TP53;CASP3;HLA-DRB5;CDKN1A;SIN3A;EIF2AK2;AKT3;AKT1;TAB2;GADD45B;TNFAIP3;BCL2;BTK;IKBKG;HLA-DOB;MAPK13;PIK3R1;NFKBIE;IKBKE;ENTPD1;IFNB1;JAK1;CCND2;JUN;PIK3CA;MAPK11;IFNA7;RELB;STAT3;TAPBP;BAK1;HLA-DRA;TRAF3;TAP1;CD58;PIK3CD;IRF9;NFKB2;E2F1;NFKB1;CDK2;TRAF2;CCNE1;AKT2;HLA-A;MDM2;IFNA2;TYK2;RAC1;HDAC2;CD3E;STAT1;IRAK4;DDX58;CALR;CD40;TLR2;CCND3;HLA-DMA;IFNA10;TRAF6;IRF3;CHUK;CD19;BAX;IFNA21;CIR1;CD3G;CDK4;HLA-B;CASP9;USP7;BID;BLNK;PSMD4;FADD;APAF1;RELA;MAP2K7;CD247;TRADD;STAT2;ENTPD3;TNF;IFNAR1;RB1;MAP2K4;PSMD3;OAS1;IFNA4;HDAC1;IKBKB;SYK;MAP2K6;MAPK12;IFNA16;HES1;IFNAR2;FAS;GADD45A;PSMD1;CCNE2;ITGAL;CDKN1B;MAPK14;HLA-DQA1;IFNA14
1,prerank,Kaposi sarcoma-associated herpesvirus infection,0.3614070304786287,2.734945410630468,0.0,0.0,0.0,109/159,38.07%,ICAM1;NRAS;MAPK9;ZFP36;UBB;CXCL8;LYN;IL6;MAPK8;CDK6;MAP2K1;GNB4;MYC;PIK3CG;NFKBIA;TBK1;TP53;CASP3;CDKN1A;CTNNB1;EIF2AK2;AKT3;AKT1;IKBKG;HIF1A;MAPK13;PIK3R1;IKBKE;NFATC3;GNB2;CCR5;ITPR1;IFNB1;ITPR3;JAK1;JUN;PIK3CA;MAPK11;IFNA7;STAT3;BAK1;TRAF3;PIK3C3;PIK3CD;IRF9;E2F1;NFKB1;FOS;SRC;TRAF2;MAPKAPK2;AKT2;HLA-A;CREB1;IFNA2;GNG11;TNFRSF1A;TYK2;RAC1;STAT1;BECN1;GABARAPL1;NFATC4;IFNA10;PPP3CC;KRAS;PPP3R1;GSK3B;IRF3;CALML6;CHUK;BAX;IFNA21;CDK4;HLA-B;CASP9;BID;FADD;PPP3R2;RELA;GNG7;MAP2K7;MAPK3;TRADD;STAT2;CCR3;NFATC1;IFNAR1;RB1;CALM2;GNB1;PLCG1;MAP2K4;PPP3CB;IFNA4;PTGS2;IKBKB;GNG4;SYK;MAP2K6;MAP2K2;MAPK12;IFNA16;IFNAR2;CCR4;PPP3CA;C3;FAS;GNG12
2,prerank,Hepatitis B,0.36166498359392196,2.721422900189963,0.0,0.0,0.0,109/153,41.34%,NRAS;MAPK9;CXCL8;DDB2;BAD;SMAD3;IL6;CCNA1;MAPK8;MAP2K1;TLR4;MYC;NFKBIA;TBK1;CREB3L1;TP53;CASP3;CDKN1A;ATF4;ATP6AP1;TGFBR2;AKT3;AKT1;TAB2;BCL2;IKBKG;MAPK13;PIK3R1;IKBKE;SMAD4;NFATC3;STAT5A;ATF2;IFNB1;JAK1;JUN;PIK3CA;MAPK11;IFNA7;IFIH1;STAT3;TRAF3;CREB3L4;PIK3CD;PRKCA;E2F1;NFKB1;CDK2;FOS;SRC;CCNE1;AKT2;TGFBR1;CREB1;PCNA;BRAF;IFNA2;TYK2;STAT1;IRAK4;FASLG;DDX58;TLR2;TIRAP;NFATC4;IFNA10;TRAF6;KRAS;BIRC5;STAT6;IRF3;CHUK;BAX;IFNA21;CASP9;BID;YWHAQ;FADD;APAF1;RELA;CREB5;MAP2K7;MAPK3;STAT2;CASP10;NFATC1;TNF;IFNAR1;RB1;CREB3;MAP2K4;IFNA4;IKBKB;MAP2K6;MAP2K2;MAPK12;IFNA16;SOS2;TGFB1;YWHAZ;FAS;PTK2B;CREBBP;CCNE2;SOS1;MAPK14;IFNA14;EGR2;MAP3K1
3,prerank,Relaxin signaling pathway,0.38203132099590387,2.702054217885258,0.0,0.0,0.0,79/103,44.26%,NRAS;MAPK9;PRKACB;ARRB1;SMAD3;MAPK8;MAP2K1;GNB4;ADCY9;NFKBIA;CREB3L1;EDN1;ATF4;PRKACA;TGFBR2;AKT3;AKT1;NOS3;SHC1;PLCB4;MAPK13;PIK3R1;ADCY6;EDNRB;GNB2;ATF2;GNAS;PLCB1;JUN;PIK3CA;MAPK11;MMP13;ADCY3;EGFR;VEGFB;NOS2;CREB3L4;SHC4;PIK3CD;PRKCZ;PRKCA;NFKB1;FOS;SRC;AKT2;GNA15;GNAI1;TGFBR1;CREB1;GNG11;COL4A5;MMP2;ADCY7;ACTA2;KRAS;PLCB3;COL1A2;RELA;CREB5;GNG7;MAP2K7;MAPK3;GNB1;CREB3;MAP2K4;GNG4;MAP2K2;MAPK12;COL4A2;SOS2;TGFB1;GNG12;SOS1;MAPK14;GNAI2;COL4A4;SMAD2;GNG5;VEGFA
4,prerank,Viral carcinogenesis,0.35474777940610475,2.670461686615701,0.0,0.0,0.0,97/141,39.93%,NRAS;HDAC7;PRKACB;BAD;LYN;GTF2A2;CCNA1;SNW1;SKP2;HDAC4;CDK6;NFKBIA;CREB3L1;TP53;CASP3;RHOA;CDKN1A;ATF4;PRKACA;EIF2AK2;HIST1H2BD;ACTN4;HDAC3;IKBKG;PIK3R1;CCR5;STAT5A;GTF2H3;HIST1H2BK;ATF2;JAK1;CCND2;PMAIP1;JUN;HDAC8;PIK3CA;STAT3;BAK1;HIST1H2BJ;TRAF3;CREB3L4;GTF2H1;PIK3CD;CDK1;IRF9;NFKB2;NFKB1;CDK2;SRC;TRAF2;CCNE1;MAPKAPK2;HDAC11;HLA-A;CREB1;MDM2;CDKN2A;LTBR;RAC1;POLB;HDAC2;GTF2E2;CCND3;CDC20;UBE3A;KRAS;REL;IRF3;BAX;SRF;CDK4;HLA-B;USP7;YWHAQ;RELA;CREB5;MAPK3;TRADD;CCR3;HIST1H4I;GTF2B;RB1;CREB3;HDAC6;HDAC1;DNAJA3;SYK;KAT2B;DLG1;CCR4;YWHAZ;C3;CREBBP;CCNE2;HDAC10;CDKN1B;HDAC9
5,prerank,Human cytomegalovirus infection,0.33655460336082554,2.633413442273316,0.0,0.0,0.0,148/197,47.17%,ITGB3;NRAS;CXCL8;PRKACB;CXCR4;IL6;CDK6;MAP2K1;GNB4;ADCY9;MYC;NFKBIA;TBK1;CREB3L1;CCL4L2;IL6R;TP53;TSC2;CASP3;RHOA;CDKN1A;ATF4;PRKACA;CTNNB1;AKT3;AKT1;ROCK1;RPS6KB2;IKBKG;IL1R1;PLCB4;MAPK13;PIK3R1;IL1B;ADCY6;NFATC3;GNB2;CCR5;ITPR1;ATF2;GNAS;IFNB1;ITPR3;JAK1;PLCB1;PIK3CA;MAPK11;IFNA7;ADCY3;EGFR;STAT3;TAPBP;BAK1;CREB3L4;TAP1;PIK3CD;PRKCA;E2F1;TSC1;NFKB1;SRC;TRAF2;AKT2;GNAI1;CXCR2;HLA-A;CREB1;MDM2;IFNA2;GNG11;CDKN2A;TNFRSF1A;ARHGEF12;RAC1;FASLG;ADCY7;CALR;CXCL12;NFATC4;IFNA10;PPP3CC;KRAS;PPP3R1;PLCB3;GSK3B;IRF3;CALML6;CHUK;PTGER4;BAX;IFNA21;PTK2;CDK4;HLA-B;RHEB;CASP9;BID;GNA13;FADD;PPP3R2;RELA;CREB5;GNG7;MAPK3;TRADD;CCR3;NFATC1;TNF;RB1;CALM2;IL10RB;GNB1;CREB3;RPS6KB1;PPP3CB;ITGAV;IFNA4;PTGS2;IKBKB;GNG4;MAP2K6;MAP2K2;MAPK12;IFNA16;PTGER1;PPP3CA;SOS2;FAS;GNG12;PTK2B;SOS1;MAPK14;GNA11;CCL5;IFNA14;GNAI2;CX3CL1;AKAP13;CCL2;GNG5;VEGFA;MAPK1;CALM3;B2M;CCL4;GRB2;PTGER2;RAC3
6,prerank,Neurotrophin signaling pathway,0.37064468324058364,2.615494699211558,0.0,0.0,0.0,79/103,46.58%,NGFR;MAGED1;NRAS;MAPK9;NTRK3;BAD;FOXO3;MAPK8;MAP2K1;IRS1;NFKBIA;TP53;RPS6KA1;RHOA;ATF4;AKT3;AKT1;SHC1;BCL2;NTRK1;MAPK13;PIK3R1;NFKBIE;PRKCD;PSEN2;JUN;PIK3CA;MAPK11;SHC4;PIK3CD;NFKB1;ABL1;MAPKAPK2;AKT2;ZNF274;BRAF;PSEN1;RAC1;CAMK2G;IRAK4;FASLG;CAMK2D;PDPK1;NGF;TRAF6;KRAS;GSK3B;CALML6;BAX;IRAK2;ARHGDIB;RELA;MAP2K7;MAPK3;SH2B3;RAP1A;CALM2;GAB1;RPS6KA6;PLCG1;RPS6KA5;IKBKB;RPS6KA3;MAP2K2;MAPK12;MAP3K5;SOS2;MATK;SOS1;MAPK14;MAP3K1;SORT1;ARHGDIA;PRDM4;PLCG2;MAPK1;CDC42;CALM3;GRB2
7,prerank,Pancreatic cancer,0.39774873474485445,2.594678036363182,0.0,0.00012971522004679323,0.001,58/71,47.17%,BCL2L1;MAPK9;DDB2;BAD;SMAD3;MAPK8;CDK6;MAP2K1;ERBB2;TP53;EGF;CDKN1A;TGFBR2;AKT3;AKT1;GADD45B;RPS6KB2;IKBKG;PIK3R1;SMAD4;JAK1;PIK3CA;EGFR;STAT3;BAK1;PIK3CD;E2F1;NFKB1;AKT2;TGFBR1;BRAF;CDKN2A;RAC1;STAT1;RALBP1;KRAS;TGFA;CHUK;BAX;CDK4;CASP9;RELA;MAPK3;RB1;RPS6KB1;IKBKB;RALA;TGFB1;GADD45A;SMAD2;VEGFA;ARHGEF6;MAPK1;CDC42;ARAF;PLD1;BRCA2;RAC3
8,prerank,AGE-RAGE signaling pathway in diabetic complications,0.3755188697170749,2.575114645511658,0.0,0.00011530241781937175,0.001,77/89,53.33%,ICAM1;F3;NRAS;MAPK9;CXCL8;SMAD3;IL6;MAPK8;NOX1;CASP3;EDN1;TGFBR2;AGER;AKT3;AKT1;NOS3;FN1;BCL2;PLCB4;FOXO1;MAPK13;PIK3R1;IL1B;PRKCD;SMAD4;STAT5A;PLCB1;JUN;PIK3CA;MAPK11;STAT3;VEGFB;PIK3CD;PRKCZ;PRKCA;NFKB1;AKT2;TGFBR1;AGTR1;COL4A5;RAC1;STAT1;MMP2;KRAS;PLCB3;EGR1;BAX;SERPINE1;CDK4;COL1A2;RELA;MAPK3;PRKCE;NFATC1;TNF;PLCG1;MAPK12;COL4A2;TGFB1;CDKN1B;MAPK14;CCL2;COL4A4;SMAD2;VEGFA;PLCG2;MAPK1;CDC42;PLCE1;CYBB;PIM1;PIK3CB;CCND1;JAK2;PIK3R2;SELE;PRKCB
9,prerank,Human papillomavirus infection,0.3216060264458292,2.5705454565239596,0.0,0.00010377217603743458,0.001,156/231,41.75%,IRF1;ITGB3;AXIN2;NRAS;TADA3;PPP2R3C;FZD4;PRKACB;BAD;CCNA1;CDK6;BCAP31;WNT3;MAP2K1;HEY1;FZD7;TBK1;CREB3L1;TP53;RELN;TSC2;CASP3;EGF;CDKN1A;ATP6AP1;PRKACA;CTNNB1;EIF2AK2;AKT3;AKT1;FN1;ITGA2B;SPP1;WNT1;RPS6KB2;IKBKG;PPP2R3A;CSNK1A1;THBS1;FOXO1;PIK3R1;IKBKE;MPP5;FZD3;ATP6V0A1;ATP6V1F;GNAS;IFNB1;JAK1;CCND2;PIK3CA;IFNA7;EGFR;BAK1;FZD5;TRAF3;CREB3L4;ATM;PIK3CD;PRKCZ;MAGI1;IRF9;E2F1;TSC1;NFKB1;CDK2;TCF7L2;CCNE1;AKT2;DVL2;PRKCI;HLA-A;CREB1;ITGA3;THBS3;MDM2;IFNA2;TNFRSF1A;AXIN1;COL4A5;TCF7;PSEN1;TYK2;ITGB5;HDAC2;STAT1;FASLG;JAG1;PPP2R5B;CCND3;LAMB3;IFNA10;WNT9A;UBE3A;KRAS;ITGA1;GSK3B;IRF3;CHUK;PTGER4;BAX;IFNA21;ITGB8;PTK2;CDK4;HLA-B;RHEB;PDGFRB;FZD10;PPP2R1A;COL1A2;FADD;LAMB1;RELA;CREB5;MAPK3;ITGA6;ITGA8;TRADD;STAT2;TNF;IFNAR1;PPP2R2C;PPP2CB;ATP6V1A;RB1;CREB3;RPS6KB1;ATP6V0B;ITGAV;IFNA4;PTGS2;HDAC1;IKBKB;MAP2K2;IFNA16;COL4A2;DLG1;HES1;IFNAR2;SOS2;ITGB7;FAS;CSNK1A1L;CREBBP;FZD2;CCNE2;CDKN1B;PPP2CA;SOS1;DVL3;DLG2;ITGA11;IFNA14;ATP6V1D;RBL1
