,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,AGE-RAGE signaling pathway in diabetic complications,0.41341431272765466,3.125373638077434,0.0,0.0,0.0,64/89,35.85%,MAPK14;PRKCA;STAT3;SMAD4;PLCB1;EGR1;SMAD3;PRKCZ;FOXO1;CCND1;MAPK13;PIK3R2;MAPK11;PIK3CD;PLCG1;CYBB;PIK3CA;STAT5A;PLCG2;NOX1;PIK3CB;NRAS;CDKN1B;TGFBR2;COL1A2;JUN;MAPK9;PIK3R1;EDN1;RAC1;BCL2;NFATC1;MAPK3;F3;MMP2;PIK3R3;PLCD1;VCAM1;ICAM1;COL4A3;NFKB1;COL4A5;PLCB3;CASP3;NOS3;JAK2;MAPK8;HRAS;CDK4;TGFB2;RELA;IL6;CDC42;AKT3;VEGFC;AGTR1;KRAS;STAT1;BAX;IL1B;TGFB3;PRKCD;PLCE1;TGFBR1
1,prerank,Neurotrophin signaling pathway,0.38684307503741966,2.9885633150065885,0.0,0.0,0.0,80/103,44.71%,MAPK14;ABL1;BRAF;CALM3;TP53;RHOA;IRS1;IRAK4;RAP1A;PSEN1;NFKBIA;NTRK1;FRS2;ARHGDIB;SHC4;GSK3B;NTRK3;MAGED1;RPS6KA5;MAPK13;PIK3R2;IKBKB;MAPK11;PIK3CD;PLCG1;CRK;CAMK2G;PIK3CA;PDPK1;PLCG2;PIK3CB;RIPK2;NRAS;IRAK2;TRAF6;JUN;NFKBIB;MAPK9;PIK3R1;RAC1;BCL2;MAPK3;RPS6KA1;SORT1;SHC1;PIK3R3;CRKL;MAPKAPK2;PRDM4;IRAK1;MAP2K1;NFKB1;MAPK7;MAPK8;HRAS;RAF1;MAP2K5;RELA;CDC42;AKT3;PSEN2;ZNF274;RPS6KA3;KRAS;BAX;PRKCD;FASLG;NGFR;MAPK1;NFKBIE;ARHGDIA;SOS2;GAB1;MAP3K1;MAP2K7;GRB2;AKT1;CAMK2D;MATK;MAP3K5
2,prerank,Hepatitis B,0.3476424038517639,2.9633945298470312,0.0,0.0,0.0,119/153,48.36%,MAPK14;PRKCA;BRAF;STAT3;TP53;NFATC4;TBK1;IFNA16;IRAK4;SMAD4;NFKBIA;CHUK;SMAD3;IFIH1;CCNA1;NFATC3;CCNA2;BID;DDB2;CREBBP;E2F1;MAPK13;PIK3R2;IKBKB;MAPK11;DDX58;PIK3CD;TIRAP;PIK3CA;STAT5A;PIK3CB;STAT2;NRAS;ATF2;RB1;TRAF6;TGFBR2;JUN;MAPK9;PIK3R1;FADD;BCL2;NFATC1;MAPK3;CCNE1;IKBKE;CDK2;PIK3R3;IFNB1;TAB2;STAT4;CASP10;SRC;JAK3;IRAK1;IFNA14;CASP8;CYCS;FAS;MAP2K1;NFKB1;TICAM2;MYC;CASP3;JAK2;TLR4;MAPK8;HRAS;RAF1;NFATC2;APAF1;TGFB2;RELA;IL6;IFNA4;IRF7;AKT3;TLR3;CREB3;JAK1;MMP9;MYD88;KRAS;STAT1;BAX;EP300;TGFB3;IFNAR1;YWHAQ;TYK2;TLR2;MAP2K6;IFNA2;TGFBR1;FASLG;ARAF;STAT6;FOS;MAPK1;SOS2;EGR2;MAP3K1;CDKN1A;E2F3;IFNA7;MAP2K7;IFNA1;GRB2;AKT1;CREB3L2;IFNA10;CREB1;ATF4;IRF3;SLC10A1;TNF;MAP2K4;HSPG2;AKT2
3,prerank,Measles,0.3483968302122524,2.8802471732040447,0.0,0.0,0.0,100/126,49.16%,STAT3;TP53;TBK1;TLR9;IFNA16;EIF2AK2;TLR7;IRAK4;NFKBIA;EIF2AK3;HSPA1A;CHUK;IFIH1;TRADD;CCND2;CCND1;GSK3B;BID;SLAMF1;CD46;PIK3R2;IKBKB;DDX58;PIK3CD;PIK3CA;STAT5A;PIK3CB;STAT2;CDKN1B;CSNK2A1;CD209;TRAF6;JUN;NFKBIB;MAPK9;PIK3R1;FADD;BCL2L1;BCL2;CCNE1;IKBKE;EIF2AK1;CDK2;IFNAR2;IL2;PIK3R3;IFNB1;TAB2;BAK1;JAK3;IRAK1;OAS1;IFNA14;CASP8;CYCS;FAS;NFKB1;HSPA1B;CASP3;TLR4;MAPK8;CDK4;APAF1;RELA;IL6;IFNA4;IRF7;AKT3;CD28;JAK1;OAS2;MYD88;STAT1;BAX;IL1B;HSPA2;IFNAR1;TYK2;TLR2;IFNA2;FASLG;CD3D;CSNK2B;FOS;RCHY1;EIF2AK4;IFNA7;CCND3;TNFAIP3;IFNA1;AKT1;IFNA10;IL12A;IRF3;FCGR2B;AKT2;CDK6;EIF2S1;CBLB;IL2RA
4,prerank,Kaposi sarcoma-associated herpesvirus infection,0.33607098340857994,2.8713843547229527,0.0,0.0,0.0,115/159,43.88%,MAPK14;STAT3;CALM3;TP53;NFATC4;TBK1;IFNA16;EIF2AK2;PIK3R5;NFKBIA;CHUK;NFATC3;TRADD;CCND1;GSK3B;IL6ST;BID;CREBBP;E2F1;MAPK13;GNB4;PIK3R2;IKBKB;TRAF2;HLA-A;MAPK11;PIK3CD;PLCG1;PIK3CA;CCR4;PPP3CC;PLCG2;PIK3CB;C3;STAT2;NRAS;RB1;HIF1A;GNG8;BECN1;JUN;MAPK9;PIK3R1;FADD;RAC1;NFATC1;MAPK3;IKBKE;IFNAR2;PIK3R3;IFNB1;SYK;BAK1;MAPKAPK2;PPP3R2;SRC;LYN;ICAM1;IFNA14;CASP8;CYCS;FAS;MAP2K1;PIK3CG;NFKB1;MYC;CASP3;JAK2;PPP3CB;MAPK8;HRAS;CDK4;RAF1;NFATC2;HLA-B;RELA;IL6;IFNA4;IRF7;AKT3;TLR3;MTOR;CTNNB1;JAK1;KRAS;STAT1;FGF2;GNG4;BAX;EP300;IFNAR1;TYK2;MAP2K6;IFNA2;ITPR1;FOS;GNG5;VEGFA;MAPK1;UBB;CDKN1A;IFNGR1;E2F3;GNG12;HCK;GNG7;IFNA7;MAP2K7;PPP3CA;PTGS2;IFNA1;TNFRSF1A;AKT1;PIK3R6;IFNA10
5,prerank,Epstein-Barr virus infection,0.3321586564576041,2.869524996072273,0.0,0.0,0.0,134/174,48.61%,MAPK14;STAT3;TRAF5;TP53;PSMD2;TBK1;ITGAL;IFNA16;EIF2AK2;IRAK4;NFKBIA;CHUK;B2M;CCNA1;TRADD;CCND2;MAP3K14;CCNA2;CCND1;BID;DDB2;E2F1;MAPK13;PIK3R2;IKBKB;CXCL10;TRAF2;HLA-A;MAPK11;DDX58;PIK3CD;PIK3CA;PLCG2;PIK3CB;STAT2;PSMD4;RB1;CDKN1B;TRAF6;JUN;NFKBIB;MAPK9;PIK3R1;FADD;RAC1;BCL2;CCNE1;IKBKE;HLA-DQA2;CDK2;IFNAR2;PIK3R3;IFNB1;TAB2;SYK;BAK1;HDAC1;LYN;ICAM1;JAK3;IRAK1;OAS1;IFNA14;CASP8;CYCS;FAS;NFKB1;BTK;NEDD4;HES1;MYC;CASP3;CD19;BLNK;MAPK8;CDK4;APAF1;HLA-B;RELA;IL6;HLA-DRB1;IFNA4;SIN3A;RBPJ;IRF7;AKT3;NFKB2;HLA-DOB;JAK1;OAS2;MYD88;STAT1;BAX;IFNAR1;HLA-DPA1;TYK2;TLR2;MAP2K6;IFNA2;CD3D;SNW1;SKP2;BCL2L11;CD40;PSMD3;NFKBIE;CD58;CDKN1A;VIM;E2F3;PSMD1;USP7;PSMC5;IFNA7;CCND3;MAP2K7;MDM2;CIR1;HLA-DMA;TNFAIP3;IFNA1;AKT1;IFNA10;HLA-DQB1;GADD45B;HLA-DQA1;IRF3;CALR;TNF;HLA-DRA;MAP2K4;AKT2;TAP1;CDK6
6,prerank,Shigellosis,0.45634131127587846,2.838687691178,0.0,0.0,0.0,32/47,27.66%,MAPK14;ABL1;ATG5;NFKBIA;CHUK;ACTB;ACTG1;PFN2;MAPK13;IKBKB;MAPK11;CRK;RIPK2;NFKBIB;CTTN;MAPK9;U2AF1;RAC1;MAPK3;BTRC;ARPC5;CRKL;SRC;ROCK1;NFKB1;ELMO1;MAPK8;ARPC2;RELA;ITGB1;ARPC1A;CDC42
7,prerank,Fluid shear stress and atherosclerosis,0.3516100620373282,2.8034273378095818,0.0,0.0,0.0,95/122,47.42%,MEF2A;MAPK14;CALM3;TP53;RHOA;GSTO1;CHUK;PRKAA1;ACTB;PRKCZ;ACTG1;BMP4;ARHGEF2;DUSP1;GSTM4;MAPK13;HMOX1;PIK3R2;IKBKB;MAPK11;PIK3CD;KEAP1;PIK3CA;NOX1;PIK3CB;CAV1;PLAT;GSTM5;JUN;MAPK9;PIK3R1;EDN1;RAC1;BCL2;BMPR1B;ITGA2B;TRPV4;IFNG;HSP90AB1;GSTP1;MMP2;PIK3R3;RAC3;ACVR1;VCAM1;SRC;NCF1;ICAM1;GSTO2;NFKB1;MAPK7;NOS3;GPC1;MAPK8;PTK2;MEF2C;GSTA5;MAP2K5;RELA;AKT3;NFE2L2;GSTT1;CTNNB1;CAV3;MMP9;HSP90B1;SDC4;NCF2;ITGB3;BMPR1A;IL1B;ACVR2A;CDH5;MAP2K6;NQO1;FOS;GSTM3;VEGFA;MGST1;THBD;SDC2;MAP2K7;TNFRSF1A;AKT1;CAV2;GSTA2;MAP3K5;HSP90AA1;GSTM1;CCL2;ITGAV;TXN;PIAS4;TNF;MAP2K4
8,prerank,Bacterial invasion of epithelial cells,0.4402027068165466,2.7693264394754946,0.0,0.0,0.0,33/46,32.25%,RHOA;DNM1;ACTB;ACTG1;SHC4;PIK3R2;PIK3CD;CRK;PIK3CA;PIK3CB;CAV1;CTTN;PIK3R1;RAC1;SHC1;MET;PIK3R3;ARPC5;CRKL;SRC;ILK;CLTA;ELMO1;PTK2;ARPC2;ITGB1;ARPC1A;CDC42;CTNNB1;CAV3;CTNNA1;ARPC4;HCLS1
9,prerank,Hepatitis C,0.3367635031063032,2.748969696643007,0.0,0.0,0.0,98/124,49.61%,BRAF;STAT3;TP53;PPP2R2A;TBK1;IFNA16;EIF2AK2;NFKBIA;EIF2AK3;CHUK;RSAD2;TRADD;CCND1;GSK3B;BID;E2F1;PIK3R2;IKBKB;CXCL10;TRAF2;DDX58;PIK3CD;PIK3CA;EGFR;PIK3CB;STAT2;NRAS;RB1;TRAF6;CFLAR;PIK3R1;FADD;MAPK3;IKBKE;IFNG;EIF2AK1;CDK2;RXRA;IFNAR2;PIK3R3;IFNB1;BAK1;OAS1;IFNA14;CASP8;CYCS;FAS;MAP2K1;NFKB1;PPP2R1A;MYC;CASP3;CD81;HRAS;CDK4;RAF1;APAF1;RELA;IFNA4;IRF7;AKT3;TLR3;CTNNB1;JAK1;SOCS3;OAS2;KRAS;STAT1;LDLR;BAX;IFNAR1;YWHAQ;TYK2;IFNA2;FASLG;ARAF;CLDN1;MAPK1;SOS2;CDKN1A;EIF2AK4;E2F3;IFNA7;IFNA1;GRB2;TNFRSF1A;AKT1;IFNA10;PPP2R2D;IRF3;TNF;AKT2;IFIT1;CDK6;PPP2CB;EIF2S1;PPARA;SCARB1
