,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Prolactin signaling pathway,0.4933286219130081,2.1989061050718304,0.0,0.001009698224613955,0.001,46/64,33.80%,PRLR;SOCS2;FOXO3;PIK3CA;PIK3R1;MAPK9;RELA;GRB2;MAPK13;MAP2K1;GCK;IRF1;SOCS1;CCND2;HRAS;JAK2;NFKB1;FOS;PIK3CB;MAPK3;CGA;PIK3R3;RAF1;MAPK8;AKT1;PIK3CD;SHC1;MAPK11;SOS2;ESR2;INS;STAT3;NRAS;SOCS4;AKT3;CCND1;ESR1;AKT2;MAPK14;TH;TNFSF11;SOS1;CISH;KRAS;SOCS5;STAT5A
1,prerank,Regulation of lipolysis in adipocytes,0.5176770731042415,2.1504429678928902,0.0,0.0005048491123069776,0.001,31/43,30.08%,PRKACB;PIK3CA;PIK3R1;NPY1R;GNAS;MGLL;ADCY6;FABP4;PIK3CB;CGA;ADRB3;PIK3R3;PTGS2;AKT1;PIK3CD;GNAI3;PDE3B;ADRB2;IRS1;INS;NPR1;AKT3;PRKACA;PRKG2;ADCY3;PRKACG;AKT2;GNAI1;ADCY2;IRS2;PRKG1
2,prerank,Chronic myeloid leukemia,0.4767319046759256,2.1277683874982847,0.0,0.00033656607487131835,0.001,51/71,36.26%,RB1;PIK3CA;PIK3R1;CDK6;RELA;GRB2;BAD;MAP2K1;HDAC1;HRAS;TGFB2;CDKN1B;TP53;ABL1;NFKB1;ARAF;BAX;PIK3CB;MAPK3;BRAF;TGFBR1;PIK3R3;RAF1;SMAD4;AKT1;PIK3CD;SHC1;CHUK;SOS2;MECOM;BCL2L1;NRAS;TGFB1;CRKL;AKT3;CCND1;AKT2;RUNX1;MYC;CDK4;SOS1;CDKN1A;SMAD3;KRAS;TGFBR2;CDKN2A;MDM2;STAT5A;GADD45A;DDB2;CTBP2
3,prerank,AGE-RAGE signaling pathway in diabetic complications,0.4602178832233458,2.1013054349113083,0.0,0.0002524245561534888,0.001,65/89,39.39%,BCL2;PIK3CA;THBD;PIK3R1;F3;MAPK9;CASP3;RELA;SERPINE1;MAPK13;COL4A5;AGTR1;IL6;HRAS;TGFB2;CDKN1B;JAK2;NFKB1;BAX;PIK3CB;MAPK3;AGT;NOX1;TGFBR1;PIK3R3;PRKCA;MAPK8;SMAD4;SMAD2;AKT1;PIK3CD;ICAM1;MAPK11;RAC1;STAT3;PRKCB;VEGFB;NRAS;PRKCD;CCL2;FN1;TGFB1;AKT3;MMP2;CCND1;AKT2;NFATC1;MAPK14;PLCD1;CDK4;SMAD3;EDN1;KRAS;TGFBR2;CYBB;VEGFC;STAT5A;JUN;PLCB3;PLCG2;CDC42;CXCL8;PRKCE;MAPK12;STAT1
4,prerank,Relaxin signaling pathway,0.4466913904418774,2.0994151711846203,0.0,0.000201939644922791,0.001,68/103,34.59%,PRKACB;PIK3CA;PIK3R1;MAPK9;RELA;GRB2;MAPK13;MAP2K1;COL4A5;MAP2K4;CREB1;ARRB1;GNAS;HRAS;CREB3;GNG4;GNGT2;ADCY6;EGFR;NFKB1;GNB5;FOS;PIK3CB;MAPK3;MMP13;TGFBR1;PIK3R3;PRKCA;RAF1;MAPK8;SMAD2;AKT1;PIK3CD;GNAI3;SHC1;ATF2;RXFP1;MAPK11;CREB3L2;SOS2;CREB3L4;CREB3L1;RXFP4;GNG7;NOS2;VEGFB;GNA15;NRAS;TGFB1;GNG5;AKT3;PRKACA;MMP2;ADCY3;PRKACG;AKT2;MAPK14;GNG12;GNAI1;ADCY2;SOS1;SMAD3;EDN1;KRAS;TGFBR2;VEGFC;JUN;PLCB3
5,prerank,Pancreatic cancer,0.4682958657606464,2.0931067511264523,0.0,0.00016828303743565917,0.001,50/71,34.97%,RB1;PIK3CA;PIK3R1;MAPK9;CDK6;RELA;BAD;MAP2K1;EGF;TGFB2;TP53;EGFR;NFKB1;ARAF;BAX;PIK3CB;MAPK3;BRAF;ERBB2;TGFBR1;RPS6KB1;PIK3R3;RAF1;MAPK8;SMAD4;SMAD2;AKT1;PIK3CD;RALB;RAC1;CHUK;MTOR;BCL2L1;STAT3;PLD1;TGFB1;AKT3;CCND1;AKT2;CDK4;RPS6KB2;RALA;CDKN1A;SMAD3;KRAS;TGFBR2;CDKN2A;JAK1;GADD45A;DDB2
6,prerank,FoxO signaling pathway,0.4458451231292894,2.087735470656614,0.0,0.0001442426035162793,0.001,81/119,35.78%,PCK2;FOXO3;IL10;PIK3CA;PIK3R1;MAPK9;GRB2;STK11;MAPK13;SGK3;MAP2K1;CAT;EGF;BCL6;CCND2;IL6;SGK1;HRAS;IL7R;TGFB2;CDKN1B;USP7;EGFR;PRKAA1;ARAF;PIK3CB;MAPK3;BRAF;HOMER2;TGFBR1;PRKAB1;PIK3R3;SETD7;RAF1;MAPK8;SMAD4;CDK2;SMAD2;AKT1;PIK3CD;C8ORF44-SGK3;MAPK11;CHUK;PRKAG1;SOS2;IRS1;INS;STAT3;PRKAB2;TNFSF10;NRAS;TGFB1;AKT3;ATM;GRM1;CCND1;G6PC;AKT2;MAPK14;BCL2L11;CSNK1E;SKP2;CREBBP;PLK4;IRS2;SOS1;CDKN1A;SMAD3;CCNB2;G6PC3;KRAS;PRKAG2;TGFBR2;PLK3;INSR;MDM2;PTEN;S1PR4;GADD45A;PCK1;CCNB1
7,prerank,Colorectal cancer,0.4643235286177368,2.0869494840126834,0.0,0.0001262122780767444,0.001,55/79,35.37%,PMAIP1;BCL2;PIK3CA;PIK3R1;MAPK9;CASP3;GRB2;BAD;MAP2K1;EGF;HRAS;TGFB2;TP53;EGFR;AREG;ARAF;FOS;BAX;PIK3CB;MAPK3;AXIN1;BRAF;TGFBR1;RPS6KB1;PIK3R3;RAF1;MAPK8;SMAD4;SMAD2;AKT1;PIK3CD;RALB;RAC1;SOS2;MTOR;NRAS;CTNNB1;TGFB1;AKT3;CCND1;AKT2;BCL2L11;MYC;RPS6KB2;SOS1;RALA;CDKN1A;SMAD3;KRAS;TGFBR2;JUN;GADD45A;DDB2;LEF1;TCF7L2
8,prerank,Melanoma,0.484505389758001,2.072164699131625,0.0,0.00011218869162377278,0.001,38/52,34.97%,RB1;PIK3CA;PIK3R1;CDK6;BAD;MITF;MAP2K1;EGF;HRAS;TP53;EGFR;FGFR1;ARAF;BAX;PIK3CB;MAPK3;BRAF;PIK3R3;PDGFD;FGF2;RAF1;AKT1;PIK3CD;CDH1;MET;NRAS;AKT3;FGF9;CCND1;AKT2;CDK4;CDKN1A;KRAS;CDKN2A;MDM2;PTEN;GADD45A;DDB2
9,prerank,Circadian rhythm,0.5572764541834627,2.06736735906826,0.0,0.0001009698224613955,0.001,20/24,33.32%,RORA;CREB1;CRY1;PRKAA1;BHLHE40;FBXW11;PER1;PRKAB1;RORB;CUL1;PRKAG1;PRKAB2;CSNK1D;RORC;CSNK1E;CLOCK;SKP1;PRKAG2;ARNTL;RBX1
