,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Measles,0.3540364472572632,2.598797352711501,0.0,0.0,0.0,99/125,49.13%,IKBKE;JUN;TLR4;IFIH1;CD46;IRAK1;MAP3K7;CCNE1;IFNA4;BCL2;IFNA2;BAK1;IFNA7;IKBKG;EIF2AK3;STAT5A;ADAR;NFKBIA;CASP3;CCND3;EIF2AK2;TLR2;BCL2L1;IRAK4;IFNA10;MYD88;CASP8;IFNB1;RELA;JAK3;MAPK9;CDK2;CSNK2A1;EIF2AK4;IL12A;AKT1;TBK1;CCND1;CHUK;IKBKB;OAS3;CYCS;DDX58;BBC3;IFNA1;IL2RG;FOS;MAPK8;CSNK2B;TRAF3;FADD;STAT2;TP53;OAS2;HSPA8;IL1B;MX1;PIK3CB;STAT1;PIK3CD;FASLG;FAS;CDK6;PIK3R1;GSK3B;BID;HSPA2;CSNK2A2;APAF1;PIK3CA;IRF7;HSPA1A;CBLB;TYK2;STAT5B;IL2RB;IL2RA;IL6;PIK3R3;EIF3H;IL12B;IRF3;EIF2AK1;CLEC4M;BAD;TAB2;TLR7;EIF2S1;HSPA1B;CD3D;JAK1;IFNAR2;IFNA5;CCND2;IRF9;IFNA14;AKT2;BAX;IFNAR1
1,prerank,Epstein-Barr virus infection,0.2980049108485017,2.326332065500816,0.0,0.003674491224292021,0.007,127/174,49.62%,IKBKE;JUN;IRAK1;MAP3K7;CCNE1;TAPBP;ENTPD3;IFNA4;CCNA1;BCL2;CD58;IFNA2;BAK1;MAPK13;IFNA7;GADD45B;IKBKG;HLA-DMB;CCNA2;HLA-DRB1;NFKBIA;MAP2K4;MAP3K14;DDB2;CASP3;CCND3;EIF2AK2;MAPK12;HDAC1;B2M;RBPJ;TLR2;HLA-DRB4;IRAK4;PSMD1;IFNA10;PSMD2;RB1;HLA-DRA;E2F1;MYD88;CD19;CASP8;IFNB1;PSMD4;RELA;NFKBIE;JAK3;MAPK9;E2F3;CDK2;GADD45A;NEDD4;HLA-DPA1;SYK;AKT1;MAP2K7;NCOR2;MAP2K3;HLA-DOA;HDAC2;HES1;USP7;TBK1;CCND1;CHUK;IKBKB;OAS3;NFKB2;CYCS;DDX58;IFNA1;HLA-DMA;MAPK8;SNW1;TRAF3;FADD;STAT2;TP53;OAS2;MDM2;PSMD3;PIK3CB;STAT1;BCL2L11;PIK3CD;FAS;ICAM1;TNF;CDK6;HLA-DPB1;PIK3R1;BID;APAF1;PIK3CA;HLA-DRB5;TRAF2;SKP2;FCER2;IRF7;TYK2;TRAF5;IL6;PIK3R3;VIM;IRF3;HLA-DOB;MYC;PSMD12;TAB2;ENTPD1;HLA-A;SIN3A;CD3D;JAK1;IFNAR2;IFNA5;TAP2;CCND2;IRF9;IFNA14;AKT2;BAX;CDKN1A;IFNAR1;HLA-DQA2;CD40
2,prerank,NOD-like receptor signaling pathway,0.30594786271920793,2.316623379278259,0.0,0.0024496608161946806,0.007,107/142,50.53%,IKBKE;JUN;VDAC2;TLR4;MAP3K7;TXN;IFNA4;BCL2;IFNA2;TANK;MAPK13;IFNA7;IKBKG;NFKBIA;RBCK1;ITPR2;MAPK12;GBP2;NAIP;CARD6;BCL2L1;IRAK4;DNM1L;IFNA10;VDAC1;NLRC4;MYD88;CASP8;IFNB1;CARD9;CASR;RELA;GABARAPL1;MAPK9;CAMP;TBK1;CHUK;IKBKB;OAS3;AIM2;IFNA1;MAPK3;NAMPT;MAPK8;TRAF3;FADD;NLRP3;STAT2;OAS2;NOD1;TXNIP;IL1B;BIRC3;PLCB3;XIAP;TAB3;STAT1;RIPK2;GBP1;CXCL2;SHARPIN;TRPM2;IFI16;TNF;NOD2;RHOA;CXCL1;PRKCD;BIRC2;CTSB;ATG5;GBP4;TICAM1;RIPK3;HSP90AB1;TRAF2;NLRP7;DEFB4A;IRF7;TYK2;TRAF5;IL18;PLCB1;IL6;PLCB4;CCL2;IRF3;CASP4;NEK7;ITPR1;TAB2;PANX1;JAK1;IFNAR2;PSTPIP1;IFNA5;CCL5;IRF9;IFNA14;GPRC6A;ATG16L1;IFNAR1;CYBA;CXCL8;CASP1;MEFV;ERBIN
3,prerank,Influenza A,0.30733770821424583,2.311128869982489,0.0,0.0018372456121460105,0.007,119/145,55.78%,IKBKE;JUN;TLR4;IFIH1;IFNA4;IFNA2;MAPK13;IFNA7;ACTB;EIF2AK3;HLA-DMB;ADAR;HLA-DRB1;NFKBIA;IL33;MAP2K4;RAF1;EIF2AK2;MAPK12;HLA-DRB4;IRAK4;IFNA10;HLA-DRA;VDAC1;MYD88;IFNB1;IFNGR1;RELA;MAPK9;HLA-DPA1;FDPS;EIF2AK4;IL12A;AKT1;MAP2K7;MAP2K3;HLA-DOA;TBK1;IKBKB;OAS3;CYCS;DDX58;IFNA1;HLA-DMA;PRKCA;MAPK3;PLG;MAPK8;NLRP3;FURIN;NXF1;STAT2;TNFRSF10B;OAS2;HSPA8;IL1B;MX1;PIK3CB;DDX39B;STAT1;PIK3CD;FASLG;PML;FAS;ICAM1;TNF;PRSS3;JAK2;HLA-DPB1;PIK3R1;GSK3B;HSPA2;TICAM1;PIK3CA;HLA-DRB5;TNFRSF10A;TNFSF10;EP300;IRF7;HSPA1A;ATF2;TYK2;IL18;PRKCB;IL6;PIK3R3;CCL2;IL12B;IRF3;EIF2AK1;HLA-DOB;SLC25A6;PRSS1;PABPN1;TLR7;EIF2S1;HSPA1B;IFNG;JAK1;IFNAR2;MAP2K1;IFNA5;CCL5;IRF9;IFNA14;AKT2;IFNAR1;HLA-DQA2;CXCL8;CASP1;MAP2K6;CIITA;HLA-DQA1;CASP9;SOCS3;NFKBIB;CPSF4;CXCL10;IFNGR2
4,prerank,Hepatitis B,0.30309520506986354,2.304566285955057,0.0,0.0014697964897168083,0.007,112/153,49.13%,IKBKE;SMAD3;JUN;TLR4;IFIH1;IRAK1;MAP3K7;CCNE1;IFNA4;CCNA1;HRAS;BCL2;MAP3K1;IFNA2;MAPK13;IFNA7;IKBKG;STAT5A;CCNA2;NFKBIA;PTK2B;MAP2K4;DDB2;RAF1;CASP3;MAPK12;BRAF;TLR2;IRAK4;IFNA10;RB1;ATP6AP1;E2F1;MYD88;CASP8;IFNB1;RELA;JAK3;MAPK9;E2F3;CDK2;TGFBR2;AKT1;MAP2K7;MAP2K3;PRKCG;TIRAP;SMAD2;TBK1;CHUK;IKBKB;CYCS;DDX58;IFNA1;PRKCA;CREB3L2;MAPK3;FOS;MAPK8;TRAF3;FADD;STAT2;TP53;CASP10;PIK3CB;SRC;STAT1;TGFBR1;PIK3CD;FASLG;NFATC3;FAS;TNF;NRAS;JAK2;PIK3R1;ATF4;BID;BIRC5;STAT4;TICAM1;APAF1;ARAF;PIK3CA;CREB5;TGFB2;TICAM2;EP300;IRF7;ATF2;TYK2;STAT5B;PRKCB;IL6;GRB2;PIK3R3;IRF3;BAD;NFATC2;MYC;TAB2;EGR2;ELK1;TGFB1;JAK1;MAP2K1;IFNA5;IFNA14;AKT2;BAX;CDKN1A;IFNAR1
5,prerank,Non-alcoholic fatty liver disease (NAFLD),0.30680664163478666,2.2647569342366993,0.0,0.0020997092710240118,0.011,99/125,53.25%,JUN;PRKAA1;SDHB;NR1H3;PRKAB2;NDUFA7;PRKAB1;NDUFB9;EIF2AK3;NDUFS1;NDUFB8;CYC1;NDUFA13;SDHA;CASP7;CASP3;SDHD;COX6B2;NDUFA2;CASP8;COX7C;SDHC;RELA;COX5B;MAPK9;NDUFB6;AKT1;NDUFS4;NDUFB5;COX6A2;IKBKB;CYCS;UQCRB;NDUFA5;ITCH;MAPK8;UQCRFS1;UQCR11;MAP3K11;NDUFC2;NDUFA1;NDUFS5;IL1B;COX7B;PIK3CB;BCL2L11;COX7A1;DDIT3;PIK3CD;IL6R;FASLG;NDUFS2;FAS;TNF;PPARA;PIK3R1;ATF4;GSK3B;BID;NDUFS7;NDUFV2;PRKAG2;CEBPA;ERN1;PIK3CA;TRAF2;NDUFV1;NDUFS6;PRKAA2;COX6C;RXRA;COX6B1;IL6;PIK3R3;PRKAG1;UQCRC1;NDUFA6;IRS1;GSK3A;COX4I1;EIF2S1;NDUFB4;MLXIP;TGFB1;CYP2E1;AKT2;BAX;NDUFC1;NDUFA4;CXCL8;NDUFB2;NDUFB3;NDUFB7;INS;MAP3K5;COX8A;SREBF1;NDUFAB1;CDC42
6,prerank,Parkinson disease,0.32467151018468926,2.254456590135715,0.0,0.002399667738313157,0.015,67/94,43.90%,VDAC2;SDHB;PPIF;SLC25A4;NDUFA7;NDUFB9;NDUFS1;LRRK2;NDUFB8;CYC1;SLC18A2;NDUFA13;SDHA;GNAI2;CASP3;GNAI3;ADORA2A;SDHD;COX6B2;NDUFA2;VDAC1;SNCA;COX7C;SDHC;GPR37;COX5B;PRKACB;NDUFB6;NDUFS4;DRD1;NDUFB5;PARK7;SLC25A5;COX6A2;ADCY5;CYCS;UQCRB;NDUFA5;UQCRFS1;UQCR11;NDUFC2;HTRA2;NDUFA1;NDUFS5;COX7B;TH;COX7A1;PRKACA;NDUFS2;UBE2L3;NDUFS7;NDUFV2;PINK1;UCHL1;APAF1;NDUFV1;NDUFS6;UBB;COX6C;COX6B1;UBE2L6;UQCRC1;NDUFA6;SLC25A6;COX4I1;UBA7;UBE2J1
7,prerank,Alzheimer disease,0.3073556129210847,2.246161821888763,0.0,0.002624636588780015,0.019,85/124,43.60%,CACNA1S;APH1B;SDHB;PPP3CA;NDUFA7;NDUFB9;HSD17B10;GRIN1;EIF2AK3;NDUFS1;NDUFB8;CYC1;ATF6;NDUFA13;SDHA;CASP7;ITPR2;CASP3;SDHD;COX6B2;NDUFA2;APP;PPP3R2;CASP8;SNCA;BACE2;IDE;COX7C;SDHC;COX5B;NDUFB6;NDUFS4;NDUFB5;LPL;PSEN2;COX6A2;CYCS;UQCRB;NAE1;NDUFA5;MAPK3;CDK5;UQCRFS1;UQCR11;FADD;PPP3CC;NDUFC2;BACE1;NDUFA1;GRIN2C;NDUFS5;IL1B;COX7B;PLCB3;APOE;COX7A1;NDUFS2;FAS;ADAM17;TNF;GSK3B;BID;NDUFS7;NDUFV2;ERN1;APAF1;CACNA1C;NDUFV1;NDUFS6;ATP2A2;GAPDH;COX6C;PLCB1;COX6B1;CALM1;PLCB4;UQCRC1;MAPT;CAPN1;NDUFA6;BAD;ADAM10;COX4I1;CACNA1D;ITPR1
8,prerank,Apoptosis,0.3042277990113517,2.209637193541192,0.0,0.003616165966763576,0.03,91/123,49.07%,TUBA1C;JUN;PARP1;MCL1;BECN1;HRAS;BCL2;PARP4;BAK1;GADD45B;HRK;IKBKG;ACTB;EIF2AK3;NFKBIA;MAP3K14;DIABLO;RAF1;CASP7;ITPR2;CASP3;BCL2L1;CASP8;ATM;RELA;MAPK9;GADD45A;AKT1;CASP2;NGFR;CHUK;IKBKB;CFLAR;CYCS;BBC3;PDPK1;MAPK3;FOS;MAPK8;SPTAN1;TUBA8;FADD;TNFRSF10B;TP53;HTRA2;CASP10;BIRC3;CTSH;PIK3CB;XIAP;BCL2L11;DDIT3;PIK3CD;FASLG;CTSW;FAS;TNF;CTSD;TUBA1B;NRAS;PIK3R1;ATF4;BID;TUBA3C;BIRC2;CTSB;BIRC5;LMNB2;ERN1;APAF1;PIK3CA;TRAF2;TNFRSF10A;TNFSF10;PARP2;PMAIP1;PIK3R3;CAPN1;BAD;GZMB;ITPR1;EIF2S1;MAP2K1;TRAF1;CASP6;BCL2A1;AKT2;BAX;CTSK;AIFM1;CTSS
9,prerank,Pathways in cancer,0.2514633350335604,2.174677626564571,0.0,0.005669215031764832,0.049,294/446,48.05%,FGFR2;SMAD3;JUN;DAPK3;IL23A;VEGFA;EGLN1;AGTR1;FZD6;BDKRB2;CCNE1;IGF1;PIM1;MAX;IFNA4;CCNA1;HRAS;BCL2;IFNA2;IL4;BAK1;GNG12;FZD8;IFNA7;IGF2;GADD45B;RASGRP1;RASSF5;IKBKG;PTGER4;FLT3;DVL3;VEGFB;LPAR3;STAT5A;NOTCH1;RUNX1;GSTM3;IL15RA;DVL1;FZD4;NFKBIA;EGFR;WNT5A;BRCA2;DDB2;RALA;PLD1;RAF1;CASP7;PTK2;GNAI2;CASP3;CCND3;ROCK2;GNAI3;HDAC1;KEAP1;TXNRD1;ITGA2B;BRAF;IGF1R;ERBB2;CRKL;SLC2A1;BCL2L1;ETS1;IFNA10;ADCY9;RB1;GNG4;LAMA3;E2F1;RUNX1T1;CSF1R;MSH2;FZD7;CASP8;ABL1;NQO1;IFNGR1;CTBP2;LEF1;ITGA2;RELA;CKS1B;HIF1A;RPS6KB2;GNB4;JAK3;MAPK9;E2F3;CDK2;PDGFRA;MET;GADD45A;TGFBR2;IL13RA1;PRKACB;DAPK1;GNGT2;COL4A5;TCF7L2;PPARD;GNG7;IL12A;CDH1;AKT1;CXCR4;AXIN2;IL7;LRP6;PRKCG;EDNRA;HMOX1;HDAC2;SKP1;HES1;FZD9;MMP1;WNT9B;SMAD2;FGFR1;ESR2;FGFR3;CCND1;GNA12;CHUK;IKBKB;IL13;ADCY5;NFKB2;AXIN1;CYCS;BBC3;IFNA1;IL2RG;MITF;BMP4;PRKCA;GSTO2;MAPK3;RARA;FOS;MAPK8;GSTA2;ADCY3;TRAF3;FADD;HEY1;FN1;PIM2;RALGDS;STAT2;TPR;TP53;CAMK2G;MDM2;GSTP1;LPAR5;CDKN2A;RPS6KB1;GSTM2;PTCH1;IL4R;BIRC3;IL15;GNB5;PIK3CB;PLCB3;ALK;NCOA3;XIAP;MECOM;GLI1;PPARG;GNG8;GSTM1;STAT1;BCL2L11;DAPK2;MMP2;NFE2L2;PRKACA;RASGRP4;EML4;TGFBR1;ESR1;PIK3CD;IL6R;FASLG;EPOR;PLCG1;KITLG;PML;ADCY7;FAS;CTNNB1;RASSF1;CDK6;EDN1;NRAS;JAK2;PIK3R1;RHOA;LAMB2;GSK3B;IL7R;BID;ARHGEF12;IL6ST;BIRC2;EDNRB;RARB;VEGFC;CEBPA;IL23R;BIRC5;ITGA3;IL5;STAT4;APAF1;ARAF;PIK3CA;HSP90AB1;ZBTB16;FOXO1;FGF2;TRAF2;SKP2;EPO;TGFB2;F2R;WNT10B;LPAR6;SMO;TCF7;TGFA;WNT3;EP300;TRAF4;TRAF5;STAT5B;IL2RB;KIT;IL2RA;RXRA;PLCB1;PRKCB;CALM1;IL6;GRB2;PLCB4;FLT4;PMAIP1;PIK3R3;IL12B;RET;PAX8;MGST1;COL4A2;EGLN3;BAD;MYC;CTNNA1;ADCY1;GSTA3;GSTA1;GNG11;GSTA4;ITGAV;IFNG;ELK1;IL12RB1;CSF2RA;TGFB1;JAK1;GNAS;IFNAR2;STK4;MAP2K1;MGST2;IFNA5;TRAF1;FGFR4;FH;PTEN;CCND2;IFNA14;RASGRP2;ROCK1;PTGER2;IL5RA;AKT2
