,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,AGE-RAGE signaling pathway in diabetic complications,0.4388650913451745,3.1549564120989104,0.0,0.0,0.0,67/89,36.88%,MMP2;JAK2;F3;MAPK14;PRKCA;AKT3;EGR1;PLCB1;VCAM1;JUN;MAPK9;CCL2;SMAD4;CYBB;PLCG1;THBD;VEGFC;PIK3CD;ICAM1;SMAD3;STAT3;AGT;MAPK11;COL4A3;AKT1;RAC1;MAPK13;MAPK1;PLCG2;IL1B;STAT5A;CDK4;TNF;TGFBR1;IL6;PRKCE;PIK3CA;RELA;CASP3;TGFBR2;STAT1;PIK3CB;VEGFB;MAPK3;PRKCZ;PLCE1;PIK3R2;FOXO1;CDC42;NOX1;BCL2;EDN1;NRAS;TGFB2;PRKCD;CCND1;HRAS;MAPK8;TGFB3;PIK3R3;BAX;NFATC1;PIK3R1;COL4A5;AKT2;AGTR1;PLCB3
1,prerank,TNF signaling pathway,0.42005464205108456,3.108169446573545,0.0,0.0,0.0,72/104,32.78%,CX3CL1;CHUK;MAPK14;TAB2;AKT3;TRADD;TRAF5;IL15;CFLAR;VCAM1;JUN;MAPK9;CCL2;MAP2K7;CREB3L4;TNFAIP3;VEGFC;CCL20;IKBKB;PIK3CD;CSF1;CASP7;IL18R1;FADD;ICAM1;ATF2;MAPK11;RPS6KA4;AKT1;LTA;MAPK13;TRAF2;MAPK1;FAS;IL1B;CASP8;ATF4;JAG1;TNF;IL6;CXCL5;PIK3CA;RELA;MAP3K8;CASP3;NFKBIA;CASP10;MAP3K5;MMP14;PIK3CB;BIRC2;MAPK3;PIK3R2;JUNB;SOCS3;IRF1;CXCL3;MAP2K4;EDN1;TNFRSF1B;MAP2K1;CREB1;TRAF1;IFNB1;MAP3K14;MAPK8;RPS6KA5;CREB5;PIK3R3;BIRC3;CXCL10;IKBKG
2,prerank,Hepatitis B,0.3694432121166722,2.930201526759129,0.0,0.0,0.0,106/153,38.78%,IFNA16;TBK1;JAK2;TP53;CHUK;MAPK14;CCNA2;PRKCA;RB1;TAB2;IRAK4;AKT3;DDB2;E2F1;JUN;MAPK9;EP300;NFATC4;SMAD4;MAP2K7;TLR4;TLR3;CREB3L4;STAT2;IRF7;IKBKE;BID;IKBKB;IFIH1;PIK3CD;DDX58;FADD;JAK3;ATF2;SMAD3;STAT3;MAPK11;PRKCG;IFNA1;APAF1;AKT1;STAT6;MAPK13;GRB2;MAPK1;FAS;CDKN1A;BRAF;CASP8;STAT5A;PTK2B;ATF4;TNF;TGFBR1;IL6;CREBBP;PIK3CA;RELA;CASP3;IRF3;TGFBR2;STAT1;NFKBIA;CASP10;STAT4;PIK3CB;MAPK3;CYCS;PIK3R2;IFNA2;RAF1;BCL2;MAP2K4;IFNA21;TLR2;NRAS;SRC;MAP2K1;CREB1;CASP9;CCNA1;TGFB2;IFNB1;HRAS;TYK2;JAK1;MAPK8;TGFB3;TIRAP;CREB5;PIK3R3;IRAK1;BAX;IKBKG;CCNE1;NFATC1;PIK3R1;NFATC3;AKT2;PCNA;HSPG2;SLC10A1;FOS;IFNA14;MMP9;CDK2
3,prerank,Apoptosis,0.3859904731522382,2.9182220435805504,0.0,0.0,0.0,99/123,46.85%,TP53;CHUK;NTRK1;PARP2;GADD45B;AKT3;TRADD;MCL1;CFLAR;JUN;BCL2A1;ACTB;MAPK9;ENDOG;DAXX;BID;ACTG1;IKBKB;PIK3CD;CASP7;FADD;CTSH;PMAIP1;SPTAN1;APAF1;AKT1;TRAF2;TUBA3C;MAPK1;FAS;DDIT3;BECN1;CASP8;ATF4;TUBA4A;TNF;ATM;BCL2L1;DIABLO;PIK3CA;RELA;CASP3;CTSW;NGF;NFKBIA;CASP10;MAP3K5;CSF2RB;PIK3CB;BIRC2;MAPK3;CYCS;PIK3R2;PDPK1;RAF1;AIFM1;BCL2;NRAS;MAP2K1;LMNA;TRAF1;CASP9;PARP1;MAP3K14;HRAS;TNFRSF10B;DFFB;MAPK8;PIK3R3;NGFR;ERN1;TUBA1A;BIRC3;BAX;IKBKG;PIK3R1;CTSB;CTSL;AKT2;TUBA1B;FOS;SPTA1;PARP4;XIAP;BCL2L11;TNFRSF10A;CAPN1;DFFA;TNFRSF1A;IL3RA;CTSK;HTRA2;CTSC;FASLG;KRAS;TUBA8;GZMB;CTSD;NFKB1
4,prerank,Pancreatic cancer,0.41995049514939764,2.8197709808084386,0.0,0.0,0.0,51/71,35.11%,TP53;CHUK;RPS6KB1;GADD45B;RB1;AKT3;DDB2;E2F1;EGFR;MAPK9;SMAD4;RPS6KB2;IKBKB;MTOR;PIK3CD;SMAD3;STAT3;AKT1;RAC3;RAC1;MAPK1;CDKN1A;BRAF;CDK4;TGFBR1;BCL2L1;ERBB2;PIK3CA;RELA;TGFBR2;STAT1;PIK3CB;MAPK3;CDK6;PIK3R2;CDC42;RAF1;RALBP1;MAP2K1;CASP9;TGFB2;TGFA;CCND1;JAK1;MAPK8;TGFB3;PIK3R3;BAX;IKBKG;PIK3R1;AKT2
5,prerank,Fluid shear stress and atherosclerosis,0.3658037915938455,2.7775606219585485,0.0,0.0,0.0,91/122,43.15%,MEF2A;MMP2;TP53;CHUK;MAPK14;CALM3;AKT3;PRKAA1;ASS1;GSTO1;VCAM1;JUN;HSP90AB1;ACTB;MAPK9;NCF1;CCL2;KEAP1;PLAT;MAP2K7;RHOA;THBD;DUSP1;IFNG;HMOX1;ACTG1;GSTM4;IKBKB;PIK3CD;GSTP1;ICAM1;ARHGEF2;CAV1;MAPK11;GSTM1;AKT1;RAC3;RAC1;MAPK13;CTNNB1;IL1B;TNF;GPC1;GSTT1;PIK3CA;RELA;MAP3K5;PIK3CB;NFE2L2;HSP90B1;BMP4;GSTM3;PRKCZ;BMPR1B;ITGAV;PIK3R2;ACVR1;NOX1;CAV3;SDC4;BCL2;MAP2K4;EDN1;SRC;GSTA1;TRPV4;HSP90AA1;MAPK8;PIK3R3;IKBKG;MAPK7;SDC1;PIK3R1;NCF2;CTSL;AKT2;MAP2K5;GSTM5;CALM1;FOS;MMP9;PRKAA2;SQSTM1;TXN;BMPR1A;GSTA5;PTK2;TNFRSF1A;SDC2;GSTA2;CAV2
6,prerank,Prolactin signaling pathway,0.4141499034075697,2.7351638265820197,0.0,0.0,0.0,57/64,51.90%,CGA;JAK2;MAPK14;INS;GSK3B;AKT3;SHC4;TNFRSF11A;MAPK9;SOCS1;PIK3CD;STAT3;MAPK11;AKT1;MAPK13;GRB2;MAPK1;GALT;STAT5A;PRLR;PIK3CA;RELA;CISH;STAT1;PIK3CB;PRL;MAPK3;PIK3R2;CYP17A1;SOCS2;SOCS3;RAF1;IRF1;NRAS;SRC;SLC2A2;MAP2K1;CCND1;HRAS;MAPK8;PIK3R3;PIK3R1;TNFSF11;AKT2;GCK;FOS;ESR2;SOCS5;KRAS;SOCS4;NFKB1;SHC1;TH;CCND2;SOS2;ESR1;LHCGR
7,prerank,Neurotrophin signaling pathway,0.37124680697712115,2.7343824133157675,0.0,0.0,0.0,71/103,37.48%,RAP1A;TP53;ABL1;MAPK14;NTRK1;CALM3;IRAK4;GSK3B;AKT3;SHC4;JUN;CAMK2G;MAPK9;MAP2K7;IRS1;MAPKAPK2;RHOA;PLCG1;IKBKB;PIK3CD;MAPK11;AKT1;RAC1;MAPK13;GRB2;MAPK1;NTRK3;PRDM4;PLCG2;BRAF;CRKL;IRAK2;ATF4;PIK3CA;RELA;NGF;NFKBIA;MAP3K5;PIK3CB;MAGED1;MAPK3;PIK3R2;CRK;CDC42;PDPK1;RAF1;CAMK2D;BCL2;MATK;NRAS;SH2B3;MAP2K1;PRKCD;HRAS;MAPK8;RPS6KA5;PIK3R3;NGFR;SORT1;FRS2;IRAK1;ARHGDIB;BAX;MAPK7;PIK3R1;NTRK2;AKT2;NFKBIB;MAP2K5;CALM1;RPS6KA1
8,prerank,Insulin signaling pathway,0.3560164882812594,2.690091830754233,0.0,0.0,0.0,77/111,39.63%,RPS6KB1;RHEB;PRKAR2B;CALM3;INS;GSK3B;AKT3;PRKAA1;SHC4;TSC2;PHKG2;MAPK9;SOCS1;IRS1;INPPL1;PYGB;RPS6KB2;RPS6;HK1;CBLB;IKBKB;MTOR;PIK3CD;EIF4E;PHKA1;PRKACG;PRKAB1;AKT1;PRKAR1A;GRB2;MAPK1;RPTOR;BRAF;CRKL;PYGL;PRKAG2;PRKCI;PCK1;FBP1;PIK3CA;PRKACB;PIK3CB;ACACB;G6PC;MAPK3;PRKCZ;PIK3R2;CRK;FOXO1;G6PC2;PRKAR2A;SOCS2;PDPK1;SOCS3;RAF1;PTPN1;NRAS;PHKG1;TRIP10;PRKAG1;MAP2K1;PCK2;HRAS;MAPK8;PIK3R3;PRKACA;PPP1CC;PTPRF;PIK3R1;AKT2;GCK;CALM1;PPARGC1A;SLC2A4;PPP1CA;PRKAA2;PRKAR1B
9,prerank,Kaposi sarcoma-associated herpesvirus infection,0.3330413002359198,2.6890581077214537,0.0,0.0,0.0,100/159,35.78%,IFNA16;HIF1A;TBK1;JAK2;LYN;TP53;CHUK;MAPK14;CALM3;CCR4;RB1;GSK3B;AKT3;TRADD;E2F1;JUN;MAPK9;EP300;NFATC4;MAP2K7;MAPKAPK2;TLR3;PLCG1;STAT2;GNG12;IRF7;IKBKE;BID;PIK3R5;IKBKB;MTOR;PIK3CD;EIF2AK2;FADD;ICAM1;STAT3;MAPK11;IFNA1;AKT1;RAC1;MAPK13;TRAF2;MAPK1;CTNNB1;FAS;PIK3CG;GNB4;CDKN1A;PLCG2;BECN1;CASP8;CDK4;HLA-A;IL6;CREBBP;PIK3CA;RELA;CASP3;IRF3;STAT1;NFKBIA;PIK3CB;GNG11;IFNGR1;GNB2;CCR5;MAPK3;CYCS;CDK6;PIK3R2;IFNA2;RAF1;CD86;CXCL3;MAP2K4;IFNA21;GNGT2;NRAS;SRC;MAP2K1;CREB1;CASP9;FGF2;IFNB1;CCND1;HRAS;TYK2;JAK1;MAPK8;PIK3R3;GNG8;GNG4;BAX;IKBKG;NFATC1;PIK3R1;NFATC3;AKT2;HLA-B;SYK
