,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,TNF signaling pathway,0.3917937791564218,2.6196664205402884,0.0,0.0,0.0,86/104,49.41%,MAPK14;TRADD;CX3CL1;JUN;TRAF5;MAP2K4;MAP3K5;FAS;TNFAIP3;MAP2K7;IL15;ATF4;AKT3;CASP7;CCL5;CHUK;ATF2;MAPK9;CCL2;CCL20;PIK3CA;AKT2;IL1B;FADD;CFLAR;VEGFC;MAP2K1;CREB1;IKBKB;AKT1;IL18R1;CXCL3;MAP3K14;CREB3L2;TRAF2;IFNB1;TAB2;EDN1;CXCL1;CXCL2;CASP10;CEBPB;NFKBIA;BIRC2;MAPK13;MAPK1;ICAM1;IRF1;CASP3;MAPK3;MAPK11;PIK3R1;CSF1;PTGS2;NFKB1;RPS6KA4;TNFRSF1A;CASP8;CXCL5;VCAM1;PIK3CD;MMP14;FOS;JAG1;TNFRSF1B;LIF;PIK3CB;DNM1L;PIK3R3;CREB3L4;MAPK8;TRAF3;RPS6KA5;LTA;TRAF1;RIPK1;MAP3K8;RELA;BIRC3;JUNB;MAPK12;MLKL;IL6;TNF;MAP2K6;PIK3R2
1,prerank,Chagas disease (American trypanosomiasis),0.394184931523037,2.5993302181587086,0.0,0.0,0.0,71/97,40.35%,IRAK4;MAPK14;JUN;TLR9;IFNG;MAP2K4;FAS;SMAD3;KNG1;AKT3;CCL5;CHUK;MAPK9;CCL2;PLCB1;PIK3CA;TGFBR1;AKT2;TGFBR2;TLR4;IL1B;FADD;IFNGR1;CFLAR;IL12A;PPP2R2A;IKBKB;AKT1;CD247;GNAI2;IFNB1;NFKBIA;GNA15;MAPK13;BDKRB2;MAPK1;PPP2R1A;IL10;TLR2;MAPK3;CD3D;MAPK11;PIK3R1;C3;IRAK1;PPP2R2D;CCL3;MYD88;NFKB1;TNFRSF1A;CASP8;PIK3CD;TICAM1;PPP2CB;FOS;C1QC;GNAI3;C1QB;SMAD2;GNAI1;TGFB3;PIK3CB;GNA11;PIK3R3;CALR;CD3G;MAPK8;C1QA;GNAS;PLCB3;TLR6
2,prerank,AGE-RAGE signaling pathway in diabetic complications,0.39485751020203536,2.5576709867559693,0.0,0.0,0.0,74/89,49.41%,JAK2;F3;MAPK14;MMP2;JUN;EGR1;PRKCE;SMAD3;NOX1;PLCG1;PRKCZ;AKT3;STAT3;MAPK9;PRKCA;CCL2;PLCB1;SMAD4;PIK3CA;STAT1;TGFBR1;AKT2;CDK4;TGFBR2;IL1B;PLCG2;VEGFC;AKT1;CYBB;CCND1;EDN1;COL4A3;RAC1;CDC42;PRKCD;KRAS;MAPK13;MAPK1;ICAM1;FOXO1;BCL2;CASP3;MAPK3;BAX;MAPK11;NRAS;PIK3R1;AGT;THBD;HRAS;PLCD1;NFKB1;VCAM1;PIK3CD;VEGFB;SMAD2;TGFB3;PIK3CB;COL4A5;PIK3R3;MAPK8;PLCB3;NFATC1;TGFB2;STAT5A;TGFB1;CDKN1B;RELA;AGTR1;FN1;MAPK12;IL6;TNF;PIK3R2
3,prerank,Viral myocarditis,0.4559451851840026,2.521675482955688,0.0,0.0,0.0,31/45,29.07%,ITGAL;DAG1;EIF4G1;ACTB;HLA-A;BID;HLA-DPA1;CAV1;DMD;HLA-DOB;HLA-DRB3;RAC3;CD86;ITGB2;CCND1;RAC1;CD55;CYCS;FYN;ABL1;ACTG1;HLA-DRA;HLA-DQB1;ICAM1;CASP3;HLA-DMB;HLA-DQA1;CXADR;CD40;CASP8;CD40LG
4,prerank,Prostate cancer,0.38564267633088234,2.4968779096525395,0.0,0.0,0.0,62/89,37.82%,ZEB1;TP53;EP300;LEF1;ATF4;PLAT;AKT3;CHUK;INS;HSP90AB1;EGFR;PIK3CA;AKT2;ERG;CDK2;MAP2K1;CREB1;IKBKB;AKT1;CREB3L2;PLAU;CTNNB1;CCND1;GRB2;PTEN;TGFA;NFKBIA;RB1;E2F1;KRAS;MAPK1;CDKN1A;FOXO1;HSP90AA1;ERBB2;CREBBP;BCL2;CCNE1;PDPK1;IGF1R;MAPK3;TCF7L2;HSP90B1;NRAS;PIK3R1;PDGFRB;FGFR1;HRAS;ETV5;NFKB1;GSK3B;GSTP1;NKX3-1;PIK3CD;RAF1;SOS2;PIK3CB;PIK3R3;CREB3L4;MTOR;PDGFRA;BAD
5,prerank,Hepatitis B,0.35413843649178434,2.4957990273752904,0.0,0.0,0.0,120/153,49.46%,JAK2;IFNA16;IRAK4;MAPK14;NFATC4;PRKCG;STAT2;JUN;TP53;MAP2K4;PCNA;EP300;FAS;SMAD3;DDB2;MAP2K7;ATF4;STAT6;AKT3;CHUK;ATF2;STAT3;MAPK9;BID;PRKCA;TBK1;SMAD4;PIK3CA;STAT1;IRF7;TGFBR1;AKT2;TGFBR2;TLR4;FADD;CDK2;MAP2K1;CREB1;IKBKB;IFNA2;AKT1;JAK3;CREB3L2;TLR3;IFNB1;TAB2;IFNA17;APAF1;IFIH1;GRB2;CCNA2;CASP10;NFKBIA;RB1;E2F1;CYCS;NFATC3;KRAS;MAPK13;MAPK1;CDKN1A;IFNA14;TYK2;CREBBP;BCL2;CASP3;CCNE1;YWHAQ;TLR2;MAPK3;BAX;MAPK11;NRAS;IKBKE;PIK3R1;HSPG2;STAT4;IFNA1;HRAS;IRAK1;SLC10A1;MYD88;NFKB1;DDX58;CASP8;PIK3CD;TICAM1;RAF1;FOS;SOS2;SMAD2;IFNA21;TIRAP;TGFB3;PIK3CB;PIK3R3;CREB3L4;MAPK8;BAD;TRAF3;PTK2B;NFATC1;TGFB2;STAT5A;CASP9;TGFB1;RELA;TICAM2;IRF3;ARAF;BIRC5;BRAF;SRC;MAPK12;IL6;FASLG;TNF;MAP2K6;PIK3R2;CCNA1
6,prerank,Fc epsilon RI signaling pathway,0.4091250233805577,2.433352530528433,0.0,0.00029817497469293916,0.002,42/59,37.98%,MAPK14;MAP2K4;LYN;SYK;MAP2K7;PLCG1;AKT3;MAPK9;PRKCA;PIK3CA;AKT2;PLCG2;MAP2K1;AKT1;RAC3;BTK;GRB2;RAC1;VAV1;KRAS;FYN;MAPK13;MAPK1;PDPK1;MAPK3;MAPK11;NRAS;PIK3R1;HRAS;FCER1A;PLA2G4A;PIK3CD;IL13;RAF1;SOS2;ALOX5AP;FCER1G;PIK3CB;VAV3;PIK3R3;MAPK8;ALOX5
7,prerank,Estrogen signaling pathway,0.368510137394952,2.413057560768883,0.0,0.00026090310285632176,0.002,69/98,41.03%,HSPA1A;MMP2;JUN;PRKACG;ATF4;AKT3;OPRM1;GABBR1;HSP90AB1;ATF2;PLCB1;EGFR;PIK3CA;AKT2;KRT26;POMC;MAP2K1;CREB1;AKT1;KRT19;GNAI2;KCNJ5;ADCY3;CREB3L2;CALM3;GRB2;TGFA;PRKCD;KRAS;MAPK1;HSP90AA1;ADCY6;BCL2;KRT12;GABBR2;SHC4;MAPK3;PRKACA;ADCY7;HSP90B1;NRAS;NCOA3;PIK3R1;HBEGF;HRAS;PGR;PRKACB;GPER1;HSPA1B;PIK3CD;RARA;SHC1;RAF1;GRM1;FOS;FKBP5;SOS2;GNAI3;GNAI1;PIK3CB;PIK3R3;CREB3L4;CALM1;ITPR1;ESR2;GNAS;PLCB3;CTSD;HSPA2
8,prerank,Epithelial cell signaling in Helicobacter pylori infection,0.4188797841252905,2.4115098910636847,0.0,0.00023191386920561936,0.002,32/52,27.70%,MAPK14;MET;JUN;CSK;MAP2K4;LYN;NOD1;PLCG1;CCL5;CHUK;MAPK9;CXCR2;EGFR;PLCG2;TCIRG1;IKBKB;CXCR1;MAP3K14;RAC1;CDC42;CXCL1;NFKBIA;MAPK13;CASP3;JAM3;MAPK11;HBEGF;ADAM10;F11R;ATP6V1D;PAK1;NFKB1
9,prerank,Sphingolipid signaling pathway,0.3647379779939709,2.4092047561844003,0.0,0.00031308372342758614,0.003,66/101,37.54%,GNA13;MAPK14;TRADD;ASAH1;PRKCG;TP53;RHOA;PRKCE;MAP3K5;KNG1;PRKCZ;AKT3;SGPL1;MAPK9;BID;PRKCA;PLCB1;PIK3CA;AKT2;ROCK1;SPTLC2;PLD1;MAP2K1;PPP2R2A;AKT1;SPHK1;GNAI2;RAC3;TRAF2;PTEN;RAC1;PLD2;KRAS;FYN;MAPK13;BDKRB2;PPP2R5B;MAPK1;PPP2R1A;BCL2;SPTLC3;PDPK1;MAPK3;BAX;MAPK11;S1PR2;NRAS;SPTLC1;PIK3R1;HRAS;PPP2R2D;NFKB1;TNFRSF1A;S1PR4;PPP2R3C;FCER1A;PIK3CD;RAF1;PPP2CB;GNAI3;FCER1G;GNAI1;PIK3CB;ABCC1;PIK3R3;MAPK8
