,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Measles,0.29765378151034894,2.788992892817492,0.0,0.0,0.0,102/126,54.38%,IKBKG;CCNE1;BAX;PIK3CA;FAS;ADAR;TYK2;IFNA21;EIF2AK4;APAF1;CASP9;PIK3CB;PIK3R1;IFNA14;TBK1;CSNK2A2;PIK3CD;IRAK1;DDX58;RELA;CCND1;CASP3;MAP3K7;IFIH1;CSNK2A1;TNFAIP3;IL12A;BAD;HSPA1A;AKT1;EIF2AK2;TP53;CD209;IKBKB;BCL2;CSNK2B;IL6;CD46;JUN;TLR7;IFNAR1;IFNB1;CBLB;HSPA8;BCL2L1;HSPA1B;MAPK8;TLR4;CD3E;CDK4;IFNA10;NFKBIA;CDKN1B;IFNA2;CASP8;CCND2;NFKBIB;STAT3;IL2RB;CCND3;CYCS;CDK2;MAPK9;IFNA8;FOS;STAT2;STAT1;IRF7;OAS3;IL2RG;CDK6;OAS1;BAK1;IFNAR2;CD3G;IFNA7;BBC3;TRADD;IRAK4;GSK3B;SLAMF1;JAK3;TLR9;IL1B;CD3D;IFNA16;IFNA1;IL2RA;NFKB1;MYD88;PIK3R2;EIF2AK3;IKBKE;FCGR2B;TAB2;CD28;BID;STAT5A;IL12B;EIF3H;CHUK;AKT3
1,prerank,Kaposi sarcoma-associated herpesvirus infection,0.2762139472961572,2.771625919463782,0.0,0.0,0.0,97/159,37.73%,GNB5;IKBKG;TLR3;FGF2;CALM1;BAX;PIK3CA;GNG12;FAS;PIK3C3;HIF1A;TYK2;IFNA21;RAC1;NRAS;GNB4;CASP9;PIK3CB;JAK2;PIK3R1;IFNA14;CD86;CCR1;PIK3R6;TBK1;PIK3CD;RELA;CCND1;MAPK12;CASP3;CDKN1A;CCR5;PLCG1;C3;AKT1;MYC;EIF2AK2;SYK;TNFRSF1A;IFNGR1;TP53;PPP3R2;IKBKB;CCR4;IL6;MAPKAPK2;PPP3CA;NFATC3;JUN;IFNAR1;IFNB1;ICAM1;CXCL3;MAPK8;MAP2K7;BECN1;VEGFA;PLCG2;NFATC2;CDK4;CXCL1;TICAM1;IFNA10;PIK3R5;NFKBIA;NFATC1;IFNA2;GNB2;CASP8;ITPR1;STAT3;GNG8;CYCS;MAPK9;IFNA8;FOS;STAT2;STAT1;GNG4;UBB;HCK;IRF7;IL6ST;MAP2K6;CREBBP;CDK6;GNG11;BAK1;CALM3;IFNAR2;RB1;RCAN1;NFATC4;GNG7;CALM2;IFNA7;CCR3
2,prerank,Cytokine-cytokine receptor interaction,0.250417508019296,2.7258535535779016,0.0,0.0,0.0,194/229,61.99%,IL17D;IL4R;IL15RA;FAS;GH1;IFNA21;TNFRSF12A;CSF2RB;OSMR;CCL22;IFNG;TGFB2;CXCL10;LEPR;IFNA14;CD70;CCR1;CCL19;CCL11;CXCL12;TNFRSF21;ACVRL1;IL15;CCR5;TNFRSF13B;CD27;IL12A;CCL4;TNFSF4;TNFRSF10A;CCL21;TNFRSF1A;CXCL9;CXCL13;IL9;IFNGR1;TNFSF8;TNFSF11;TNFSF12;CCR4;IL6;TNFSF13;LTBR;MPL;TNFRSF6B;CXCR6;IFNAR1;IFNB1;IL33;CXCL3;IL7;CCL18;CXCR5;IL3RA;TNFSF13B;IFNL3;BMPR2;IL17F;IL11;EDA;TNFRSF18;LIF;CXCL1;IL18;CXCR3;CCL5;IFNA10;IL31;ACKR3;IFNA2;IL13RA2;CCL3L3;PF4;IL6R;IL2RB;IL27RA;TNFRSF10B;IL10RA;TSLP;IL23A;IL21R;CRLF2;CCL8;CXCR4;TGFB3;IFNA8;ACVR1;IL18RAP;CSF2RA;IL27;IL7R;PRLR;BMP2;BMP4;IL1RN;CCL24;TNFRSF8;TNFRSF9;IL1RL2;IL1R2;IL6ST;TNFRSF11A;IL2RG;IL1R1;CD40;TNFSF9;CXCL5;IFNAR2;GHR;TGFBR2;IL13;EPO;TNF;CNTFR;IFNA7;CCR3;TNFSF14;IL17RA;XCL2;ACVR1C;CXCL6;CCR9;EDAR;ACVR2A;TNFSF15;XCL1;CXCL11;TNFRSF17;IL25;CSF1R;CXCR1;TNFRSF11B;IL1B;IL13RA1;CCL17;IFNA16;CCL20;BMP5;TNFRSF19;CD40LG;IFNA1;CCL4L2;IL2RA;IFNGR2;CCL3;TGFB1;CX3CL1;IL11RA;IL17RC;IL36RN;INHBC;ACVR1B;BMPR1B;AMH;AMHR2;IL1RAP;CD4;IL36G;CCR2;LIFR;CCL13;TNFRSF10D;PRL;IL12B;IL4;NGF;ACVR2B;IL10;TNFRSF14;CCL2;CXCL8;IL21;IL2;LTA;IL1RL1;CSF1;LTB;CCL1;CCL23;CXCR2;IL26;IL16;BMPR1A;TNFSF18;INHBE;IL23R;CSF3;IFNA17;CCL28;IL20;IL12RB2;IL22;RELT;CSF3R
3,prerank,MicroRNAs in cancer,0.28853397798824865,2.716876304271299,0.0,0.0,0.0,78/129,35.57%,HDAC1;CCNE1;RPS6KA5;RHOA;PIK3CA;NOTCH1;NOTCH2;GLS;MDM4;NRAS;MMP9;PDGFRB;PAK4;TGFB2;TIMP3;RDX;SLC7A1;IRS1;CCND1;SOX4;BCL2L2;CASP3;CDKN1A;SHC1;PIM1;SIRT1;PLCG1;HDAC4;MYC;ABL1;MET;TP53;IKBKB;PLAU;STMN1;ERBB2;BCL2;MDM2;ERBB3;FGFR3;CDC25B;CYP1B1;HMOX1;BMPR2;VEGFA;PLCG2;CYP24A1;ABCC1;DDIT4;DNMT3A;FSCN1;CDC25A;CDKN1B;ITGB3;EGFR;CCND2;ATM;STAT3;SERPINB5;EZH2;CCNG1;BRCA1;IRS2;DNMT1;MCL1;ST14;SOCS1;RPTOR;CRK;MIR34A;BMF;CREBBP;CDK6;FOXP1;BAK1;PRKCA;WNT3;CDKN2A
4,prerank,Influenza A,0.2756111632169055,2.663845246428256,0.0,0.0,0.0,107/145,49.88%,TLR3;PIK3CA;FAS;ADAR;TYK2;IFNA21;EIF2AK4;FDPS;PRSS2;CASP9;PIK3CB;IFNG;JAK2;PIK3R1;CXCL10;IFNA14;TBK1;PIK3CD;DDX58;RELA;MAPK12;HLA-DMB;HLA-DPB1;IFIH1;IL12A;HSPA1A;AKT1;EIF2AK2;HLA-DRB1;PRSS3;TNFRSF10A;TNFRSF1A;IFNGR1;IKBKB;PLG;CASP1;IL6;HLA-DOA;JUN;TLR7;IFNAR1;IFNB1;IL33;ICAM1;HLA-DQB1;HSPA8;HSPA1B;MAPK8;TLR4;MAP2K7;IL18;CCL5;TICAM1;IFNA10;NFKBIA;ATF2;IFNA2;NFKBIB;PML;SOCS3;CYCS;TNFRSF10B;HLA-DMA;MAPK9;ACTB;IFNA8;MAP2K3;STAT2;STAT1;IRF7;OAS3;MAP2K6;CREBBP;OAS1;HLA-DQA2;CPSF4;IFNAR2;RNASEL;PRKCA;TNF;IFNA7;HLA-DRA;CIITA;IRAK4;GSK3B;MAP2K1;NLRP3;RAF1;IL1B;IFNA16;HLA-DPA1;IFNA1;HLA-DOB;NFKB1;MYD88;IFNGR2;MAPK3;SLC25A6;DDX39B;FURIN;PIK3R2;EIF2AK3;IKBKE;MAPK11;VDAC1;MAPK1;MAP2K4
5,prerank,Epstein-Barr virus infection,0.2497072704408409,2.587826600435356,0.0,0.0,0.0,101/174,37.64%,CCNA2;HDAC1;IKBKG;CCNE1;BAX;PIK3CA;B2M;FAS;CD19;TYK2;IFNA21;RAC1;APAF1;SAP30;CASP9;PIK3CB;CD58;PIK3R1;CXCL10;IFNA14;HES1;TBK1;PIK3CD;IRAK1;DDB2;BTK;DDX58;RELA;CCND1;MAPK12;CASP3;CR2;CDKN1A;HLA-DMB;MAP3K7;HLA-DPB1;FCER2;TNFAIP3;AKT1;MYC;EIF2AK2;HLA-DRB1;SYK;TP53;IKBKB;NFKBIE;PSMD2;BCL2;IL6;HLA-DOA;MDM2;JUN;IFNAR1;IFNB1;ICAM1;HLA-DQB1;MAPK8;MAP2K7;CD3E;PLCG2;CDK4;IFNA10;NFKBIA;RUNX3;PSMD1;TAP1;CDKN1B;IFNA2;MAP3K14;CASP8;CCND2;NFKBIB;STAT3;PSMD4;PSMD3;CCND3;CYCS;CDK2;HLA-DMA;MAPK9;IFNA8;MAP2K3;STAT2;STAT1;IRF7;OAS3;MAP2K6;CD40;CDK6;OAS1;HLA-DQA2;CCNA1;BAK1;IFNAR2;RB1;GADD45B;TNF;VIM;USP7;CD3G;IFNA7
6,prerank,Toxoplasmosis,0.29693631714426555,2.5819549996622273,0.0,0.0,0.0,80/99,54.38%,IKBKG;TYK2;PDPK1;CASP9;IFNG;TGFB2;JAK2;PIK3R6;ITGA6;IRAK1;RELA;MAPK12;CASP3;HLA-DMB;CCR5;MAP3K7;HLA-DPB1;IL12A;BAD;HSPA1A;AKT1;HLA-DRB1;TNFRSF1A;IFNGR1;IKBKB;BCL2;HLA-DOA;LAMB3;HLA-DQB1;HSPA8;BCL2L1;HSPA1B;MAPK8;TLR4;BIRC7;GNAI3;PIK3R5;NFKBIA;CASP8;NOS2;NFKBIB;STAT3;IRGM;GNAI2;CYCS;HLA-DMA;IL10RA;BIRC3;MAPK9;TGFB3;MAP2K3;SOCS1;STAT1;MAP2K6;CD40;HLA-DQA2;TNF;LAMB2;ITGB1;HLA-DRA;CIITA;IRAK4;CD40LG;HLA-DPA1;HLA-DOB;NFKB1;MYD88;IFNGR2;MAPK3;TGFB1;MAPK11;MAPK1;LAMA3;TAB2;HLA-DRB5;MAPK14;PPIF;IL12B;CHUK;AKT3
7,prerank,Fluid shear stress and atherosclerosis,0.27458770033295166,2.574683352595404,0.0,0.0,0.0,98/122,56.21%,IKBKG;RHOA;CALM1;PIK3CA;RAC1;TXN;GSTP1;MMP9;HSP90B1;GSTM1;NOX1;PIK3CB;IFNG;PIK3R1;SDC2;PIK3CD;RELA;MAPK12;PRKAA1;EDN1;PTK2;MAP3K7;NCF2;SDC4;KEAP1;AKT1;TNFRSF1A;SQSTM1;GSTA3;TP53;IKBKB;GSTM3;BCL2;ARHGEF2;MMP2;JUN;ICAM1;CAV1;GPC1;MAPK8;MAP2K7;SELE;HMOX1;SDC1;BMPR2;VEGFA;GSTA4;MEF2A;MGST1;ITGB3;VCAM1;GSTM5;HSP90AA1;MAPK9;ACTB;ACVR1;FOS;MAP2K5;BMP4;IL1R2;CAV3;MAP2K6;IL1R1;MEF2C;HSP90AB1;CALM3;CTSL;TNF;CALM2;PLAT;THBD;ITGAV;TRPV4;NCF1;ACVR2A;GSTO1;GSTO2;PRKAA2;CYBA;IL1B;GSTT1;CTNNB1;PECAM1;NFKB1;PIK3R2;MAPK11;BMPR1B;MAP3K5;MAP2K4;DUSP1;NFE2L2;MAPK14;CHUK;AKT3;ITGA2B;ACVR2B;MAPK7;CCL2
8,prerank,Transcriptional misregulation in cancer,0.2616254389749441,2.57095308878079,0.0,0.0,0.0,83/138,38.90%,HDAC1;HOXA9;CDK9;BAX;HHEX;IGF1;FLT3;MMP9;CCNT1;PAX5;ITGB7;CD86;DDIT3;NTRK1;DDB2;ETV5;CDKN2C;RELA;KLF3;ETV1;HOXA10;CDKN1A;PTK2;MAF;MYC;RARA;ETV4;IGF1R;SPI1;AFF1;MET;TP53;PLAU;TSPAN7;ATF1;ARNT2;BCL2A1;IL6;MDM2;FOXO1;HIST1H3G;BCL2L1;FUT8;DUSP6;NUPR1;ERG;TRAF1;ZBTB16;SUPT3H;CDKN1B;ID2;BCL6;CCND2;ATM;NR4A3;RUNX1;IL2RB;PML;BIRC3;CEBPE;EWSR1;KDM6A;HIST1H3A;PPARG;FLT1;IL1R2;CD40;CD14;MEF2C;CCNA1;BAK1;GADD45B;PROM1;PRCC;TGFBR2;MITF;REL;RXRG;NFKBIZ;FUS;IGFBP3;RUNX1T1;PLAT
9,prerank,Insulin signaling pathway,0.2841364384763735,2.5624292225656515,0.0,0.0,0.0,90/111,56.13%,PYGB;G6PC2;CALM1;PIK3CA;PRKACB;PRKAG1;NRAS;PDPK1;PRKAR1A;PIK3CB;GYS1;PIK3R1;PIK3CD;IRS1;PRKAA1;PTPN1;SHC1;BAD;AKT1;SOCS2;IKBKB;PRKCI;PRKAG3;PHKB;FOXO1;RHEB;SREBF1;CBLB;MAPK8;PRKAR2A;INS;SOCS4;MKNK1;PHKG1;TRIP10;EIF4EBP1;SLC2A4;SOCS3;HK3;MAPK9;PRKAR2B;IRS2;PHKG2;PCK1;INPPL1;SOCS1;RPTOR;CRK;PYGM;PPP1CA;BRAF;ACACB;CALM3;CALM2;PKLR;ARAF;HK1;SHC4;HKDC1;PRKACG;PRKAR1B;GSK3B;PCK2;MAP2K1;PRKAA2;ACACA;INSR;RAF1;SOS2;SOS1;GCK;PYGL;RPS6KB1;PPARGC1A;FBP1;EIF4E;PDE3B;MAPK3;PIK3R2;PRKAB1;G6PC;MAPK1;TSC2;MTOR;HRAS;G6PC3;AKT3;PHKA1;PRKACA;FASN
