,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pancreatic cancer,0.5060148747272061,2.831069534149499,0.0,0.0,0.0,50/71,28.44%,AKT1;DDB2;TP53;GADD45B;BAD;BRAF;RB1;EGFR;VEGFA;STAT3;IKBKG;MTOR;BAX;NFKB1;IKBKB;RELA;TGFBR2;KRAS;RAC1;RALGDS;RPS6KB1;CHUK;STAT1;ERBB2;TGFB2;MAPK9;BRCA2;PIK3R2;AKT3;PIK3R3;TGFBR1;MAPK1;BCL2L1;SMAD3;CCND1;SMAD2;TGFB3;MAPK3;PIK3CD;SMAD4;CDKN1A;RALA;ARAF;RAD51;MAP2K1;RPS6KB2;CDC42;TGFB1;E2F1;BAK1
1,prerank,Shigellosis,0.51327944033329,2.6287927822054638,0.0,0.0,0.0,39/48,35.79%,CRKL;CTTN;ACTG1;ROCK1;ABL1;IKBKG;NFKBIA;NFKB1;MAPK14;IKBKB;RELA;RAC1;MAPK11;RIPK2;WAS;CHUK;MAPK9;CRK;MAPK1;NFKBIB;ARPC5;MAPK13;NOD2;WASL;ATG5;MAPK3;FBXW11;ACTB;CDC42;BTRC;ARPC1A;ARPC1B;ARPC3;SRC;MAPK8;ELMO1;ARPC4;PFN2;U2AF1
2,prerank,Chronic myeloid leukemia,0.47000993533735697,2.5973411087948723,0.0,0.0,0.0,47/71,28.44%,AKT1;CRKL;CDKN1B;DDB2;MECOM;TP53;GADD45B;BAD;BRAF;RB1;ABL1;IKBKG;SHC1;BAX;NFKBIA;NFKB1;IKBKB;RELA;TGFBR2;KRAS;CTBP1;CHUK;HDAC1;TGFB2;PIK3R2;CRK;AKT3;RUNX1;PIK3R3;TGFBR1;MAPK1;BCL2L1;SMAD3;CCND1;TGFB3;HRAS;MAPK3;SOS2;PIK3CD;SMAD4;CDKN1A;ARAF;MAP2K1;TGFB1;MYC;E2F1;BAK1
3,prerank,Colorectal cancer,0.45662005151333973,2.58428591623144,0.0,0.0,0.0,51/79,28.44%,AKT1;AXIN2;PMAIP1;DDB2;FOS;TP53;JUN;GADD45B;CYCS;BAD;BRAF;EGFR;MTOR;BAX;BCL2;GSK3B;TGFBR2;KRAS;RAC1;RALGDS;RPS6KB1;RHOA;MSH6;TGFB2;CTNNB1;MAPK9;PIK3R2;AKT3;PIK3R3;TGFBR1;MSH2;APC;MAPK1;SMAD3;CCND1;SMAD2;TGFB3;HRAS;MAPK3;SOS2;PIK3CD;SMAD4;TCF7L2;CDKN1A;RALA;ARAF;MAP2K1;RPS6KB2;TGFB1;MYC;BAK1
4,prerank,Small cell lung cancer,0.43095431696014114,2.467401312464934,0.0,0.0,0.0,59/79,39.81%,AKT1;CDKN1B;DDB2;SKP2;TP53;CKS1B;TRAF5;BIRC2;GADD45B;CYCS;RB1;IKBKG;BAX;BCL2;NFKBIA;NFKB1;CCNE1;CDK2;IKBKB;RELA;FN1;RXRA;ITGA3;PTK2;LAMB1;FHIT;CHUK;PIK3R2;AKT3;TRAF1;PIK3R3;ITGA6;RXRG;BCL2L1;APAF1;CCND1;PTEN;ITGA2B;PIK3CD;XIAP;CDKN1A;RARB;MYC;E2F1;LAMB3;BAK1;MAX;TRAF4;COL4A2;TRAF3;LAMA3;PIK3R1;CASP3;CASP9;CDKN2B;BIRC3;TRAF6;ITGB1;PIK3CA
5,prerank,AGE-RAGE signaling pathway in diabetic complications,0.42123932689074767,2.4564346797888317,0.0,0.0,0.0,69/89,43.25%,AKT1;FOXO1;CDKN1B;JUN;EDN1;PRKCA;VEGFA;STAT3;ICAM1;BAX;BCL2;NFKB1;MAPK14;RELA;FN1;TGFBR2;KRAS;RAC1;MAPK11;STAT1;TGFB2;PRKCD;MAPK9;EGR1;PIK3R2;AGT;PLCB1;AKT3;PIK3R3;TGFBR1;PRKCE;MAPK1;PLCG2;SMAD3;CCND1;MAPK13;SMAD2;AGER;JAK2;TGFB3;HRAS;MAPK3;PIK3CD;SMAD4;PRKCZ;CDC42;TGFB1;NFATC1;PLCG1;NOX1;PLCB3;COL4A2;COL1A2;IL1B;PIK3R1;MAPK8;CASP3;PLCD1;CCL2;NRAS;AGTR1;CYBB;VEGFC;PIK3CA;F3;CDK4;PLCE1;MAPK12;PIK3CB
6,prerank,Epithelial cell signaling in Helicobacter pylori infection,0.4630159057194003,2.4421212075336958,0.0,0.0,0.0,30/52,22.31%,ATP6V1D;ATP6V0B;LYN;JUN;ADAM10;EGFR;IKBKG;CXCL1;NFKBIA;NFKB1;MAP3K14;MAPK14;IKBKB;CXCR1;RELA;RAC1;MAPK11;CHUK;CSK;MAPK9;MAP2K4;ATP6V1F;PLCG2;JAM3;MET;HBEGF;MAPK13;CXCR2;ADAM17;JAM2
7,prerank,Hepatitis B,0.38784307307256227,2.4274424979644382,0.0,0.0,0.0,109/153,41.95%,IKBKE;AKT1;FADD;TBK1;FAS;JAK3;DDB2;FOS;TP53;JUN;PRKCA;CYCS;BAD;BRAF;BID;RB1;STAT3;IKBKG;CREB3L2;IFNA14;BAX;BCL2;NFKBIA;MAP2K7;NFKB1;CCNE1;CDK2;TYK2;MAPK14;IKBKB;CREB3L4;CREB1;MAP3K7;RELA;TGFBR2;KRAS;MAPK11;CHUK;STAT1;TGFB2;MAPK9;PIK3R2;MAP2K4;CCNA2;AKT3;PIK3R3;TGFBR1;IFNA16;MAPK1;NFATC3;SMAD3;MAP2K3;TLR4;APAF1;ATF2;IRAK4;MAPK13;SMAD2;DDX58;IFNA1;STAT4;JAK2;TICAM1;TGFB3;IFIH1;HRAS;MAPK3;SOS2;PIK3CD;SMAD4;TLR2;CDKN1A;IFNA8;ATF4;IRAK1;TICAM2;ARAF;MMP9;MAP2K1;IFNA10;TGFB1;NFATC1;MYC;E2F1;TAB2;CASP10;NFATC4;IFNA2;IFNA5;TRAF3;SRC;PIK3R1;MAPK8;CASP3;EGR3;CCNA1;RAF1;CASP9;IFNAR1;NRAS;TRAF6;PTK2B;TIRAP;PIK3CA;IFNA4;PCNA;GRB2;STAT6;EP300
8,prerank,Kaposi sarcoma-associated herpesvirus infection,0.3806582627717247,2.4024301662633976,0.0,0.0,0.0,118/159,44.86%,IKBKE;AKT1;FADD;TBK1;FAS;C3;FOS;TP53;LYN;JUN;CYCS;BID;RB1;VEGFA;STAT3;IKBKG;TRADD;IFNA14;ICAM1;CXCL1;MTOR;HIF1A;BAX;GSK3B;NFKBIA;CALM3;MAP2K7;NFKB1;TYK2;MAPK14;IKBKB;CREB1;RELA;KRAS;SYK;RAC1;PIK3CG;HLA-A;MAPK11;CCR4;CHUK;STAT1;CTNNB1;MAPK9;PIK3R2;GNG4;MAP2K4;AKT3;GNG12;GNB4;PIK3R3;IFNA16;MAPK1;PLCG2;MAPKAPK2;NFATC3;GNB2;BECN1;CCND1;MAPK13;IFNA1;CD86;JAK2;TICAM1;HRAS;MAPK3;PIK3CD;CDKN1A;PPP3CA;IFNA8;UBB;MAP2K1;IFNA10;NFATC1;MYC;E2F1;IRF9;BAK1;PLCG1;PPP3CC;NFATC4;ITPR1;PPP3CB;IFNA2;PIK3C3;IFNA5;TRAF3;GNG8;GNB5;SRC;PIK3R1;MAPK8;CASP3;EIF2AK2;ITPR3;RAF1;CASP9;FGF2;IFNAR1;NRAS;PIK3R6;PPP3R2;CXCL3;HCK;PIK3CA;IFNA4;GNG5;CD200R1;EP300;CDK4;PIK3R5;MAPK12;PIK3CB;GNG11;IFNGR1;IRF7;CDK6;IFNA21
9,prerank,Epstein-Barr virus infection,0.37664619523489384,2.3978395342664514,0.0,0.0,0.0,111/174,36.23%,IKBKE;AKT1;FADD;TBK1;FAS;JAK3;CDKN1B;ENTPD3;DDB2;SKP2;TP53;LYN;JUN;TRAF5;GADD45B;CYCS;BID;RB1;STAT3;IKBKG;TRADD;IFNA14;ICAM1;CCND2;BAX;BCL2;NFKBIA;MAP2K7;PSMD1;NFKB1;CCNE1;CDK2;TYK2;MAP3K14;MAPK14;IKBKB;HLA-DMB;TNFAIP3;MAP3K7;RELA;SYK;RAC1;CALR;HLA-A;MAPK11;VIM;CHUK;STAT1;USP7;ITGAL;HDAC1;RIPK1;MAPK9;CD58;PIK3R2;MAP2K4;CCNA2;AKT3;PSMD4;ENTPD1;PIK3R3;IFNA16;PLCG2;MAP2K3;NFKBIB;HES1;APAF1;CCND1;RELB;IRAK4;MAPK13;HLA-DQB1;B2M;CD19;DDX58;IFNA1;HLA-DQA1;CD40;OAS2;PIK3CD;TLR2;CDKN1A;RUNX3;IFNA8;IRAK1;PSMD3;HLA-DRB3;IFNA10;CD3E;MYC;E2F1;IRF9;BAK1;CCND3;CD3D;TAB2;CXCL10;IFNA2;IFNA5;TRAF3;PIK3R1;MAPK8;CASP3;EIF2AK2;BLNK;NFKB2;CCNA1;CASP9;HLA-DMA;HLA-DPA1;HLA-DRB5
