,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Glioma,0.5615511743059179,2.013469107895731,0.0,0.002012013763340526,0.002,39/65,24.58%,HRAS;RAF1;MTOR;PIK3R3;EGFR;PIK3CD;CALM2;PIK3CB;PLCG2;MAPK3;MAP2K1;BRAF;SOS2;ARAF;PIK3R1;SOS1;PIK3CA;AKT1;CDK4;E2F1;MAPK1;TP53;CDK6;RB1;CAMK1G;CAMK2G;CAMK1D;CAMK2B;NRAS;BAX;PTEN;KRAS;PRKCA;CAMK2A;CCND1;PDGFRA;GRB2;CALM3;MDM2
1,prerank,Non-small cell lung cancer,0.5604792514021306,1.9828820440583814,0.0,0.001006006881670263,0.002,37/63,24.87%,HRAS;RAF1;PIK3R3;ERBB2;EGFR;PIK3CD;STAT3;PIK3CB;PLCG2;MAPK3;RARB;MAP2K1;BAD;BRAF;FOXO3;SOS2;ARAF;PIK3R1;SOS1;PIK3CA;AKT1;CDK4;E2F1;MAPK1;TP53;CDK6;RB1;JAK3;NRAS;BAX;KRAS;PRKCA;ALK;CCND1;PDPK1;GRB2;RASSF1
2,prerank,Bladder cancer,0.5827038428570948,1.9666202621453033,0.0,0.001341342508893684,0.004,26/39,26.20%,HRAS;RAF1;ERBB2;EGFR;DAPK3;MAPK3;VEGFA;MAP2K1;BRAF;DAPK2;ARAF;FGFR3;CDK4;E2F1;MAPK1;TP53;RB1;NRAS;KRAS;THBS1;CCND1;MYC;MDM2;RASSF1;CDH1;MMP1
3,prerank,Neurotrophin signaling pathway,0.5247459356642799,1.9622456384232387,0.0,0.001006006881670263,0.004,63/103,28.03%,HRAS;JUN;NFKBIB;RAF1;PIK3R3;NGFR;NFKB1;IRAK2;PIK3CD;MAPKAPK2;RPS6KA1;MAGED1;MAPK9;CALM2;PIK3CB;ATF4;PLCG2;MAPK3;MAP2K1;BAD;BRAF;IRS1;FOXO3;SOS2;CRKL;IRAK4;PIK3R1;SOS1;PIK3CA;SH2B3;MAP3K5;NFKBIE;AKT1;MAPK7;MAPK11;MAPK1;TP53;PRKCD;RPS6KA6;FRS2;CAMK2G;CAMK2B;NRAS;BAX;KRAS;CAMK2A;BCL2;MAPK8;RELA;RIPK2;PDPK1;MAPK14;PRDM4;GRB2;CALM3;ABL1;RHOA;RAC1;MAPK13;PSEN1;SHC4;ARHGDIA;MAPK12
4,prerank,Progesterone-mediated oocyte maturation,0.5490787923865077,1.94911950104129,0.0,0.0008048055053362104,0.004,35/65,19.39%,RAF1;PIK3R3;HSP90AB1;PRKACG;PRKACA;ADCY3;PIK3CD;RPS6KA1;MAPK9;CCNB2;PIK3CB;PKMYT1;MAPK3;MAP2K1;ADCY6;GNAI2;BRAF;CDC25B;GNAI3;ARAF;PIK3R1;PIK3CA;PDE3B;CDC25A;AKT1;MAPK11;MAPK1;RPS6KA6;ADCY9;KRAS;HSP90AA1;PGR;MAPK8;GNAI1;PRKACB
5,prerank,Prolactin signaling pathway,0.5379402365444375,1.9458010638746381,0.0,0.000670671254446842,0.004,45/64,33.60%,HRAS;RAF1;ESR1;PIK3R3;CCND2;SOCS4;NFKB1;JAK2;PIK3CD;CYP17A1;SOCS2;MAPK9;STAT3;PIK3CB;MAPK3;MAP2K1;FOXO3;SOS2;PIK3R1;SOS1;GCK;PIK3CA;AKT1;MAPK11;MAPK1;SOCS1;PRLR;GALT;NRAS;KRAS;MAPK8;RELA;CCND1;MAPK14;GRB2;STAT1;MAPK13;SHC4;MAPK12;FOS;SHC1;ESR2;TH;IRF1;CISH
6,prerank,Melanoma,0.5574435291465654,1.9448892301838259,0.0,0.0005748610752401503,0.004,26/52,16.43%,HRAS;RAF1;PIK3R3;MET;FGF9;EGFR;PIK3CD;PIK3CB;MAPK3;MAP2K1;BAD;BRAF;ARAF;PIK3R1;PIK3CA;AKT1;CDK4;E2F1;MAPK1;TP53;CDK6;RB1;NRAS;BAX;PTEN;KRAS
7,prerank,Endometrial cancer,0.5581832808106102,1.9408386298641283,0.0,0.0005030034408351316,0.004,32/53,25.33%,HRAS;RAF1;PIK3R3;ERBB2;EGFR;PIK3CD;PIK3CB;MAPK3;MAP2K1;BAD;BRAF;FOXO3;SOS2;ARAF;PIK3R1;SOS1;PIK3CA;AKT1;MAPK1;TP53;ILK;NRAS;BAX;PTEN;KRAS;AXIN2;CCND1;MYC;PDPK1;CTNNB1;GRB2;CDH1
8,prerank,Thyroid hormone signaling pathway,0.5145023158603148,1.906599821804048,0.0,0.001453121051301491,0.013,50/95,23.42%,HIF1A;KAT2A;HRAS;HDAC1;RAF1;ESR1;MTOR;PIK3R3;NOTCH2;PRKACG;PRKACA;ATP1A3;ITGB3;PIK3CD;THRA;PFKP;PIK3CB;PLCG2;MAPK3;MAP2K1;BAD;PIK3R1;PIK3CA;AKT1;ATP2A2;MAPK1;TP53;CREBBP;THRB;RHEB;TSC2;NRAS;MED12L;GATA4;NCOA3;KRAS;PRKCA;ATP1A1;TBC1D4;NCOA1;KAT2B;SLC2A1;SLC9A1;PRKACB;CCND1;MYC;FXYD2;PDPK1;CTNNB1;PLCD1
9,prerank,Renal cell carcinoma,0.5359611828663708,1.8951321496306788,0.0,0.0015090103225053944,0.015,32/62,21.42%,HIF1A;HRAS;JUN;RAF1;PIK3R3;MET;FH;PIK3CD;PIK3CB;MAPK3;VEGFA;MAP2K1;BAD;PRCC;BRAF;SOS2;ARAF;CRKL;PIK3R1;SOS1;PIK3CA;AKT1;TGFB1;MAPK1;CREBBP;CUL2;PAK1;NRAS;KRAS;SLC2A1;EGLN3;VHL
10,prerank,Pancreatic cancer,0.5251752437691943,1.8770451912008967,0.0,0.0023778344475842584,0.026,34/71,16.43%,SMAD2;RAF1;MTOR;PIK3R3;RPS6KB1;NFKB1;ERBB2;EGFR;PIK3CD;MAPK9;TGFBR2;SMAD4;STAT3;PIK3CB;MAPK3;VEGFA;MAP2K1;BAD;BRAF;ARAF;PIK3R1;PIK3CA;TGFBR1;AKT1;TGFB1;CDK4;E2F1;MAPK1;TP53;CDK6;RB1;IKBKG;BAX;KRAS
11,prerank,Central carbon metabolism in cancer,0.5218048503389767,1.8600177996621219,0.0,0.002934186738204934,0.035,41/60,34.71%,HIF1A;HRAS;RAF1;MTOR;PIK3R3;MET;ERBB2;EGFR;PIK3CD;PFKP;PIK3CB;MAPK3;PDHA1;MAP2K1;PIK3R1;GCK;PIK3CA;FGFR3;AKT1;MAPK1;TP53;SIRT6;NRAS;PTEN;KRAS;SLC2A1;GLS;LDHA;MYC;PDGFRA;IDH1;PDK1;SIRT3;PDHB;HK3;NTRK3;FGFR2;TIGAR;FGFR1;NTRK1;HK1
12,prerank,Prostate cancer,0.5059286791159364,1.8595783922655467,0.0,0.0027084800660353236,0.035,61/89,36.37%,HRAS;RAF1;MTOR;PIK3R3;HSP90AB1;CREB3L2;NFKB1;ERBB2;EGFR;PIK3CD;PLAT;PIK3CB;ATF4;CREB3;MAPK3;MAP2K1;BAD;BRAF;SOS2;ARAF;ETV5;PIK3R1;SOS1;PIK3CA;AKT1;E2F1;MAPK1;TP53;CREB1;RB1;CREBBP;IKBKG;NKX3-1;GSTP1;NRAS;PTEN;KRAS;IL1R2;HSP90AA1;BCL2;HSP90B1;RELA;CCND1;PDGFRA;AR;PDPK1;CTNNB1;GRB2;MDM2;CCNE1;EP300;FGFR2;FOXO1;CREB3L4;IGF1R;ZEB1;FGFR1;CHUK;NFKBIA;TCF7L2;CDKN1B
