,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pancreatic cancer,0.5140065656449118,2.9612010516095846,0.0,0.0,0.0,44/71,19.97%,SMAD3;CDKN1A;TP53;RALBP1;RAF1;RALGDS;BRAF;RELA;PLD1;GADD45B;SMAD4;TGFBR1;MAP2K1;RB1;EGFR;TGFB2;AKT3;BAD;BRCA2;MAPK8;KRAS;AKT1;RAC3;TGFB3;STAT1;CASP9;RPS6KB2;PIK3R1;RAD51;CDC42;CDK4;BAX;RAC1;PIK3R3;CCND1;PIK3CA;STAT3;BCL2L1;PIK3R2;ARAF;PIK3CD;E2F1;NFKB1;ERBB2
1,prerank,Prostate cancer,0.4943832306323263,2.948969182030157,0.0,0.0,0.0,54/89,20.29%,CDKN1A;CDKN1B;TP53;MDM2;ATF4;NFKBIA;RAF1;CREB1;BRAF;CDK2;PTEN;PLAU;RELA;CREB3L2;GSTP1;MAP2K1;CTNNB1;GSK3B;RB1;CCNE1;EGFR;AKT3;PLAT;BAD;SOS1;CREBBP;CCNE2;KRAS;AKT1;CREB3L4;HRAS;ZEB1;PDGFRA;EP300;TCF7L2;CASP9;FOXO1;PIK3R1;AR;HSP90B1;PIK3R3;HSP90AA1;CCND1;PDPK1;PIK3CA;ERG;PIK3R2;ARAF;PIK3CD;E2F1;NFKB1;GRB2;ERBB2;PDGFRB
2,prerank,Thyroid hormone signaling pathway,0.47274925830894576,2.878314061448336,0.0,0.0,0.0,68/95,31.65%,MYC;TP53;RXRG;MDM2;RAF1;NOTCH1;SRC;ATP1A3;RXRA;MED1;MAP2K1;CTNNB1;GSK3B;AKT3;NCOA3;BAD;PFKFB2;CREBBP;RHEB;KRAS;AKT1;HDAC2;HRAS;PLCB3;EP300;STAT1;CASP9;NOTCH2;ESR1;KAT2B;ATP1A1;FOXO1;PIK3R1;SIN3A;MED13;RCAN1;PIK3R3;ITGB3;HIF1A;CCND1;PDPK1;PIK3CA;SLC2A1;PIK3R2;PIK3CD;PRKACB;PRKACA;PLCG2;TSC2;ATP1B1;PLCD1;FXYD2;HDAC3;SLC16A10;THRB;PRKACG;HDAC1;PRKCA;THRA;MAPK3;SLCO1C1;PFKP;PRKCB;ATP1B3;NRAS;AKT2;MED12L;MAPK1
3,prerank,Endometrial cancer,0.5254218527891719,2.8438639985710776,0.0,0.0,0.0,41/53,31.65%,CDKN1A;MYC;TP53;RAF1;BRAF;PTEN;GADD45B;APC;MAP2K1;CTNNB1;GSK3B;EGFR;AKT3;BAD;SOS1;KRAS;AKT1;HRAS;TCF7L2;CASP9;PIK3R1;BAX;PIK3R3;CCND1;PDPK1;PIK3CA;PIK3R2;ARAF;PIK3CD;FOXO3;GRB2;ERBB2;TCF7;AXIN2;AXIN1;GADD45A;LEF1;MAPK3;NRAS;AKT2;MAPK1
4,prerank,Longevity regulating pathway,0.4813970546956544,2.842742303120475,0.0,0.0,0.0,60/85,30.87%,TP53;ATF4;CREB1;EIF4EBP1;PRKAA1;RELA;CAMK4;PRKAG2;EHMT1;CREB3L2;STK11;ADCY3;AKT3;EIF4EBP2;RHEB;ULK1;KRAS;PRKAG3;AKT1;CREB3L4;HDAC2;HRAS;RPS6KB2;FOXO1;PIK3R1;EHMT2;SOD1;BAX;SIRT1;PIK3R3;CAMKK2;IRS2;SOD2;PIK3CA;ADCY1;PIK3R2;PIK3CD;PRKACB;FOXO3;NFKB1;CAT;PPARGC1A;ATF2;PRKACA;PRKAG1;PPARG;TSC2;TSC1;HSPA1B;PRKACG;HDAC1;ADCY9;RPS6KB1;HSPA1A;ATG5;PRKAB2;AKT1S1;RPTOR;NRAS;AKT2
5,prerank,Viral carcinogenesis,0.44005418023601445,2.8192729906397593,0.0,0.0,0.0,98/141,35.07%,CCNA2;CDKN1A;CDKN1B;TP53;MDM2;ATF4;GTF2B;NFKBIA;CREB1;HDAC10;USP7;HDAC6;JUN;CDK2;SRC;RELA;POLB;HIST1H2BD;CHD4;CREB3L2;GTF2A1;ACTN1;GTF2A2;RB1;CASP3;CCNE1;BAD;HLA-B;CREBBP;HDAC8;PXN;CCNE2;JAK3;KRAS;CCNA1;CREB3L4;LYN;HDAC2;CASP8;HRAS;EGR3;CHEK1;RHOA;EP300;KAT2B;TRAF3;PIK3R1;CDC42;CDK4;BAX;RAC1;PIK3R3;HIST1H4I;SRF;HIST1H2BK;IRF3;CCND1;PIK3CA;STAT3;GSN;PIK3R2;PIK3CD;IL6ST;PRKACB;CDK1;YWHAQ;NFKB1;SP100;GRB2;ATF2;PRKACA;TRAF5;HLA-A;TRAF1;HDAC7;NFKB2;HDAC3;EIF2AK2;PRKACG;CDKN2B;HPN;HDAC1;MAPK3;ACTN4;DLG1;NRAS;TRAF2;REL;MAPK1;CDK6;CCND3;GTF2H2;IKBKG;STAT5A;HDAC11;PMAIP1;SKP2;HDAC9
6,prerank,Chronic myeloid leukemia,0.4917717531371665,2.8054416269664704,0.0,0.0,0.0,53/71,33.31%,SMAD3;CDKN1A;MYC;CDKN1B;TP53;CRK;MDM2;NFKBIA;RAF1;BRAF;RELA;GADD45B;SMAD4;BCR;TGFBR1;MAP2K1;RB1;TGFB2;AKT3;BAD;SOS1;KRAS;AKT1;HDAC2;HRAS;TGFB3;PIK3R1;SHC1;CDK4;BAX;PIK3R3;CCND1;PIK3CA;BCL2L1;PIK3R2;ARAF;PIK3CD;E2F1;NFKB1;GRB2;CBL;ABL1;CRKL;GADD45A;HDAC1;MAPK3;IKBKB;NRAS;AKT2;MAPK1;CDK6;IKBKG;STAT5A
7,prerank,Cell cycle,0.4525366709186422,2.7440335004144973,0.0,0.0,0.0,67/94,36.01%,CCNA2;CDKN2C;SMAD3;CDKN1A;MYC;CDKN1B;TP53;MDM2;WEE1;SMC1A;CDK2;GADD45B;SMAD4;CDK7;CCNH;GSK3B;RB1;CCNE1;TGFB2;CCNB2;BUB1;CDC6;PLK1;CREBBP;CCNE2;PKMYT1;ESPL1;CCNA1;HDAC2;MCM4;CHEK1;TGFB3;EP300;ORC4;CDC45;SFN;ATM;CDK4;BUB1B;PTTG1;MCM3;CCND1;TFDP1;TTK;CDK1;YWHAQ;E2F1;CDC25B;ABL1;PRKDC;SKP1;RBX1;CDC14A;CDKN2B;GADD45A;HDAC1;CDC7;CDC25A;ATR;CCNB1;CDK6;SMAD2;CCND3;MCM6;SKP2;MCM2;TFDP2
8,prerank,Hepatitis B,0.42102025873581195,2.7254663590395274,0.0,0.0,0.0,119/153,43.71%,CCNA2;SMAD3;CDKN1A;MYC;TP53;ATF4;NFKBIA;RAF1;CREB1;BRAF;STAT6;JUN;CDK2;IKBKE;SRC;RELA;SMAD4;CREB3L2;TGFBR1;MAP2K1;RB1;CASP3;CCNE1;TGFB2;TLR2;AKT3;BAD;IFNA1;SOS1;CREBBP;APAF1;CCNE2;MAPK8;JAK3;KRAS;AKT1;TNF;CCNA1;CREB3L4;CASP8;HRAS;EGR3;TGFB3;MAPK14;IFNA21;EP300;STAT1;FAS;CASP9;MAP2K6;TRAF3;TICAM1;PIK3R1;MAP3K7;PTK2B;TYK2;IFNA7;FADD;BAX;IFNB1;PIK3R3;FOS;MAP2K3;TICAM2;IRF3;NFATC3;PIK3CA;STAT3;PIK3R2;ARAF;PIK3CD;YWHAQ;E2F1;JAK2;NFKB1;GRB2;ATF2;TLR3;MAPK12;IFIH1;TLR4;TAB2;MAPK13;PRKCA;MAPK3;MAP2K4;CASP10;IKBKB;FASLG;BIRC5;PRKCB;IFNAR1;NRAS;IFNA5;AKT2;MAPK1;SMAD2;TRAF6;IKBKG;STAT5A;SLC10A1;TBK1;MAP2K2;NFATC4;STAT2;MAPK11;DDX58;TIRAP;BCL2;CYCS;IFNA17;CHUK;STAT4;JAK1;IFNA16;IFNA10;IFNA2;TGFBR2;IRAK1
9,prerank,Human T-cell leukemia virus 1 infection,0.40189875591661234,2.703578836600716,0.0,0.0,0.0,119/189,33.31%,CCNA2;TRRAP;CDKN2C;SMAD3;CDKN1A;ETS1;MYC;TP53;ATF4;NFYB;IL15;NFKBIA;CREB1;JUN;EGR1;CDK2;PTEN;RELA;SLC25A4;POLB;KAT5;IL2RA;IL2RB;SMAD4;CREB3L2;TGFBR1;MAP2K1;RB1;CCNE1;TGFB2;ADCY3;CALR;RAN;CCNB2;LCK;AKT3;PPP3R1;HLA-B;CREBBP;CCNE2;MAPK8;FDPS;JAK3;KRAS;AKT1;TNF;ESPL1;CCNA1;CRTC3;CREB3L4;HRAS;CHEK1;XPO1;TGFB3;EP300;XIAP;KAT2B;HLA-DRA;FOSL1;SPI1;PIK3R1;ATM;CDK4;BAX;MAP3K14;PIK3R3;BUB1B;FOS;CD3G;ETS2;PTTG1;SRF;NFATC3;CCND1;HLA-DQA1;PIK3CA;ADCY1;VDAC1;IL15RA;SLC2A1;BCL2L1;PIK3R2;PIK3CD;PRKACB;HLA-DPA1;E2F1;NFKB1;ATF2;TCF3;RELB;PRKACA;HLA-A;B2M;CD40;TNFRSF1A;NFKB2;ITGAL;TNFRSF13C;HLA-DRB4;HLA-DMB;PRKACG;CDKN2B;ADCY9;MAPK3;HLA-DRB5;MAP2K4;IKBKB;HLA-DQB1;PPP3CA;DLG1;NRAS;CANX;ATR;AKT2;MAPK1;SMAD2;CCND3;IKBKG;STAT5A
