,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Relaxin signaling pathway,0.40626428521565666,2.59085278585108,0.0,0.0,0.0,81/103,44.04%,TGFBR1;GNB4;EGFR;GRB2;PRKACB;ATF4;PRKCZ;ADCY6;ADCY9;COL1A2;GNA15;AKT1;GNAI2;SHC1;ARRB1;GNAS;MAPK8;RAF1;GNB2;CREB3L4;ADCY5;ATF2;COL4A2;GNAI3;TGFBR2;CREB5;MAPK9;SMAD3;SMAD2;AKT3;GNG4;ADCY3;GNGT2;PRKACA;MAPK11;GNB5;PIK3CA;VEGFA;NRAS;GNG11;PRKCA;MAPK3;SHC4;KRAS;CREB3;MAPK13;VEGFC;JUN;ADCY2;GNAI1;MAP2K1;COL4A5;MMP1;GNB1;PIK3CD;RELA;TGFB1;GNG5;RXFP4;CREB3L2;CREB1;MAPK12;NFKBIA;EDN1;GNG12;PIK3R3;MAP2K4;FOS;PIK3R1;AKT2;EDNRB;GNG7;PRKACG;MAP2K2;VEGFB;PLCB3;NOS3;MMP13;CREB3L1;MMP9;MAPK14
1,prerank,AGE-RAGE signaling pathway in diabetic complications,0.4085214951337032,2.530457640734791,0.0,0.0,0.0,73/89,46.70%,CXCL8;TGFBR1;CDK4;BCL2;STAT3;PRKCZ;COL1A2;AKT1;EGR1;MAPK8;PRKCB;COL4A2;IL6;TGFBR2;MAPK9;SMAD3;SMAD2;NFATC1;AKT3;NOX1;MAPK11;PIK3CA;VEGFA;NRAS;AGER;PRKCA;MAPK3;CASP3;KRAS;ICAM1;MAPK13;VEGFC;JUN;COL4A5;RAC1;SMAD4;PIK3CD;TNF;PRKCD;RELA;TGFB1;PLCG1;MAPK12;JAK2;EDN1;IL1B;PIK3R3;CCND1;PLCG2;PIK3R1;AKT2;SELE;CDKN1B;BAX;STAT1;FN1;F3;AGT;VEGFB;PLCB3;CDC42;NOS3;PLCD1;CYBB;AGTR1;MAPK14;PIM1;FOXO1;STAT5A;PLCB1;PLCE1;MAPK1;NFKB1
2,prerank,Progesterone-mediated oocyte maturation,0.4118103947585916,2.4529625979048304,0.0,0.00034600774756478244,0.001,38/65,25.19%,PRKACB;CDC25B;ADCY6;ADCY9;ARAF;CCNA1;RPS6KA1;AKT1;GNAI2;BRAF;HSP90AB1;MAPK8;RAF1;ADCY5;PGR;RPS6KA3;GNAI3;ANAPC5;MAPK9;RPS6KA6;AKT3;ADCY3;PKMYT1;PRKACA;MAPK11;CDK1;PIK3CA;CCNB1;MAPK3;HSP90AA1;KRAS;MAPK13;ADCY2;GNAI1;INS;MAP2K1;PIK3CD;PDE3B
3,prerank,Kaposi sarcoma-associated herpesvirus infection,0.3552458576023274,2.42393298671572,0.0,0.0005190116213471737,0.002,107/159,38.54%,CXCL8;ITPR3;GNB4;IFNA4;CCR5;CDK4;STAT3;TP53;EIF2AK2;STAT2;AKT1;MAPKAPK2;MAPK8;RAF1;GNB2;CHUK;TYK2;CDKN1A;IL6;IFNA7;ATG3;MAPK9;NFATC1;CYCS;AKT3;GNG4;GSK3B;IKBKG;PPP3CA;GNGT2;MAPK11;HCK;GNB5;PIK3CA;VEGFA;IRF9;BAK1;E2F1;NRAS;CXCL2;GNG11;MAPK3;CASP3;HIF1A;HLA-A;TRAF2;IFNA10;KRAS;ICAM1;LYN;MAPK13;JUN;CDK6;BID;PPP3R2;MAP2K1;PPP3CC;GABARAPL1;RAC1;CTNNB1;SYK;UBB;GNB1;PIK3CD;RB1;IFNA21;FADD;C3;ZFP36;ITPR1;RELA;PIK3C3;GNG5;PLCG1;CREB1;MAPK12;NFKBIA;CCR4;JAK1;CCR3;IFNGR1;JAK2;GNG12;TRADD;TRAF3;PIK3CG;BECN1;IFNB1;PIK3R3;CALM3;TNFRSF1A;MAP2K4;TBK1;NFATC3;FOS;CSF2;IFNA2;CCND1;IKBKE;PLCG2;PIK3R1;AKT2;BAX;CCR1;NFATC4;MYC;STAT1
4,prerank,Vibrio cholerae infection,0.4959494242785183,2.403813890093588,0.0,0.0004152092970777389,0.002,26/30,42.23%,PRKACB;ACTG1;ADCY9;GNAS;ATP6AP1;PDIA4;ATP6V0B;KCNQ1;ADCY3;ACTB;PRKACA;KDELR3;PRKCA;TJP1;PLCG1;ATP6V1D;ATP6V0A1;ATP6V1C1;ATP6V0C;PLCG2;ATP6V1F;ARF1;PRKACG;KDELR2;ATP6V1A;TCIRG1
5,prerank,Autophagy,0.37315179598659437,2.3941159580454627,0.0,0.00034600774756478244,0.002,80/100,49.05%,BCL2L1;DDIT4;ATG4A;PRKACB;BCL2;IRS1;STK11;PPP2CB;PDPK1;AKT1;CTSL;MAPK8;RAF1;RPS6KB2;MTMR3;BAD;ATG3;MAPK9;PIK3R4;IRS2;AKT3;RRAGA;PRKAA1;PRKACA;PIK3CA;NRAS;ATG7;ATG5;MAPK3;EIF2AK3;ATG10;HIF1A;KRAS;INS;MAP2K1;MLST8;GABARAPL1;HMGB1;PIK3CD;PRKCD;ERN1;ITPR1;PIK3C3;ATG4D;DAPK3;ULK2;DAPK2;CFLAR;BECN1;TP53INP2;LAMP1;PIK3R3;NRBF2;SUPT20H;RAB7A;MAP3K7;ATG16L1;PIK3R1;AKT2;ULK1;IGBP1;CTSD;TSC2;PRKCQ;PRKACG;ATG4B;MAP2K2;RHEB;DEPTOR;TRAF6;IGF1R;ATG12;DAPK1;MAPK1;CAMKK2;PRKAA2;PTEN;EIF2AK4;RRAGD;RPTOR
6,prerank,Pancreatic cancer,0.40685556058276745,2.3911329244516497,0.0,0.0002965780693412421,0.002,44/71,28.83%,TGFBR1;BCL2L1;EGFR;ERBB2;DDB2;CDK4;STAT3;TP53;ARAF;AKT1;BRAF;MAPK8;RAF1;CHUK;CDKN1A;RPS6KB2;RALBP1;TGFBR2;BAD;MAPK9;RALB;SMAD3;SMAD2;AKT3;IKBKG;PIK3CA;VEGFA;TGFA;GADD45B;BAK1;E2F1;MAPK3;KRAS;CDK6;RAC3;MAP2K1;RAC1;SMAD4;PIK3CD;RB1;RELA;TGFB1;ARHGEF6;JAK1
7,prerank,Prostate cancer,0.38183254240996045,2.38297025160696,0.0,0.00038925871601038024,0.003,71/89,46.74%,IL1R2;EGFR;GRB2;ERBB2;BCL2;ATF4;TP53;ARAF;PDPK1;AKT1;BRAF;HSP90AB1;RAF1;CREB3L4;CHUK;CDKN1A;BAD;CREB5;CCNE2;HSP90B1;PLAU;AKT3;GSK3B;IKBKG;LEF1;PIK3CA;TGFA;FGFR1;E2F1;NRAS;MAPK3;HSP90AA1;TCF7;KRAS;CREB3;INS;MAP2K1;PDGFRB;PLAT;CTNNB1;PIK3CD;ERG;RB1;RELA;CREB3L2;CREB1;PDGFRA;NFKBIA;ETV5;GSTP1;FGFR2;MDM2;CCNE1;PIK3R3;CCND1;PIK3R1;AKT2;CDKN1B;PDGFD;CDK2;ZEB1;MAP2K2;IGF1;IGF1R;CREB3L1;MMP9;FOXO1;MAPK1;CASP9;NFKB1;PTEN
8,prerank,Human T-cell leukemia virus 1 infection,0.3364690551162906,2.355465302702206,0.0,0.0004613436634197099,0.004,119/189,38.28%,IL1R1;IL1R2;IL2;TGFBR1;BCL2L1;CDC20;PRKACB;SLC25A6;CDK4;ATF4;TP53;ADCY6;ADCY9;KAT5;FDPS;ETS1;CCNA1;AKT1;EGR1;SRF;MAPK8;NFYB;CREB3L4;HLA-DRB1;ADCY5;CHUK;ATF2;CDKN1A;IL6;HLA-DRB5;ANAPC5;CCND2;HLA-DQB1;LTBR;TGFBR2;CREB5;MAPK9;CCNE2;KAT2B;SMAD3;SMAD2;ITGB2;NFATC1;FOSL1;AKT3;PTTG1;IKBKG;ADCY3;PPP3CA;CCND3;JAK3;PRKACA;CANX;PIK3CA;LCK;ETS2;E2F1;CHEK2;NRAS;SLC25A4;MAPK3;SLC2A1;SLC25A5;HLA-A;KRAS;CREB3;DLG1;ICAM1;HLA-DRB3;JUN;B2M;ADCY2;PPP3R2;MAP2K1;MMP7;PPP3CC;SMAD4;KAT2A;PIK3CD;RB1;TNF;BUB1B;ZFP36;RELA;TGFB1;ATM;IL15RA;CREB3L2;MSX2;CREB1;CDKN2C;NFKBIA;MAP3K1;JAK1;POLB;CCNE1;PIK3R3;CD40;BUB3;TNFRSF1A;MAP2K4;LTA;NFATC3;HLA-DMB;FOS;HLA-DMA;CSF2;CCND1;PIK3R1;CALR;AKT2;HLA-DPB1;TSPO;BAX;CDK2;TNFRSF13C;CD4;NFATC4;MYC
9,prerank,Estrogen signaling pathway,0.3657740178518654,2.310546042913797,0.0,0.0009342209184249125,0.009,76/98,47.69%,ITPR3;EGFR;FKBP4;GRB2;PRKACB;BCL2;ATF4;KRT19;ADCY6;ADCY9;AKT1;GNAI2;SHC1;HSP90AB1;GNAS;RAF1;NCOA1;CREB3L4;ADCY5;ATF2;PGR;GNAI3;GPER1;CREB5;HSPA1B;GABBR1;HSP90B1;AKT3;ADCY3;PRKACA;PIK3CA;TGFA;KRT12;NRAS;MAPK3;HSP90AA1;SHC4;NCOA3;KRAS;CREB3;HSPA1A;JUN;ADCY2;GNAI1;MAP2K1;PIK3CD;PRKCD;ITPR1;KCNJ6;CREB3L2;CREB1;OPRM1;HSPA8;PIK3R3;KRT23;CALM3;HSPA2;FOS;ESR1;PIK3R1;AKT2;KCNJ5;CTSD;PRKACG;MAP2K2;KRT26;PLCB3;NOS3;CALM2;CREB3L1;MMP9;GABBR2;PLCB1;MAPK1;TFF1;RARA
