,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pancreatic cancer,0.42812097990783604,2.683401566766505,0.0,0.0,0.0,62/71,48.44%,E2F1;STAT3;DDB2;RELA;MAP2K1;GADD45B;EGFR;RAF1;SMAD2;PIK3CD;TP53;CDKN2A;BRAF;ARAF;TGFBR1;BRCA2;AKT2;CASP9;STAT1;CHUK;MTOR;AKT1;SMAD3;CDK4;PIK3R1;MAPK9;CDC42;CDKN1A;AKT3;IKBKG;RB1;RPS6KB2;PIK3CA;RALA;ARHGEF6;PIK3CB;TGFB1;RALBP1;BAK1;BAX;EGF;SMAD4;TGFBR2;BCL2L1;JAK1;NFKB1;RAC3;CCND1;RPS6KB1;MAPK1;RALB;KRAS;PIK3R3;PLD1;IKBKB;MAPK3;TGFB3;VEGFA;ERBB2;RAC1;CDK6;RAD51
1,prerank,Glioma,0.42300006330906514,2.5871293299524285,0.0,0.0,0.0,42/65,29.35%,SHC1;E2F1;PRKCG;DDB2;CALM3;MAP2K1;GADD45B;GRB2;EGFR;HRAS;RAF1;PIK3CD;TP53;CDKN2A;BRAF;ARAF;AKT2;CAMK1;MTOR;AKT1;CDK4;SOS2;CALM1;PIK3R1;PRKCB;CAMK2G;CALM2;PRKCA;CDKN1A;PDGFRA;AKT3;RB1;PIK3CA;PIK3CB;CAMK2D;IGF1R;BAK1;MDM2;NRAS;BAX;PDGFRB;EGF
2,prerank,Melanoma,0.4468992475209956,2.5811395885624546,0.0,0.0,0.0,42/52,40.44%,E2F1;DDB2;MAP2K1;GADD45B;EGFR;FGF2;HRAS;RAF1;PIK3CD;TP53;CDKN2A;BRAF;ARAF;AKT2;AKT1;MITF;CDK4;FGF10;PIK3R1;CDKN1A;PDGFRA;AKT3;RB1;PIK3CA;FGF9;PIK3CB;IGF1R;PDGFD;BAK1;CDH1;MDM2;NRAS;BAX;PDGFRB;EGF;MET;CCND1;MAPK1;FGF1;FGFR1;KRAS;PIK3R3
3,prerank,Central carbon metabolism in cancer,0.4207220862525858,2.532510924584944,0.0,0.00026052858778292075,0.001,52/60,48.01%,G6PD;HIF1A;PDK1;MAP2K1;EGFR;HRAS;RAF1;LDHA;PIK3CD;TP53;FGFR2;HK2;GLS;SIRT3;SLC2A1;SLC7A5;AKT2;MTOR;AKT1;FLT3;PKM;PIK3R1;PDHA1;IDH1;PDGFRA;SIRT6;AKT3;PIK3CA;SLC1A5;PIK3CB;RET;NRAS;PDGFRB;MET;SLC16A3;MAPK1;TIGAR;HK3;FGFR1;PGAM1;KRAS;HK1;FGFR3;PIK3R3;MYC;MAPK3;KIT;ERBB2;HKDC1;PFKM;NTRK3;NTRK1
4,prerank,Hepatitis B,0.33980878978959705,2.4669300588619762,0.0,0.0004168457404526732,0.002,131/153,56.34%,E2F1;STAT3;IL6;PRKCG;IRAK4;DDB2;RELA;MAP2K1;GRB2;MAP3K1;HRAS;RAF1;SMAD2;MAP3K7;PIK3CD;TP53;ATP6AP1;IFNA10;TYK2;CASP3;BRAF;CCNA1;ARAF;MYD88;EGR2;TGFBR1;CDK2;STAT6;MAPK11;AKT2;CASP9;STAT1;IFNAR1;JAK2;CHUK;ATF4;IKBKE;CREB3L2;AKT1;SMAD3;YWHAQ;SOS2;PIK3R1;MAPK9;PRKCB;NFATC4;CCNE1;MAP2K7;FOS;PRKCA;NFATC2;CDKN1A;IFNA14;CREB1;AKT3;IKBKG;NFKBIA;MAPK12;RB1;PIK3CA;IRF3;PIK3CB;TGFB1;TICAM2;TIRAP;ATF2;NRAS;MAPK13;TAB2;BAX;IFNA7;JAK3;BID;SMAD4;TGFBR2;IRAK1;APAF1;MMP9;STAT2;JAK1;NFKB1;TBK1;BIRC5;IFNB1;TLR2;MAPK1;STAT5A;IFNA5;CYCS;TICAM1;CREB3L4;KRAS;CXCL8;PIK3R3;TLR4;MAP2K6;CCNA2;MAP2K4;TRAF3;MYC;IKBKB;MAPK3;DDX58;IFNA2;TGFB3;IFNA8;JUN;IFNA17;EGR3;IRF7;IFNA16;CREB3;ELK1;SOS1;EP300;IFIH1;BCL2;HSPG2;FAS;CASP8;FADD;NFATC3;E2F3;CREBBP;PTK2B;SRC;CASP10;MAPK8;MAP2K2;MAP2K3;DDB1
5,prerank,Gastric acid secretion,0.4090062584093113,2.4581132784510804,0.0,0.0003473714503772276,0.002,43/62,37.62%,CFTR;PRKCG;MYLK2;CALM3;CCKBR;SSTR2;ADCY1;KCNK10;ATP1B1;ACTB;ITPR2;MYLK4;ADCY6;CALM1;PRKCB;CAMK2G;ATP4A;CALM2;GAST;PRKCA;ADCY2;MYLK3;KCNJ10;CA2;KCNK2;ITPR3;PRKACA;CAMK2D;SLC9A4;ATP1A1;PLCB1;ATP1A3;KCNQ1;GNAI3;PLCB4;PRKACB;MYLK;GNAI2;CAMK2A;SLC9A1;GNAS;ADCY3;ADCY5
6,prerank,Measles,0.3423293826173937,2.4192040525439746,0.0,0.0005954939149323903,0.004,101/126,50.73%,TLR9;STAT3;IL6;NFKBIB;HSPA8;IRAK4;EIF2AK2;RELA;MAP3K7;PIK3CD;TP53;IFNA10;TYK2;CASP3;MYD88;CDK2;AKT2;CASP9;STAT1;IFNAR1;CHUK;BBC3;IKBKE;IL2;TNFAIP3;AKT1;CDK4;PIK3R1;MAPK9;CCNE1;FOS;CSNK2B;CSNK2A1;HSPA2;IFNA14;CD28;AKT3;IKBKG;NFKBIA;PIK3CA;IRF3;PIK3CB;CCND3;IL2RG;IL2RB;IRF9;CD209;OAS3;BAK1;IL1B;IL12A;TAB2;OAS2;BAX;IFNA7;CBLB;JAK3;BID;IRAK1;APAF1;CDKN1B;EIF3H;STAT2;BCL2L1;CLEC4M;JAK1;NFKB1;TLR7;TBK1;CCND1;IFNB1;TLR2;CCND2;STAT5A;CD3E;IFNA5;CYCS;OAS1;TRADD;RCHY1;PIK3R3;TLR4;TRAF3;HSPA1A;IKBKB;IL2RA;DDX58;IFNA2;FCGR2B;IFNA8;JUN;IFNA17;IRF7;IL12B;CDK6;IFNA16;CD46;IFIH1;BCL2;FAS;CASP8
7,prerank,Progesterone-mediated oocyte maturation,0.3932526294651666,2.405683533467829,0.0,0.0005210571755658415,0.004,50/65,44.07%,INS;AURKA;MAP2K1;HSP90AA1;RAF1;ADCY1;PIK3CD;BRAF;CCNA1;RPS6KA3;ARAF;CDK2;MAPK11;AKT2;AKT1;CDC25B;ADCY6;PIK3R1;MAPK9;RPS6KA2;CCNB1;ANAPC5;ADCY2;CDC25C;AKT3;MAPK12;PLK1;PIK3CA;PIK3CB;CDC25A;PRKACA;IGF1R;RPS6KA1;GNAI3;MAPK13;PRKACB;BUB1;GNAI2;MOS;STK10;MAPK1;ADCY3;ADCY5;KRAS;PIK3R3;CCNA2;MAPK3;PRKACG;CPEB4;HSP90AB1
8,prerank,Colorectal cancer,0.37793699730261193,2.3943388659087335,0.0,0.0005789524172953794,0.005,65/79,50.06%,DDB2;MAP2K1;GADD45B;GRB2;EGFR;AXIN1;HRAS;RAF1;TCF7L2;SMAD2;PIK3CD;TP53;CASP3;BRAF;LEF1;ARAF;TGFBR1;AKT2;CASP9;MTOR;BBC3;AKT1;SMAD3;AXIN2;SOS2;RHOA;PIK3R1;MAPK9;FOS;CDKN1A;AKT3;RPS6KB2;PIK3CA;RALA;PIK3CB;TGFB1;AREG;BAK1;NRAS;TCF7;BAX;EGF;SMAD4;TGFBR2;RAC3;CCND1;RPS6KB1;BIRC5;MAPK1;CYCS;RALB;BCL2L11;KRAS;PIK3R3;PMAIP1;MYC;MAPK3;TGFB3;JUN;CTNNB1;RAC1;EREG;SOS1;TGFA;BCL2
9,prerank,Viral carcinogenesis,0.33132306009604695,2.372158898110096,0.0,0.0007294800457921781,0.007,117/141,55.05%,STAT3;GTF2A1;HDAC8;EIF2AK2;RELA;USP7;SKP2;HIST1H2BD;GRB2;HRAS;GTF2E2;NFKB2;PIK3CD;TP53;IL6ST;CDKN2A;HDAC9;CASP3;HDAC6;CCNA1;KAT2A;EGR2;CDK2;CCR5;GTF2H1;ATF4;CREB3L2;SNW1;LTBR;YWHAQ;CDK4;POLB;HLA-A;CHEK1;PKM;RHOA;PIK3R1;CDC42;CCNE1;HDAC5;CDKN1A;GTF2H3;CREB1;MAPKAPK2;IKBKG;NFKBIA;RB1;PIK3CA;DLG1;IRF3;HDAC11;PIK3CB;CCND3;HLA-B;PRKACA;IRF9;ATF2;BAK1;MDM2;NRAS;HDAC1;BAX;DNAJA3;PRKACB;HDAC2;HDAC7;JAK3;CDKN1B;JAK1;KAT2B;GTF2B;NFKB1;CCND1;HDAC10;MAPK1;CCND2;STAT5A;RBL1;HIST2H2BE;TRADD;CREB3L4;KRAS;HPN;CCR4;PIK3R3;HDAC3;SYK;GTF2A2;PMAIP1;CCNA2;TRAF3;MAPK3;PRKACG;REL;JUN;SRF;TRAF1;EGR3;RAC1;IRF7;TRAF5;CDK6;CREB3;ACTN1;EP300;TBPL1;HDAC4;CASP8;ACTN4;GTF2H2;CCR3;RBL2;C3;CREBBP;TRAF2;HIST1H2BK;SRC
