,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Aldosterone-regulated sodium reabsorption,0.5091598467965538,1.987965873582227,0.0,0.02221344220554019,0.022,20/32,28.28%,SCNN1A;SGK1;ATP1A3;PIK3CD;KRAS;PIK3CA;PDPK1;SCNN1G;ATP1B2;MAPK1;ATP1A1;HSD11B2;NR3C2;ATP1A4;ATP1B1;PRKCA;INSR;PIK3R1;INS;MAPK3
1,prerank,Endometrial cancer,0.464941280630492,1.9674154594069293,0.0,0.01413582685807103,0.028,33/53,28.94%,TCF7L2;EGFR;CTNNB1;SOS1;APC;LEF1;CDKN1A;GADD45B;PIK3CD;KRAS;PIK3CA;PTEN;AKT1;HRAS;PDPK1;BAD;BRAF;GSK3B;MAPK1;GADD45A;DDB2;NRAS;GRB2;CDH1;ELK1;AXIN2;ERBB2;MAP2K1;PIK3R1;AXIN1;MAPK3;RAF1;MAP2K2
2,prerank,Ribosome,0.47498534245657187,1.961833985990057,0.0,0.009760451878191901,0.029,33/44,37.49%,RPS19;RPL19;RPL11;RPL7;RPL15;RPL23A;MRPS18A;RSL24D1;RPL37A;RPS6;MRPS16;RPL26L1;RPL13;RPL8;UBA52;RPL37;MRPS2;RPL22L1;RPL23;RPL3;RPS9;RPS3;RPS2;MRPL19;RPS10;RPS17;RPS7;RPL13A;RPS27A;RPL22;RPS3A;RPS16;RPS15A
3,prerank,Prostate cancer,0.4227975189174942,1.910444740681168,0.0,0.012621273980420561,0.048,54/89,31.05%,TCF7L2;CREB3L2;RELA;EGFR;CTNNB1;SOS1;ATF4;BCL2;PLAU;LEF1;CDK2;IKBKG;CDKN1A;ZEB1;PIK3CD;CREB3L4;IKBKB;KRAS;PIK3CA;PTEN;AKT1;CDKN1B;HRAS;PDPK1;BAD;BRAF;PDGFD;GSK3B;MAPK1;HSP90AA1;NRAS;GRB2;IL1R2;FGFR1;PLAT;CREBBP;ERBB2;EP300;NKX3-1;TGFA;MAP2K1;PIK3R1;AR;CCNE1;IGF1R;INS;MAPK3;RAF1;MDM2;MAP2K2;PDGFRB;MMP9;NFKBIA;ERG
4,prerank,Acute myeloid leukemia,0.4362247577448185,1.8941260886203988,0.0,0.01191448263751701,0.057,39/65,31.04%,TCF7L2;RELA;CSF1R;PIM1;EIF4EBP1;SOS1;CD14;LEF1;IKBKG;CEBPA;STAT3;CSF2;PML;PIK3CD;SPI1;IKBKB;KRAS;PIK3CA;CCNA1;AKT1;HRAS;BAD;RUNX1;BRAF;MAPK1;DUSP6;PPARD;RARA;NRAS;GRB2;RUNX1T1;MAP2K1;PIK3R1;FCGR1A;MAPK3;RAF1;MAP2K2;CEBPE;FLT3
5,prerank,MicroRNAs in cancer,0.3876765219490411,1.8339664116984589,0.0,0.020362322021745174,0.107,71/129,29.71%,FGFR3;EGFR;RPS6KA5;EZH2;PIM1;STMN1;VEGFA;SOS1;CDC25B;BCL2;PLAU;APC;DNMT1;BRCA1;STAT3;CDKN1A;ZEB1;DNMT3B;SHC4;ABCC1;SOX4;DICER1;ATM;SOCS1;DDIT4;IKBKB;KRAS;PIK3CA;PTEN;MAPK7;CDKN1B;HRAS;IRS2;NOTCH1;ITGB3;SHC1;CDK6;CASP3;BCL2L11;MAPK1;HMOX1;BCL2L2;PTGS2;MARCKS;MET;CD44;NRAS;CDC25C;TIMP3;GRB2;CRK;ERBB3;CREBBP;SERPINB5;PRKCA;ERBB2;EP300;EFNA3;CRKL;MAP2K1;HDAC4;CCNE1;HDAC1;BMPR2;FSCN1;RAF1;MDM2;MAP2K2;SIRT1;PDGFRB;MMP9
6,prerank,p53 signaling pathway,0.41402448781498635,1.7774963022430186,0.0,0.03231046138987664,0.193,38/56,38.05%,CHEK1;CDK4;CASP8;BID;BCL2;TSC2;CDK2;SERPINE1;CDK1;CDKN1A;GADD45B;ATM;CCNB2;CD82;BCL2L1;PTEN;PMAIP1;CDK6;CASP3;ATR;RRM2;TNFRSF10B;SESN1;GADD45A;DDB2;CCND3;SERPINB5;FAS;CCNB1;CCNE1;MDM2;CCND2;BBC3;TP53;SIAH1;SHISA5;RRM2B;PPM1D
7,prerank,Viral carcinogenesis,0.37970160759634314,1.7729830640382027,0.0,0.030417270292813554,0.207,92/141,39.37%,CREB3L2;RELA;CHEK1;CDK4;HDAC6;HDAC3;CASP8;JUN;RAC1;EIF2AK2;ATF4;HIST1H2BJ;HDAC8;EGR2;CDK2;IKBKG;HDAC7;CDK1;STAT3;CDKN1A;IRF3;SRC;PIK3CD;ATF2;CREB3L4;KRAS;PRKACA;PIK3CA;CCNA2;KAT2A;GTF2H1;TRAF3;CCNA1;CDKN1B;HRAS;PMAIP1;POLB;YWHAQ;CDK6;BAD;CASP3;IL6ST;DDB1;PRKACG;YWHAH;MAPK1;LTBR;HDAC10;HIST2H2BE;USP7;HDAC9;SRF;NRAS;HLA-B;TRAF1;GRB2;CCND3;DLG1;UBE3A;CREBBP;SNW1;EP300;CHD4;PIK3R1;CCR3;HDAC4;CCNE1;HDAC1;TRAF2;GTF2A1;MAPK3;MDM2;PXN;HLA-A;ACTN4;NFKBIA;LYN;JAK1;EGR3;CCND2;TP53;CDC42;HIST1H4E;RHOA;MAPKAPK2;GTF2B;HDAC5;TRADD;STAT5A;C3;REL;GSN
8,prerank,Bladder cancer,0.43281036566827064,1.7709383128145997,0.0020181634712411706,0.027935086409997513,0.212,22/39,29.71%,FGFR3;EGFR;CDK4;RPS6KA5;VEGFA;CDKN1A;SRC;KRAS;HRAS;BRAF;MAPK1;NRAS;CDH1;ERBB2;MAP2K1;DAPK3;MAPK3;RAF1;MDM2;MAP2K2;DAPK1;MMP9
9,prerank,Melanoma,0.423099597506992,1.7706369178650587,0.0,0.025444488344527852,0.215,30/52,29.05%,EGFR;CDK4;FGF2;CDKN1A;GADD45B;PIK3CD;KRAS;PIK3CA;PTEN;AKT1;HRAS;CDK6;BAD;BRAF;PDGFD;MAPK1;MET;GADD45A;DDB2;NRAS;FGFR1;CDH1;MAP2K1;PIK3R1;IGF1R;MAPK3;RAF1;MDM2;MAP2K2;PDGFRB
10,prerank,Chronic myeloid leukemia,0.4033720666891833,1.7704580074413334,0.0,0.02313135304047987,0.215,40/71,28.94%,RELA;CDK4;SOS1;IKBKG;CDKN1A;SHC4;GADD45B;PIK3CD;IKBKB;KRAS;PIK3CA;BCL2L1;TGFB1;AKT1;CDKN1B;HRAS;SHC1;CTBP2;CDK6;BAD;RUNX1;BRAF;MAPK1;GADD45A;TGFBR1;DDB2;NRAS;CTBP1;GRB2;CRK;SMAD4;CBL;CRKL;MAP2K1;PIK3R1;HDAC1;MAPK3;RAF1;MDM2;MAP2K2
11,prerank,Renal cell carcinoma,0.4045400766357936,1.7491551988458782,0.001,0.02776680275692524,0.271,35/62,28.94%,TFE3;JUN;VEGFA;RAC1;SOS1;EGLN3;ETS1;CDKN1A;PIK3CD;CUL2;KRAS;PIK3CA;TGFB1;HIF1A;AKT1;HRAS;BAD;BRAF;MAPK1;MET;PRCC;NRAS;GRB2;CRK;SLC2A1;CREBBP;EPAS1;EP300;CRKL;TGFA;MAP2K1;PIK3R1;MAPK3;RAF1;MAP2K2
12,prerank,Glioma,0.40211764205233624,1.7449182334086215,0.0,0.02671826614932107,0.28,36/65,29.78%,EGFR;CDK4;SOS1;CDKN1A;SHC4;CAMK2G;GADD45B;PIK3CD;CAMK2D;KRAS;PIK3CA;PTEN;AKT1;HRAS;CAMK1G;SHC1;CALM1;CDK6;BRAF;MAPK1;GADD45A;DDB2;NRAS;GRB2;PRKCA;TGFA;MAP2K1;PIK3R1;CAMK4;IGF1R;MAPK3;RAF1;MDM2;MAP2K2;PDGFRB;CAMK1D
