,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Steroid biosynthesis,0.6163405414074824,2.1113585944396407,0.0,0.005974695407685099,0.006,13/17,26.56%,SOAT2;FDFT1;LIPA;EBP;MSMO1;CEL;CYP51A1;CYP24A1;TM7SF2;NSDHL;HSD17B7;SOAT1;DHCR7
1,prerank,Intestinal immune network for IgA production,0.4459835926730193,1.9002857461241105,0.0,0.04381443298969072,0.083,26/45,26.88%,HLA-DOB;TGFB1;IL5;CXCR4;HLA-DPB1;HLA-DRB5;IL2;MAP3K14;HLA-DQA2;TNFSF13;TNFSF13B;TNFRSF17;HLA-DMB;ITGB7;HLA-DOA;IL15RA;IL10;HLA-DRA;MADCAM1;HLA-DMA;CD40;PIGR;CD86;ICOS;LTBR;AICDA
2,prerank,Tryptophan metabolism,0.4694461883269357,1.8982597269272625,0.0,0.02987347703842549,0.084,28/35,40.93%,HADH;ALDH7A1;KYNU;CAT;DLD;ALDH3A2;AADAT;CYP1A2;ALDH1B1;ACAT1;CYP1B1;TPH1;MAOA;CYP1A1;DDC;ACMSD;KYAT3;KYAT1;EHHADH;ACAT2;IL4I1;AOX1;ALDH9A1;HADHA;ECHS1;IDO2;KMO;IDO1
3,prerank,Inflammatory bowel disease (IBD),0.4198187839504739,1.86033497518246,0.0,0.03709290065604499,0.138,37/64,29.57%,HLA-DOB;JUN;TGFB1;IL5;IL23A;STAT6;IL13;HLA-DPB1;HLA-DRB5;IL2;TLR4;HLA-DQA2;NFATC1;TBX21;NOD2;FOXP3;SMAD3;STAT1;HLA-DMB;TLR2;HLA-DOA;GATA3;IL10;HLA-DRA;IL21;IFNGR1;HLA-DMA;RELA;IL21R;IL4R;IL1B;IFNG;NFKB1;RORC;IL12A;IL12RB2;HLA-DRB3
4,prerank,Staphylococcus aureus infection,0.4257380122651545,1.834124738750746,0.0,0.03883552014995314,0.173,26/52,21.68%,HLA-DOB;FCGR1A;C4A;HLA-DPB1;MASP2;HLA-DRB5;HLA-DQA2;ICAM1;C1QB;CFI;PTAFR;PLG;FCGR3B;C1QA;CFD;HLA-DMB;HLA-DOA;FPR3;C3;DEFB4A;IL10;HLA-DRA;FCGR2A;C1S;HLA-DMA;FCGR2B
5,prerank,p53 signaling pathway,0.416791525654609,1.826881387546192,0.0,0.035184317400812244,0.187,37/56,35.16%,TP53;RCHY1;CASP3;RRM2;CCND3;ZMAT3;CDK1;CDK2;TP53I3;CD82;ATR;CASP8;MDM2;MDM4;SERPINB5;CDKN2A;APAF1;CHEK1;SIAH1;CCND1;CDK4;CASP9;GADD45B;CCNB1;BBC3;BCL2;FAS;CCND2;BCL2L1;CHEK2;ATM;CDKN1A;TSC2;BAX;PTEN;CCNE1;PPM1D
6,prerank,Asthma,0.46562413220837795,1.7900874829125564,0.004069175991861648,0.04452570625251038,0.26,18/28,29.57%,HLA-DOB;IL5;CCL11;IL13;HLA-DPB1;HLA-DRB5;HLA-DQA2;HLA-DMB;RNASE3;HLA-DOA;EPX;IL10;HLA-DRA;HLA-DMA;CD40;FCER1A;IL9;HLA-DRB3
7,prerank,Th17 cell differentiation,0.3751313757178389,1.7572752852849989,0.0,0.05414567713214621,0.336,59/107,31.87%,HLA-DOB;JAK1;JUN;TGFB1;IL6ST;IL23A;STAT6;HLA-DPB1;MAPK3;HLA-DRB5;IL2;FOS;HLA-DQA2;NFATC1;HIF1A;TBX21;ZAP70;LCK;IL2RA;FOXP3;RUNX1;SMAD4;NFATC3;SMAD3;RARA;HSP90AB1;STAT1;HLA-DMB;HLA-DOA;GATA3;HLA-DRA;TGFBR1;IL21;IFNGR1;LAT;HLA-DMA;RELA;IL17D;IL2RB;IRF4;HSP90AA1;IL1R1;IL21R;JAK2;IL4R;RXRA;CD3E;IL1B;IFNG;JAK3;NFKB1;RORC;CD247;HLA-DRB3;STAT5A;IKBKG;MTOR;IL1RAP;MAPK1
8,prerank,Primary immunodeficiency,0.43316526256517224,1.7567022831975387,0.0040650406504065045,0.04812949078412996,0.336,26/36,38.54%,PTPRC;ZAP70;BLNK;LCK;CD19;TAP2;AIRE;RAG1;TAP1;BTK;UNG;CD8A;CIITA;CD40;CD3E;RFXANK;ICOS;JAK3;AICDA;RFXAP;IKBKG;IL7R;RAG2;IL2RG;RFX5;TNFRSF13B
9,prerank,Arginine and proline metabolism,0.41987491007754496,1.7453154864185547,0.0,0.0487933458294283,0.373,22/41,26.59%,CKMT1A;PYCR2;ALDH7A1;SMOX;P4HA2;ARG2;AGMAT;ALDH3A2;ALDH1B1;CKMT2;GOT1;SRM;MAOA;P4HA1;NOS2;DAO;ALDH4A1;GOT2;GAMT;SAT2;LAP3;CKB
10,prerank,Arachidonic acid metabolism,0.41406041801498056,1.7349180872138321,0.002012072434607646,0.05060385958933288,0.408,28/42,37.67%,PLA2G1B;PLA2G2E;AKR1C3;CYP4A11;PLA2G6;CYP2B6;CYP2C8;CBR3;PLA2G4A;GPX2;GPX7;ALOX12;PLA2G2A;HPGDS;ALOX5;PTGIS;PTGS1;PTGES;ALOX15B;CYP2E1;TBXAS1;CYP2C19;JMJD7-PLA2G4B;GPX1;CBR1;LTA4H;PLA2G2C;CYP4F2
11,prerank,Viral myocarditis,0.41037126187707423,1.7264523087115198,0.005025125628140704,0.05153174789128397,0.44,36/45,45.78%,HLA-DOB;HLA-DPB1;HLA-DRB5;CASP3;HLA-DQA2;ICAM1;ABL1;HLA-DMB;HLA-DOA;CASP8;CAV1;HLA-DRA;FYN;EIF4G1;DAG1;HLA-DMA;CD40;PRF1;CCND1;CD55;CD86;CASP9;ACTB;HLA-DRB3;ITGB2;ITGAL;RAC1;DMD;HLA-DRB1;CD80;HLA-DRB4;CYCS;HLA-DQB1;HLA-DPA1;HLA-DQA1;BID
