,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Prolactin signaling pathway,0.4378824810593447,2.3296151025241505,0.0,0.0010116319142076846,0.001,44/64,34.20%,PIK3CB;ESR1;CCND2;MAPK3;HRAS;AKT1;PIK3R1;PIK3R3;CISH;JAK2;TH;NFKB1;STAT3;MAP2K1;KRAS;CCND1;SOS2;SOS1;MAPK9;TNFRSF11A;GCK;LHCGR;RELA;FOXO3;MAPK12;PIK3CD;PRL;SLC2A2;ESR2;SHC1;RAF1;AKT3;FOS;PRLR;MAPK14;MAPK8;GRB2;SOCS2;MAPK1;IRF1;CGA;NRAS;SOCS4;CYP17A1
1,prerank,Osteoclast differentiation,0.40197980545653633,2.3186168095793507,0.0,0.0005058159571038423,0.001,77/122,32.27%,PIK3CB;IRF9;NOX1;MAPK3;AKT1;PPP3CA;JUN;PIK3R1;PIK3R3;FYN;STAT2;FOSL1;NFKB1;SQSTM1;FCGR2A;FOSL2;IFNG;RAC1;JAK1;LILRA6;LILRB3;MAP2K1;OSCAR;IFNGR1;NCF2;PLCG2;FCGR3B;TAB2;MAPK9;CHUK;FCGR2B;TNFRSF11A;CTSK;IFNAR2;NFKB2;RELA;LILRA1;TGFBR2;MITF;IL1R1;SIRPB1;NFATC1;MAPK12;PIK3CD;CYLD;BTK;PPARG;TGFBR1;SIRPA;IKBKG;NCF1;MAP3K14;JUNB;TRAF6;TYK2;PPP3CB;AKT3;FOS;IFNAR1;FOSB;MAPK14;PPP3R2;CREB1;IFNB1;MAPK8;GRB2;LILRA2;FHL2;SYK;TNFRSF11B;FCGR1A;LCK;ACP5;ITGB3;MAPK1;CSF1;NFKBIA
2,prerank,B cell receptor signaling pathway,0.42894842379105164,2.304818884727641,0.0,0.0003372106380692282,0.001,45/68,32.50%,PIK3CB;MAPK3;HRAS;AKT1;NFKBIB;PPP3CA;JUN;PIK3R1;PIK3R3;NFKB1;CD79A;RAC1;NFATC3;LILRB3;MAP2K1;KRAS;NFKBIE;PLCG2;SOS2;SOS1;CHUK;FCGR2B;PIK3AP1;CD81;RELA;NFATC1;PIK3CD;BTK;INPPL1;IKBKG;PTPN6;RAF1;PPP3CB;INPP5D;AKT3;FOS;DAPP1;CD19;CD79B;PPP3R2;GRB2;SYK;MAPK1;NFKBIA;NRAS
3,prerank,Relaxin signaling pathway,0.39348636276242616,2.252222814476571,0.0,0.0010116319142076846,0.004,69/103,37.11%,PIK3CB;MAPK3;PRKACA;HRAS;EDN1;AKT1;JUN;ADCY3;PIK3R1;PIK3R3;VEGFB;RXFP1;GNAS;EGFR;NFKB1;MMP13;RXFP4;GNAI1;GNG7;ADCY6;MAP2K1;KRAS;SMAD2;PRKACG;SOS2;SOS1;MAPK9;CREB3;MMP1;GNAI2;GNB5;GNGT2;RELA;TGFBR2;GNA15;PRKCA;GNB4;PLCB3;VEGFC;MAPK12;PIK3CD;PRKACB;GNG12;TGFBR1;SHC1;RAF1;AKT3;GNAI3;FOS;COL4A5;MAPK14;CREB1;MAPK8;ATF2;GRB2;ARRB1;MAP2K4;CREB3L4;MAPK1;ADCY9;NFKBIA;NRAS;ADCY2;SMAD3;VEGFA;GNG4;CREB3L2;NOS2;PIK3CA
4,prerank,Progesterone-mediated oocyte maturation,0.41244390087269056,2.171585599030665,0.0,0.0020232638284153693,0.01,42/65,32.85%,PIK3CB;MAPK3;PRKACA;AKT1;ADCY3;PIK3R1;PIK3R3;PKMYT1;BRAF;PDE3B;RPS6KA1;GNAI1;ADCY6;MAP2K1;KRAS;PRKACG;MAPK9;CDC25A;GNAI2;HSP90AA1;CDC25B;CCNA1;MAPK12;PIK3CD;PGR;PRKACB;MOS;RPS6KA6;RAF1;RPS6KA3;AKT3;ARAF;GNAI3;CDK2;PLK1;MAPK14;MAPK8;CDK1;MAPK1;ADCY9;HSP90AB1;ADCY2
5,prerank,Chagas disease (American trypanosomiasis),0.3806842657088573,2.1654849280795387,0.0,0.001686053190346141,0.01,78/97,50.40%,PIK3CB;IRAK4;MAPK3;AKT1;IL10;JUN;PIK3R1;PPP2R2D;PIK3R3;GNAS;BDKRB2;NFKB1;GNAI1;IFNG;SMAD2;TLR9;IFNGR1;IL6;MAPK9;CHUK;C3;GNAI2;IRAK1;RELA;CCL3;TICAM1;TGFBR2;GNA15;CD3G;CD3D;PLCB3;MAPK12;PIK3CD;KNG1;MYD88;CCL2;TGFBR1;TLR4;IKBKG;FAS;TRAF6;AKT3;IL12B;GNAI3;TGFB3;FOS;MAPK14;IFNB1;MAPK8;GNA11;MAP2K4;MAPK1;IL2;NFKBIA;TLR2;SMAD3;C1QB;TLR6;PPP2R1A;NOS2;PIK3CA;FADD;CCL3L3;SERPINE1;IL1B;CCL5;MAPK13;MAPK11;TGFB1;PLCB1;PPP2R2A;CXCL8;CASP8;CALR;CD247;CFLAR;CD3E;TNFRSF1A
6,prerank,Toxoplasmosis,0.378628228651527,2.152306693927578,0.0,0.0017342261386417452,0.012,62/99,32.90%,IRAK4;MAPK3;AKT1;IL10;NFKBIB;CD40;LAMA3;HLA-DMB;PIK3R6;MAP2K3;JAK2;CYCS;HLA-DPB1;NFKB1;PDPK1;HLA-DOB;GNAI1;CIITA;IFNG;STAT3;LAMB3;JAK1;IL10RB;IFNGR1;HLA-DRA;HSPA2;TAB2;HLA-DRB5;MAPK9;CHUK;CASP3;IRGM;BIRC3;GNAI2;HSPA8;IRAK1;CD40LG;RELA;PPIF;MAPK12;MYD88;BCL2L1;TLR4;ALOX5;IKBKG;CCR5;TRAF6;TYK2;AKT3;IL12B;GNAI3;TGFB3;BCL2;MAPK14;BIRC2;MAPK8;MAPK1;HLA-DQA1;HLA-DPA1;NFKBIA;TLR2;XIAP
7,prerank,Human T-cell leukemia virus 1 infection,0.346624666818834,2.1371946632617513,0.0,0.0017703558498634482,0.014,106/189,32.90%,PIK3CB;CCND2;MAPK3;PRKACA;HRAS;AKT1;CD40;PPP3CA;JUN;B2M;ADCY3;PIK3R1;TP53;HLA-DMB;PIK3R3;HLA-A;KAT2B;FOSL1;TSPO;HLA-DPB1;ITGB2;NFKB1;IL1R2;HLA-DOB;POLB;RB1;ADCY6;JAK1;NFATC3;FDPS;MAP2K1;KRAS;CCND1;ETS1;SMAD2;IL2RB;PRKACG;HLA-DRA;MAP3K1;CANX;SMAD4;IL6;HLA-DRB5;MAPK9;CHUK;EGR1;SLC25A5;CREB3;NFKB2;SLC25A4;EP300;RELA;TGFBR2;CDKN2C;CCND3;CD3G;CCNA1;IL1R1;CD3D;NFATC1;NRP1;PIK3CD;BAX;BUB3;PRKACB;BCL2L1;TGFBR1;IKBKG;MAP3K14;CDKN2B;VDAC1;PPP3CB;AKT3;PTEN;JAK3;TGFB3;FOS;ICAM1;IL2RG;CDK2;CHEK2;PPP3R2;DLG1;CREB1;MAPK8;ATF2;MMP7;CHEK1;ATM;CD4;E2F1;CDKN1A;MAP2K4;CREB3L4;LCK;MAPK1;NFATC4;HLA-DQA1;HLA-DPA1;IL2;ADCY9;NFKBIA;NRAS;RAN;ADCY2;XIAP
8,prerank,AGE-RAGE signaling pathway in diabetic complications,0.3732431120062774,2.106212990577852,0.0,0.002810088650576902,0.025,70/89,50.03%,PIK3CB;NOX1;MAPK3;HRAS;EDN1;AKT1;JUN;PIK3R1;PIK3R3;VEGFB;JAK2;PRKCD;NFKB1;STAT3;F3;RAC1;KRAS;CCND1;SMAD2;PLCG2;SMAD4;IL6;AGT;MAPK9;CASP3;EGR1;RELA;TGFBR2;PRKCA;PLCB3;NFATC1;VEGFC;MAPK12;PIK3CD;BAX;CCL2;TGFBR1;AKT3;AGER;TGFB3;PRKCE;PLCD1;ICAM1;BCL2;COL4A5;MAPK14;MAPK8;MAPK1;NRAS;SMAD3;VEGFA;FN1;PIK3CA;CDC42;AGTR1;SERPINE1;PIM1;IL1B;MAPK13;PRKCZ;MAPK11;CDK4;MMP2;TGFB1;PLCB1;CXCL8;STAT1;SELE;CDKN1B;COL4A3
9,prerank,Toll-like receptor signaling pathway,0.37088397120399,2.1046706307228336,0.0,0.0026302429769399804,0.026,80/98,50.37%,PIK3CB;IRAK4;MAPK3;AKT1;IFNA8;CD40;JUN;PIK3R1;PIK3R3;MAP2K3;IFNA4;NFKB1;CXCL11;IKBKE;RAC1;MAP2K1;TLR9;IL6;TAB2;MAPK9;TLR8;CHUK;CTSK;TLR3;IFNAR2;IRAK1;RELA;CCL3;IFNA17;TICAM1;TICAM2;TLR5;MAPK12;PIK3CD;MYD88;IFNA21;TLR4;IRF7;IKBKG;TRAF6;IRF5;TOLLIP;AKT3;IL12B;FOS;IFNAR1;CCL4;MAPK14;CD86;CD80;IFNB1;MAPK8;TIRAP;MAP2K4;MAPK1;NFKBIA;TLR2;TLR7;IFNA7;TLR6;SPP1;TBK1;PIK3CA;FADD;CCL3L3;IFNA16;CCL4L2;IL1B;CCL5;MAPK13;MAP2K7;IRF3;MAPK11;IFNA14;TRAF3;CXCL8;CASP8;STAT1;RIPK1;IFNA10
