,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,C-type lectin receptor signaling pathway,0.4224327179279343,2.8853963080006406,0.0,0.0,0.0,62/99,27.23%,MAPK12;BCL3;NRAS;NFATC2;NFATC4;MAPKAPK2;CHUK;IL1B;MDM2;IL10;CASP8;IRF9;NFKBIA;PIK3R1;CYLD;CALM3;MAPK9;MALT1;RHOA;LSP1;NFKB2;IKBKB;NFKB1;MAPK13;PPP3CA;CLEC4D;KRAS;PAK1;AKT1;PIK3CD;ARHGEF12;AKT3;CLEC7A;MAPK3;IL2;PIK3CB;NFATC3;ITPR1;STAT2;IKBKE;IL12A;RRAS2;HRAS;PPP3CB;PTGS2;CALML6;CARD9;FCER1G;PLCG2;PIK3CA;CLEC1B;AKT2;IL6;IKBKG;CCL22;JUN;SYK;CLEC4E;RELB;RELA;MAPK1;MAPK14
1,prerank,Pancreatic cancer,0.4411945223749731,2.774760224299998,0.0,0.0,0.0,52/71,34.88%,RAC1;TGFBR2;CHUK;CDC42;PIK3R1;MAPK9;IKBKB;NFKB1;TP53;ERBB2;SMAD4;CDKN1A;KRAS;CDK6;RALGDS;AKT1;PIK3CD;AKT3;MAPK3;BCL2L1;SMAD3;JAK1;PIK3CB;VEGFA;PLD1;RALA;MAP2K1;E2F1;PIK3CA;BAX;AKT2;IKBKG;TGFBR1;EGFR;CASP9;TGFA;CDK4;BRAF;RELA;MAPK1;STAT3;ARAF;RPS6KB2;RB1;RAC3;MTOR;RAD51;BAD;GADD45B;RPS6KB1;CDKN2A;RALB
2,prerank,Measles,0.38864520547364756,2.7655206584342396,0.0,0.0,0.0,74/126,26.65%,CASP3;IFIH1;APAF1;TAB2;CHUK;IL1B;BCL2;CSNK2A2;BID;CASP8;IRF9;IRAK1;NFKBIA;FADD;PIK3R1;MAPK9;TLR4;EIF2AK2;EIF2AK1;IKBKB;NFKB1;TP53;GSK3B;TNFAIP3;IFNA2;DDX58;OAS1;CDK6;EIF2AK3;FASLG;AKT1;PIK3CD;MYD88;AKT3;IFNA16;BCL2L1;IL2;JAK1;PIK3CB;IRF7;IFNB1;IFNA8;EIF2AK4;RCHY1;STAT2;IKBKE;IL12A;HSPA1A;IL2RG;IFNAR2;CCND3;CD3D;FAS;HSPA2;ADAR;PIK3CA;BAX;CCND2;FCGR2B;AKT2;IL6;IKBKG;FOS;JUN;CASP9;CSNK2B;IRF3;TBK1;IFNA14;HSPA1B;CDK4;IFNAR1;RELA;STAT3
3,prerank,Kaposi sarcoma-associated herpesvirus infection,0.3645146435019081,2.684149293294013,0.0,0.0,0.0,97/158,31.89%,RAC1;CASP3;MAPK12;NRAS;NFATC2;NFATC4;GNG4;MAPKAPK2;CHUK;BID;CASP8;IRF9;MAP2K4;NFKBIA;CREB1;TNFRSF1A;FADD;PIK3R1;CALM3;MAPK9;UBB;HLA-B;HIF1A;EIF2AK2;IKBKB;NFKB1;TLR3;TP53;MAPK13;GSK3B;PPP3CA;CDKN1A;IFNA2;KRAS;JAK2;CDK6;AKT1;PIK3CD;BECN1;AKT3;IFNA16;MAPK3;JAK1;PIK3CB;IRF7;IFNB1;IFNA8;VEGFA;NFATC3;ITPR1;CCR5;IFNGR1;GNG5;STAT2;GNGT2;IKBKE;HCK;IFNAR2;HRAS;PPP3CB;PTGS2;MAP2K1;FAS;CALML6;E2F1;PLCG2;IL6ST;PIK3CA;BAX;AKT2;IL6;IKBKG;FOS;JUN;CASP9;SYK;IRF3;TBK1;PIK3R5;CTNNB1;IFNA14;CDK4;GNB5;IFNAR1;RELA;MAPK1;STAT3;MAPK14;GNG8;TICAM1;RB1;MTOR;TRAF3;GNB2;HLA-A;PIK3CG;CYCS
4,prerank,Influenza A,0.364352227469289,2.6586046445403886,0.0,0.0,0.0,81/144,27.23%,MAPK12;SLC25A6;HLA-DMB;IFIH1;HLA-DPA1;CXCL10;PLG;IL1B;IFNG;IRF9;MAP2K4;NFKBIA;TNFRSF1A;PIK3R1;MAPK9;ACTB;TLR4;EIF2AK2;EIF2AK1;IKBKB;NFKB1;TLR3;ATF2;MAPK13;GSK3B;IL18;CPSF4;IFNA2;JAK2;DDX58;OAS1;EIF2AK3;FASLG;AKT1;PIK3CD;MYD88;AKT3;IFNA16;MAPK3;TNFRSF10A;JAK1;PIK3CB;IRF7;IFNB1;IFNA8;EIF2AK4;TNFSF10;HLA-DMA;HLA-DRA;IFNGR1;CIITA;STAT2;NXF1;IKBKE;IL12A;HSPA1A;IFNAR2;CCL5;MAP2K1;FAS;HSPA2;IFNGR2;ADAR;PIK3CA;AKT2;IL33;IL6;JUN;CASP9;IRF3;TBK1;MAP2K3;IFNA14;HSPA1B;FURIN;IFNAR1;RELA;HLA-DQA2;MAPK1;PML;MAPK14
5,prerank,Toll-like receptor signaling pathway,0.3950922841378227,2.6525635536681684,0.0,0.0,0.0,61/97,30.15%,RAC1;MAPK12;CXCL10;TLR8;IRF5;TAB2;CHUK;IL1B;CASP8;IRAK1;MAP2K4;NFKBIA;FADD;PIK3R1;MAPK9;TLR4;IKBKB;NFKB1;TLR3;MAPK13;IFNA2;AKT1;PIK3CD;MYD88;TOLLIP;AKT3;IFNA16;MAPK3;PIK3CB;IRF7;IFNB1;IFNA8;TLR5;IKBKE;IL12A;IFNAR2;CCL5;MAP2K1;RIPK1;CXCL11;PIK3CA;AKT2;IL6;IKBKG;FOS;JUN;IRF3;TBK1;TICAM2;MAP2K3;SPP1;IFNA14;IFNAR1;RELA;MAPK1;MAPK14;CD80;TRAF6;TICAM1;TNF;TRAF3
6,prerank,Hepatitis C,0.3769516217484741,2.649649612191549,0.0,0.0,0.0,75/124,30.15%,CASP3;YWHAQ;NRAS;CXCL10;APAF1;CHUK;IFNG;BID;CASP8;IRF9;NFKBIA;TNFRSF1A;CD81;FADD;PIK3R1;PPP2R1A;EIF2AK2;EIF2AK1;IKBKB;NFKB1;TLR3;TP53;GSK3B;CDKN1A;IFNA2;KRAS;DDX58;OAS1;CDK6;EIF2AK3;FASLG;AKT1;PIK3CD;AKT3;IFNA16;MAPK3;JAK1;PIK3CB;CFLAR;IRF7;IFNB1;IFNA8;EIF2AK4;STAT2;IKBKE;CLDN11;IFNAR2;HRAS;MAP2K1;RIPK1;FAS;E2F1;PIK3CA;BAX;AKT2;IKBKG;EGFR;CASP9;IRF3;TBK1;CTNNB1;IFNA14;CDK4;CLDN1;BRAF;IFNAR1;RELA;MAPK1;STAT3;ARAF;TRAF6;TICAM1;RB1;TNF;TRAF3
7,prerank,Prostate cancer,0.39108404329575597,2.6082841429020704,0.0,0.0,0.0,55/89,29.48%,HSP90B1;FGFR2;PLAU;NRAS;PDGFRB;CHUK;BCL2;MDM2;PDPK1;NFKBIA;CREB1;PIK3R1;ERG;IGF1R;IKBKB;NFKB1;HSP90AA1;TP53;GSK3B;ERBB2;CDKN1A;TCF7L2;PDGFRA;KRAS;HSP90AB1;AKT1;PIK3CD;AKT3;MAPK3;CREB3;PLAT;GSTP1;PIK3CB;FGFR1;HRAS;MAP2K1;E2F1;PIK3CA;AKT2;IKBKG;CREB3L4;EGFR;CASP9;CTNNB1;TGFA;BRAF;RELA;MAPK1;ARAF;LEF1;PTEN;RB1;FOXO1;MTOR;TCF7L1
8,prerank,TNF signaling pathway,0.3805466567611529,2.5862251086958126,0.0,0.0,0.0,75/104,40.84%,CCL20;CASP3;MAPK12;BCL3;CXCL10;TAB2;CHUK;IL1B;CASP8;MAP2K4;NFKBIA;CREB1;TNFRSF1A;FADD;PIK3R1;MAPK9;CASP7;MMP14;IKBKB;NFKB1;ATF2;MAPK13;JUNB;TNFAIP3;ITCH;AKT1;PIK3CD;AKT3;MAPK3;CREB3;PIK3CB;CFLAR;IFNB1;EDN1;RPS6KA4;CCL5;PTGS2;MAP2K1;RIPK1;FAS;PIK3CA;CX3CL1;VEGFC;AKT2;IL6;IKBKG;CREB3L4;FOS;TRAF5;JUN;BIRC2;RPS6KA5;CEBPB;MAP2K3;CXCL5;RELA;MAPK1;CASP10;VCAM1;MAPK14;TNF;TRAF3;MAP3K5;TNFRSF1B;CCL2;IL18R1;DNM1L;CSF1;MMP9;MAP3K14;CREB5;IRF1;CXCL2;TRAF2;IL15
9,prerank,Epstein-Barr virus infection,0.34261454102612326,2.560287087463985,0.0,0.0,0.0,108/174,35.52%,RAC1;HES1;CASP3;MAPK12;HLA-DMB;HLA-DPA1;CXCL10;APAF1;TAB2;CHUK;BCL2;MDM2;BID;CASP8;IRF9;IRAK1;MAP2K4;NFKBIA;FADD;PIK3R1;RBPJ;MAPK9;NEDD4;HLA-B;NFKB2;EIF2AK2;IKBKB;PSMD2;NFKB1;FCER2;TP53;MAPK13;CDKN1A;TNFAIP3;IFNA2;PSMD3;DDX58;OAS1;CDK6;CD44;TAP1;AKT1;PIK3CD;SIN3A;MYD88;AKT3;IFNA16;JAK1;PIK3CB;IRF7;IFNB1;IFNA8;HLA-DMA;HLA-DRA;PSMD4;STAT2;IKBKE;CD19;IFNAR2;CCND3;CD3D;RIPK1;FAS;E2F1;PLCG2;PIK3CA;BAX;CCNA1;CALR;CCND2;AKT2;IL6;IKBKG;CD247;TRAF5;BTK;JUN;CASP9;SYK;IRF3;B2M;TBK1;MAP2K3;IFNA14;RELB;CDK4;IFNAR1;RELA;HLA-DQA2;PSMC5;STAT3;SNW1;MAPK14;TRAF6;RB1;TNF;HLA-DQA1;TRAF3;NFKBIB;HLA-A;CYCS;HLA-DOB;LYN;HDAC1;GADD45B;NFKBIE;TLR2;VIM
