,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Sphingolipid signaling pathway,0.5130837978563269,1.9777095758807355,0.0,0.006068286066144318,0.005,49/101,25.02%,AKT1;ASAH1;HRAS;KRAS;BID;RELA;PRKCE;PLCB3;SPTLC2;CTSD;GNAI2;GNAI3;PIK3CA;PRKCB;SPTLC1;MAPK8;PPP2R3A;PRKCA;MAPK14;PPP2R3C;GNA13;PPP2R2C;RHOA;BCL2;PPP2R1A;BDKRB2;NRAS;BAX;S1PR3;TP53;RAC1;CERS6;MAPK12;ADORA1;PDPK1;ROCK1;FCER1A;KNG1;MAP2K1;PLD2;FYN;ROCK2;PLD1;PPP2R5B;PIK3R3;CERS2;S1PR1;PLCB4;MAPK9
1,prerank,Th17 cell differentiation,0.50121776383176,1.9716607274956228,0.0,0.003034143033072159,0.005,69/107,36.39%,RARA;NFATC3;STAT3;HLA-DPA1;HLA-DMB;LCK;HIF1A;LAT;PLCG1;RELA;STAT6;IKBKB;JAK2;JAK3;JUN;NFKBIE;IL4R;RORA;SMAD2;MAPK8;NFKBIA;IFNG;RORC;MAPK14;AHR;HLA-DRB4;NFKBIB;HLA-DRB5;IFNGR1;IL6R;HLA-DPB1;IKBKG;IL27RA;FOS;RXRA;MTOR;MAPK12;SMAD4;SMAD3;RUNX1;IL1R1;HLA-DRA;IL4;MAPK9;IL6ST;CD3G;ZAP70;IL1RAP;IRF4;STAT5A;HLA-DQA1;CD3E;PRKCQ;HLA-DOA;IL23R;HLA-DRB1;GATA3;IL12RB1;HSP90AB1;IL21R;HLA-DQB1;MAPK3;HLA-DRB3;MAPK13;IL2RA;TGFBR1;HSP90AA1;PPP3R2;IL2RB
2,prerank,RNA degradation,0.5911742948246219,1.9657470093523068,0.0,0.002427314426457727,0.006,20/36,25.83%,EXOSC4;LSM5;HSPA9;PABPC1;PFKP;PARN;PNPT1;HSPD1;CNOT7;PAN2;DCPS;BTG1;WDR61;SKIV2L;BTG2;LSM7;PFKL;ENO1;LSM6;TTC37
3,prerank,Viral carcinogenesis,0.4903997943739748,1.9620767989035603,0.0,0.0018204858198432954,0.006,76/141,30.15%,STAT3;HRAS;HLA-A;SKP2;HIST1H2BD;CDKN1B;KRAS;KAT2A;HDAC5;TRAF3;RELA;EIF2AK2;CCNA2;HIST1H2BK;POLB;HDAC4;SYK;PIK3CA;JAK3;JUN;CCND3;CASP3;SRC;HDAC2;NFKBIA;PRKACG;HDAC1;GTF2B;ACTN4;CHD4;CCR5;RHOA;CDKN2B;ATF4;SRF;TBP;IRF3;NRAS;CCNA1;CDC42;BAX;DNAJA3;IKBKG;MDM2;TP53;RAC1;PMAIP1;CREB1;HIST2H2BE;CREB3L1;PXN;GTF2H2;EGR3;CCNE1;CDK2;EP300;USP7;HDAC8;CCND2;PIK3R3;CASP8;IRF9;REL;RBL1;IL6ST;HDAC7;CDC20;HDAC6;PKM;EGR2;HIST1H4E;CDK1;LYN;GTF2A2;STAT5A;HPN
4,prerank,Non-alcoholic fatty liver disease (NAFLD),0.4963704608564217,1.960084400618616,0.0,0.0014563886558746362,0.006,67/125,30.88%,NDUFB5;AKT1;XBP1;SDHC;BID;RELA;GSK3B;NDUFS4;PRKAA2;IKBKB;PIK3CA;NDUFA13;JUN;CASP3;PRKAB2;MLXIP;MAPK8;FAS;COX5B;SREBF1;NDUFB6;GSK3A;NDUFB8;PRKAA1;ATF4;NDUFA9;IL6R;NDUFB1;CDC42;BAX;EIF2AK3;PPARA;PRKAG2;RXRA;RAC1;SDHD;CASP7;NDUFV1;NDUFS8;COX7A1;NDUFA7;NDUFA4;SDHB;EIF2S1;NDUFC2;PIK3R3;CYC1;SDHA;CASP8;NR1H3;MAPK9;MAP3K11;NDUFB4;BCL2L11;NDUFB3;NDUFA4L2;NDUFS1;ITCH;NDUFS7;COX6B2;COX6C;PRKAG1;NDUFC1;PRKAB1;NDUFS2;TNF;COX7B
5,prerank,Epstein-Barr virus infection,0.4774798061688791,1.9575473781277555,0.0,0.0016182096176384846,0.008,101/174,34.13%,AKT1;STAT3;HLA-DPA1;HLA-A;SKP2;CDKN1B;TBK1;HLA-DMB;TRAF3;BID;ENTPD3;RELB;RELA;EIF2AK2;CCNA2;GADD45B;IKBKB;IFNA1;B2M;SYK;PIK3CA;JAK3;JUN;IFNAR2;IFNA10;CCND3;IKBKE;CASP3;CD44;NFKBIE;MAPK8;HDAC2;NFKBIA;TAB2;HDAC1;FADD;MAPK14;FAS;HLA-DRB4;MYD88;NFKBIB;SIN3A;HLA-DRB5;BCL2;CD19;PSMD3;IRF3;CCNA1;BAX;HLA-DPB1;ICAM1;IKBKG;MDM2;TP53;RAC1;MAP2K4;MAPK12;MAP3K7;VIM;TRAF6;CCNE1;PSMD2;HES1;CDK2;USP7;IFNA7;CCND2;PIK3R3;NCOR2;HLA-DRA;TLR2;CASP8;OAS1;OAS2;IRF9;MAP3K14;IRAK1;MAPK9;DDB2;CD3G;BCL2L11;CALR;IRAK4;IFNA8;MYC;CD40;LYN;HLA-DQA1;CD3E;MAP2K6;APAF1;TNF;HLA-DOA;HLA-DRB1;E2F1;PSMD1;CR2;CD58;HLA-DQB1;IFNB1;CASP9
6,prerank,NF-kappa B signaling pathway,0.5143359705499814,1.954987889649234,0.0,0.001560416417008539,0.009,47/86,30.83%,BIRC2;PARP1;LCK;TRAF3;LAT;RELB;PLCG1;RELA;CSNK2B;GADD45B;CD14;IKBKB;CFLAR;SYK;PRKCB;BCL2A1;NFKBIA;TAB2;TNFRSF11A;MYD88;ATM;BCL2;ICAM1;BCL10;IKBKG;MAP3K7;CSNK2A2;TNFSF13B;TRAF6;TLR4;TICAM2;IL1R1;CCL4L2;MAP3K14;IRAK1;BIRC3;TICAM1;TNFRSF13C;ZAP70;CARD11;IRAK4;BCL2L1;CD40;LYN;LBP;PRKCQ;TNF
7,prerank,Pathways in cancer,0.4420997698434651,1.940124177191727,0.0,0.0013653643648824717,0.009,251/446,36.44%,BIRC2;EGFR;RARA;ARNT2;FZD7;GNG12;AKT1;ESR2;STAT3;HRAS;SKP2;EGLN1;CDKN1B;KRAS;NCOA3;HIF1A;PPARG;CTBP1;TXNRD1;TRAF3;GSTT1;BID;SLC2A1;PLCG1;RELA;GSK3B;ADCY5;NOTCH1;PLCB3;RASGRP1;ADCY7;GADD45B;WNT9A;CRKL;STAT6;IKBKB;IFNA1;IGF1R;LPAR2;GNAI2;LPAR5;MSH2;GNAI3;PIK3CA;JAK2;PRKCB;JAK3;KIT;MET;JUN;IFNAR2;IFNA10;CCND3;FGFR2;CASP3;TRAF4;ITGA2;PTK2;IL4R;IGF2;SMAD2;MAPK8;HDAC2;EDN1;NFKBIA;HMOX1;BRCA2;PRKACG;LEF1;HDAC1;IFNG;MAX;FADD;ITGA3;IL7;PRKCA;TGFA;FAS;RASGRP2;IL12A;CTNNB1;ITGAV;TXNRD3;IL15;RALGDS;IL12RB2;GNB1;VEGFB;TPR;ADCY3;BRAF;GNA13;F2R;RHOA;GNG4;RASGRP4;BCL2;BBC3;AXIN2;IFNGR1;PAX8;GNG8;CDKN2B;BDKRB2;DAPK1;EGLN3;IL6R;NRAS;CCNA1;CDC42;BAX;FN1;SMO;SKP1;PGF;IKBKG;DVL1;NCOA4;AR;MDM2;FOS;RXRA;TP53;RAC1;PMAIP1;MTOR;STK4;GSTP1;SMAD4;SMAD3;CASP7;PTGER4;CXCR4;BCR;ROCK1;WNT5A;MMP1;MGST2;KNG1;DAPK3;RET;RUNX1;TRAF6;RARB;ERBB2;MAP2K1;CSF3R;CCNE1;ABL1;HES1;CDK2;VHL;EP300;TERT;FZD6;ROCK2;FOXO1;PLD1;IFNA7;CCND2;PIK3R3;CALM1;MECOM;RALBP1;IL4;BMP4;LPAR1;IL5RA;GLI1;CASP8;PLCB4;CALM3;BIRC5;KEAP1;MAPK9;BIRC3;IL6ST;DDB2;HSP90B1;FGFR3;GNA11;EPO;SUFU;PTGER3;PTCH1;BCL2L11;GNAS;MAP2K2;FZD4;RASSF5;ADCY9;IFNA8;MYC;WNT9B;BCL2L1;TCF7L2;LRP5;GNB5;PLCB1;AGT;NFE2L2;STAT5A;FZD3;GSTM3;NQO1;GSTM1;IL5;DVL2;EDNRB;APAF1;CTBP2;IL23R;ARAF;COL4A5;LPAR6;FZD10;E2F1;IL12RB1;CSF2RB;CKS2;RAF1;CSF2RA;HSP90AB1;RAC3;IL15RA;RAD51;GSTO2;AGTR1;CASP9;CKS1B;IL12B;KITLG;SHH;PRKACA;MAPK3;SOS2;DAPK2;HEY1;ALK;E2F3;FZD9;TGFB2;IL2RA;EDNRA;TGFBR1;ITGA6;HSP90AA1;BMP2;TCF7;IL2RB;LPAR3
8,prerank,Measles,0.49009638411760764,1.9393234456987083,0.0,0.0012136572132288637,0.009,66/126,30.66%,AKT1;STAT3;CDKN1B;TBK1;TRAF3;BID;RELA;GSK3B;CSNK2B;EIF2AK2;IKBKB;IFNA1;MX1;PIK3CA;JAK3;JUN;IFNAR2;IFNA10;CCND3;IKBKE;CASP3;MAPK8;NFKBIA;TAB2;FADD;FAS;IL12A;MYD88;NFKBIB;RCHY1;BCL2;BBC3;ADAR;IRF3;BAX;IKBKG;EIF2AK3;FOS;TP53;MAP3K7;CSNK2A2;TRAF6;IFIH1;CCNE1;CDK2;TLR4;EIF2S1;IFNA7;CCND2;PIK3R3;TLR2;CASP8;OAS1;OAS2;IRF9;IRAK1;MAPK9;CD3G;EIF3H;CD46;IRAK4;IFNA8;BCL2L1;STAT5A;CD3E;APAF1
9,prerank,Parkinson disease,0.5095323409882354,1.9382319961459584,0.0,0.0010922914919059773,0.009,53/94,31.68%,NDUFB5;UBE2L3;PPIF;SLC25A6;SDHC;VDAC1;ADCY5;NDUFS4;UBB;SLC25A4;GNAI2;VDAC2;UBE2L6;GNAI3;NDUFA13;CASP3;PRKACG;UBE2J1;TH;COX5B;HTRA2;NDUFB6;NDUFB8;DRD1;NDUFA9;NDUFB1;SNCA;GPR37;SDHD;NDUFV1;NDUFS8;COX7A1;NDUFA7;NDUFA4;ADORA2A;SDHB;NDUFC2;CYC1;SDHA;NDUFB4;PARK7;NDUFB3;NDUFA4L2;NDUFS1;NDUFS7;COX6B2;COX6C;NDUFC1;NDUFS2;APAF1;COX7B;COX5A;LRRK2
