,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Neurotrophin signaling pathway,0.4311766616987599,2.9771691067060195,0.0,0.0,0.0,82/103,42.42%,MAPK11;IRS1;MAPK14;NTRK3;NGFR;RPS6KA1;RHOA;TP53;NFKBIA;IRAK2;PIK3CA;MAP3K5;GRB2;NRAS;MAPK3;AKT3;MAPK9;KRAS;PRKCD;IRAK1;SORT1;ABL1;PIK3CD;MAGED1;CAMK2D;TRAF6;IRAK4;NFKBIB;NTRK1;FRS2;ARHGDIB;MAPKAPK2;MAPK12;SH2B3;MAPK13;RIPK2;MAP2K1;RPS6KA3;CAMK2G;AKT1;IKBKB;RAP1A;NFKBIE;MAP2K7;PIK3CB;BAX;RELA;CALM3;AKT2;RAC1;BCL2;NFKB1;PSEN1;RPS6KA5;BAD;ZNF274;PIK3R2;JUN;HRAS;MAPK7;SHC4;PSEN2;PLCG2;GSK3B;RAF1;PIK3R1;CAMK2A;CRKL;CRK;PLCG1;PDPK1;ATF4;BRAF;SOS2;PRDM4;PIK3R3;GAB1;MAPK8;FOXO3;MAP3K1;NGF;CDC42
1,prerank,Measles,0.4135204140893793,2.9567303512318093,0.0,0.0,0.0,100/126,43.20%,HSPA1A;STAT1;RCHY1;CCND1;STAT3;CD46;STAT2;TP53;NFKBIA;TRADD;TLR9;PIK3CA;IFNA2;CD28;IFIH1;TNFAIP3;MX1;IFNA16;TLR7;TLR2;AKT3;CDK4;TBK1;MAPK9;IL2RG;IRAK1;IKBKE;PIK3CD;ADAR;HSPA1B;TRAF6;FAS;IRAK4;NFKBIB;IL12A;EIF2AK2;TLR4;CHUK;EIF2AK3;IL12B;IL2;CCND3;CDK6;CDKN1B;IFNA4;IRF7;EIF2AK1;JAK3;AKT1;IKBKB;FCGR2B;PIK3CB;BAX;TAB2;FOS;RELA;OAS1;AKT2;TYK2;BCL2;IFNA17;NFKB1;EIF2AK4;BAD;CSNK2A2;IL2RB;PIK3R2;CASP8;HSPA2;IFNB1;JUN;CSNK2B;IFNA10;CDK2;BID;BCL2L1;IKBKG;SLAMF1;CCNE1;GSK3B;CBLB;PIK3R1;CLEC4M;IL1B;IL6;CD3D;JAK1;MYD88;PIK3R3;CASP3;MAPK8;CASP9;CCND2;IFNA14;CD209;FADD;DDX58;IFNA21;STAT5A;IRF9
2,prerank,Hepatitis B,0.3879624583366089,2.873799373052672,0.0,0.0,0.0,113/153,41.47%,MAPK11;ATF2;MAPK14;MAP2K4;STAT1;NFATC4;STAT3;JAK2;STAT2;TP53;NFKBIA;PIK3CA;NFATC3;IFNA2;SMAD3;YWHAQ;CREB1;IFIH1;RB1;CREBBP;GRB2;SMAD4;IFNA16;NRAS;MAPK3;PRKCA;TLR2;AKT3;NFATC1;TBK1;MAPK9;KRAS;IRAK1;IKBKE;PIK3CD;TRAF6;FAS;IRAK4;TGFBR1;DDB2;TLR4;CHUK;MAPK12;TGFB1;MAPK13;IFNA4;MAP2K1;IRF7;E2F1;JAK3;AKT1;STAT4;IKBKB;CREB3L2;HSPG2;SMAD2;MAP2K7;PIK3CB;TIRAP;EGR2;CCNA1;BAX;TAB2;FOS;RELA;PRKCB;AKT2;TYK2;BCL2;IFNA17;CCNA2;NFKB1;BAD;CXCL8;PIK3R2;CASP8;IFNB1;CDKN1A;JUN;HRAS;ATP6AP1;MYC;MMP9;IFNA10;CDK2;STAT6;TGFB2;BID;CREB3;IKBKG;TGFBR2;MAP2K3;CCNE1;RAF1;PIK3R1;IL6;TLR3;JAK1;ATF4;BRAF;MYD88;SOS2;PIK3R3;CASP3;NFATC2;MAPK8;CASP9;TNF;EP300;IFNA14;FADD;MAP3K1;DDX58
3,prerank,C-type lectin receptor signaling pathway,0.3973979120431202,2.705343473352639,0.0,0.0,0.0,66/99,33.99%,MAPK11;MAPK14;STAT1;NFATC4;CLEC4D;RHOA;STAT2;NFKBIA;PIK3CA;NFATC3;CYLD;NRAS;MAPK3;IRF1;CLEC7A;AKT3;NFATC1;MAPK9;KRAS;ARHGEF12;PRKCD;IKBKE;PIK3CD;FCER1G;IL12A;KSR1;CHUK;MAPKAPK2;MAPK12;IL12B;IL2;CLEC6A;SYK;MAPK13;PTGS2;AKT1;PPP3CA;RRAS2;IKBKB;PIK3CB;MALT1;EGR2;CARD9;RELA;NFKB2;MAP3K14;CALM3;AKT2;NFKB1;PPP3CC;PPP3CB;MDM2;LSP1;PIK3R2;CASP8;JUN;HRAS;ITPR1;IKBKG;PLCG2;CBLB;RAF1;PIK3R1;CLEC4M;IL1B;IL6
4,prerank,Insulin signaling pathway,0.3842505379248544,2.686838211119813,0.0,0.0,0.0,80/111,39.46%,IRS1;ACACA;G6PC2;RPS6KB1;PIK3CA;SOCS2;PRKAR2A;PRKAG2;GRB2;NRAS;MAPK3;PPARGC1A;HK3;AKT3;PRKCZ;TSC2;MAPK9;KRAS;SOCS1;PIK3CD;MKNK1;PTPRF;PRKAR2B;PHKG1;MKNK2;PRKAR1A;PCK1;PHKA1;PPP1CA;INPPL1;PRKACG;EIF4E;RPTOR;PTPN1;PCK2;PPP1CC;MAP2K1;PRKACB;FASN;AKT1;IKBKB;PIK3CB;FOXO1;PRKACA;CALM3;PRKCI;AKT2;PRKAG3;PRKAA1;BAD;PRKAG1;PIK3R2;HRAS;PYGB;PYGL;INS;SHC4;PRKAB2;IRS2;SLC2A4;TRIP10;PKLR;GSK3B;CBLB;G6PC3;RAF1;PIK3R1;CRKL;CRK;PDPK1;PHKG2;BRAF;RHEB;PRKAR1B;SOS2;HK1;GCK;PIK3R3;PDE3B;MAPK8
5,prerank,Influenza A,0.36619636476815426,2.6856394610067302,0.0,0.0,0.0,103/145,40.46%,MAPK11;ATF2;MAPK14;MAP2K4;HSPA1A;STAT1;JAK2;STAT2;NFKBIA;PIK3CA;IFNA2;PML;IFIH1;CREBBP;ACTB;MX1;TNFRSF1A;IFNA16;MAPK3;RSAD2;TLR7;PRKCA;AKT3;CCL5;TBK1;MAPK9;PRSS2;IKBKE;PIK3CD;ADAR;HSPA1B;IL18;FAS;IRAK4;NFKBIB;IL12A;EIF2AK2;TLR4;SLC25A6;EIF2AK3;MAPK12;IL12B;ICAM1;MAPK13;CXCL10;IFNA4;MAP2K1;IRF7;RAE1;EIF2AK1;AKT1;IFNGR1;IKBKB;IL33;MAP2K7;PIK3CB;HLA-DQA2;CIITA;RELA;HLA-DMA;OAS1;PRKCB;ACTG1;AKT2;TYK2;IFNA17;PRSS3;PRSS1;NFKB1;EIF2AK4;CXCL8;IFNG;VDAC1;PIK3R2;HSPA2;IFNB1;JUN;IFNA10;PLG;HLA-DPA1;MAP2K3;CPSF4;GSK3B;HLA-DOA;TNFRSF10B;IFNGR2;HLA-DRA;RAF1;PIK3R1;HLA-DOB;IL1B;IL6;HLA-DMB;TLR3;JAK1;MYD88;PIK3R3;MAPK8;CASP9;TNF;FDPS;EP300;IFNA14
6,prerank,Epstein-Barr virus infection,0.35464804630191094,2.665261266359142,0.0,0.0,0.0,126/174,43.20%,HLA-A;MAPK11;MAPK14;MAP2K4;HES1;STAT1;CCND1;PSMD2;STAT3;BTK;STAT2;TP53;NFKBIA;TRADD;PIK3CA;IFNA2;RB1;TNFAIP3;IFNA16;TLR2;AKT3;CDK4;TBK1;MAPK9;IRAK1;IKBKE;SIN3A;PIK3CD;ITGAL;SKP2;PSMD3;TRAF6;FAS;IRAK4;B2M;SNW1;NFKBIB;DDB2;EIF2AK2;TRAF5;CHUK;MAPK12;ICAM1;CCND3;RIPK1;BLNK;SYK;MAPK13;CDK6;CDKN1B;CXCL10;IFNA4;IRF7;E2F1;JAK3;AKT1;LYN;TAP1;IKBKB;NFKBIE;MAP2K7;PSMC5;PIK3CB;HLA-DQA2;CCNA1;BAX;TAB2;ISG15;RELA;NFKB2;HLA-DMA;CD19;MAP3K14;OAS1;AKT2;RAC1;TYK2;BCL2;IFNA17;CCNA2;NFKB1;MDM2;SAP30;CD40;CD247;PIK3R2;CASP8;IFNB1;CDKN1A;JUN;MYC;IFNA10;CDK2;BID;HLA-DPA1;FCER2;IKBKG;PLCG2;MAP2K3;CCNE1;HLA-DOA;HLA-DRA;PIK3R1;HLA-DOB;IL6;TAP2;CD3D;HLA-DMB;JAK1;GADD45B;MYD88;RBPJ;PIK3R3;CASP3;MAPK8;CASP9;TNF;CCND2;IFNA14;FADD;PSMD4;DDX58;IFNA21;RUNX3;HDAC1;IRF9
7,prerank,Prostate cancer,0.3924940547212537,2.6410930030165005,0.0,0.0,0.0,66/89,40.37%,CCND1;TP53;NFKBIA;PIK3CA;PTEN;CREB1;TCF7L2;RB1;CREBBP;GRB2;NRAS;MAPK3;EGFR;HSP90AB1;AKT3;KRAS;IGF1R;PIK3CD;ERBB2;FGFR1;CHUK;HSP90B1;CDKN1B;CTNNB1;MAP2K1;LEF1;E2F1;AKT1;IKBKB;PLAT;CREB3L2;PIK3CB;FOXO1;RELA;ERG;AKT2;BCL2;NFKB1;BAD;MDM2;PIK3R2;PLAU;CDKN1A;HRAS;PDGFRB;MMP9;INS;CDK2;HSP90AA1;CREB3;ZEB1;IKBKG;CCNE1;GSK3B;RAF1;PIK3R1;FGFR2;PDPK1;ATF4;BRAF;IL1R2;ETV5;SOS2;PIK3R3;CASP9;EP300
8,prerank,RIG-I-like receptor signaling pathway,0.4371587771989289,2.6375469477990934,0.0,0.0,0.0,49/57,47.85%,MAPK11;MAPK14;NFKBIA;TRADD;IFNA2;IFIH1;CYLD;IFNA16;TBK1;MAPK9;PIN1;IKBKE;TRAF6;AZI2;NFKBIB;IL12A;CHUK;MAPK12;IL12B;RIPK1;MAPK13;CXCL10;IFNA4;IRF7;IKBKB;ISG15;RELA;IFNA17;NFKB1;TKFC;ATG5;CXCL8;CASP8;IFNB1;IFNA10;IKBKG;TMEM173;RNF125;MAPK8;TNF;IFNA14;FADD;MAP3K1;DDX58;IFNA21;IFNA7;CASP10;IRF3;TRAF3
9,prerank,Chronic myeloid leukemia,0.4182605852932567,2.6369149286044564,0.0,0.0,0.0,53/71,38.94%,CCND1;TP53;NFKBIA;PIK3CA;SMAD3;RB1;GRB2;SMAD4;NRAS;MAPK3;CTBP2;AKT3;CDK4;KRAS;ABL1;PIK3CD;TGFBR1;DDB2;CHUK;TGFB1;CDK6;CDKN1B;MAP2K1;E2F1;AKT1;IKBKB;PIK3CB;BAX;RELA;AKT2;NFKB1;CTBP1;BAD;MDM2;PIK3R2;CDKN1A;HRAS;MYC;SHC4;TGFB2;BCL2L1;IKBKG;TGFBR2;RAF1;PIK3R1;MECOM;CRKL;CRK;BRAF;GADD45B;RUNX1;SOS2;PIK3R3
