,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Viral myocarditis,0.4816395330675489,2.5861876059142377,0.0,0.0,0.0,31/45,27.17%,ACTG1;CD40LG;EIF4G1;BID;DMD;HLA-DPB1;SGCB;CASP8;ICAM1;HLA-A;CASP3;CCND1;CD40;HLA-DPA1;HLA-DOB;HLA-DRB5;DAG1;CD86;ABL1;CAV1;HLA-DMA;HLA-DRA;HLA-DMB;RAC3;FYN;CXADR;CD55;ACTB;CYCS;CASP9;ITGB2
1,prerank,"Parathyroid hormone synthesis, secretion and action",0.38270925158197094,2.3729170392468726,0.0,0.0005170183644923067,0.001,59/85,41.12%,MEF2A;ATF2;RAF1;PRKACB;ADCY2;PRKCB;GNAI3;ADCY9;PRKCA;BCL2;GNAI2;AKAP13;EGFR;PTHLH;CREB1;ADCY6;CREB3;MAP2K1;CDKN1A;PLD2;CYP24A1;RHOA;MMP17;ATF4;PLCB1;MMP13;FOS;GNAS;ARAF;RUNX2;VDR;MMP14;PDE4D;CREB5;BRAF;PRKACA;MMP15;CASR;PRKACG;EGR1;GNA13;JUND;PLCB3;GNAI1;MAPK3;ADCY3;MEF2D;GATA3;PLD1;LRP6;ITPR1;CYP27B1;RXRG;PDE4B;ADCY5;ITPR3;TNFSF11;ARRB1;FGFR1
2,prerank,Epstein-Barr virus infection,0.32912425131644785,2.274149724689055,0.0,0.002068073457969227,0.006,109/174,37.45%,TP53;DDB2;MAPK13;SKP2;CCND3;IRAK4;RBPJ;MAP2K4;BID;PLCG2;MAPK12;TAB2;IFNA4;CDK4;FCER2;TYK2;HLA-DPB1;BCL2;CD44;CDK2;MAPK9;BAX;AKT1;MAP2K3;TNFAIP3;CD58;DDX58;PIK3CA;TAP1;IKBKG;B2M;BTK;CASP8;HES1;ICAM1;OAS1;CDKN1A;IFNB1;HLA-A;NFKB2;SNW1;CASP3;IFNA8;IFNA16;CCND1;CD3G;CDK6;PIK3CD;MAPK8;TLR2;APAF1;STAT1;HDAC1;CD40;FAS;STAT3;HLA-DPA1;PSMD4;TBK1;HLA-DOB;TRAF5;HLA-DRB5;CCND2;CXCL10;TRADD;AKT2;IRF9;NFKBIE;STAT2;CALR;RELA;NFKB1;SIN3A;HLA-DMA;HLA-DRA;HLA-DMB;E2F1;MAP3K7;SAP30;MDM2;IFNA10;IRF3;AKT3;TRAF3;PSMD1;CYCS;CASP9;NFKBIA;IL6;CD19;MAPK11;IKBKB;NFKBIB;CD3D;JUN;RUNX3;CD247;PIK3R3;RB1;ENTPD3;PSMC5;CCNA1;IFNA2;IRAK1;MAP3K14;JAK1;PSMD2;RAC1;VIM
3,prerank,Tuberculosis,0.3297048612133778,2.2481717765548437,0.0,0.002068073457969227,0.008,103/163,37.43%,MAPK13;IRAK4;FCGR3B;PPP3CA;RAF1;BID;MAPK12;SPHK1;TLR4;IFNA4;PPP3CC;PPP3R2;LAMP1;HLA-DPB1;BCL2;JAK2;MRC2;MAPK9;ITGAM;BAX;FCER1G;AKT1;RAB5A;CEBPB;CR1;ATP6AP1;CREB1;FCGR2B;CASP8;RFX5;MALT1;NOD2;IFNB1;FCGR2A;TIRAP;IFNGR1;IRAK2;CASP3;IFNA8;IFNA16;CLEC4M;MAPK8;TLR2;ARHGEF12;ATP6V0B;APAF1;STAT1;HLA-DPA1;HLA-DOB;PIK3C3;HLA-DRB5;RHOA;CAMK2G;TRADD;AKT2;CAMK2A;CTSD;TCIRG1;CD14;IFNG;RELA;VDR;RFXANK;NFKB1;LSP1;CIITA;HLA-DMA;HLA-DRA;HLA-DMB;MRC1;TNFRSF1A;BCL10;HSPD1;CEBPG;CAMK2D;CAMP;IL10RA;IFNA10;AKT3;CYCS;CD74;IL1B;CASP9;ITGB2;IL6;MAPK11;IL10RB;MAPK3;ITGAX;NFYB;IL23A;TGFB1;C3;IL18;CORO1A;TLR6;CASP10;IFNA2;IRAK1;ATP6V0A1;JAK1;CYP27B1;PLA2R1
4,prerank,Pancreatic cancer,0.3744984867691819,2.2343943992633792,0.0,0.0018612661121723045,0.009,48/71,37.08%,TP53;DDB2;SMAD3;RAF1;CDK4;TGFBR2;ERBB2;MAPK9;BAX;EGFR;TGFBR1;AKT1;PIK3CA;IKBKG;MAP2K1;CDKN1A;RPS6KB1;CCND1;CDK6;PIK3CD;MAPK8;STAT1;STAT3;AKT2;RALB;RELA;ARAF;SMAD2;NFKB1;BRAF;E2F1;RAC3;AKT3;CASP9;BCL2L1;RALBP1;ARHGEF6;IKBKB;VEGFA;MAPK3;TGFB1;PIK3R3;BRCA2;RB1;PLD1;RPS6KB2;JAK1;RAC1
5,prerank,Toxoplasmosis,0.35202022911280073,2.2300630299943225,0.0,0.0015510550934769202,0.009,60/99,31.46%,MAPK13;IRAK4;HSPA1B;CD40LG;MAPK12;TLR4;TAB2;GNAI3;TYK2;HLA-DPB1;BCL2;JAK2;GNAI2;MAPK9;AKT1;MAP2K3;IKBKG;BIRC3;CASP8;LAMB3;PIK3R5;IFNGR1;CASP3;HSPA8;MAPK8;TLR2;STAT1;CD40;STAT3;HLA-DPA1;HLA-DOB;HLA-DRB5;PDPK1;AKT2;BIRC7;CCR5;IFNG;RELA;NFKB1;CIITA;HLA-DMA;HLA-DRA;HLA-DMB;MAP3K7;PIK3R6;TNFRSF1A;IL10RA;AKT3;CYCS;CASP9;ALOX5;NFKBIA;BCL2L1;GNAI1;MAPK11;IKBKB;IL10RB;MAPK3;NFKBIB;TGFB1
6,prerank,Sphingolipid signaling pathway,0.3494047354845902,2.226097746268558,0.0,0.0014771953271208763,0.01,65/101,37.82%,TP53;MAPK13;PTEN;RAF1;BID;MAPK12;SPHK1;ABCC1;PRKCB;GNAI3;PRKCA;BCL2;GNAI2;MAPK9;BAX;FCER1G;HRAS;AKT1;CERS3;PPP2R2A;PIK3CA;ASAH1;S1PR2;CERS4;ROCK1;MAP2K1;PLD2;PIK3CD;MAPK8;PPP2R3C;RHOA;PDPK1;TRADD;AKT2;PLCB1;BDKRB2;PPP2R3A;CTSD;RELA;MAP3K5;KNG1;NFKB1;CERS6;RAC3;FYN;TNFRSF1A;SGPL1;PPP2R5C;PPP2CB;GNA13;AKT3;PLCB3;GNAI1;MAPK11;MAPK3;CERS2;S1PR4;PPP2R5A;PIK3R3;SPTLC1;PLD1;OPRD1;RAC1;PRKCZ;PPP2R2C
7,prerank,Progesterone-mediated oocyte maturation,0.37498566929483956,2.216012290303183,0.0,0.0015510550934769204,0.012,42/65,35.77%,MAPK13;HSP90AA1;CDC25B;PGR;IGF1R;RAF1;PRKACB;MAPK12;ADCY2;GNAI3;ADCY9;RPS6KA6;CDK2;GNAI2;MAPK9;AKT1;RPS6KA3;PIK3CA;ADCY6;MAP2K1;CDC25A;PIK3CD;MAPK8;RPS6KA1;AKT2;INS;ARAF;PKMYT1;CDC25C;BRAF;PRKACA;PRKACG;AKT3;CCNB1;GNAI1;HSP90AB1;MAPK11;MAPK3;ADCY3;PIK3R3;PDE3B;CCNA1
8,prerank,Measles,0.33589023900139425,2.2156001128072917,0.0,0.0013787156386461513,0.012,69/126,27.86%,TP53;CCND3;IRAK4;HSPA1B;CBLB;BID;TLR4;TAB2;IFNA4;CDK4;CD46;TYK2;BCL2;CDK2;ADAR;MAPK9;BAX;AKT1;CSNK2B;TNFAIP3;DDX58;PIK3CA;IKBKG;FCGR2B;CASP8;OAS1;IFIH1;IFNB1;IL2;CSNK2A2;CASP3;IFNA8;IFNA16;CLEC4M;CCND1;CD3G;HSPA8;CDK6;PIK3CD;MAPK8;TLR2;APAF1;STAT1;EIF2AK1;RCHY1;FAS;STAT3;TBK1;CCND2;TRADD;AKT2;IRF9;STAT2;FOS;RELA;NFKB1;SLAMF1;MAP3K7;IFNA10;IRF3;AKT3;GSK3B;TRAF3;CYCS;IL1B;CASP9;NFKBIA;BCL2L1;IL6
9,prerank,Platelet activation,0.3530684812382873,2.2143132181504073,0.0,0.0012408440747815363,0.012,68/98,41.32%,MAPK13;ACTG1;PRKG2;FERMT3;PRKACB;PLCG2;MAPK12;ADCY2;GP1BB;RASGRP2;GNAI3;ADCY9;GNAI2;FGB;FCER1G;P2RY12;AKT1;P2RX1;PIK3CA;ADCY6;ROCK1;BTK;PIK3R5;FCGR2A;MYLK3;PRKCI;RAP1A;PPP1CA;PIK3CD;PPP1CC;ARHGEF12;RHOA;ITGA2;AKT2;PLCB1;GP1BA;GNAS;FGA;PRKACA;GP5;PIK3R6;FYN;PRKACG;ORAI1;GNA13;STIM1;AKT3;ACTB;F2;PLCB3;GNAI1;APBB1IP;MAPK11;PLA2G4A;MAPK3;ADCY3;MYLK2;PIK3R3;PIK3CG;ITGA2B;ITPR1;PRKCZ;ITGB3;ADCY5;ITPR3;RASGRP1;PRKG1;ITGB1
10,prerank,TNF signaling pathway,0.3431752401780459,2.183750156949431,0.0,0.0013160467459804172,0.014,69/104,39.27%,MAPK13;ATF2;MAP2K4;MAPK12;TAB2;EDN1;MAPK9;RPS6KA4;AKT1;MAP2K3;CEBPB;TNFAIP3;PIK3CA;CREB1;IKBKG;BIRC3;CASP8;CREB3;ICAM1;MAP2K1;NOD2;IFNB1;BCL3;CASP3;CXCL5;PIK3CD;MAPK8;FAS;TRAF5;CASP7;CXCL1;CXCL10;ATF4;TRADD;AKT2;FOS;RELA;MMP14;MAP3K5;JAG1;PTGS2;LTA;NFKB1;CREB5;MAP3K8;MAP3K7;TNFRSF1A;IRF1;AKT3;TRAF3;IL1B;NFKBIA;IL6;MAPK11;IKBKB;MAPK3;JUN;CCL20;PIK3R3;LIF;CASP10;BIRC2;CSF1;MAP3K14;JUNB;CCL2;CFLAR;RPS6KA5;IL15
11,prerank,Relaxin signaling pathway,0.3441921055622435,2.18297052885871,0.0,0.0012063761838153823,0.014,88/103,56.40%,MAPK13;ATF2;GNG12;SMAD3;GNGT2;RAF1;PRKACB;MAP2K4;MAPK12;ADCY2;TGFBR2;GNAI3;GNG7;ADCY9;PRKCA;EDN1;GNAI2;MAPK9;SHC1;EGFR;TGFBR1;HRAS;AKT1;PIK3CA;CREB1;GNG5;ADCY6;CREB3;MAP2K1;GNB5;PIK3CD;MAPK8;ATF4;AKT2;PLCB1;MMP13;GRB2;FOS;GNAS;GNB4;GNA15;RELA;SMAD2;NFKB1;CREB5;PRKACA;PRKACG;AKT3;PLCB3;SHC4;NFKBIA;GNAI1;MMP1;COL4A5;MMP2;MAPK11;VEGFA;MAPK3;ADCY3;TGFB1;JUN;PIK3R3;RXFP4;PRKCZ;GNG4;ADCY5;ARRB1;SOS2;COL4A3;VEGFC;CREB3L4;GNG11;MMP9;KRAS;NOS2;COL1A2;PIK3R1;VEGFB;GNG8;GNB2;NRAS;MAPK14;EDNRB;RXFP1;COL4A2;MAP2K7;ADCY1;PIK3CB
12,prerank,Phenylalanine metabolism,0.5751217881498629,2.165038289714758,0.0,0.001431743163209465,0.018,12/15,26.19%,MIF;ALDH3B1;MAOB;PAH;HPD;GOT1;DDC;GOT2;ALDH3A1;MAOA;ALDH1A3;IL4I1
13,prerank,Chagas disease (American trypanosomiasis),0.3394953968879575,2.1240172586718162,0.0,0.0022157929906813146,0.027,74/97,49.15%,MAPK13;IRAK4;SMAD3;MAP2K4;MAPK12;TLR4;TGFBR2;GNAI3;GNAI2;MAPK9;TGFBR1;AKT1;PPP2R2A;PIK3CA;IKBKG;CASP8;IFNB1;IL2;IFNGR1;CD3G;PIK3CD;MAPK8;TLR2;FAS;AKT2;PLCB1;BDKRB2;FOS;CALR;GNAS;IFNG;GNA15;RELA;SMAD2;KNG1;NFKB1;TICAM1;ACE;TNFRSF1A;PPP2CB;AKT3;IL1B;PLCB3;NFKBIA;GNAI1;IL6;MAPK11;IKBKB;MAPK3;TGFB1;C3;CD3D;JUN;CD247;PIK3R3;TLR6;C1QA;IRAK1;CXCL8;CCL2;PPP2R2C;CFLAR;PPP2R1A;SERPINE1;IFNGR2;TRAF6;TGFB2;MYD88;CHUK;TLR9;NOS2;IL12B;CCL5;PIK3R1
14,prerank,Th17 cell differentiation,0.3288629842042793,2.1214183996467466,0.0,0.002412752367630765,0.032,65/107,35.26%,MAPK13;HSP90AA1;IL6R;IL1RAP;SMAD3;PPP3CA;STAT6;MAPK12;PPP3CC;PPP3R2;TGFBR2;TYK2;HLA-DPB1;JAK2;MAPK9;TGFBR1;IL27RA;HIF1A;IKBKG;IRF4;IL2;IFNGR1;CD3G;MAPK8;NFATC3;STAT1;STAT3;HLA-DPA1;HLA-DOB;HLA-DRB5;NFKBIE;FOS;LAT;FOXP3;IFNG;RELA;SMAD2;NFKB1;HLA-DMA;HLA-DRA;HLA-DMB;IL1R1;NFATC1;IL4R;IL1B;IL21;NFKBIA;RARA;HSP90AB1;IL6;IL17F;MAPK11;IKBKB;MAPK3;NFKBIB;IL23A;TGFB1;CD3D;IL6ST;JUN;AHR;CD247;GATA3;LCK;RORA
15,prerank,Human cytomegalovirus infection,0.2998042586984293,2.1153847893556152,0.0,0.0024558372313384573,0.035,121/197,39.68%,TP53;MAPK13;IL6R;ATF2;GNG12;GNGT2;PPP3CA;RAF1;PRKACB;BID;MAPK12;ADCY2;IFNA4;PPP3CC;CDK4;PPP3R2;PRKCB;GNAI3;GNG7;ADCY9;PRKCA;GNAI2;PDGFRA;AKAP13;BAX;EGFR;HRAS;AKT1;PIK3CA;CREB1;TAP1;GNG5;IKBKG;ADCY6;B2M;ROCK1;CASP8;CREB3;MAP2K1;GNB5;CDKN1A;IFNB1;HLA-A;CASP3;IFNA8;IFNA16;RPS6KB1;CCND1;CDK6;PIK3CD;NFATC3;ARHGEF12;FAS;STAT3;TBK1;TRAF5;RHOA;ATF4;TRADD;AKT2;PLCB1;CCR5;GRB2;CALR;GNAS;GNB4;RELA;CXCR4;RHEB;PTGS2;NFKB1;CREB5;PRKACA;E2F1;RAC3;IL1R1;NFATC1;PTK2;TNFRSF1A;PRKACG;GNA13;IL10RA;MDM2;IFNA10;IRF3;AKT3;GSK3B;CYCS;CTNNB1;IL1B;CASP9;PLCB3;NFKBIA;GNAI1;IL6;MAPK11;CCR3;IKBKB;VEGFA;IL10RB;MAPK3;ADCY3;CXCR2;CXCL12;PIK3R3;RB1;RPS6KB2;CRK;IFNA2;ITPR1;CXCL8;JAK1;RAC1;CCL2;GNG4;TSC2;ITGB3;ADCY5;ITPR3;IFNA21;CALM2
16,prerank,Prolactin signaling pathway,0.36064339715569094,2.1048788201201654,0.0,0.002493853287551127,0.037,40/64,33.92%,MAPK13;RAF1;MAPK12;JAK2;MAPK9;SHC1;HRAS;AKT1;SOCS2;PIK3CA;GCK;CISH;MAP2K1;TH;CCND1;ESR2;PIK3CD;MAPK8;STAT1;FOXO3;STAT3;CCND2;AKT2;GRB2;FOS;INS;RELA;NFKB1;TNFRSF11A;ESR1;IRF1;AKT3;GSK3B;SHC4;MAPK11;CYP17A1;MAPK3;SLC2A2;PIK3R3;CGA
