,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,ErbB signaling pathway,0.4755765026730704,2.0688063206173033,0.0,0.011089438734138377,0.011,52/79,32.69%,SHC4;CBLB;AKT1;PLCG2;ELK1;PIK3R3;MAP2K1;ABL2;MAP2K2;BRAF;RAF1;CBL;MAP2K4;PRKCG;KRAS;CDKN1A;STAT5B;EGFR;RPS6KB1;PAK3;EGF;NRAS;PAK4;PIK3CD;HRAS;BAD;GSK3B;NRG1;SRC;AKT2;RPS6KB2;ERBB2;AREG;ERBB3;MAPK9;ERBB4;CAMK2A;CRKL;PIK3CB;JUN;GRB2;ABL1;PIK3R1;CDKN1B;SHC1;PLCG1;PTK2;PRKCA;ARAF;PAK2;EIF4EBP1;MAPK1
1,prerank,Thyroid hormone signaling pathway,0.4675082995890002,2.066937988665725,0.0,0.0055447193670691884,0.011,67/95,34.93%,ATP2A2;AKT1;RXRA;SLC16A2;PLCG2;CTNNB1;ITGAV;SLC2A1;ATP1B1;PIK3R3;MAP2K1;PLCB4;SLC9A1;HDAC3;TSC2;MAP2K2;RAF1;NCOA2;PRKCG;KRAS;ATP1A4;MED4;NCOA3;NOTCH2;SIN3A;PRKACA;EP300;NOTCH1;TP53;RHEB;HIF1A;PRKACB;NRAS;PIK3CD;HRAS;BAD;GSK3B;SRC;BMP4;AKT2;HDAC2;KAT2A;ATP1A3;PLCB3;PIK3CB;TBC1D4;PRKACG;CREBBP;RCAN1;ESR1;CASP9;PIK3R1;SLCO1C1;MED12;ACTG1;PLCG1;PRKCA;MED12L;ATP1A1;HDAC1;GATA4;MAPK1;CCND1;PDPK1;MED13;PRKCB;STAT1
2,prerank,Endometrial cancer,0.4983174663566421,2.0456704027723354,0.0,0.005040653970062899,0.015,40/53,33.20%,AKT1;CTNNB1;ELK1;PIK3R3;MAP2K1;DDB2;MAP2K2;BRAF;RAF1;KRAS;CDKN1A;AXIN1;EGFR;BAX;TCF7;EGF;ILK;TP53;NRAS;PIK3CD;HRAS;BAD;GSK3B;AKT2;APC;ERBB2;AXIN2;CDH1;TCF7L2;PIK3CB;GRB2;CASP9;PIK3R1;FOXO3;ARAF;MAPK1;CCND1;PDPK1;GADD45A;TCF7L1
3,prerank,Chronic myeloid leukemia,0.4806938808017163,2.044642072522864,0.0,0.004032523176050319,0.016,51/71,33.42%,SHC4;CHUK;CDKN2A;AKT1;SMAD3;PIK3R3;MAP2K1;DDB2;TGFB2;MAP2K2;BRAF;RAF1;CBL;MECOM;TGFBR1;KRAS;CDKN1A;STAT5B;SMAD4;RELA;BAX;RUNX1;TP53;NRAS;PIK3CD;HRAS;BAD;RB1;TGFB1;AKT2;IKBKG;HDAC2;TGFBR2;BCR;CRKL;NFKBIA;PIK3CB;CTBP1;GRB2;ABL1;CTBP2;PIK3R1;CDKN1B;SHC1;PTPN11;HDAC1;ARAF;MAPK1;CCND1;GADD45A;CDK4
4,prerank,Vibrio cholerae infection,0.5370627376226719,2.0404041531925947,0.0,0.0032260185408402547,0.016,24/30,34.46%,ATP6V1F;PLCG2;ATP6V1D;ATP6V0C;SEC61A2;ADCY9;ARF1;PRKACA;KDELR2;KDELR3;PRKACB;ATP6V0B;TCIRG1;ADCY3;GNAS;ATP6V1C1;PDIA4;PRKACG;ACTG1;PLCG1;PRKCA;ATP6V1A;ATP6AP1;KCNQ1
5,prerank,Colorectal cancer,0.4587668372169399,2.003023245483749,0.0,0.004032523176050319,0.023,53/79,33.20%,BCL2;AKT1;RHOA;CTNNB1;SMAD3;PIK3R3;MAP2K1;DDB2;RAC3;TGFB2;BBC3;MAP2K2;BRAF;RAF1;TGFBR1;KRAS;CDKN1A;SMAD4;RAC1;AXIN1;EGFR;BAX;RPS6KB1;TCF7;EGF;TP53;NRAS;PIK3CD;HRAS;BAD;GSK3B;BIRC5;TGFB1;AKT2;APC;RPS6KB2;AREG;AXIN2;TGFBR2;MAPK9;TCF7L2;PIK3CB;JUN;GRB2;CASP9;PIK3R1;FOS;BCL2L11;ARAF;MAPK1;CCND1;GADD45A;TCF7L1
6,prerank,Pancreatic cancer,0.44899016878655396,1.9286973876878204,0.0,0.0059047660792165375,0.039,49/71,35.58%,CHUK;CDC42;CDKN2A;AKT1;SMAD3;PIK3R3;RALBP1;MAP2K1;DDB2;RAC3;TGFB2;BRAF;RAF1;TGFBR1;KRAS;CDKN1A;SMAD4;RAC1;RELA;EGFR;BAX;RPS6KB1;STAT3;EGF;TP53;ARHGEF6;PIK3CD;BAD;RB1;TGFB1;AKT2;RPS6KB2;IKBKG;ERBB2;TGFBR2;MAPK9;JAK1;PIK3CB;CASP9;PIK3R1;BRCA2;RAD51;ARAF;MAPK1;CCND1;GADD45A;CDK4;STAT1;PLD1
7,prerank,Renal cell carcinoma,0.45401185271571864,1.9135571766912667,0.0,0.006300817462578623,0.047,38/62,27.77%,CDC42;AKT1;SLC2A1;PIK3R3;MAP2K1;TGFB2;MAP2K2;BRAF;RAF1;KRAS;CDKN1A;RAC1;EPAS1;ETS1;FLCN;PAK3;EP300;HIF1A;NRAS;EGLN1;PAK4;PIK3CD;ARNT;HRAS;BAD;TGFB1;AKT2;RBX1;ARNT2;CRKL;MET;PIK3CB;JUN;GRB2;CREBBP;PIK3R1;EGLN3;PTPN11
8,prerank,Non-small cell lung cancer,0.45348446352267274,1.910960975924077,0.0,0.005600726633403221,0.047,44/63,34.14%,CDKN2A;AKT1;RXRA;PLCG2;PIK3R3;MAP2K1;DDB2;MAP2K2;BRAF;RAF1;PRKCG;KRAS;CDKN1A;STAT5B;EGFR;BAX;RARB;STAT3;EGF;TP53;NRAS;ALK;PIK3CD;HRAS;BAD;RB1;AKT2;ERBB2;PIK3CB;GRB2;CASP9;PIK3R1;JAK3;PLCG1;PRKCA;FOXO3;ARAF;FHIT;MAPK1;CCND1;PDPK1;GADD45A;CDK4;PRKCB
9,prerank,Cell cycle,0.42874871780227564,1.8980483797215242,0.0,0.005746345525871705,0.054,59/94,33.42%,CDKN2A;MCM2;CDC7;CCNA2;WEE1;RBL2;SMAD3;CDK1;CDK7;TTK;BUB1B;TGFB2;CDC25A;ATM;CDKN1A;CCNE1;CDK2;YWHAZ;SMAD4;CCNA1;PTTG1;CCNB1;CCND3;EP300;SKP1;TP53;MCM7;PCNA;PRKDC;CDC45;GSK3B;ORC4;RB1;ORC1;TGFB1;MCM6;RBX1;TFDP1;ATR;HDAC2;YWHAH;PLK1;MCM3;BUB3;ABL1;CREBBP;CDC14A;SKP2;CDKN1B;CCNH;CDC25B;MCM4;HDAC1;CCND2;CDKN1C;CCND1;GADD45A;SMC3;CDK4
10,prerank,Viral myocarditis,0.4683009146044548,1.890297438271895,0.0,0.00531559873206633,0.055,34/45,39.13%,CAV1;SGCB;HLA-DPA1;BID;HLA-DRB1;RAC3;HLA-DQB1;ICAM1;ABL2;CXADR;HLA-B;RAC1;CD55;HLA-DRB4;HLA-DOA;HLA-DMB;HLA-DRB5;HLA-DRB3;FYN;CD80;HLA-A;ABL1;CASP9;DAG1;CD40;ACTG1;CD28;CASP8;CCND1;ITGB2;HLA-DPB1;HLA-DMA;DMD;CASP3
11,prerank,Viral carcinogenesis,0.4113818629091992,1.8886309122597273,0.0,0.004956643070561851,0.056,110/141,46.54%,CDC42;CDKN2A;HIST1H2BK;RHOA;PKM;POLB;HIST1H2BJ;PXN;TRAF5;CCNA2;RBL2;PIK3R3;CDK1;UBE3A;HDAC3;KRAS;CDKN1A;CCNE1;CDK2;STAT5B;HLA-B;YWHAZ;RAC1;IL6ST;RELA;CCNA1;BAX;GSN;HDAC11;CREB3L4;CCND3;PRKACA;EP300;STAT3;TP53;HDAC4;PRKACB;NRAS;IRF9;HDAC6;PIK3CD;HRAS;BAD;SRC;RB1;GTF2H3;IKBKG;GTF2B;HDAC2;HLA-A;YWHAH;KAT2A;TRADD;SRF;TRAF2;NFKBIA;HPN;REL;JAK1;PIK3CB;JUN;PRKACG;GRB2;CREBBP;SKP2;PIK3R1;USP7;CDKN1B;EGR3;SYK;JAK3;ATF4;CASP8;IRF3;TRAF3;TRAF1;HDAC10;LTBR;HDAC5;HDAC1;CREB3L1;CCR4;CCND2;MAPK1;CCND1;HDAC7;CDK4;HDAC9;YWHAQ;EGR2;EIF2AK2;KAT2B;NFKB2;CREB5;NFKB1;CASP3;DNAJA3;SP100;CREB1;TBPL1;CREB3L2;CHEK1;GTF2H2;DLG1;C3;CCR3;ATF2;MAPK3;ACTN4;HIST1H4I
12,prerank,Insulin signaling pathway,0.4205642370866519,1.8820528992379153,0.0,0.00511820249267925,0.063,70/111,35.23%,SHC4;CBLB;PRKAR1A;SREBF1;FASN;AKT1;G6PC;TRIP10;CALM2;ELK1;PIK3R3;PYGL;MAP2K1;GCK;PRKAA1;TSC2;GYS1;MAP2K2;BRAF;RAF1;CBL;INS;KRAS;INPPL1;PPP1CC;TSC1;PHKB;RPS6KB1;PRKAG2;PTPN1;PRKACA;RHEB;PRKACB;NRAS;PRKAR2B;PRKAB1;PIK3CD;HRAS;BAD;GSK3B;PRKAG1;PRKAR1B;PRKCZ;AKT2;RPS6KB2;ACACA;PHKG2;MAPK9;G6PC3;SOCS3;CRKL;PIK3CB;PRKACG;GRB2;SOCS4;PIK3R1;SHC1;PPP1CA;MKNK2;HK2;FBP1;ARAF;EIF4EBP1;MAPK1;PDPK1;EIF4E;PTPRF;HK1;CALM3;PYGM
13,prerank,Epstein-Barr virus infection,0.39652063507138824,1.879054402819642,0.0,0.004824625942774488,0.064,124/174,43.72%,RIPK1;CHUK;CD44;BCL2;AKT1;PLCG2;HLA-DPA1;TRAF5;CCNA2;PSMD3;PIK3R3;BID;HLA-DRB1;FADD;DDB2;HLA-DQB1;ICAM1;MYD88;HES1;MAP2K4;CDKN1A;CCNE1;CDK2;HLA-B;RAC1;RELA;CCNA1;TNFAIP3;CD3D;NCOR2;BAX;HLA-DRB4;HLA-DOA;TNF;CALR;ENTPD3;ENTPD1;CR2;CCND3;SIN3A;NFKBIE;TRAF6;STAT3;HLA-DMB;TP53;FAS;CD19;IRF9;IFNA10;HLA-DRB5;PIK3CD;HLA-DRB3;RB1;TLR2;AKT2;IKBKG;CD58;HDAC2;HLA-A;IFNA2;TRADD;MAP3K7;TRAF2;MAPK9;PSMD1;MAP2K6;OAS1;NFKBIA;IFNA8;JAK1;PIK3CB;JUN;BTK;TAP2;NFKBIB;CASP9;B2M;SKP2;PIK3R1;USP7;CDKN1B;SYK;CD40;JAK3;MAP3K14;NEDD4;IFNA5;IFNB1;BCL2L11;CASP8;IRF3;TRAF3;RELB;PSMD4;HDAC1;MAP2K3;CD3E;CCND2;IFNA4;CCND1;GADD45A;CDK4;IFNA14;HLA-DPB1;STAT1;TBK1;TAP1;IRAK1;EIF2AK2;AKT3;NFKB2;HLA-DMA;MAPK12;NFKB1;CASP3;RUNX3;VIM;GADD45B;CIR1;TAPBP;HLA-DQA1;HLA-DRA;PSMD2;STAT2
14,prerank,DNA replication,0.5051584880413738,1.8786921925269389,0.0010183299389002036,0.0045701929328570284,0.065,21/28,39.90%,MCM2;POLA2;RPA3;RFC2;POLE2;LIG1;POLD4;RNASEH2A;MCM7;PCNA;FEN1;MCM6;RFC1;POLE;MCM3;MCM4;RNASEH2B;POLA1;MCM5;RFC5;RNASEH2C
15,prerank,Gastric cancer,0.4152147467109734,1.8723398987048265,0.0,0.004599596747682395,0.069,71/114,35.76%,SHC4;BCL2;AKT1;RXRA;CTNNB1;REG4;SMAD3;PIK3R3;FZD4;FGF9;MAP2K1;DDB2;TGFB2;WNT1;MAP2K2;BRAF;RAF1;FGFR2;TGFBR1;KRAS;CDKN1A;CCNE1;CDK2;SMAD4;AXIN1;EGFR;BAX;RPS6KB1;TCF7;WNT5A;RARB;EGF;TP53;DVL3;NRAS;PIK3CD;HRAS;GSK3B;RB1;CSNK1A1L;TGFB1;AKT2;APC;RPS6KB2;ERBB2;AXIN2;CDH1;TGFBR2;DVL2;TCF7L2;MET;PIK3CB;GRB2;PIK3R1;CDKN1B;WNT9B;CDX2;SHC1;WNT10B;ARAF;MAPK1;CCND1;GADD45A;TCF7L1;FZD7;CSNK1A1;FZD1;FGF1;DVL1;ABCB1;WNT3
16,prerank,HIF-1 signaling pathway,0.42088827123837536,1.8609067005069244,0.0,0.005099955781475403,0.079,63/89,40.95%,PFKFB3;EDN1;BCL2;AKT1;PLCG2;SLC2A1;PIK3R3;MAP2K1;PDHA1;TEK;MAP2K2;INS;PRKCG;CDKN1A;RELA;EGFR;RPS6KB1;LDHA;PDHB;EP300;STAT3;IFNGR1;EGF;HIF1A;TF;PFKL;EGLN1;PIK3CD;ARNT;AKT2;RBX1;ALDOA;RPS6KB2;ERBB2;SERPINE1;IFNG;CAMK2A;PIK3CB;CREBBP;PIK3R1;CDKN1B;TIMP1;EGLN3;PLCG1;PRKCA;MKNK2;HK2;PDK1;LTBR;EIF4EBP1;MAPK1;EIF4E;PRKCB;HK1;IL6R;VHL;TFRC;AKT3;NFKB1;ENO1;VEGFA;RPS6;IFNGR2
17,prerank,Hepatitis B,0.3962997545230837,1.8481522188215567,0.0,0.00532069030173306,0.087,103/153,39.13%,CHUK;BCL2;AKT1;ELK1;CCNA2;SMAD3;PIK3R3;BID;FADD;MAP2K1;DDB2;TGFB2;MAP2K2;BRAF;MYD88;RAF1;MAP2K4;TGFBR1;PRKCG;KRAS;CDKN1A;CCNE1;CDK2;STAT5B;YWHAZ;SMAD4;HSPG2;RELA;FASLG;CCNA1;BAX;TNF;CREB3L4;EP300;TRAF6;STAT3;TLR3;TP53;PCNA;IFIH1;FAS;NRAS;JAK2;IFNA10;PIK3CD;HRAS;BAD;BIRC5;SRC;RB1;TLR2;TGFB1;AKT2;IKBKG;CASP10;IFNA2;MAP3K7;TGFBR2;MAPK9;MAP2K6;NFKBIA;IFNA8;JAK1;PIK3CB;JUN;GRB2;CREBBP;CASP9;TIRAP;PIK3R1;FOS;EGR3;JAK3;PRKCA;ATF4;IFNA5;IFNB1;CASP8;IRF3;MAP3K1;TRAF3;ARAF;MAP2K3;CREB3L1;STAT6;IFNA4;MAPK1;NFATC2;ATP6AP1;IFNA14;PRKCB;STAT1;TBK1;YWHAQ;IRAK1;EGR2;AKT3;SLC10A1;CREB5;TICAM1;MAPK12;NFKB1;CASP3
18,prerank,Mitophagy,0.45808870778195737,1.8335837955430536,0.001002004008016032,0.006048784764075478,0.103,26/43,30.07%,EIF2AK3;BCL2L13;TFEB;MITF;RAB7A;UBB;KRAS;RELA;BECN1;GABARAPL1;SQSTM1;CSNK2B;BNIP3L;TP53;HIF1A;NRAS;HRAS;SRC;CSNK2A1;ULK1;MAPK9;JUN;FIS1;ATG5;ATF4;FOXO3
19,prerank,Prostate cancer,0.41400055416475123,1.8222033829943594,0.0,0.006552850161081768,0.117,64/89,40.82%,CHUK;BCL2;AKT1;CTNNB1;PIK3R3;MAP2K1;ERG;MAP2K2;BRAF;RAF1;FGFR2;INS;KRAS;CDKN1A;CCNE1;CDK2;RELA;EGFR;ZEB1;CREB3L4;HSP90AA1;TCF7;EP300;EGF;TP53;NRAS;PIK3CD;HRAS;BAD;GSK3B;RB1;AKT2;IKBKG;ERBB2;ETV5;PDGFRA;TCF7L2;HSP90AB1;NFKBIA;HSP90B1;PIK3CB;GRB2;CREBBP;PLAT;CASP9;PIK3R1;CDKN1B;GSTP1;ATF4;ARAF;CREB3L1;MAPK1;CCND1;PDPK1;TCF7L1;FGFR1;PDGFD;AKT3;CREB5;NFKB1;PTEN;PDGFRB;LEF1;CREB1
