,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pancreatic cancer,0.4687892495081998,2.5113970691604295,0.0,0.0,0.0,51/71,34.37%,DDB2;GADD45B;AKT1;STAT3;RB1;TP53;BAD;VEGFA;BRAF;BAX;RPS6KB1;AKT3;STAT1;EGFR;CHUK;CDKN1A;IKBKG;MAPK9;SMAD3;IKBKB;TGFBR2;KRAS;NFKB1;TGFBR1;BRCA2;PIK3CD;ERBB2;PLD1;MTOR;RALA;MAP2K1;CDC42;RPS6KB2;TGFB2;E2F1;RAF1;MAPK8;PIK3CA;RALGDS;RALBP1;RAC1;CDK4;SMAD4;CCND1;RAC3;BCL2L1;MAPK1;CDK6;SMAD2;RELA;TGFB3
1,prerank,Colorectal cancer,0.434441387610942,2.3871244821728856,0.0,0.0,0.0,49/79,29.51%,PMAIP1;DDB2;FOS;AXIN2;GADD45B;AKT1;JUN;TP53;GSK3B;BAD;BRAF;BAX;CYCS;RPS6KB1;AKT3;EGFR;MSH6;CDKN1A;MAPK9;SMAD3;TGFBR2;KRAS;TGFBR1;BCL2;RHOA;MSH2;PIK3CD;NRAS;CTNNB1;MTOR;RALA;MAP2K1;RPS6KB2;TGFB2;TCF7L2;MLH1;RAF1;MYC;HRAS;MAPK8;PIK3CA;RALGDS;RAC1;SMAD4;CCND1;RAC3;GRB2;LEF1;TCF7L1
2,prerank,AGE-RAGE signaling pathway in diabetic complications,0.4242556003528716,2.3598779541691193,0.0,0.0,0.0,54/89,28.47%,FOXO1;AKT1;PRKCA;STAT3;JUN;EDN1;VEGFA;ICAM1;CDKN1B;JAK2;PRKCD;BAX;AKT3;STAT1;MAPK14;MAPK11;MAPK9;SMAD3;IL1B;MMP2;TGFBR2;KRAS;NFKB1;TGFBR1;BCL2;F3;PLCG2;FN1;AGER;PIK3CD;NRAS;MAPK13;EGR1;THBD;AGT;COL4A2;CDC42;TGFB2;CYBB;VCAM1;PLCG1;HRAS;CCL2;MAPK8;PIK3CA;IL6;COL1A2;PLCB1;RAC1;CDK4;SMAD4;PRKCE;PRKCZ;CCND1
3,prerank,Epithelial cell signaling in Helicobacter pylori infection,0.46551275666423814,2.3467765517743397,0.0,0.0002553521817290407,0.001,37/52,34.38%,ATP6V1D;LYN;ATP6V0B;ADAM10;JUN;MET;EGFR;CHUK;MAPK14;MAPK11;IKBKG;MAPK9;CSK;NFKBIA;MAP3K14;IKBKB;NFKB1;PLCG2;MAPK13;CXCL1;MAP2K4;F11R;CDC42;JAM3;PAK1;PLCG1;CXCR1;MAPK8;RAC1;TCIRG1;CXCR2;ATP6V1A;CCL5;JAM2;HBEGF;RELA;NOD1
4,prerank,Fluid shear stress and atherosclerosis,0.3958767737214912,2.3364978160130243,0.0,0.00020428174538323257,0.001,91/122,43.15%,BMPR1B;GSTM4;FOS;AKT1;MAP2K5;ACTG1;TRPV4;JUN;TP53;CALM3;EDN1;VEGFA;ICAM1;MEF2A;PRKAA1;PRKAA2;AKT3;CAV1;CHUK;KEAP1;MAPK14;PLAT;MAPK11;IKBKG;MAPK9;GSTT1;IL1B;MMP2;MEF2C;IKBKB;GSTO1;NFKB1;BCL2;RHOA;NCF1;HSP90AB1;PIK3CD;ACTB;MAPK13;CTNNB1;THBD;MGST2;GSTM1;ASS1;KLF2;MAP2K4;GSTP1;IFNG;HMOX1;GPC1;CAV2;NQO1;VCAM1;HSP90AA1;ITGAV;MAP3K5;CCL2;MAPK8;MAPK7;HSP90B1;PIK3CA;MAP2K7;RAC1;SQSTM1;PRKCZ;BMP4;RAC3;SDC4;ARHGEF2;PTK2;RELA;NOX1;NFE2L2;MAP3K7;MMP9;GSTA1;IL1R2;TNF;GSTO2;NCF2;ITGA2B;DUSP1;MAPK12;BMPR1A;CAV3;PIAS4;TNFRSF1A;ACVR2B;PIK3R2;CALM1;TXN
5,prerank,Shigellosis,0.46632233292851044,2.320921616184261,0.0,0.0003404695756387209,0.002,42/48,45.35%,CRKL;CTTN;ABL1;ACTG1;ROCK1;CHUK;MAPK14;MAPK11;IKBKG;MAPK9;NFKBIA;IKBKB;NFKB1;ACTB;MAPK13;FBXW11;WAS;CDC42;BTRC;ARPC1A;ARPC4;ELMO1;CRK;MAPK8;RAC1;MAPK1;RELA;NOD1;U2AF1;ARPC5;NOD2;MAPK12;ATG5;ITGB1;RIPK2;PFN2;CD44;ARPC2;NFKBIB;MAPK3;WASL;ARPC3
6,prerank,TNF signaling pathway,0.4093470424767432,2.311542910667378,0.0,0.000437746597249784,0.003,84/104,47.14%,FAS;FADD;RPS6KA4;TRAF5;FOS;AKT1;MAP3K8;JUN;EDN1;TNFAIP3;ICAM1;DNM1L;TRADD;CREB3L2;AKT3;CX3CL1;BIRC2;CHUK;MAPK14;TAB2;MAPK11;IKBKG;MAPK9;IL1B;NFKBIA;MAP3K14;IKBKB;NFKB1;CSF1;CREB3L4;ATF4;CREB1;CFLAR;IL15;PIK3CD;ATF2;RIPK1;MAPK13;TRAF1;CXCL1;MAP2K4;MAP2K1;VCAM1;TRAF3;CASP7;MAP3K5;CCL2;MAPK8;PIK3CA;IL6;MAP2K7;IL18R1;TNFRSF1B;CCL20;JUNB;MAPK1;CASP10;LTA;CCL5;RELA;CXCL5;MAP3K7;LIF;MMP9;TNF;NOD2;CXCL3;MAPK12;MMP14;VEGFC;TNFRSF1A;CEBPB;PIK3R2;SOCS3;IRF1;CREB3;MAPK3;PIK3CB;CREB5;JAG1;CASP3;MLKL;CASP8;PIK3R3
7,prerank,MicroRNAs in cancer,0.3902005199279981,2.2800349153112296,0.0,0.0007660565451871221,0.006,85/129,36.58%,CRKL;PRKCA;SOX4;ABL1;STAT3;TP53;VEGFA;RPTOR;CDKN1B;MET;ABCB1;ROCK1;PAK4;DNMT3A;DICER1;HDAC4;MCL1;SHC1;EGFR;CCND2;CDKN1A;STMN1;HDAC1;IKBKB;KRAS;NFKB1;BCL2L2;DNMT1;BCL2;VIM;RHOA;ERBB3;PLCG2;SLC7A1;ZEB1;IRS1;CCNE1;NRAS;CYP1B1;WNT3;PRKCG;IRS2;PTEN;ERBB2;CDC25B;NOTCH2;EP300;MTOR;HMOX1;MAP2K1;TGFB2;BRCA1;E2F1;DDIT4;FZD3;EZH2;RAF1;RDX;MYC;PLCG1;HRAS;PLAU;NOTCH1;CRK;FGFR3;MAPK7;PIK3CA;ATM;CYP24A1;CDC25A;PRKCE;SOCS1;CCND1;GRB2;MAPK1;CDK6;TP63;ABCC1;PDGFRA;TIMP3;SLC45A3;FOXP1;RASSF1;MMP9;THBS1
8,prerank,Thyroid cancer,0.48950631806747547,2.267302141061151,0.0,0.0006809391512774417,0.006,24/34,31.52%,PAX8;DDB2;GADD45B;TFG;TP53;BRAF;NTRK1;BAX;PPARG;CDKN1A;KRAS;RXRA;NRAS;CTNNB1;TPR;MAP2K1;TCF7L2;MYC;HRAS;CCND1;LEF1;TCF7L1;MAPK1;TPM3
9,prerank,Hepatitis B,0.37191353159901147,2.2297436001302477,0.0,0.0012256904722993953,0.012,116/153,47.22%,IKBKE;FAS;FADD;TBK1;DDB2;FOS;AKT1;PRKCA;STAT3;RB1;JUN;TP53;JAK3;BID;BAD;BRAF;JAK2;BAX;CYCS;CREB3L2;AKT3;STAT1;IFNA14;IFNA16;CHUK;MAPK14;TAB2;IRAK4;TYK2;MAPK11;CDKN1A;IKBKG;MAPK9;SMAD3;TLR4;MAP3K1;NFKBIA;IKBKB;TGFBR2;KRAS;NFKB1;CREB3L4;TGFBR1;ATF4;BCL2;CREB1;PIK3CD;CCNE1;ATF2;APAF1;NRAS;PRKCG;MAPK13;CDK2;NFATC4;IFIH1;EP300;MAP2K4;MAP2K1;TGFB2;STAT4;CCNA2;E2F1;TRAF3;RAF1;DDX58;MYC;HRAS;IFNA2;MAPK8;PIK3CA;TLR2;IL6;MAP2K7;NFATC3;PTK2B;SMAD4;TLR3;GRB2;IRF7;MAPK1;CASP10;IFNA21;SMAD2;RELA;IFNA5;TGFB3;IFNA4;MAP3K7;MMP9;NFATC1;IFNA1;TNF;CREBBP;MAPK12;BIRC5;SOS2;STAT6;EGR3;PCNA;STAT2;PIK3R2;IFNA8;CCNA1;ARAF;TICAM2;CREB3;MAPK3;IFNA17;PIK3CB;CREB5;TICAM1;CASP3;CASP8;PIK3R3;JAK1
10,prerank,FoxO signaling pathway,0.3799641241203113,2.2156334977193257,0.0,0.0012071194045372832,0.013,76/119,35.48%,IGF1R;FOXO1;GADD45B;AKT1;CSNK1E;STAT3;BRAF;SKP2;CDKN1B;PRKAA1;PRKAA2;AKT3;EGFR;CHUK;USP7;CCND2;MAPK14;MAPK11;CDKN1A;PRKAB1;MAPK9;PRKAG2;SMAD3;IKBKB;TGFBR2;KRAS;PLK1;TGFBR1;PRKAG1;STK11;IRS1;PCK1;BCL6;PIK3CD;SETD7;NRAS;IRS2;MAPK13;CDK2;PTEN;INS;STK4;CAT;KLF2;EP300;GRM1;MAP2K1;TGFB2;RAF1;HRAS;CDKN2B;G6PC2;MAPK8;PLK4;PIK3CA;ATM;BNIP3;IL6;SGK3;SGK1;FOXO4;SMAD4;CCND1;GRB2;IL10;MAPK1;PCK2;FBXO32;HOMER2;SMAD2;CCNB2;FOXO3;TGFB3;CCNB1;RAG2;PDPK1
