,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,AGE-RAGE signaling pathway in diabetic complications,0.4189124780549309,2.6365692150485365,0.0,0.0,0.0,59/89,32.43%,EDN1;F3;EGR1;MAPK14;STAT3;HRAS;SMAD4;JAK2;BCL2;SMAD3;AGER;JUN;IL1B;AKT3;PRKCA;TGFBR1;PLCG2;MMP2;PIK3CA;TGFBR2;MAPK9;PRKCD;FN1;IL6;AGTR1;MAPK13;CCL2;AKT1;BAX;CDKN1B;PLCG1;CDC42;RAC1;STAT1;NFKB1;CDK4;TGFB3;CASP3;CYBB;NOX1;PLCB1;PRKCZ;RELA;MAPK3;FOXO1;MAPK8;MAPK1;NFATC1;PIK3CD;PLCD1;CCND1;TGFB2;VEGFB;PIK3R3;NRAS;AKT2;PRKCE;AGT;MAPK11
1,prerank,Kaposi sarcoma-associated herpesvirus infection,0.35660199610142335,2.4616442985784808,0.0,0.001549096172111746,0.003,113/159,42.55%,CXCL1;TP53;MAPK14;FAS;STAT3;HRAS;CHUK;IFNA5;JAK2;BID;SYK;CALM3;GNG12;IFNA16;MAPKAPK2;NFKBIA;JUN;BECN1;EP300;NFATC4;HIF1A;MTOR;TBK1;AKT3;CYCS;STAT2;TRADD;PLCG2;CASP9;RAF1;HLA-A;LYN;PIK3CA;IRF7;MAPK9;CTNNB1;IL6;MAPK13;IKBKE;AKT1;BAX;GNG4;IFNAR1;IFNB1;PLCG1;IKBKB;RAC1;STAT1;CD86;NFKB1;TICAM1;CREB1;GSK3B;IFNGR1;CDK4;C3;CASP3;MAP2K6;PIK3R5;PIK3R6;GNB4;CXCL2;PPP3CB;E2F1;CDK6;FOS;RELA;IFNA17;MAPK3;CD200R1;MAPK8;NFATC3;CXCL3;MAPK1;NFATC1;PIK3CD;MAP2K7;EIF2AK2;JAK1;IFNA8;IFNA2;FGF2;TLR3;CCND1;PIK3R3;NRAS;AKT2;MAPK11;IFNA1;IRF3;GNG8;CCR5;MAP2K4;ITPR1;RB1;IFNA21;TYK2;TRAF2;MAPK12;FADD;PIK3C3;CCR4;TRAF3;IFNA14;PIK3CG;HLA-B;ICAM1;SRC;PIK3CB;GNG11;GNG7;CREBBP;CALM1
2,prerank,Hepatitis B,0.3559861420799194,2.4393752109052467,0.0,0.0010327307814078307,0.003,96/153,35.25%,JAK3;TP53;IRAK4;PRKCG;MAPK14;FAS;IFIH1;STAT3;HRAS;CHUK;IFNA5;SMAD4;JAK2;BID;BCL2;SMAD3;IFNA16;ATF4;NFKBIA;JUN;DDB2;EP300;NFATC4;CREB3L2;TAB2;TBK1;AKT3;PRKCA;TGFBR1;STAT6;CYCS;CCNE1;STAT2;ATF2;TLR2;CASP9;RAF1;STAT4;CDK2;PIK3CA;TGFBR2;IRF7;MAPK9;CREB3L4;IL6;MAPK13;GRB2;PCNA;IKBKE;APAF1;AKT1;BAX;IFNAR1;IFNB1;IRAK1;IKBKB;STAT1;NFKB1;TICAM1;CREB1;DDX58;TGFB3;CASP3;TLR4;MAP2K6;E2F1;FOS;CCNA2;RELA;IFNA17;MAPK3;MAPK8;NFATC3;MAPK1;NFATC1;PIK3CD;MAP2K7;JAK1;SLC10A1;IFNA8;EGR3;IFNA2;CASP10;TLR3;BRAF;TGFB2;PIK3R3;NRAS;AKT2;MAPK11;IFNA1;IRF3;MAP2K4;RB1;IFNA21;TYK2
3,prerank,Epstein-Barr virus infection,0.339375746668943,2.3784527890176883,0.0,0.000774548086055873,0.003,112/174,38.43%,JAK3;TP53;TNFAIP3;IRAK4;HLA-DMB;MAPK14;FAS;MAP3K14;STAT3;CHUK;IFNA5;ITGAL;BID;SYK;BCL2;IFNA16;SKP2;HLA-DQB1;NFKBIA;JUN;ENTPD3;DDB2;TAB2;GADD45B;TBK1;AKT3;CYCS;CCNE1;HES1;STAT2;TRADD;HLA-DRB3;TRAF5;PLCG2;CD58;TLR2;CASP9;VIM;CALR;HLA-A;LYN;CDK2;HLA-DPA1;PIK3CA;IRF7;MAPK9;IL6;CD247;MAPK13;IKBKE;APAF1;CR2;AKT1;OAS2;HLA-DQA1;ENTPD1;BAX;HLA-DRA;IFNAR1;CDKN1B;IFNB1;IRAK1;IKBKB;RAC1;STAT1;NFKB1;DDX58;CDK4;CCND3;CASP3;MAP2K6;HLA-DOB;TAP2;HDAC2;B2M;E2F1;CDK6;CCNA2;RELA;IFNA17;PSMD2;MAPK8;PIK3CD;MAP2K7;EIF2AK2;JAK1;IFNA8;RELB;IFNA2;HLA-DRB5;NFKB2;CCND1;HDAC1;PIK3R3;AKT2;MAPK11;IFNA1;IRF3;SIN3A;MAP2K4;RB1;NFKBIB;IFNA21;TYK2;TAP1;TRAF2;CD3D;MAPK12;FADD;BCL2L11;TRAF3;IFNA14
4,prerank,Measles,0.35276308916387683,2.3560464086327335,0.0,0.0008261846251262645,0.004,84/126,38.59%,JAK3;TP53;TNFAIP3;IRAK4;FAS;IFIH1;STAT3;CD46;CHUK;IFNA5;HSPA1A;BID;BCL2;IFNA16;IL12A;NFKBIA;JUN;IL1B;TAB2;TBK1;AKT3;CYCS;CCNE1;STAT2;TRADD;CSNK2A1;TLR2;CASP9;CDK2;PIK3CA;IRF7;MAPK9;BCL2L1;IL6;IKBKE;APAF1;AKT1;OAS2;BAX;IFNAR1;CDKN1B;IFNB1;IRAK1;IKBKB;STAT1;NFKB1;GSK3B;DDX58;CDK4;CCND3;CASP3;TLR4;RCHY1;CDK6;FOS;RELA;IFNA17;MAPK8;EIF2AK1;IL2RA;PIK3CD;EIF2AK2;JAK1;IFNA8;IFNA2;CCND1;IL2;TLR9;PIK3R3;EIF2AK3;AKT2;IFNA1;CSNK2B;IRF3;CSNK2A2;NFKBIB;IFNA21;TYK2;CD3D;FADD;TRAF3;CLEC4M;IFNA14;HSPA1B
5,prerank,Neurotrophin signaling pathway,0.3653213027466766,2.3552716775976528,0.0,0.0006884871876052204,0.004,66/103,35.57%,TP53;NTRK3;IRAK4;MAPK14;HRAS;CALM3;BCL2;ATF4;MAPKAPK2;IRAK2;NFKBIA;JUN;MAGED1;IRS1;SHC4;NGF;AKT3;RPS6KA1;RPS6KA5;PLCG2;RAF1;FOXO3;CAMK2G;PIK3CA;PDPK1;RHOA;MAPK9;RIPK2;PRKCD;NTRK1;CRK;MAPK13;GRB2;MAP3K5;AKT1;BAX;SORT1;IRAK1;MAPK7;PLCG1;ABL1;CDC42;MAP2K5;IKBKB;RAC1;NFKB1;GSK3B;RAP1A;CRKL;RELA;MAPK3;MAPK8;MAPK1;PIK3CD;MAP2K7;SH2B3;BRAF;ARHGDIA;PIK3R3;NRAS;AKT2;MAPK11;GAB1;MATK;NFKBIB;CAMK2A
6,prerank,Pancreatic cancer,0.39205408425835825,2.3537748469832445,0.0,0.0005901318750901889,0.004,64/71,55.29%,TP53;STAT3;CHUK;SMAD4;RPS6KB1;SMAD3;DDB2;MTOR;GADD45B;AKT3;TGFBR1;CASP9;RAF1;PIK3CA;TGFBR2;MAPK9;BCL2L1;RAC3;AKT1;BAX;ERBB2;CDC42;EGFR;IKBKB;RAC1;STAT1;NFKB1;CDK4;TGFB3;E2F1;CDK6;RELA;MAPK3;MAPK8;RPS6KB2;MAPK1;PIK3CD;JAK1;BRAF;CCND1;TGFB2;PLD1;PIK3R3;AKT2;RB1;BRCA2;RALA;RALBP1;RALB;PIK3CB;RALGDS;ARAF;CDKN1A;VEGFA;CDKN2A;BAK1;BAD;IKBKG;PIK3R1;MAP2K1;SMAD2;RAD51;PIK3R2;KRAS
7,prerank,Thyroid hormone signaling pathway,0.3711418788137265,2.349810307663467,0.0,0.0005163653907039154,0.004,60/95,33.84%,TP53;PRKCG;HRAS;PRKACG;KAT2B;MED12L;ACTG1;EP300;HIF1A;MTOR;AKT3;PRKCA;ATP2A2;PLCG2;CASP9;RAF1;RHEB;PIK3CA;PDPK1;CTNNB1;NOTCH2;FXYD2;AKT1;SLCO1C1;ESR1;PLCG1;STAT1;GSK3B;ACTB;NOTCH1;TBC1D4;ATP1B2;NCOA3;HDAC2;PLCB1;PFKP;MED12;KAT2A;THRA;SLC2A1;MAPK3;FOXO1;GATA4;MAPK1;PRKACA;PIK3CD;ATP1B1;PLCD1;ATP1A3;TSC2;THRB;RXRA;CCND1;HDAC1;PIK3R3;NRAS;AKT2;NCOA1;SIN3A;PRKACB
8,prerank,TNF signaling pathway,0.3646341129897129,2.344884914667765,0.0,0.0005737393230043503,0.005,65/104,34.18%,CXCL1;EDN1;TNFAIP3;MAPK14;FAS;MAP3K14;CHUK;ATF4;NFKBIA;JUN;CREB3L2;IL1B;TAB2;AKT3;DNM1L;RPS6KA5;BIRC2;CXCL5;TRADD;CSF1;ATF2;TRAF5;CX3CL1;PIK3CA;IL15;MAPK9;LIF;CREB3L4;CASP7;IL6;MMP14;MAPK13;MAP3K5;CCL20;CCL2;IL18R1;AKT1;CCL5;IFNB1;IKBKB;NFKB1;CREB1;CFLAR;CASP3;MAP2K6;RPS6KA4;CXCL2;FOS;RELA;MAPK3;MAPK8;CXCL3;MAPK1;TNFRSF1B;PIK3CD;MAP2K7;TRAF1;CASP10;BIRC3;PIK3R3;AKT2;JUNB;MAPK11;MAP2K4;BCL3
9,prerank,Salmonella infection,0.40056059823054135,2.3174409518499672,0.0,0.0008261846251262645,0.008,34/59,25.09%,CXCL1;MAPK14;JUN;ACTG1;TLR5;IL1B;ARPC5;CCL3;IFNG;MAPK9;IL6;CD14;MAPK13;CCL4L2;IL18;PKN2;CDC42;RAC1;ARPC2;NFKB1;ROCK1;IFNGR1;ACTB;TLR4;CXCL2;FOS;PKN3;RELA;MAPK3;ARPC3;MAPK8;FLNB;CXCL3;MAPK1
