,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Insulin signaling pathway,0.5666833136039846,2.0097066374840513,0.0,0.0,0.0,66/111,24.48%,HRAS;CALM2;MTOR;PIK3R3;SOCS2;PIK3CA;RAF1;MKNK2;EIF4E;RPS6KB1;SOS2;CRKL;MAP2K1;PIK3CB;GCK;PRKACA;BAD;PRKAA1;PCK2;MAPK9;MAPK3;SOCS1;TSC2;PHKG2;PRKACG;RPTOR;SOCS4;ARAF;AKT1;G6PC2;PIK3R1;PHKB;SOS1;IRS1;PRKACB;CBLB;RPS6;EIF4EBP1;MAPK8;PPP1CC;GRB2;PRKAR1A;PHKG1;PRKAG1;INPPL1;PIK3CD;RHEB;HK3;MAPK1;KRAS;PDE3B;PRKAR2B;MKNK1;BRAF;SHC4;RPS6KB2;PRKAG2;PPARGC1A;GYS1;PYGL;NRAS;SHC1;PRKCI;ACACA;PRKAR1B;HK1
1,prerank,Prolactin signaling pathway,0.5758885075455374,1.9418966842568721,0.0,0.002013503605703468,0.004,39/64,23.61%,HRAS;ESR1;PIK3R3;SOCS2;PIK3CA;RAF1;NFKB1;JAK2;SOS2;CYP17A1;MAP2K1;PIK3CB;GCK;FOXO3;PRLR;MAPK9;MAPK11;MAPK3;SOCS1;CCND2;SOCS4;AKT1;RELA;PIK3R1;SOS1;STAT3;MAPK8;GRB2;PIK3CD;MAPK1;KRAS;MAPK13;SLC2A2;SHC4;GALT;NRAS;SHC1;FOS;IRF1
2,prerank,Relaxin signaling pathway,0.5476446561744849,1.9327873510921856,0.0,0.0016779196714195564,0.005,59/103,22.87%,JUN;EDN1;HRAS;GNGT2;SMAD2;PIK3R3;PIK3CA;RAF1;CREB3L2;NFKB1;RXFP4;SOS2;MAP2K1;CREB3;PIK3CB;ATF4;PRKACA;CREB1;COL4A3;VEGFB;MAPK9;TGFBR1;MAPK11;ADCY3;MAPK3;GNAI3;PRKACG;AKT1;EGFR;RELA;PIK3R1;SOS1;GNAI2;PRKACB;PRKCA;ADCY6;MAPK8;GRB2;MMP13;PIK3CD;GNAS;TGFB1;TGFBR2;MAPK1;KRAS;ARRB1;COL4A5;MAPK13;GNG7;VEGFC;SHC4;ATF2;VEGFA;MAP2K4;NRAS;SHC1;MMP2;GNG4;FOS
3,prerank,Non-small cell lung cancer,0.5669522495488167,1.9294283619861141,0.0,0.0012584397535646673,0.005,33/63,18.17%,HRAS;PIK3R3;PIK3CA;RAF1;SOS2;MAP2K1;PIK3CB;FOXO3;BAD;ERBB2;RB1;MAPK3;ARAF;AKT1;EGFR;PIK3R1;SOS1;CDK6;PRKCA;STAT3;RARB;BAX;GRB2;TP53;PIK3CD;JAK3;MAPK1;CDK4;KRAS;RXRG;BRAF;PLCG2;EML4
4,prerank,Progesterone-mediated oocyte maturation,0.5665985313260984,1.9224745748778926,0.0,0.0010067518028517338,0.005,33/65,17.15%,HSP90AB1;PIK3R3;PIK3CA;RAF1;CDC25B;MAP2K1;PIK3CB;PRKACA;MAPK9;MAPK11;ADCY3;MAPK3;GNAI3;RPS6KA1;PRKACG;ARAF;AKT1;PIK3R1;GNAI2;PRKACB;PKMYT1;ADCY6;CCNB2;RPS6KA6;MAPK8;PIK3CD;MAPK1;KRAS;CDC25A;PDE3B;MAPK13;BRAF;PGR
5,prerank,Central carbon metabolism in cancer,0.5655994653192863,1.9129647967840964,0.0,0.0010067518028517338,0.006,39/60,27.52%,HIF1A;HRAS;MTOR;PIK3R3;PIK3CA;RAF1;MET;MAP2K1;PIK3CB;GCK;ERBB2;MAPK3;NTRK3;AKT1;EGFR;MYC;SIRT6;PIK3R1;PFKP;GLS;PTEN;TP53;PIK3CD;PDHA1;HK3;MAPK1;KRAS;FGFR3;SIRT3;SLC2A2;PFKL;LDHA;NRAS;RET;HK1;SLC16A3;PDHB;AKT3;TIGAR
6,prerank,Chronic myeloid leukemia,0.5486442331336855,1.882928774622934,0.0,0.0012943951750950863,0.008,34/70,17.60%,HRAS;HDAC1;PIK3R3;PIK3CA;RAF1;NFKB1;SMAD4;SOS2;CRKL;MAP2K1;PIK3CB;BAD;TGFBR1;RB1;MAPK3;ARAF;AKT1;MYC;RELA;PIK3R1;SOS1;CDK6;ABL1;BAX;GRB2;TP53;PIK3CD;TGFB1;TGFBR2;MAPK1;CDK4;KRAS;BRAF;SHC4
7,prerank,Renal cell carcinoma,0.5519569726571274,1.8749809168891693,0.0,0.0011325957782082007,0.008,33/61,23.24%,HIF1A;JUN;HRAS;PIK3R3;PIK3CA;RAF1;MET;SOS2;CRKL;MAP2K1;PIK3CB;CREBBP;BAD;PAK1;MAPK3;VHL;ARAF;AKT1;PIK3R1;SOS1;PRCC;GRB2;PIK3CD;CUL2;TGFB1;MAPK1;KRAS;BRAF;ETS1;VEGFA;NRAS;RAC1;FH
8,prerank,AGE-RAGE signaling pathway in diabetic complications,0.5288687454264571,1.8624353339643676,0.0,0.0015660583599915862,0.013,50/88,23.43%,JUN;EDN1;HRAS;SMAD2;PIK3R3;PIK3CA;AGT;NFKB1;SMAD4;JAK2;BCL2;PIK3CB;SERPINE1;COL4A3;VEGFB;NFATC1;MAPK9;TGFBR1;MAPK11;MAPK3;THBD;AKT1;RELA;PIK3R1;PRKCA;STAT3;CASP3;MAPK8;BAX;PRKCD;PIK3CD;TGFB1;TGFBR2;CCL2;MAPK1;CDK4;KRAS;FN1;COL4A5;MAPK13;IL6;VEGFC;ICAM1;PLCG2;VEGFA;NRAS;RAC1;MMP2;F3;PLCD1
9,prerank,Estrogen signaling pathway,0.5290040417963212,1.8518770178316173,0.0,0.0014094525239924274,0.013,53/98,23.58%,JUN;HRAS;CALM2;ESR1;HSP90AB1;PIK3R3;PIK3CA;RAF1;CREB3L2;SOS2;BCL2;MAP2K1;KRT26;CREB3;PIK3CB;ATF4;PRKACA;CREB1;NCOA3;ADCY3;MAPK3;GNAI3;PRKACG;AKT1;EGFR;PIK3R1;SOS1;GNAI2;PRKACB;ADCY6;OPRM1;GRB2;PRKCD;GABBR1;PIK3CD;GNAS;FKBP4;MAPK1;KRAS;PGR;SHC4;ITPR3;CTSD;ATF2;HSP90AA1;RARA;NCOA2;NRAS;SHC1;HSP90B1;MMP2;FOS;HSPA8
10,prerank,Endometrial cancer,0.5530941753897873,1.8435223251065622,0.0,0.0014643662586934314,0.015,26/53,14.47%,HRAS;PIK3R3;PIK3CA;RAF1;SOS2;MAP2K1;PIK3CB;FOXO3;BAD;ERBB2;MAPK3;ARAF;AKT1;EGFR;MYC;PIK3R1;SOS1;BAX;GRB2;PTEN;TP53;PIK3CD;AXIN2;MAPK1;APC;KRAS
11,prerank,Colorectal cancer,0.5342776427391195,1.8435072359249167,0.0,0.0013423357371356453,0.015,35/77,14.47%,JUN;HRAS;MTOR;SMAD2;PIK3R3;PIK3CA;RAF1;SMAD4;RPS6KB1;SOS2;BCL2;MAP2K1;PIK3CB;BAD;MAPK9;TGFBR1;MAPK3;ARAF;AKT1;EGFR;MYC;PIK3R1;SOS1;CASP3;MAPK8;BAX;GRB2;TP53;PIK3CD;TGFB1;TGFBR2;AXIN2;MAPK1;APC;KRAS
12,prerank,Longevity regulating pathway,0.5262086007494239,1.8226926372966554,0.0,0.0017811762665838368,0.022,42/85,20.42%,HRAS;MTOR;HDAC1;PIK3R3;PIK3CA;CREB3L2;NFKB1;EIF4E;RPS6KB1;CREB3;PIK3CB;ATF4;PRKACA;FOXO3;CREB1;PRKAA1;ADCY3;TSC2;PRKACG;RPTOR;AKT1;STK11;EIF4EBP2;RELA;PIK3R1;IRS1;PRKACB;ADCY6;CAT;EIF4EBP1;BAX;TP53;PRKAG1;PIK3CD;RHEB;PPARG;KRAS;ATG5;RPS6KB2;PRKAG2;ATF2;PPARGC1A
13,prerank,Pancreatic cancer,0.528165284760127,1.8207163626644305,0.0,0.001725860233460115,0.023,35/70,17.80%,MTOR;SMAD2;PIK3R3;PIK3CA;RAF1;NFKB1;SMAD4;RPS6KB1;MAP2K1;PIK3CB;BAD;MAPK9;TGFBR1;ERBB2;RB1;MAPK3;ARAF;AKT1;EGFR;RELA;PIK3R1;CDK6;STAT3;MAPK8;BAX;TP53;PIK3CD;TGFB1;TGFBR2;MAPK1;CDK4;KRAS;BRAF;JAK1;RPS6KB2
14,prerank,Mismatch repair,0.6414927912371734,1.8171723828073956,0.0,0.0017450364582763387,0.025,7/16,14.52%,RPA2;RFC2;LIG1;PCNA;RFC5;PMS2;RPA1
15,prerank,Glioma,0.5348604974887994,1.8137151734555237,0.0,0.0017618156549905344,0.027,41/65,29.67%,HRAS;CALM2;MTOR;PIK3R3;PIK3CA;RAF1;SOS2;MAP2K1;PIK3CB;RB1;MAPK3;ARAF;AKT1;EGFR;CAMK1;PIK3R1;SOS1;CDK6;PRKCA;CAMK2B;BAX;GRB2;PTEN;TP53;PIK3CD;MAPK1;CDK4;KRAS;BRAF;SHC4;PLCG2;CAMK2G;NRAS;SHC1;CAMK1D;PRKCG;EGF;AKT3;PDGFRA;E2F1;MDM2
16,prerank,Melanoma,0.5416103019879227,1.8105350959905766,0.0,0.001717400134276487,0.028,24/52,14.47%,FGF9;HRAS;PIK3R3;PIK3CA;RAF1;MET;MAP2K1;PIK3CB;BAD;RB1;MAPK3;ARAF;AKT1;EGFR;PIK3R1;CDK6;MITF;BAX;PTEN;TP53;PIK3CD;MAPK1;CDK4;KRAS
17,prerank,Neurotrophin signaling pathway,0.5111155297690937,1.8101324998021133,0.0,0.0016219890157055713,0.028,54/103,22.06%,JUN;HRAS;CALM2;NFKBIB;PIK3R3;PIK3CA;RAF1;NFKB1;SOS2;CRKL;BCL2;MAP2K1;PIK3CB;ATF4;FOXO3;MAP3K5;BAD;SH2B3;NGFR;IRAK2;MAPK9;MAPK11;MAPK3;RPS6KA1;NTRK3;AKT1;RELA;PIK3R1;SOS1;IRS1;IRAK4;CAMK2B;RPS6KA6;ABL1;MAPK8;BAX;GRB2;PRKCD;TP53;PIK3CD;NFKBIE;MAPK1;KRAS;MAGED1;MAPKAPK2;MAPK13;BRAF;SHC4;PLCG2;CAMK2G;SORT1;NRAS;SHC1;RAC1
18,prerank,ErbB signaling pathway,0.5251809191245952,1.8059113173719337,0.0,0.0016955819837502887,0.031,42/79,22.12%,JUN;HRAS;MTOR;PIK3R3;PIK3CA;RAF1;RPS6KB1;SOS2;CRKL;MAP2K1;PIK3CB;BAD;PAK1;MAPK9;ERBB2;MAPK3;ARAF;AKT1;EGFR;MYC;PIK3R1;SOS1;PRKCA;CBLB;CAMK2B;EIF4EBP1;ABL1;MAPK8;GRB2;PIK3CD;MAPK1;PTK2;KRAS;BRAF;SHC4;PLCG2;RPS6KB2;CAMK2G;MAP2K4;NRAS;SHC1;NRG1
19,prerank,Autophagy,0.5055082853533488,1.7940488237735208,0.0,0.0020135036057034677,0.038,44/100,17.80%,HIF1A;CFLAR;HRAS;MTOR;PIK3R3;DAPK3;PIK3CA;RAF1;PIK3C3;RPS6KB1;BCL2;MAP2K1;PIK3CB;DAPK2;PRKACA;ATG3;BAD;ERN1;PRKAA1;DDIT4;MAPK9;MAPK3;LAMP1;TSC2;PRKACG;RPTOR;AKT1;STK11;PIK3R4;PIK3R1;IRS1;MTMR3;PRKACB;MAPK8;PTEN;PRKCD;PIK3CD;RHEB;NRBF2;MAPK1;KRAS;ATG5;DEPTOR;RPS6KB2
