,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Measles,0.34700589142490523,2.704954346162639,0.0,0.0,0.0,86/126,39.11%,TAB2;CASP9;IRAK4;EIF2AK2;CSNK2B;CDK2;APAF1;CASP8;GSK3B;OAS1;TBK1;CDK4;TP53;IFNA8;CYCS;NFKBIB;IL2RA;FAS;CHUK;CSNK2A2;STAT5A;IFNA17;EIF2S1;IFNAR1;IFIH1;FOS;TLR4;JAK3;IL2RB;IFNA5;CDK6;TNFAIP3;BAX;NFKBIA;CD3G;RELA;CCNE1;MAPK9;CASP3;DDX58;BCL2;IL2;BCL2L1;IKBKE;NFKB1;EIF3H;STAT1;STAT2;EIF2AK1;IL12A;BID;CBLB;IFNA10;BBC3;PIK3R2;SLAMF1;MX1;AKT1;FADD;IFNA7;AKT3;CD28;STAT3;TLR2;IFNA1;EIF2AK3;IKBKG;IFNA16;MAPK8;IFNA2;BAK1;RCHY1;IFNA14;CCND1;CD3D;TRADD;FASLG;CD46;ADAR;IRF7;HSPA1B;JUN;CSNK2A1;MYD88;CDKN1B;CCND3
1,prerank,Hepatitis B,0.31964661793723304,2.5881463359201633,0.0,0.0005298157721480524,0.001,119/153,51.23%,SRC;TAB2;CCNA2;CASP9;IRAK4;RAF1;CDK2;SMAD4;APAF1;CASP8;TBK1;TGFB2;TP53;IFNA8;CYCS;ARAF;TLR3;FAS;CREB3L2;CHUK;HRAS;STAT5A;IFNA17;IFNAR1;IFIH1;FOS;TLR4;CASP10;MAPK3;JAK3;MAP2K4;IFNA5;TICAM1;BAX;EGR3;ELK1;SMAD3;NFKBIA;RELA;CCNE1;MAPK9;CASP3;MAPK1;DDX58;MAP2K2;BCL2;IKBKE;MAPK11;NFKB1;STAT1;STAT2;CREB1;BRAF;PRKCA;BID;E2F1;MAPK14;MAP2K6;ATF2;IFNA10;RB1;ATF4;PIK3R2;JAK2;AKT1;FADD;NFATC1;IFNA7;AKT3;PRKCB;STAT3;CDKN1A;TLR2;STAT4;TIRAP;NFATC3;HSPG2;IFNA1;MAPK12;IKBKG;CREB3L4;IFNA16;MAPK8;IFNA2;IFNA14;STAT6;CREB3L1;TNF;TGFB3;BIRC5;SMAD2;FASLG;IRF7;JUN;MYD88;CCNA1;PIK3CA;PRKCG;EP300;MAP2K1;TGFBR1;IFNB1;MAP3K1;MMP9;NRAS;IKBKB;TRAF6;TRAF3;PIK3CD;TGFBR2;GRB2;MAP2K7;PTK2B;PIK3CB;IRAK1;MAPK13;PIK3R1;PIK3R3;MAP3K7
2,prerank,Viral myocarditis,0.423487104035518,2.5257084457790495,0.0,0.0003532105147653682,0.001,36/45,41.50%,CASP9;CASP8;CAV1;RAC1;CYCS;RAC3;HLA-DMB;FYN;ACTB;HLA-DRB4;CASP3;DMD;HLA-DQB1;CD55;HLA-DPA1;HLA-DQA1;CD80;EIF4G1;DAG1;BID;HLA-A;CD86;SGCB;CXADR;HLA-DRA;CD28;ABL2;ABL1;ITGB2;HLA-DRB1;CCND1;HLA-DOB;HLA-DQA2;PRF1;ACTG1;ICAM1
3,prerank,Pathways in cancer,0.2693270876871951,2.512846630672235,0.0,0.0002649078860740262,0.001,251/446,36.84%,ADCY9;IFNG;WNT9B;RXRA;PTEN;TXNRD2;NCOA4;CASP9;F2R;RAF1;IFNGR1;RARA;CDK2;SMAD4;MMP2;APAF1;FLT4;CASP8;CSF1R;GSK3B;CRK;CTNNB1;LPAR1;GNAI3;CDK4;RASGRP4;RALGDS;ETS1;GADD45B;GSTP1;TGFB2;TP53;ROCK1;RAC1;IFNA8;IL15;CYCS;BRCA2;EML4;IL2RA;ARAF;EGLN1;DVL3;FAS;RAC3;RAD51;EDNRB;CALM1;VEGFC;CHUK;WNT9A;FZD4;ARNT;HRAS;GNG12;STAT5A;IFNA17;CAMK2G;WNT11;IFNAR1;TPM3;FOS;PPARD;TRAF4;MAPK3;GSTM5;RPS6KA5;JAK3;MSH2;CDC42;PLEKHG5;SUFU;IL2RB;MDM2;SKP2;GNG8;IFNA5;LPAR2;ERBB2;CDK6;TPR;PTGER4;BAX;CDKN2B;HEY1;ELK1;SMAD3;RASGRP1;NFKBIA;RELA;EGLN3;PLD1;IL13RA1;CCNE1;SLC2A1;COL4A4;MAPK9;CASP3;XIAP;GNB5;MAPK1;LEF1;GSTO1;MAP2K2;BCL2;TFG;MMP1;CSF2RA;DAPK2;IL2;BCL2L1;TCF7L2;SKP1;EGFR;IL15RA;GSTA1;CKS1B;PIM1;RHOA;ROCK2;CASP7;NFKB1;WNT1;STAT1;STAT2;ITGAV;EDN1;NOTCH2;CDH1;BRAF;HIF1A;ARNT2;BMP2;PRKCA;IGF2;IL12A;ESR2;IL6R;PLCG2;LAMB2;VHL;PDGFRA;BID;E2F1;AXIN2;FGFR3;AGTR1;ALK;IFNA10;RB1;BBC3;IL5RA;PIK3R2;CDKN2A;AR;COL4A5;GNG4;JAK2;GSTT1;IFNGR2;WNT5A;AKT1;FOXO1;PPARG;FADD;PTGS2;DVL1;GNAI1;RALBP1;GNAS;EPOR;IFNA7;RPS6KB2;IGF1R;NOTCH1;AKT3;HSP90B1;PRKCB;TGFA;IL23R;ITGA3;BCL2L11;EPO;HEY2;GNB1;STAT3;KNG1;CDKN1A;IL12RB1;SMO;STAT4;CBL;LPAR5;FZD10;NFE2L2;PLCG1;ABL1;LPAR3;WNT7A;AGT;FGF1;ADCY7;AXIN1;EDNRA;KEAP1;IFNA1;CSF2RB;CTBP1;RASGRP2;IL13;PRKACG;BIRC2;TXNRD1;FGF9;FRAT1;NCOA3;BCR;LAMB3;IKBKG;EPAS1;GNAI2;CAMK2A;IFNA16;RET;ADCY3;RXRG;MAPK8;RASGRP3;IFNA2;BAK1;WNT7B;BMP4;IL4R;IFNA14;ADCY2;STAT6;FGFR2;NCOA1;CCND1;FZD9;RASSF5;GNB4;HSP90AA1;TGFB3;BIRC5;NQO1;NTRK1;PTGER2;SMAD2;FASLG;MAX
4,prerank,Bladder cancer,0.4391070246128698,2.503552047073593,0.0,0.00021192630885922094,0.001,23/39,20.97%,SRC;RAF1;HBEGF;MMP2;CDK4;TP53;ARAF;HRAS;MAPK3;RPS6KA5;MDM2;ERBB2;MAPK1;MAP2K2;MMP1;DAPK2;EGFR;CDH1;BRAF;E2F1;FGFR3;RB1;CDKN2A
5,prerank,Human immunodeficiency virus 1 infection,0.30242911846816295,2.5009472233993337,0.0,0.0001766052573826841,0.001,133/175,51.23%,TAB2;CASP9;IRAK4;RAF1;CASP8;CRK;GNAI3;TBK1;LIMK2;RAC1;IFNA8;CYCS;ITPR1;ITPR2;PAK5;FAS;RAC3;CHEK1;TNFRSF1B;CALM1;CHUK;HRAS;GNG12;CFL1;IFNA17;PAK4;FOS;TLR4;MAPK3;GNG8;IFNA5;BAX;NFKBIA;CD3G;RELA;MAPK9;CASP3;GNB5;MAPK1;BTRC;MAP2K2;BCL2;FBXW11;APOBEC3G;BCL2L1;SKP1;WEE2;AP1B1;MAPK11;NFKB1;CDC25C;PPP3CA;PRKCA;PLCG2;PXN;PAK1;RNF7;BID;HLA-A;MAPK14;BST2;MAP2K6;RIPK1;IFNA10;CALR;APOBEC3A;PIK3R2;PAK3;PAK2;GNG4;AKT1;FADD;GNAI1;NFATC1;IFNA7;RPS6KB2;AKT3;PRKCB;ATM;GNB1;TLR2;PLCG1;NFATC3;IFNA1;SAMHD1;MAPK12;LIMK1;ATR;IKBKG;GNAI2;IFNA16;MAPK8;IFNA2;BAK1;IFNA14;TNF;GNB4;CD3D;TRADD;WEE1;FASLG;JUN;RPS6KB1;MYD88;ITPR3;CXCR4;APOBEC3B;PIK3CA;PRKCG;MAP2K1;TAPBP;CRKL;TAP1;IFNB1;CALM3;B2M;NRAS;GNG11;IKBKB;TRAF6;APOBEC3D;PTK2;PIK3CD;MAP2K7;PTK2B;PIK3CB;IRAK1;MAPK13;CCR5;PIK3R1;PPP3CC;PIK3R3;MAP3K7
6,prerank,Toll-like receptor signaling pathway,0.33192098040033036,2.4661135038027386,0.0,0.0003027518697988871,0.002,79/98,51.23%,TAB2;IRAK4;CASP8;TBK1;MAP3K8;IRF5;CD14;CCL3;RAC1;IFNA8;TLR3;TLR8;CHUK;IFNA17;IFNAR1;FOS;TLR4;MAPK3;TLR5;MAP2K4;IFNA5;TICAM1;NFKBIA;RELA;MAPK9;MAPK1;MAP2K2;IKBKE;LBP;MAPK11;CCL5;SPP1;NFKB1;STAT1;CD80;IL12A;MAPK14;MAP2K6;RIPK1;IFNA10;CD86;PIK3R2;AKT1;FADD;CCL4L2;IFNA7;AKT3;TLR2;TOLLIP;TIRAP;CTSK;IFNA1;MAPK12;IKBKG;IFNA16;MAPK8;IFNA2;IFNA14;TNF;IRF7;JUN;MYD88;PIK3CA;MAP2K1;IFNB1;IKBKB;TRAF6;TRAF3;TLR7;TLR1;PIK3CD;MAP2K7;CD40;PIK3CB;IRAK1;MAPK13;PIK3R1;PIK3R3;MAP3K7
7,prerank,Pancreatic cancer,0.3611874780271801,2.465310956477825,0.0,0.0002649078860740262,0.002,40/71,26.51%,CASP9;RAF1;SMAD4;CDK4;RALGDS;GADD45B;TGFB2;TP53;RAC1;BRCA2;ARAF;RAC3;RAD51;CHUK;MAPK3;CDC42;ERBB2;CDK6;BAX;SMAD3;RELA;PLD1;MAPK9;MAPK1;BCL2L1;EGFR;NFKB1;STAT1;BRAF;E2F1;RB1;PIK3R2;CDKN2A;AKT1;RALBP1;RPS6KB2;AKT3;TGFA;STAT3;CDKN1A
8,prerank,NOD-like receptor signaling pathway,0.30533053868568893,2.4218836770863645,0.0,0.0005886841912756136,0.004,90/142,39.03%,TAB2;TXN;IRAK4;CARD8;IL18;CASP8;SHARPIN;OAS1;TBK1;GBP4;CTSB;IFNA8;NFKBIB;ITPR1;ITPR2;RIPK2;CHUK;CARD9;IFNA17;IFNAR1;CCL2;PRKCD;TLR4;MAPK3;GBP2;IFNA5;TNFAIP3;TICAM1;NFKBIA;RELA;NOD1;ATG5;MAPK9;CXCL1;XIAP;MAPK1;BCL2;BCL2L1;IKBKE;GBP3;RHOA;MAPK11;CCL5;NFKB1;STAT1;STAT2;CASP4;ERBIN;NLRP3;VDAC1;ANTXR2;MAPK14;AIM2;GBP5;RIPK1;IFNA10;CASP5;TANK;ATG16L1;DNM1L;CAMP;CYBB;FADD;IFNA7;NLRC4;GPRC6A;NAIP;PANX1;IFNA1;CASR;BIRC2;MAPK12;CARD6;IKBKG;IFNA16;MAPK8;IFNA2;PYCARD;MEFV;IFNA14;RIPK3;PSTPIP1;TNF;HSP90AA1;IRF7;JUN;CYBA;MYD88;RNASEL;ITPR3
9,prerank,TNF signaling pathway,0.3224818441178675,2.4125913277199187,0.0,0.0005298157721480523,0.004,87/104,55.67%,TAB2;CASP8;LIF;MMP14;MAP3K8;IL15;FAS;TNFRSF1B;CREB3L2;VEGFC;CHUK;RPS6KA4;CEBPB;FOS;CCL2;CASP10;MAPK3;RPS6KA5;MAP2K4;TNFAIP3;NFKBIA;RELA;MAPK9;CXCL1;CASP3;MAPK1;LTA;CSF1;CASP7;MAPK11;CCL5;NFKB1;CREB1;EDN1;CXCL5;MAPK14;MAP2K6;ATF2;RIPK1;ATF4;PIK3R2;DNM1L;IL18R1;AKT1;FADD;PTGS2;CFLAR;AKT3;JUNB;BIRC2;MAPK12;IKBKG;CREB3L4;MAPK8;CCL20;RIPK3;CREB3L1;TNF;TRADD;IRF1;JUN;BCL3;PIK3CA;ICAM1;MAP2K1;BIRC3;NOD2;IFNB1;MMP9;IKBKB;TRAF3;PIK3CD;MLKL;MAP2K7;PIK3CB;MAPK13;PIK3R1;PIK3R3;MAP3K7;MAP3K5;CREB5;TNFRSF1A;CX3CL1;TRAF1;IL6;TRAF2;AKT2
