,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Bladder cancer,0.4956833717031666,2.490868023172207,0.0,0.0010275885178152575,0.001,27/39,27.79%,CXCL8;EGFR;ARAF;NRAS;CDK4;MAPK3;TP53;RASSF1;MAPK1;ERBB2;BRAF;MMP2;MMP1;THBS1;RB1;MAP2K1;MAP2K2;CDKN2A;HRAS;FGFR3;RPS6KA5;CDKN1A;SRC;MDM2;MYC;DAPK3;HBEGF
1,prerank,Relaxin signaling pathway,0.3886630618292789,2.322330626452363,0.0,0.0010275885178152575,0.002,57/103,25.57%,NFKBIA;MAPK11;NFKB1;GNB1;EGFR;JUN;ARRB1;NRAS;GNG11;PRKACA;CREB3L4;GNA15;MAPK8;GNAI2;MAPK3;CREB5;MAPK1;GNB2;ACTA2;RXFP4;PRKACG;GNB5;GNG4;PIK3R3;AKT1;MMP2;PRKCZ;MMP1;SHC1;ATF2;GNAI1;MAP2K1;GNB4;MAP2K2;PIK3R1;COL4A5;HRAS;SMAD3;TGFBR1;VEGFB;ADCY6;GNG12;SMAD2;RELA;ADCY9;PRKACB;PLCB3;AKT2;SRC;MAPK9;CREB1;ATF4;EDN1;CREB3L1;ADCY3;VEGFC;GNAI3
2,prerank,Hepatitis B,0.36394451240118136,2.2784946012421874,0.0,0.0010275885178152575,0.003,90/153,31.48%,NFKBIA;MAPK11;STAT3;NFKB1;CXCL8;STAT2;BCL2;ARAF;YWHAQ;JUN;TIRAP;NRAS;TLR4;TRAF6;CREB3L4;CASP9;MAPK8;MAPK3;CDK2;PTK2B;TP53;CREB5;APAF1;EGR3;MAPK1;IRAK4;TGFB3;PIK3R3;BRAF;AKT1;BAD;TLR2;IFNA5;ATF2;RB1;NFATC3;MAP2K1;SMAD4;TICAM1;MAP2K2;PIK3R1;HRAS;SMAD3;BID;IFNA1;IKBKG;TNF;TGFBR1;FASLG;MAP3K1;TAB2;CDKN1A;ATP6AP1;SMAD2;IFNB1;IFNA16;JAK1;CASP10;RELA;CHUK;AKT2;SRC;CCNE1;MAP2K6;MAPK9;HSPG2;CREB1;ATF4;MYC;CREB3L1;CCNA1;IL6;CASP3;MAPK13;CCNE2;MAP3K7;IFNA7;IFNA10;CYCS;SLC10A1;IKBKE;PRKCG;JAK3;IFNAR1;STAT4;CREB3L2;FAS;JAK2;STAT5A;TRAF3
3,prerank,Parkinson disease,0.39211782142758234,2.274700891818885,0.0,0.000770691388361443,0.003,65/94,38.13%,UBE2L3;COX5A;PRKACA;CASP9;GNAI2;SLC25A6;SLC25A4;ADORA2A;APAF1;UBB;COX8A;PRKACG;LRRK2;NDUFB1;NDUFA2;NDUFS6;NDUFA12;GNAI1;NDUFB5;PINK1;NDUFB9;VDAC1;UBE2J1;TH;NDUFA8;NDUFA13;NDUFC2;COX6B2;NDUFV2;COX7B;COX7C;PRKACB;SLC25A5;SLC18A2;COX5B;NDUFA4;GPR37;SDHD;DRD1;GNAI3;CASP3;NDUFB7;NDUFS8;NDUFA1;NDUFA3;NDUFB6;SDHA;NDUFB4;CYCS;UBA7;NDUFS4;UBE2L6;NDUFA6;NDUFA5;PARK7;SDHB;SNCA;PRKN;UQCRFS1;NDUFC1;NDUFA9;UQCR11;NDUFB3;SLC18A1;COX6A2
4,prerank,Epithelial cell signaling in Helicobacter pylori infection,0.4292424190252362,2.223914509594766,0.0,0.0018496593320674634,0.008,39/52,39.06%,NFKBIA;MAPK11;NFKB1;CXCL8;PLCG1;LYN;EGFR;JUN;MET;ATP6V1F;MAPK8;NOD1;ADAM17;CXCR2;PAK1;IKBKG;ATP6V1C1;ATP6AP1;RELA;RAC1;CHUK;ATP6V1D;ATP6V0A1;SRC;MAPK9;PLCG2;CASP3;MAPK13;CSK;HBEGF;CXCL1;ATP6V0B;MAPK12;PTPN11;MAP2K4;TCIRG1;TJP1;F11R;IGSF5
5,prerank,Pancreatic cancer,0.3959413908503307,2.2238190307126193,0.0,0.0015413827767228863,0.008,37/71,22.27%,STAT3;NFKB1;RPS6KB2;BRCA2;EGFR;ARAF;BCL2L1;CDK4;CASP9;MAPK8;RALBP1;MAPK3;TP53;MAPK1;ERBB2;TGFB3;PIK3R3;BRAF;AKT1;BAD;RB1;MAP2K1;TGFA;SMAD4;CDKN2A;PIK3R1;SMAD3;IKBKG;TGFBR1;CDKN1A;SMAD2;JAK1;RELA;RAC1;CHUK;AKT2;MAPK9
6,prerank,Vibrio cholerae infection,0.47751714096102715,2.214360719606062,0.0,0.0014679835968789392,0.009,26/30,43.64%,PLCG1;KCNQ1;ACTB;PDIA4;ATP6V1F;PRKACA;ARF1;PRKACG;ACTG1;ATP6V1C1;ATP6AP1;ADCY9;PRKACB;ATP6V1D;ATP6V0A1;KDELR3;ADCY3;PLCG2;SLC12A2;ATP6V0B;PRKCA;GNAS;TCIRG1;TJP1;KDELR2;CFTR
7,prerank,Prostate cancer,0.3775036236229969,2.1995834888942545,0.0,0.001541382776722886,0.011,48/89,25.99%,NFKBIA;NFKB1;BCL2;HSP90B1;EGFR;ARAF;GSTP1;NRAS;CREB3L4;CASP9;PTEN;AR;MAPK3;CDK2;TP53;CREB5;CTNNB1;ETV5;MAPK1;ERBB2;PIK3R3;BRAF;AKT1;BAD;PLAU;RB1;PDGFRA;MAP2K1;TGFA;CDKN1B;MAP2K2;PIK3R1;HRAS;HSP90AB1;IKBKG;CDKN1A;RELA;CHUK;AKT2;CCNE1;CREB1;ATF4;MDM2;CREB3L1;PDPK1;ZEB1;GSK3B;PLAT
8,prerank,Measles,0.3553059543895838,2.1750625082891526,0.0,0.0015984710277126227,0.013,74/126,31.48%,NFKBIA;STAT3;NFKB1;STAT2;BCL2;JUN;BBC3;TLR4;BCL2L1;CBLB;TRAF6;CDK4;RCHY1;TNFAIP3;CASP9;MAPK8;HSPA2;CDK2;SLAMF1;TP53;APAF1;IRAK4;PIK3R3;AKT1;CSNK2B;BAD;IL2;TLR9;TLR2;IFNA5;CDKN1B;EIF2AK2;EIF2AK4;TRADD;PIK3R1;BID;IFNA1;EIF2S1;IKBKG;CCND2;FASLG;TAB2;IFNB1;IFNA16;JAK1;RELA;TLR7;CHUK;IL2RB;AKT2;CCND3;CCNE1;MAPK9;IL2RA;IRF9;OAS1;OAS3;GSK3B;IL6;CASP3;IL12A;CCNE2;MAP3K7;IFNA7;IFNA10;CYCS;NFKBIB;IKBKE;JAK3;IFNAR1;FAS;STAT5A;CSNK2A2;TRAF3
9,prerank,Hepatitis C,0.35134523021013403,2.1439936469878793,0.0,0.0019524181838489892,0.018,74/124,33.53%,NFKBIA;STAT3;NFKB1;STAT2;EGFR;ARAF;YWHAQ;NRAS;IFNG;TRAF6;CDK4;CASP9;PPARA;MAPK3;CFLAR;CDK2;NR1H3;TP53;APAF1;CTNNB1;MAPK1;PIK3R3;BRAF;AKT1;BAD;CD81;IFNA5;RB1;MAP2K1;EIF2AK2;TICAM1;EIF2AK4;MAP2K2;TRADD;PIK3R1;IFIT1;HRAS;BID;IFNA1;EIF2S1;IKBKG;TNF;RNASEL;FASLG;CLDN11;CDKN1A;IFNB1;TNFRSF1A;IFNA16;JAK1;RELA;CHUK;AKT2;IRF9;OAS1;OAS3;MYC;CLDN1;GSK3B;RXRA;PPP2R2A;CASP3;PPP2CB;IFNA7;IFNA10;CYCS;IKBKE;IFNAR1;FAS;TRAF3;PPP2R1A;CXCL10;PIK3CA;RIPK1
