,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Viral myocarditis,0.5450913217607259,1.8166257181134606,0.0,0.020165193852538368,0.02,31/45,31.26%,CYCS;RAC1;HLA-DMB;HLA-A;ACTB;HLA-DQB1;CCND1;HLA-DRB3;CASP9;ITGB2;HLA-DPB1;CAV1;FYN;HLA-DRA;EIF4G1;HLA-DOB;HLA-DPA1;DMD;CASP3;ABL2;PRF1;CD40;BID;SGCB;ABL1;CD28;CD55;HLA-DQA1;DAG1;ICAM1;CD40LG
1,prerank,Fc epsilon RI signaling pathway,0.528234305118914,1.8052067970219559,0.0,0.01260324615783648,0.025,36/59,27.93%,HRAS;RAC1;SYK;PIK3CB;AKT1;FCER1A;PDPK1;PIK3R3;RAF1;PIK3CD;IL4;IL13;LYN;PIK3R1;PRKCA;INPP5D;MAPK9;MAPK11;FYN;LCP2;LAT;MAPK8;MAP2K3;MAPK1;MAPK3;PLCG2;MAPK13;GRB2;MAPK14;PIK3CA;SOS1;SOS2;MAP2K4;PLA2G4A;AKT3;BTK
2,prerank,Pentose phosphate pathway,0.5968843980683628,1.7857930873055445,0.0010449320794148381,0.011426943183105075,0.034,13/20,27.36%,PFKL;IDNK;ALDOA;PGD;RBKS;ALDOC;GLYCTK;RPIA;H6PD;TKT;PFKP;FBP1;PRPS1L1
3,prerank,Neurotrophin signaling pathway,0.4884422764509194,1.7845299636126557,0.0,0.009074337233642264,0.036,68/103,32.47%,HRAS;MAGED1;RHOA;RAC1;PRDM4;PIK3CB;NGFR;ATF4;NFKBIB;AKT1;PDPK1;MAP2K5;PIK3R3;RELA;RAF1;SHC4;RIPK2;PIK3CD;MAPKAPK2;NGF;TP53;RPS6KA5;IRAK4;PIK3R1;GSK3B;MAPK9;MAPK11;NFKB1;CRKL;NFKBIE;FOXO3;MAPK8;BAD;PTPN11;FASLG;MAPK1;IRAK2;CAMK2G;MAPK3;CALM3;RAP1A;CALM1;SH2B3;JUN;NTRK1;PLCG2;ABL1;IRS1;MAPK13;GRB2;MAPK14;PIK3CA;SOS1;RPS6KA1;BAX;SOS2;CAMK4;PRKCD;SORT1;AKT3;ARHGDIA;NFKBIA;CAMK2B;NTRK3;SHC1;IRAK1;CAMK2A;MAP3K5
4,prerank,Pancreatic cancer,0.4995713705250413,1.7613900154764124,0.0,0.010687552741845333,0.051,34/71,18.15%,SMAD2;RAC1;STAT3;PIK3CB;STAT1;AKT1;CCND1;ERBB2;MTOR;PIK3R3;RELA;RAF1;PIK3CD;CASP9;TP53;SMAD3;CDKN1A;RPS6KB1;TGFBR1;BRCA2;PIK3R1;SMAD4;CDK6;MAPK9;E2F1;NFKB1;PLD1;MAPK8;BAD;RB1;MAPK1;CDK4;RALBP1;MAPK3
5,prerank,Leishmaniasis,0.49460877287221555,1.7387890648178803,0.0,0.01293933272204545,0.074,48/69,38.09%,IFNGR1;HLA-DMB;STAT1;NFKBIB;HLA-DQB1;RELA;HLA-DRB3;IFNG;TLR2;ITGB2;IL4;HLA-DPB1;IL12A;IRAK4;NCF2;C3;IL10;PTPN6;MAPK11;NFKB1;HLA-DRA;HLA-DOB;JAK2;MYD88;TLR4;HLA-DPA1;MAPK1;FCGR2A;MAPK3;TGFB1;TAB2;NCF1;FOS;JUN;MAPK13;MAPK14;ITGB1;CYBA;NFKBIA;PTGS2;HLA-DQA1;IRAK1;NOS2;HLA-DRB4;IL12B;FCGR3B;MAPK12;CR1
6,prerank,Prolactin signaling pathway,0.49398892366265595,1.7386667815311592,0.0,0.0110908566188961,0.074,37/64,25.45%,HRAS;SOCS2;STAT3;PIK3CB;STAT1;AKT1;CCND1;PIK3R3;CCND2;RELA;RAF1;SHC4;PIK3CD;SOCS4;GALT;PIK3R1;GSK3B;MAPK9;MAPK11;NFKB1;ESR1;JAK2;FOXO3;MAPK8;TNFRSF11A;PRLR;MAPK1;MAPK3;FOS;TH;MAPK13;GRB2;MAPK14;PIK3CA;GCK;SOS1;SOS2
7,prerank,Base excision repair,0.5804265168958298,1.7384213899745022,0.0,0.009704499541534089,0.074,11/21,18.44%,POLB;PCNA;APEX1;TDG;POLE3;HMGB1;POLE2;LIG1;PARP1;LIG3;PARP2
8,prerank,Non-small cell lung cancer,0.4986351917548947,1.7342140157958421,0.0,0.009186366088378589,0.078,35/63,25.45%,HRAS;STAT3;PIK3CB;AKT1;CCND1;ERBB2;PDPK1;PIK3R3;RAF1;PRKCG;PIK3CD;CASP9;TP53;RARB;RXRG;CDKN1A;PIK3R1;PRKCA;CDK6;E2F1;JAK3;FOXO3;BAD;RB1;MAPK1;CDK4;MAPK3;PLCG2;DDB2;GRB2;PIK3CA;ALK;SOS1;BAX;SOS2
9,prerank,Longevity regulating pathway,0.4842093751420933,1.7261579859779315,0.0,0.009679293049218416,0.09,51/85,29.78%,HRAS;PRKACG;HDAC1;EIF4EBP1;PIK3CB;ATF4;AKT1;PRKAA1;CREB3L2;PRKAG1;MTOR;CREB1;STK11;RPTOR;EIF4E;PIK3R3;RELA;PIK3CD;TP53;CAT;ADCY9;SOD1;RPS6KB1;PPARG;SESN1;PRKACB;ADCY3;PIK3R1;RHEB;NFKB1;ADCY6;FOXO3;PRKAG2;EIF4EBP2;TSC2;SIRT1;IRS2;IGF1R;IRS1;ATF2;PIK3CA;BAX;CAMK4;CAMKK2;CREB3L4;CREB3;AKT3;PRKAA2;PRKAB2;ATG5;TSC1
