,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Longevity regulating pathway,0.5108002443498944,1.8940025573405124,0.0,0.01307108586916528,0.013,50/85,25.62%,CREB3L2;PPARG;RPS6KB1;HRAS;PIK3CB;CREB3;ATF2;CAT;ADCY6;TP53;FOXO1;CREB1;PRKAG1;IGF1R;AKT1;EIF4EBP1;PIK3R3;PRKAA1;STK11;INSR;IRS1;PPARGC1A;HSPA1B;EIF4EBP2;ADCY3;EIF4E;PIK3CD;CREB3L4;SESN1;PRKACB;PRKAB1;PRKAG2;RPTOR;ADCY9;BAX;TSC2;MTOR;SOD1;FOXO3;NFKB1;RHEB;ATF4;PIK3CA;PRKACG;PIK3R1;HSPA1A;RELA;HDAC1;PRKACA;KRAS
1,prerank,Mitophagy,0.5326628075052818,1.8610196202007077,0.0,0.008546479222146528,0.017,33/43,36.59%,HRAS;E2F1;MAPK9;TP53;BNIP3L;HIF1A;CSNK2B;JUN;OPTN;SQSTM1;USP15;TBK1;UBB;CALCOCO2;TFE3;FOXO3;ATF4;BCL2L13;MITF;CSNK2A1;PRKN;RELA;KRAS;MAPK8;RAB7A;GABARAPL1;CSNK2A2;ATG5;FIS1;BECN1;TBC1D15;NBR1;NRAS
2,prerank,Insulin signaling pathway,0.47521298603049905,1.81365090376376,0.0,0.010724993533674076,0.032,71/111,31.80%,RPS6KB1;HRAS;PIK3CB;BAD;MKNK2;SOCS2;PYGL;SOS2;SOCS1;MAPK9;FOXO1;PRKAG1;CRKL;ACACA;RAF1;AKT1;EIF4EBP1;PIK3R3;PPP1CA;CBLB;PRKAA1;INSR;MAPK3;IRS1;PPARGC1A;EIF4E;PIK3CD;RPS6;PRKAR2B;PTPN1;PCK2;PRKACB;PRKAB1;PRKAG2;PDPK1;RPTOR;G6PC2;PRKAR2A;MAP2K1;TSC2;MTOR;GYS1;RHEB;SOCS4;PIK3CA;SHC1;PYGB;PHKG2;PRKACG;ACACB;PIK3R1;ARAF;PHKA1;PHKG1;CALM3;GCK;GRB2;PRKACA;KRAS;PPP1CC;PRKAR1A;MAPK8;MKNK1;PRKCI;INPPL1;HK1;PHKB;PRKAB2;RPS6KB2;BRAF;FASN
3,prerank,Epithelial cell signaling in Helicobacter pylori infection,0.5049067242468375,1.8116937436392317,0.0,0.008295112186201043,0.033,30/52,27.10%,ADAM10;ATP6V1A;MAPK13;ATP6V1D;CCL5;MAPK9;PLCG2;LYN;CASP3;NOD1;MET;JUN;CXCR1;ADAM17;MAPK11;MAP2K4;CSK;IGSF5;PAK1;NFKB1;CXCL1;EGFR;TJP1;MAP3K14;RELA;RAC1;MAPK14;TCIRG1;MAPK8;CDC42
4,prerank,Thyroid hormone signaling pathway,0.4768132311336644,1.7999949117324678,0.0,0.0090492132940375,0.045,64/95,38.87%,SLC2A1;HRAS;KAT2A;PIK3CB;STAT1;BAD;TP53;PLCG2;FOXO1;MYC;HIF1A;NOTCH2;RAF1;ATP1A3;AKT1;ATP2A2;PIK3R3;CCND1;SLC9A1;NOTCH1;TBC1D4;NCOA3;MAPK3;PIK3CD;MED12L;RXRG;PRKCA;PRKACB;PDPK1;MED4;THRA;CTNNB1;MAP2K1;TSC2;MTOR;RHEB;GATA4;PIK3CA;MED13;PRKACG;PIK3R1;ESR1;HDAC1;SLCO1C1;ACTB;PRKACA;PFKP;PRKCG;KRAS;KAT2B;PLCB1;FXYD2;ITGB3;EP300;PLCB3;ATP1A1;MDM2;NCOA1;RCAN1;NRAS;PRKCB;SLC16A10;THRB;AKT2
5,prerank,Non-small cell lung cancer,0.49343485173046603,1.797871232501307,0.0,0.007708589102328242,0.046,36/63,25.62%,HRAS;ERBB2;PIK3CB;BAD;STAT3;E2F1;CDK6;SOS2;TP53;PLCG2;RAF1;AKT1;RB1;PIK3R3;CCND1;DDB2;MAPK3;PIK3CD;RXRG;PRKCA;RASSF1;PDPK1;BAX;MAP2K1;CDKN1A;FOXO3;EGFR;PIK3CA;CDK4;RARB;PIK3R1;ARAF;ALK;GRB2;PRKCG;KRAS
6,prerank,Neurotrophin signaling pathway,0.469436413377366,1.7816446810722197,0.0,0.008331021762764682,0.057,76/103,41.86%,NGFR;MAPK13;NFKBIB;HRAS;PIK3CB;ABL1;BAD;SOS2;MAPK9;TP53;PLCG2;MAPKAPK2;RPS6KA1;CRKL;RAF1;AKT1;PRKCD;PIK3R3;PRDM4;JUN;MAPK3;FRS2;IRS1;PIK3CD;MAP3K5;RAP1A;NFKBIE;SH2B3;MAPK11;PDPK1;BCL2;IRAK2;BAX;MAP2K1;RHOA;FOXO3;NFKB1;NGF;MAGED1;CAMK2A;ATF4;PIK3CA;SHC1;PIK3R1;NTRK1;RELA;IRAK4;IRAK1;CALM3;GRB2;RAC1;MAPK14;NTRK3;KRAS;MAPK8;CDC42;CAMK2D;CAMK2B;MAP3K1;BRAF;PSEN2;RPS6KA5;ZNF274;SOS1;MAP2K5;CALM2;RPS6KA6;NRAS;SHC4;RPS6KA3;AKT2;AKT3;IKBKB;NFKBIA;CRK;MAP2K7
7,prerank,Melanoma,0.5038818806598593,1.7785300871303822,0.0,0.007666694596337327,0.06,28/52,21.12%,HRAS;PIK3CB;BAD;E2F1;CDK6;TP53;IGF1R;MET;RAF1;AKT1;RB1;PIK3R3;CCND1;DDB2;MAPK3;FGF9;PIK3CD;PTEN;BAX;MAP2K1;CDKN1A;CDH1;EGFR;PIK3CA;MITF;CDK4;PIK3R1;ARAF
8,prerank,Kaposi sarcoma-associated herpesvirus infection,0.4476104343733271,1.7437931824043937,0.0,0.009942962755177007,0.086,112/159,41.86%,MAPK13;HRAS;FAS;PIK3CB;STAT1;IFNA16;C3;NFATC4;STAT3;E2F1;HLA-A;CDK6;MAPK9;TP53;PLCG2;LYN;CASP3;CREB1;MYC;MAPKAPK2;HIF1A;RAF1;IFNA21;IFNGR1;AKT1;PTGS2;NFATC3;JAK2;RB1;PIK3C3;ICAM1;PIK3R3;ITPR3;CCND1;JUN;IKBKE;SYK;FOS;MAPK3;TBK1;PIK3CD;UBB;TNFRSF1A;IFNB1;CCR4;CXCL2;MAPK11;IFNAR2;TRAF3;CYCS;MAP2K4;CTNNB1;IRF3;FADD;BAX;BID;MAP2K1;PPP3CC;MTOR;CDKN1A;CCR5;NFKB1;CXCL1;PIK3CA;CDK4;PIK3R1;RELA;PPP3CB;CALM3;IL6;RAC1;MAPK14;STAT2;KRAS;GNG12;IFNA4;MAPK8;GNB2;IFNA2;TRADD;GNB4;GNG4;GNB5;GABARAPL1;TICAM1;IRF9;GNG7;IRF7;EP300;BECN1;IFNA17;GNGT2;EIF2AK2;RCAN1;IKBKG;CALM2;NRAS;PPP3CA;IFNA10;CD86;GNG5;GNG8;ITPR1;NFATC1;AKT2;HCK;TYK2;AKT3;PIK3CG;IKBKB;NFKBIA;MAP2K7
9,prerank,Relaxin signaling pathway,0.45741221739485827,1.7393495173234812,0.0,0.009652494180306666,0.092,77/103,42.18%,CREB3L2;MAPK13;TGFB1;HRAS;PIK3CB;CREB3;ATF2;SMAD2;EDN1;ADCY6;SOS2;MAPK9;CREB1;RAF1;AKT1;TGFBR1;PIK3R3;GNAI2;JUN;FOS;MAPK3;GNAI3;ADCY3;PIK3CD;CREB3L4;PRKCA;PRKACB;MAPK11;TGFBR2;ADCY9;MAP2K4;MAP2K1;NFKB1;VEGFC;EGFR;ATF4;PIK3CA;SHC1;PRKACG;PIK3R1;RELA;EDNRB;GRB2;MAPK14;PRKACA;MMP1;KRAS;GNG12;MAPK8;GNB2;GNB4;GNG4;ACTA2;GNB5;VEGFB;PLCB1;GNAS;RXFP1;GNG7;PLCB3;GNAI1;GNGT2;NOS2;ADCY7;SOS1;NRAS;SHC4;GNG5;GNG8;SMAD3;AKT2;MMP2;RXFP4;AKT3;NFKBIA;MAP2K7;GNA15
10,prerank,Prolactin signaling pathway,0.47680832789028843,1.7369109668725335,0.0,0.008957807099148235,0.094,37/64,27.01%,MAPK13;HRAS;PIK3CB;STAT1;STAT3;SOCS2;SOS2;SOCS1;MAPK9;RAF1;AKT1;JAK2;PIK3R3;CCND1;FOS;MAPK3;PIK3CD;GALT;IRF1;CCND2;MAPK11;MAP2K1;FOXO3;NFKB1;SOCS4;PIK3CA;SHC1;PIK3R1;ESR1;RELA;PRLR;GCK;GRB2;MAPK14;KRAS;TH;MAPK8
