,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Circadian rhythm,0.6411849100153795,1.9990377804237836,0.0,0.0,0.0,14/24,19.47%,PRKAA1;ARNTL;CREB1;CSNK1E;PRKAA2;PRKAG1;FBXW11;CSNK1D;SKP1;RORC;CRY1;PRKAB2;PRKAG3;RORA
1,prerank,Pancreatic cancer,0.5272587073648042,1.9284432555049942,0.0,0.003014010782004754,0.006,49/71,32.35%,AKT1;SMAD3;RAC1;RALBP1;TP53;RPS6KB1;TGFBR1;SMAD2;BCL2L1;MAPK9;MAPK1;SMAD4;CASP9;PLD1;CDKN1A;RAC3;PIK3R3;IKBKG;STAT3;BAX;MAPK3;STAT1;VEGFA;RAF1;CHUK;TGFBR2;CDC42;NFKB1;CDK6;ERBB2;AKT3;PIK3CB;BRAF;RELA;CDK4;EGFR;BRCA2;RB1;E2F1;JAK1;ARAF;MAPK8;PIK3CD;KRAS;PIK3R1;TGFA;PIK3CA;GADD45B;DDB2
2,prerank,Prostate cancer,0.5012932820461466,1.8794237034122545,0.0,0.004018681042673005,0.011,59/89,31.28%,PDGFRA;AKT1;MAP2K2;CREB3L1;PDPK1;CREB1;GSK3B;TP53;HRAS;PDGFD;GSTP1;ETV5;MAPK1;NFKBIA;CASP9;PTEN;CDKN1A;PIK3R3;MDM2;IKBKG;PDGFRB;MAPK3;IL1R2;GRB2;CDKN1B;ATF4;CTNNB1;FOXO1;ZEB1;RAF1;CHUK;NFKB1;ERBB2;AKT3;PIK3CB;AR;BRAF;RELA;CREB3;SOS2;HSP90AB1;EGFR;CDK2;PLAU;RB1;E2F1;BCL2;ARAF;HSP90B1;INS;CCNE1;TCF7L2;ERG;PIK3CD;KRAS;IGF1R;PIK3R1;TGFA;PIK3CA
3,prerank,Nicotinate and nicotinamide metabolism,0.6024524402782853,1.8521793788763592,0.0,0.004521016173007131,0.017,12/20,23.27%,NMNAT2;NT5E;QPRT;ENPP1;NADK2;PNP;NMRK1;NAMPT;BST1;NNT;NADSYN1;CD38
4,prerank,C-type lectin receptor signaling pathway,0.4898319647345754,1.8484368304808807,0.0,0.004219615094806655,0.02,67/99,34.37%,SYK;AKT1;PTPN11;HRAS;RHOA;MAPK9;IRF9;IL1B;KSR1;IL12A;MAPK1;NFKBIA;PAK1;EGR3;CALM1;PIK3R3;MAPK14;IKBKE;MDM2;IKBKG;PRKCD;CBLB;MAPK3;CARD9;JUN;STAT1;CLEC1B;TNF;RAF1;CHUK;LSP1;NFKB1;ITPR3;BCL10;AKT3;CASP8;CALM3;PIK3CB;RELA;NFKB2;IL10;PLCG2;NFATC3;IL23A;RELB;BCL3;SRC;IL12B;EGR2;CYLD;MAPKAPK2;IL6;MALT1;CLEC7A;IRF1;IL2;MAPK8;PIK3CD;KRAS;PIK3R1;PIK3CA;CLEC4D;ARHGEF12;NFATC1;CALML6;MAPK13;NFATC4
5,prerank,Prolactin signaling pathway,0.5003039799631204,1.8151309925770767,0.0,0.0068652467812330515,0.04,52/64,41.77%,AKT1;MAP2K2;TNFRSF11A;GALT;GSK3B;SHC4;HRAS;GCK;MAPK9;MAPK1;FOXO3;CISH;CCND2;PIK3R3;MAPK14;SOCS2;SOCS4;STAT3;MAPK3;STAT1;GRB2;RAF1;NFKB1;AKT3;PIK3CB;TH;RELA;SOS2;SRC;INS;STAT5A;SOCS5;IRF1;JAK2;MAPK8;PIK3CD;KRAS;LHCGR;PIK3R1;ESR1;PIK3CA;CYP17A1;MAPK13;PRLR;MAP2K1;NRAS;SHC1;SOS1;SOCS1;MAPK12;FOS;ESR2
6,prerank,Measles,0.46323219757120404,1.787294143760553,0.0,0.008467935054203832,0.056,76/126,31.93%,CSNK2B;AKT1;CCND3;TLR2;GSK3B;TP53;RCHY1;TRAF6;EIF2AK2;OAS1;BCL2L1;EIF3H;MAPK9;IRF9;CD46;IRAK4;JAK3;IL1B;IL12A;NFKBIA;IFNA10;TBK1;CASP9;CSNK2A1;CCND2;PIK3R3;CYCS;FAS;IKBKE;CASP3;IKBKG;CBLB;STAT3;TNFAIP3;BAX;FADD;IL2RA;JUN;STAT1;CDKN1B;IL2RB;CSNK2A2;TRAF3;IFIH1;CHUK;DDX58;NFKB1;CDK6;AKT3;CASP8;PIK3CB;EIF2S1;EIF2AK1;RELA;IFNA1;TLR4;IRAK1;IFNA2;CDK4;CDK2;JAK1;BCL2;IL12B;OAS2;IL6;CCNE1;STAT5A;IFNAR1;IFNA5;IL2;MAPK8;PIK3CD;PIK3R1;PIK3CA;IFNB1;BID
7,prerank,Bladder cancer,0.5181898179048947,1.7869667080715637,0.0,0.007535026955011885,0.057,25/39,27.19%,MAP2K2;TP53;HRAS;MAPK1;CDKN1A;MDM2;MAPK3;MMP2;VEGFA;RAF1;RASSF1;RPS6KA5;ERBB2;THBS1;BRAF;DAPK3;MMP1;CDK4;EGFR;RB1;E2F1;CXCL8;SRC;ARAF;HBEGF
8,prerank,GnRH signaling pathway,0.4854315441549303,1.7818065954691982,0.001,0.007702471998456594,0.064,60/79,41.62%,MAP2K2;HRAS;EGR1;MAPK9;MAP3K4;CACNA1C;PRKACA;MAPK1;PLD1;ELK1;CALM1;ADCY9;MAPK14;ADCY3;PLCB1;PRKCD;MAPK3;MMP2;JUN;GRB2;ATF4;RAF1;CDC42;ITPR3;CALM3;ADCY5;SOS2;ADCY7;EGFR;GNRH1;PTK2B;SRC;CACNA1F;HBEGF;MMP14;MAP3K1;PLA2G4A;MAP2K4;MAPK8;KRAS;PLD2;MAPK7;CALML6;CACNA1S;MAPK13;CAMK2G;MAP2K1;CACNA1D;NRAS;JMJD7-PLA2G4B;GNRHR;CALM2;PLCB3;GNAS;PRKACG;SOS1;PRKACB;MAPK12;GNA11;ADCY2
9,prerank,TGF-beta signaling pathway,0.49417579151534086,1.7801901186538363,0.0,0.007032691824677759,0.065,30/66,20.17%,INHBE;ID2;SMAD3;SMAD5;RPS6KB1;PPP2R1A;SMAD1;RHOA;TGFBR1;SMAD2;ID3;MAPK1;SMAD4;SMURF2;SKP1;TFDP1;IFNG;AMH;MAPK3;ACVR2A;ACVR1;LEFTY1;TNF;TGFBR2;BMPR1A;BMPR1B;THBS1;TGIF1;ACVR1B;PPP2CA
10,prerank,Melanoma,0.49636136626601435,1.7750817390692126,0.0,0.00739802646492076,0.075,34/52,32.35%,PDGFRA;AKT1;MAP2K2;TP53;HRAS;PDGFD;MET;MAPK1;PTEN;CDKN1A;PIK3R3;MDM2;PDGFRB;BAX;MAPK3;FGF9;RAF1;CDK6;AKT3;PIK3CB;BRAF;CDK4;EGFR;RB1;E2F1;ARAF;FGF2;PIK3CD;KRAS;IGF1R;PIK3R1;PIK3CA;GADD45B;DDB2
