,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pancreatic cancer,0.3912645894114195,2.5645639545905703,0.0,0.0,0.0,46/71,31.99%,BAK1;PIK3R3;RAC1;AKT1;TGFB1;KRAS;GADD45B;SMAD4;BRCA2;RELA;TP53;EGFR;JAK1;TGFBR1;CDKN2A;BAD;IKBKB;CDKN1A;MAP2K1;EGF;VEGFA;ERBB2;PIK3CD;CASP9;CDC42;MAPK1;PIK3CB;CDK6;NFKB1;BAX;E2F3;BRAF;RAD51;BCL2L1;STAT3;STAT1;SMAD3;RPS6KB1;TGFA;RAC3;MAPK3;CDK4;PIK3CA;TGFBR2;MAPK9;RAF1
1,prerank,Focal adhesion,0.33998466956317563,2.54219043912647,0.0,0.0,0.0,85/128,38.38%,PXN;PIK3R3;CTNNB1;ITGA2;RAC1;CCND3;AKT1;COL4A2;KDR;VAV3;ITGA3;FLT1;SRC;ILK;SHC1;VEGFC;PDGFRB;EGFR;ITGAV;PAK2;BAD;PAK1;PGF;MAP2K1;EGF;FYN;ITGA2B;VEGFA;ERBB2;PIK3CD;FLT4;CDC42;CAV2;LAMB1;SHC4;CRK;BIRC2;PDGFD;MAPK1;PIK3CB;FN1;ACTB;ITGB8;ITGB4;BCL2;COL4A5;PDPK1;PRKCG;JUN;RHOA;PDGFC;PAK5;COL4A4;BRAF;THBS3;MYL9;SPP1;CAV1;PRKCB;MET;BIRC3;RAC3;GSK3B;CRKL;MAPK3;ITGB5;RAP1A;PIK3CA;CCND2;PTK2;PAK4;MAPK9;ROCK2;RAF1;PAK3;CAV3;TNC;VAV1;MYLK;HRAS;FLNB;PDGFRA;PRKCA;ELK1;COL1A2
2,prerank,AGE-RAGE signaling pathway in diabetic complications,0.3582776414996845,2.4812366347041386,0.0,0.0007060950121448341,0.002,68/89,45.78%,PIK3R3;RAC1;MAPK14;AKT1;PLCG1;TGFB1;EGR1;PLCB4;KRAS;COL4A2;ICAM1;SMAD4;STAT5A;RELA;VEGFC;JAK2;PLCE1;TGFBR1;AGT;VEGFA;PIK3CD;CDC42;EDN1;PLCB3;MAPK1;PIK3CB;FN1;STAT5B;BCL2;COL4A5;NFKB1;F3;BAX;JUN;PRKCD;COL4A4;NOX1;MAPK12;TNF;PLCG2;STAT3;STAT1;SMAD3;PRKCB;AGER;MAPK3;CDK4;PIK3CA;AGTR1;TGFBR2;MMP2;VCAM1;MAPK9;PLCD1;CASP3;IL6;NFATC1;HRAS;PRKCA;COL1A2;VEGFB;MAPK13;PIM1;PRKCE;CDKN1B;PLCB1;PIK3R1;TGFB3
3,prerank,Kaposi sarcoma-associated herpesvirus infection,0.32194918666836136,2.4669410107640592,0.0,0.0005295712591086257,0.002,116/159,46.20%,ATG3;BAK1;EP300;PIK3R3;CTNNB1;RAC1;MAPK14;AKT1;PLCG1;KRAS;CSF2;CALM2;RCAN1;GABARAPL1;TRAF2;ICAM1;SRC;ZFP36;PPP3CB;FOS;RELA;PPP3CA;TP53;JAK1;JAK2;IRF3;CXCL1;MAPKAPK2;IKBKB;CXCL2;CDKN1A;MAP2K1;IFNA2;VEGFA;PIK3CD;CASP9;NFKBIA;TBK1;FADD;MAPK1;HIF1A;IFNGR1;PIK3CB;NFATC3;CDK6;IL6ST;NFKB1;IFNA4;CALM1;ITPR2;BAX;STAT2;FAS;GNG11;JUN;TRAF3;GNG7;GNB5;TICAM1;E2F3;PPP3R2;GNB4;MAPK12;IRF9;GNB1;PLCG2;IRF7;STAT3;C3;STAT1;BECN1;MAP2K6;MAP2K4;GSK3B;CCR5;MYC;IFNA7;MICB;MAPK3;CD200R1;TNFRSF1A;CDK4;PIK3CA;EIF2AK2;MAPK9;RAF1;ITPR3;MAP2K7;GNG12;HLA-A;HCK;GNGT2;CASP3;IL6;UBB;NFATC1;NFATC2;IFNAR1;HRAS;BID;PIK3C3;MAPK13;IFNA5;TLR3;IFNA8;IFNB1;CREBBP;IFNAR2;IKBKE;CALML6;PPP3R1;PIK3R1;E2F1;PIK3CG;IKBKG;PTGS2
4,prerank,Human T-cell leukemia virus 1 infection,0.30538656469725983,2.429718224893063,0.0,0.0008473140145738011,0.004,116/189,38.33%,ADCY3;BUB1B;EP300;PIK3R3;HLA-DRB3;HLA-DOA;CCND3;AKT1;TGFB1;FDPS;HLA-DMB;CCNA1;EGR1;KRAS;CSF2;HLA-DQB1;ICAM1;NRP1;CDKN2C;SMAD4;ZFP36;STAT5A;SRF;PPP3CB;ATF4;FOS;ATM;RELA;PPP3CA;VDAC2;TP53;JAK1;TGFBR1;CDKN2A;IL1R2;ANAPC5;IKBKB;HLA-DRB5;CDKN1A;B2M;MAP2K1;HLA-DPB1;PIK3CD;TBP;NFKBIA;SLC25A6;SLC2A1;ADCY5;CDK2;ATR;MAPK1;IL2RB;ETS2;PIK3CB;NFATC3;STAT5B;CREB5;NFKB1;RELB;BAX;EGR2;JAK3;PRKACB;HLA-DMA;CRTC3;JUN;CCNA2;HLA-DRA;LCK;ADCY9;E2F3;PPP3R2;HLA-DPA1;TNF;BCL2L1;SMAD3;MAP2K4;VDAC1;SLC25A5;CREB3L1;MSX1;MYC;ITGAL;MAPK3;HLA-DRB1;TBPL1;TNFRSF1A;ADCY1;CDK4;PIK3CA;CCND2;TGFBR2;IL2;KAT5;MAPK9;POLB;DLG1;CCNE1;CANX;XPO1;PRKACA;HLA-A;PTTG1;LTA;IL6;NFATC1;NFATC2;HLA-DRB4;HRAS;CALR;TERT;SLC25A4;ETS1;TSPO;CD4;ELK1
5,prerank,T cell receptor signaling pathway,0.3396993143817734,2.406901630558826,0.0,0.0007060950121448341,0.004,68/98,40.80%,PIK3R3;MAPK14;CARD11;AKT1;PLCG1;KRAS;CSF2;VAV3;MAP3K7;PPP3CB;FOS;RELA;CD8B;ZAP70;PPP3CA;PAK2;PAK1;NFKBIB;IKBKB;MAP2K1;FYN;RASGRP1;PIK3CD;NFKBIA;CBLB;CTLA4;CDC42;PTPN6;MAPK1;PIK3CB;NFATC3;NFKB1;PDPK1;IFNG;JUN;RHOA;LCK;PAK5;PPP3R2;MAPK12;TNF;LCP2;CD8A;GSK3B;MAPK3;CD40LG;CDK4;IL10;PIK3CA;IL2;PAK4;MAPK9;RAF1;PAK3;DLG1;MAP2K7;CD28;MALT1;VAV1;NFATC1;NFATC2;NFKBIE;HRAS;CD4;PTPRC;ICOS;MAPK13;GRAP2
6,prerank,Viral carcinogenesis,0.3142965360518945,2.380742735521203,0.0,0.0010591425182172511,0.007,118/141,57.42%,BAK1;PXN;HDAC2;EP300;PIK3R3;RAC1;CCND3;HDAC4;CCNA1;KRAS;CDK1;TRAF2;PKM;SRC;STAT5A;SRF;ATF4;RELA;DNAJA3;TP53;JAK1;CDKN2A;BAD;IRF3;MAPKAPK2;CDKN1A;YWHAZ;PIK3CD;TBP;NFKBIA;REL;CDC42;TRAF1;CDK2;USP7;MAPK1;HDAC1;PIK3CB;CDK6;IL6ST;STAT5B;CREB5;NFKB1;HIST1H2BK;HPN;BAX;HDAC6;EGR2;JAK3;HIST1H4I;PRKACB;JUN;CCNA2;RHOA;TRAF3;EGR3;GTF2B;HDAC11;IRF9;IRF7;STAT3;C3;HDAC5;CREB3L1;GTF2H1;HDAC9;CCR5;MAPK3;TBPL1;CDK4;PIK3CA;CCND2;RBL2;EIF2AK2;POLB;DLG1;CCNE1;HIST1H2BJ;PRKACA;HLA-A;CASP3;CHD4;HDAC7;HRAS;RBPJ;RBL1;YWHAQ;GTF2H3;GTF2E2;NFKB2;GTF2H2;CREBBP;CDKN1B;PIK3R1;ATF2;IKBKG;CDC20;SKP2;HDAC3;CASP8;CCND1;PMAIP1;MDM2;NRAS;ACTN4;GRB2;HDAC10;CHEK1;CCR3;HLA-B;KAT2B;KAT2A;SYK;PRKACG;LYN;GTF2A2;TRADD;CDKN2B
7,prerank,Thyroid hormone signaling pathway,0.3392561823697634,2.3678559319196006,0.0,0.0009267497034400948,0.007,58/95,33.19%,HDAC2;EP300;PIK3R3;ATP2A2;CTNNB1;AKT1;PLCG1;PLCB4;KRAS;RCAN1;BMP4;ATP1B1;THRA;RXRA;SRC;GATA4;TP53;ITGAV;PLCE1;BAD;SIN3A;NCOA2;MAP2K1;PIK3CD;CASP9;SLC2A1;PLCB3;NOTCH1;MAPK1;HIF1A;HDAC1;PFKP;PIK3CB;ACTB;MED4;NCOA3;PDPK1;PRKCG;TSC2;PRKACB;SLC16A2;ATP1A4;MED12L;PLCG2;STAT1;PRKCB;GSK3B;MYC;MAPK3;ATP1A1;PIK3CA;SLC9A1;MED1;RAF1;RHEB;ESR1;PRKACA;PLCD1
8,prerank,MicroRNAs in cancer,0.3152524667494708,2.3559242213927907,0.0,0.0010591425182172511,0.009,98/129,49.77%,ST14;BAK1;EP300;PLCG1;CDC25B;HDAC4;KRAS;EFNA3;BRCA1;DNMT1;ATM;SERPINB5;SOCS1;SHC1;PDGFRB;TP53;EGFR;BCL2L2;ABL1;CDKN2A;RDX;IKBKB;CDKN1A;HOXD10;ABCB1;MAP2K1;VEGFA;EZH2;ERBB2;ERBB3;WNT3;RPS6KA5;SHC4;NOTCH1;CRK;MAPK1;HDAC1;HMOX1;DNMT3B;CDK6;STMN1;BCL2;NFKB1;CDC25A;PRKCG;RHOA;ZEB1;E2F3;PLCG2;CDC25C;TIMP3;STAT3;PRKCB;TPM1;MET;VIM;MARCKS;MYC;ABCC1;CRKL;PIK3CA;BMPR2;CCND2;PAK4;RAF1;CCNE1;DNMT3A;TNC;CYP24A1;SLC45A3;SLC7A1;CASP3;MAPK7;HRAS;PDGFRA;PRKCA;BMF;SPRY2;FZD3;SOX4;GLS;CREBBP;PIM1;PRKCE;CDKN1B;CD44;SIRT1;MCL1;CCNG1;E2F1;PTGS2;NOTCH2;IRS1;CCND1;THBS1;ROCK1;MDM2;FOXP1
9,prerank,"Valine, leucine and isoleucine degradation",0.41943855663098717,2.3392155430102566,0.0,0.0012709710218607017,0.012,22/39,21.49%,HADHB;HMGCS1;ACAD8;HADH;BCKDHA;MCCC1;ACAT2;HIBCH;DLD;HSD17B10;ACAA1;ACAT1;EHHADH;ACADSB;ALDH9A1;HMGCL;ALDH1B1;ABAT;PCCA;HADHA;ALDH7A1;PCCB
