,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Hepatitis B,0.4164530641294472,2.870147458382425,0.0,0.0,0.0,106/152,35.99%,JUN;ATF4;MAPK14;JAK3;TBK1;SMAD4;STAT3;NFKBIA;TP53;JAK2;FAS;IFNA2;STAT6;CDK2;NFATC4;CCNA2;STAT2;TRAF3;FOS;NFATC3;BCL2;TLR2;BRAF;IRAK4;IL6;MAPK8;TAB2;SOS2;SMAD3;RB1;IFIH1;PCNA;PRKCG;STAT4;YWHAQ;MAP2K7;STAT5A;TICAM1;PIK3CD;CREB3L4;NFATC1;IFNB1;PRKCA;PTK2B;TLR3;IRF7;AKT3;ATF2;RAF1;TYK2;NFKB1;PIK3CA;CHUK;CDKN1A;IKBKE;IFNA1;CREBBP;E2F1;IFNA16;EP300;CASP8;MYC;AKT1;TGFBR2;MAPK1;AKT2;SRC;FADD;MAPK13;MYD88;NRAS;CREB1;CREB3L2;GRB2;EGR2;CYCS;HRAS;PIK3R1;CCNE1;PIK3R3;TLR4;TGFB2;TNF;TGFBR1;IFNA21;IFNAR1;HSPG2;TICAM2;MAP2K1;CASP3;BAD;PIK3CB;BAX;NFATC2;MAPK9;BID;TGFB3;ARAF;EGR3;MAP3K7;TIRAP;IFNA17;CASP10;E2F3;APAF1;MAPK11
1,prerank,AGE-RAGE signaling pathway in diabetic complications,0.4152287575933356,2.6302416091064247,0.0,0.0,0.0,68/88,43.21%,JUN;F3;MAPK14;SMAD4;STAT3;JAK2;MMP2;EGR1;PRKCD;BCL2;IL6;MAPK8;PLCG2;PLCD1;SMAD3;PLCG1;STAT5A;PIK3CD;NFATC1;PRKCA;AKT3;NFKB1;PIK3CA;IL1B;PRKCZ;CDKN1B;ICAM1;PRKCE;AKT1;TGFBR2;MAPK1;AKT2;FOXO1;MAPK13;PLCB1;NRAS;COL4A5;CDK4;HRAS;PIK3R1;PIK3R3;TGFB2;NOX1;TNF;TGFBR1;EDN1;AGTR1;VEGFB;CASP3;PIK3CB;RAC1;BAX;PLCB3;MAPK9;TGFB3;CDC42;FN1;CCL2;MAPK11;VEGFC;CYBB;MAPK12;VCAM1;CCND1;COL4A3;SMAD2;AGER;AGT
2,prerank,Renal cell carcinoma,0.43986954815725227,2.6008702066531257,0.0,0.0,0.0,43/62,32.19%,JUN;PAK4;PAK3;RAP1A;BRAF;SOS2;MET;CRKL;PIK3CD;PRCC;ETS1;EPAS1;AKT3;RAF1;PIK3CA;PAK2;CDKN1A;CREBBP;EP300;AKT1;MAPK1;AKT2;HIF1A;SLC2A1;NRAS;GRB2;HRAS;PIK3R1;PIK3R3;TGFB2;GAB1;PTPN11;MAP2K1;EGLN1;BAD;PIK3CB;VHL;RAC1;CRK;TFE3;TGFB3;ARAF;CDC42
3,prerank,TNF signaling pathway,0.39564951365282053,2.575643265751936,0.0,0.0,0.0,83/103,47.15%,JUN;ATF4;MAPK14;NFKBIA;FAS;TNFAIP3;TRAF1;MAP3K5;CXCL1;TRAF3;FOS;IL6;MAPK8;TAB2;BIRC2;MMP14;RPS6KA4;MAP2K7;CASP7;MAP3K14;CXCL5;RPS6KA5;PIK3CD;CX3CL1;IL18R1;CREB3L4;CCL5;IFNB1;AKT3;ATF2;TRAF2;NFKB1;PIK3CA;CHUK;IL1B;IL15;ICAM1;CASP8;AKT1;MAPK1;AKT2;FADD;TRAF5;MAPK13;CXCL2;CSF1;TNFRSF1B;CREB1;CREB3L2;PIK3R1;PIK3R3;CFLAR;NOD2;TNF;CCL20;EDN1;MAP2K1;CASP3;PIK3CB;DNM1L;MAPK9;CXCL3;TNFRSF1A;CCL2;MAP3K7;SOCS3;CASP10;MAPK11;TRADD;VEGFC;MAP2K6;JUNB;ITCH;MAPK12;VCAM1;JAG1;IKBKG;MAP2K3;MLKL;MAP3K8;LIF;PTGS2;BIRC3
4,prerank,Non-small cell lung cancer,0.4355545558507903,2.5516280532771396,0.0,0.0,0.0,41/62,30.25%,JAK3;STAT3;ALK;TP53;EGFR;GADD45B;ERBB2;BRAF;PLCG2;SOS2;RB1;EML4;PRKCG;PLCG1;STAT5A;PIK3CD;PRKCA;AKT3;RAF1;PIK3CA;CDKN1A;RARB;E2F1;AKT1;MAPK1;AKT2;NRAS;RXRG;GRB2;CDK4;HRAS;PIK3R1;PIK3R3;BAK1;FHIT;MAP2K1;BAD;PIK3CB;RASSF1;BAX;PDPK1
5,prerank,Neurotrophin signaling pathway,0.39146391751729326,2.5379803069991294,0.0,0.0,0.0,69/101,36.77%,JUN;ATF4;RPS6KA1;NTRK3;MAPK14;NFKBIA;TP53;RHOA;MAP3K5;IRS1;PRKCD;BCL2;RAP1A;BRAF;IRAK4;MAPK8;PLCG2;SOS2;MAGED1;CRKL;PLCG1;MAP2K7;RPS6KA5;NTRK1;SHC4;PIK3CD;AKT3;RIPK2;RAF1;NFKB1;PIK3CA;CAMK2G;SHC1;MAP2K5;AKT1;MAPK1;AKT2;MAPK13;ARHGDIB;NRAS;MAPKAPK2;GRB2;HRAS;PIK3R1;PIK3R3;CALM3;MAPK7;SH2B3;NGFR;GAB1;NGF;PTPN11;IRAK2;MAP2K1;BAD;PIK3CB;RAC1;BAX;MAPK9;CRK;PDPK1;CDC42;CALM2;PRDM4;GSK3B;CAMK2D;MAPK11;SORT1;ABL1
6,prerank,Kaposi sarcoma-associated herpesvirus infection,0.36245784220550836,2.5193819205986427,0.0,0.0,0.0,102/158,36.00%,JUN;MAPK14;TBK1;STAT3;NFKBIA;TP53;JAK2;FAS;IFNA2;NFATC4;CXCL1;GNB4;STAT2;TRAF3;FOS;IFNGR1;NFATC3;PIK3R5;IL6;MAPK8;PLCG2;RB1;PLCG1;EIF2AK2;MAP2K7;GNG11;TICAM1;PIK3CD;CTNNB1;NFATC1;IFNB1;TLR3;IRF7;SYK;AKT3;TRAF2;RAF1;TYK2;NFKB1;PIK3CA;CHUK;CDKN1A;IKBKE;IFNA1;ICAM1;CREBBP;GNG4;E2F1;IFNA16;EP300;GNG12;CASP8;MYC;AKT1;MAPK1;AKT2;GNGT2;SRC;FADD;HIF1A;MAPK13;CXCL2;HLA-A;PIK3CG;NRAS;CREB1;MAPKAPK2;CYCS;CDK4;HRAS;PIK3R1;PIK3R3;CALM3;LYN;C3;BAK1;GNG8;GNB2;IFNA21;IFNAR1;MAP2K1;CASP3;PPP3CB;PIK3CB;RAC1;BAX;NFATC2;MAPK9;CD86;BID;CXCL3;TNFRSF1A;FGF2;PPP3CC;CALM2;BECN1;GSK3B;IFNA17;HLA-B;E2F3;MAPK11;TRADD
7,prerank,Gastric cancer,0.3843315792912529,2.5149783201072626,0.0,0.0,0.0,74/114,35.36%,CSNK1A1L;SMAD4;TP53;EGFR;GADD45B;CDK2;RPS6KB1;RPS6KB2;BCL2;ERBB2;BRAF;WNT7A;WNT10B;SOS2;SMAD3;MET;RB1;MLH1;SHC4;PIK3CD;CTNNB1;AKT3;RAF1;PIK3CA;WNT5A;CDKN1A;RARB;DVL3;SHC1;CDKN1B;E2F1;ABCB1;CDX2;CTNNA1;AXIN2;TCF7L2;FGFR2;MYC;AKT1;TGFBR2;MAPK1;AKT2;WNT3;NRAS;RXRG;FGF1;GRB2;HRAS;PIK3R1;CCNE1;PIK3R3;WNT1;BAK1;TGFB2;TGFBR1;GAB1;DVL2;FZD10;AXIN1;FZD7;WNT7B;MAP2K1;APC;PIK3CB;BAX;FGF2;TGFB3;LEF1;ARAF;DVL1;CSNK1A1;FGF9;GSK3B;E2F3
8,prerank,Colorectal cancer,0.4002864035611183,2.4951112812443133,0.0,0.00011448528172185864,0.001,51/79,31.87%,JUN;SMAD4;TP53;EGFR;GADD45B;RHOA;RPS6KB1;RPS6KB2;FOS;BCL2;BRAF;MAPK8;SOS2;SMAD3;MLH1;PIK3CD;CTNNB1;AKT3;RAF1;PIK3CA;CDKN1A;AXIN2;TCF7L2;MYC;AKT1;TGFBR2;MAPK1;AKT2;RAC3;PMAIP1;NRAS;GRB2;CYCS;HRAS;PIK3R1;PIK3R3;BAK1;TGFB2;TGFBR1;AXIN1;MAP2K1;CASP3;APC;BAD;PIK3CB;RAC1;BAX;MAPK9;TGFB3;LEF1;ARAF
9,prerank,ErbB signaling pathway,0.3981872077576578,2.475616957667455,0.0,0.00010303675354967277,0.001,48/79,30.17%,JUN;NRG1;EGFR;PAK4;RPS6KB1;PAK3;RPS6KB2;ERBB2;BRAF;MAPK8;PLCG2;SOS2;PRKCG;CRKL;PLCG1;MAP2K7;STAT5A;SHC4;PIK3CD;EIF4EBP1;PRKCA;AKT3;HBEGF;RAF1;PIK3CA;PAK2;CDKN1A;CAMK2G;SHC1;CDKN1B;ERBB3;MYC;AKT1;MAPK1;AKT2;SRC;NRAS;NCK1;GRB2;HRAS;PIK3R1;PIK3R3;GAB1;MAP2K1;BAD;PIK3CB;MAPK9;CRK
