,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,PPAR signaling pathway,0.44918964137646983,2.2992092705871365,0.0,0.003066116623926859,0.003,30/48,26.41%,GK;FABP4;RXRA;ILK;APOA2;APOA1;PCK2;NR1H3;HMGCS2;CPT2;PPARD;ACSL4;MMP1;FADS2;RXRB;SCP2;LPL;CD36;FABP6;ACSL3;DBI;FABP1;PDPK1;PCK1;ACAA1;APOC3;FABP5;SLC27A2;PPARA;CPT1A
1,prerank,Relaxin signaling pathway,0.39503669304964,2.291711103734255,0.0,0.0015330583119634296,0.003,72/103,38.21%,NRAS;NFKB1;NFKBIA;MAPK11;GNB2;MAPK8;GNAI1;SHC1;CREB3L4;RELA;ACTA2;JUN;AKT2;ARRB1;PRKACB;PIK3CA;PRKACG;PLCB1;SHC4;AKT1;PRKACA;CREB3L1;PIK3R1;SMAD2;ATF2;GNA15;ADCY7;CREB5;COL4A5;MMP1;MAP2K2;GNAI2;MAP2K4;EGFR;GNG12;ATF4;GNAS;GNB5;TGFBR2;CREB1;ADCY9;GNG11;PLCB4;ADCY6;RXFP4;EDNRB;GRB2;TGFBR1;SMAD3;ADCY1;MAP2K1;GNB1;MAPK3;FOS;HRAS;COL4A2;PRKCZ;MAPK12;ADCY3;VEGFA;PIK3R3;PRKCA;RXFP1;GNG4;VEGFB;PLCB3;KRAS;GNB4;TGFB1;MAPK9;MAP2K7;GNGT2
2,prerank,AGE-RAGE signaling pathway in diabetic complications,0.38145233776453424,2.1904075809452426,0.0,0.002384757374165335,0.007,61/89,38.10%,STAT3;NRAS;NFKB1;CASP3;MAPK11;MAPK8;CXCL8;FN1;RELA;JUN;AKT2;F3;TGFB3;AGTR1;PIK3CA;CDK4;PLCB1;AKT1;BCL2;PIK3R1;SMAD2;PLCG1;COL4A5;ICAM1;AGER;PLCD1;PLCG2;NOX1;IL1B;EGR1;TGFBR2;IL6;PLCE1;PLCB4;JAK2;TGFBR1;CDKN1B;PRKCD;SMAD3;MAPK3;HRAS;BAX;COL4A2;SMAD4;PRKCE;PRKCZ;TNF;MAPK12;RAC1;VEGFA;PIK3R3;PRKCA;VEGFB;PLCB3;KRAS;STAT5A;AGT;TGFB1;MAPK9;FOXO1;PIM1
3,prerank,Citrate cycle (TCA cycle),0.49212746388263856,2.179610096208268,0.0,0.0022995874679451445,0.009,18/27,23.89%,DLD;DLAT;ACLY;PCK2;ACO2;PDHA1;PC;SUCLA2;PDHB;SDHB;MDH2;SUCLG1;IDH2;MDH1;CS;SDHA;PCK1;OGDH
4,prerank,Estrogen signaling pathway,0.378014050488492,2.178762748025946,0.0,0.0018396699743561155,0.009,78/98,48.15%,NRAS;HSPA2;GNAI1;SHC1;NCOA3;CREB3L4;HSP90B1;JUN;AKT2;PRKACB;HSP90AB1;PIK3CA;PRKACG;PLCB1;SHC4;ITPR3;RARA;AKT1;BCL2;PRKACA;CREB3L1;PIK3R1;NCOA2;ATF2;ADCY7;CREB5;MAP2K2;GPER1;GNAI2;EGFR;TGFA;PGR;GABBR1;ATF4;GNAS;CTSD;GABBR2;CALM2;KRT26;CREB1;FKBP4;ADCY9;KRT19;PLCB4;ADCY6;KCNJ5;GRB2;PRKCD;ADCY1;MAP2K1;KRT12;MAPK3;FOS;HRAS;ESR1;ADCY3;ITPR1;PIK3R3;TFF1;PLCB3;KRAS;KRT23;HSPA1B;PIK3CB;CALM1;CALML6;ITPR2;HSP90AA1;ESR2;MMP2;RAF1;GNAI3;PIK3CD;MMP9;MAPK1;ADCY5;HSPA1A;GNAQ
5,prerank,Endometrial cancer,0.39725279790231355,2.100385938218574,0.0,0.004428835123449907,0.026,32/53,29.02%,NRAS;ARAF;TP53;AKT2;ILK;PIK3CA;CASP9;AKT1;ERBB2;CDH1;PIK3R1;AXIN2;CDKN1A;MAP2K2;FOXO3;EGFR;BRAF;CTNNB1;BAD;LEF1;TCF7;BAK1;MYC;EGF;PDPK1;GRB2;TCF7L2;MAP2K1;MAPK3;HRAS;BAX;AXIN1
6,prerank,Human T-cell leukemia virus 1 infection,0.32907231608746756,2.0897227417347946,0.0,0.0039421499450488185,0.027,118/188,39.69%,NRAS;NFKB1;NFKBIA;HLA-DPA1;HLA-DRB1;ZFP36;TP53;MAPK8;CREB3L4;RELA;HLA-DMA;JUN;AKT2;SLC25A4;TGFB3;NFATC3;IL2;HLA-DPB1;PRKACB;CCNE1;PIK3CA;RB1;CDK4;PPP3CA;PRKACG;SLC25A5;AKT1;KAT5;BCL2L1;PRKACA;NRP1;ELK4;CREB3L1;CANX;PIK3R1;VDAC1;SMAD2;ATF2;IKBKG;NFYB;CD4;ADCY7;CREB5;CDKN1A;JAK1;IL1R1;TNFRSF1A;ICAM1;MAP2K2;TSPO;CALR;CDK2;MAP2K4;SLC25A6;LTBR;HLA-DMB;MAP3K1;ITGB2;FDPS;CCND2;ATF4;POLB;CCNA1;MYC;EGR1;PPP3CC;TGFBR2;DLG1;HLA-B;CD40;IL6;CREB1;ADCY9;ADCY6;ETS2;SLC2A1;TGFBR1;ATM;SMAD3;ADCY1;MAP2K1;IL1R2;HLA-DQA1;PTTG1;MAPK3;PPP3CB;FOS;HRAS;TRRAP;BAX;TBPL1;IL2RA;SMAD4;NFKB2;HLA-DOB;TNF;HLA-A;ADCY3;IL2RB;PIK3R3;CDKN2C;HLA-DRA;LCK;ETS1;KRAS;STAT5A;CCND3;ANAPC5;TGFB1;MAPK9;CDC20;B2M;PPP3R2;RELB;PIK3CB;CDKN2B;NFATC4;SRF
7,prerank,Measles,0.3459655444529525,2.0861785336007297,0.0,0.0034493812019177165,0.027,83/126,39.66%,STAT3;NFKB1;NFKBIA;HSPA2;TLR4;CASP3;CSNK2B;TP53;MAPK8;TRAF6;RELA;APAF1;JUN;AKT2;IL2;CCNE1;PIK3CA;CDK4;CBLB;CASP9;TLR7;AKT1;BCL2;BCL2L1;PIK3R1;IFNA2;IKBKG;IFIH1;JAK1;TRAF3;EIF2AK1;EIF2AK3;FAS;BBC3;CDK2;BAD;IRF9;CCND2;BAK1;CD46;IL1B;IFNA10;IKBKE;OAS3;MAP3K7;TAB2;TNFAIP3;IL6;CSNK2A1;ADAR;FASLG;STAT2;NFKBIB;CDKN1B;TLR2;IFNAR1;IFNB1;TLR9;SLAMF1;FOS;BAX;IL2RA;IFNAR2;IRAK4;IFNA5;CSNK2A2;BID;RCHY1;IL2RB;DDX58;PIK3R3;EIF2AK2;IFNA7;EIF2AK4;STAT5A;CCND3;MAPK9;HSPA1B;TBK1;GSK3B;PIK3CB;CDK6;CD28
8,prerank,Thyroid cancer,0.43133344754329006,2.07896323448684,0.0,0.0038610357486486375,0.033,23/34,31.65%,NRAS;TP53;RXRA;TPR;CDH1;CDKN1A;RXRB;MAP2K2;BRAF;CTNNB1;LEF1;TCF7;BAK1;MYC;NTRK1;TCF7L2;MAP2K1;MAPK3;PAX8;HRAS;BAX;PPARG;TPM3
9,prerank,Prostate cancer,0.36168798486479004,2.0770762004872356,0.0,0.003679339948712231,0.035,50/89,29.26%,NRAS;NFKB1;NFKBIA;ARAF;TP53;CREB3L4;RELA;HSP90B1;AKT2;PLAT;CCNE1;HSP90AB1;PIK3CA;RB1;CASP9;AKT1;BCL2;ERBB2;CREB3L1;PIK3R1;IKBKG;CREB5;CDKN1A;MAP2K2;CDK2;EGFR;TGFA;BRAF;CTNNB1;BAD;PDGFD;LEF1;ATF4;TCF7;ETV5;EGF;PDPK1;CREB1;GSTP1;MDM2;ERG;GRB2;CDKN1B;TCF7L2;MAP2K1;IL1R2;MAPK3;ZEB1;HRAS;INS
