,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,TNF signaling pathway,0.40026982419987484,2.5065499582744204,0.0,0.0010305608124566697,0.001,79/104,42.94%,CX3CL1;TRADD;TNFAIP3;CFLAR;FAS;JUN;AKT3;CCL2;IL15;MAPK9;MAPK1;ATF4;RPS6KA4;MAPK14;CHUK;PIK3CA;LIF;IL18R1;IKBKB;ATF2;IL1B;AKT1;EDN1;TNFRSF1B;PIK3CD;MAPK13;MAP3K5;VCAM1;VEGFC;NFKBIA;TAB2;BIRC2;CXCL1;CASP10;MAP2K3;AKT2;CXCL5;TNF;CREB3L4;CREB1;MAP2K7;CASP3;BCL3;NFKB1;PIK3R3;CXCL3;MAP3K8;MAPK3;CSF1;FADD;RIPK1;CCL20;MAP3K14;TRAF5;CREB3L2;CCL5;TRAF3;CASP7;CEBPB;LTA;IRF1;JUNB;CREB5;MAP2K6;MAP2K1;RPS6KA5;DNM1L;IL6;PIK3R2;JAG1;TRAF2;TNFRSF1A;PTGS2;MAP2K4;FOS;ICAM1;IFNB1;MLKL;BIRC3
1,prerank,Prion diseases,0.4919384028867355,2.300779989647762,0.0,0.002576402031141674,0.005,25/29,41.36%,C5;MAPK1;C8A;FYN;IL1B;C8B;EGR1;SOD1;PRKACG;HSPA1A;C6;PRKACB;C9;MAPK3;PRKACA;C1QC;C7;CCL5;NOTCH1;MAP2K1;BAX;IL6;NCAM1;C1QA;PRNP
2,prerank,AGE-RAGE signaling pathway in diabetic complications,0.3790066634173151,2.3006645018541487,0.0,0.001717601354094449,0.005,47/89,23.95%,JAK2;MMP2;TGFBR2;PLCG1;JUN;AKT3;CCL2;PLCG2;AGT;MAPK9;CYBB;PRKCE;MAPK1;F3;RAC1;MAPK14;SMAD3;PIK3CA;CDK4;STAT1;IL1B;AKT1;EDN1;EGR1;SMAD4;PIK3CD;MAPK13;PLCB1;PRKCZ;PRKCD;NOX1;TGFB2;VCAM1;VEGFC;COL4A3;THBD;AKT2;TGFBR1;STAT3;TNF;CASP3;AGER;NFKB1;PIK3R3;HRAS;MAPK3;PRKCA
3,prerank,Toll-like receptor signaling pathway,0.3627174530136313,2.2532647820156195,0.0,0.002576402031141674,0.01,62/98,34.24%,IFNA16;TLR8;JUN;AKT3;MAPK9;MAPK1;RAC1;MAPK14;IRAK4;CHUK;PIK3CA;IFNA1;TBK1;LBP;STAT1;TLR3;IKBKB;IFNA21;IL1B;AKT1;CD86;PIK3CD;MAPK13;TLR9;CD40;SPP1;IRF5;IRF7;NFKBIA;TAB2;TLR4;IRAK1;IL12A;MAP2K3;AKT2;CXCL9;TNF;TOLLIP;TLR2;MAP2K7;IFNA17;NFKB1;CXCL11;TICAM2;PIK3R3;MAP3K8;MAPK3;IFNAR2;IKBKE;FADD;RIPK1;IFNA8;CCL5;TRAF3;TLR6;CCL3;TLR1;TICAM1;IFNA2;MAP2K6;TLR5;MAP2K1
4,prerank,Proteoglycans in cancer,0.33591547698704616,2.2405424510970926,0.0,0.0022672337874046736,0.011,97/164,34.24%,MMP2;ACTB;TP53;FZD10;PLCG1;FZD7;FAS;PRKCG;AKT3;ARHGEF12;PLCG2;WNT9B;MAPK1;RAC1;MAPK14;TWIST1;IGF1R;PIK3CA;RPS6KB2;CTNNB1;RHOA;AKT1;HBEGF;RPS6KB1;PLAU;EIF4B;ITPR1;PIK3CD;FLNB;MAPK13;GPC1;MTOR;PLAUR;WNT7A;WNT10B;MET;PRKACG;GRB2;TIAM1;ERBB2;TIMP3;TGFB2;ITGA2;ROCK1;HIF1A;CAV1;TLR4;AKT2;PTPN6;SHH;STAT3;PRKACB;PDPK1;TNF;RPS6;PPP1CA;TLR2;EGFR;ERBB3;ACTG1;PXN;CAV3;CTTN;CASP3;WNT1;PIK3R3;HRAS;WNT9A;CAMK2G;MAPK3;PRKCA;ARAF;PRKACA;DROSHA;TWIST2;CD63;PAK1;SDC4;CDKN1A;SMO;ITGB3;MDM2;ERBB4;RDX;ITGB1;WNT5A;ITGB5;CDC42;ROCK2;CTSL;FZD5;NANOG;FN1;SRC;IGF2;CD44;MAP2K1
5,prerank,Pancreatic cancer,0.37711795158591327,2.224527807883829,0.0,0.0024046418957322287,0.014,38/71,24.12%,TP53;TGFBR2;GADD45B;AKT3;MAPK9;MAPK1;RAC1;SMAD3;CHUK;PIK3CA;RPS6KB2;CDK4;STAT1;IKBKB;AKT1;RB1;RPS6KB1;SMAD4;PIK3CD;CDK6;RAC3;MTOR;ERBB2;TGFB2;DDB2;E2F1;AKT2;TGFBR1;STAT3;EGFR;PLD1;NFKB1;RALGDS;PIK3R3;RALBP1;BRCA2;MAPK3;ARAF
6,prerank,Prostate cancer,0.36551276755746154,2.222562558762381,0.0,0.002061121624913339,0.014,70/89,49.10%,TP53;ZEB1;AKT3;LEF1;MAPK1;ATF4;CHUK;INS;IGF1R;PIK3CA;CTNNB1;PLAT;IKBKB;AKT1;RB1;PLAU;TCF7L1;PIK3CD;MTOR;GSTP1;GRB2;ERBB2;ERG;NFKBIA;EP300;E2F1;AKT2;GSK3B;PDPK1;CREB3L4;EGFR;CREB1;HSP90AA1;PTEN;CDK2;NFKB1;TCF7L2;HSP90AB1;PIK3R3;HRAS;HSP90B1;MAPK3;ARAF;AR;CREB3L2;CDKN1A;MDM2;PDGFRA;CREBBP;CREB5;MAP2K1;NKX3-1;ETV5;PIK3R2;BRAF;SOS2;FOXO1;BCL2;PDGFRB;CCND1;IL1R2;RAF1;CCNE1;PDGFD;CASP9;PIK3CB;CDKN1B;FGFR2;FGFR1;NRAS
7,prerank,Fluid shear stress and atherosclerosis,0.3438855371863358,2.210314100757776,0.0,0.0019323015233562557,0.015,83/122,41.63%,MMP2;ACTB;TP53;MEF2A;GSTO1;JUN;AKT3;CCL2;MAPK9;RAC1;KEAP1;MAPK14;IFNG;CHUK;SQSTM1;GSTM1;GSTT1;PIK3CA;CTNNB1;RHOA;PLAT;IKBKB;NCF2;BMPR1B;IL1B;AKT1;HMOX1;EDN1;PIK3CD;MAPK13;RAC3;GPC1;PRKCZ;MAP3K5;GSTP1;ASS1;CALM3;NOX1;VCAM1;CAV1;THBD;NFE2L2;PRKAA1;AKT2;TNF;MAP2K5;ACTG1;HSP90AA1;MAP2K7;CAV3;BMPR1A;CALM1;NFKB1;ARHGEF2;HSP90AB1;PIK3R3;HSP90B1;NCF1;PRKAA2;GSTA5;SDC4;ITGB3;GSTA1;TRPV4;CTSL;MEF2C;MAP2K6;SRC;TXN;ITGAV;NQO1;PIK3R2;GSTM3;TNFRSF1A;ACVR2A;BCL2;PECAM1;MAP2K4;IL1R1;ACVR1;FOS;IL1R2;ICAM1
8,prerank,Progesterone-mediated oocyte maturation,0.3856163243462201,2.2003074006512686,0.0,0.0018321081110340791,0.016,48/65,42.89%,AKT3;MAPK9;MAPK1;MAPK14;INS;PLK1;IGF1R;PIK3CA;AKT1;PIK3CD;MAPK13;PRKACG;ADCY9;GNAI3;CDC25A;STK10;AKT2;PRKACB;CCNA2;HSP90AA1;CDK2;HSP90AB1;PIK3R3;MAPK3;ARAF;PRKACA;ADCY6;BUB1;CCNA1;RPS6KA3;CDC25B;CDC25C;CCNB2;MAP2K1;GNAI1;ADCY3;ADCY7;CCNB1;PIK3R2;PGR;BRAF;GNAI2;ANAPC5;RPS6KA1;RPS6KA6;PKMYT1;MOS;RAF1
9,prerank,Insulin resistance,0.3540857922492401,2.159794492239919,0.0,0.0021641777061590065,0.021,63/92,42.18%,AKT3;AGT;MAPK9;PYGB;PRKCE;INS;PIK3CA;RPS6KB2;CPT1A;SLC2A1;PRKAG2;IKBKB;AKT1;RPS6KB1;PTPN1;PIK3CD;PRKCZ;MTOR;PRKCD;SLC27A3;PRKAG1;NFKBIA;TRIB3;PRKCQ;PRKAA1;PPARGC1A;AKT2;GSK3B;STAT3;PDPK1;TNF;PPP1CA;CREB3L4;CREB1;PTEN;NFKB1;PIK3R3;PCK1;G6PC2;G6PC;PPARA;PRKAA2;PRKAB1;PYGL;SLC2A2;CREB3L2;PRKAG3;PCK2;RPS6KA3;IRS1;CREB5;IL6;PIK3R2;ACACB;TNFRSF1A;FOXO1;NR1H3;OGT;PRKAB2;RPS6KA1;RPS6KA6;PTPRF;GFPT1
