,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pancreatic cancer,0.5366412809035859,2.6646323797267506,0.0,0.0,0.0,54/71,31.08%,TGFBR1;RALGDS;RAD51;SMAD3;RAF1;RAC1;TP53;CDKN1A;STAT1;RALA;KRAS;NFKB1;BRCA2;GADD45B;IKBKB;AKT1;RB1;PLD1;CDK4;RELA;PIK3CD;BAD;MAP2K1;SMAD4;PIK3R2;PIK3R1;MTOR;VEGFA;MAPK9;MAPK3;TGFA;BAX;ARAF;MAPK1;RALBP1;ERBB2;EGFR;IKBKG;CDKN2A;CASP9;BAK1;TGFB2;BCL2L1;BRAF;JAK1;STAT3;CCND1;RPS6KB1;TGFBR2;CDC42;RAC3;E2F1;AKT3;PIK3CA
1,prerank,VEGF signaling pathway,0.5375184399541479,2.5417320557589513,0.0,0.0,0.0,42/52,32.71%,RAF1;RAC1;PTK2;SRC;KRAS;HRAS;AKT1;PPP3R2;PPP3CB;PLA2G4A;PPP3R1;PIK3CD;PTGS2;MAPKAPK3;JMJD7-PLA2G4B;MAPKAPK2;BAD;MAP2K1;PXN;PIK3R2;PIK3R1;MAPK14;VEGFA;PPP3CA;PLCG1;MAPK3;MAPK1;KDR;CASP9;NRAS;PRKCA;HSPB1;PLCG2;CDC42;NOS3;RAC3;MAPK12;AKT3;PIK3CA;PRKCG;MAPK13;AKT2
2,prerank,Bladder cancer,0.568144578661017,2.537666013741544,0.0,0.0,0.0,30/39,30.81%,MDM2;MMP2;RAF1;TP53;CDKN1A;FGFR3;SRC;MYC;KRAS;HRAS;RB1;CDK4;HBEGF;MAP2K1;DAPK2;VEGFA;MAPK3;ARAF;MAPK1;DAPK1;ERBB2;EGFR;MMP1;CDKN2A;BRAF;NRAS;CCND1;E2F1;RPS6KA5;CDH1
3,prerank,Colorectal cancer,0.48954970900043343,2.4893315302106678,0.0,0.0,0.0,60/79,34.66%,TGFBR1;RALGDS;SMAD3;SOS1;RAF1;RAC1;TP53;CDKN1A;RALA;AXIN2;MYC;KRAS;APC;HRAS;CASP3;GADD45B;AKT1;RHOA;CTNNB1;TCF7L2;AXIN1;PIK3CD;JUN;BAD;MAP2K1;SMAD4;PIK3R2;PIK3R1;BCL2;MTOR;MAPK9;MAPK3;TGFA;BAX;ARAF;MAPK1;GRB2;EGFR;BCL2L11;FOS;CASP9;BAK1;MSH2;TGFB2;BRAF;MLH1;BBC3;NRAS;CCND1;RPS6KB1;TGFBR2;GSK3B;MSH6;RAC3;AKT3;PIK3CA;AKT2;CYCS;TCF7L1;TGFB3
4,prerank,Prostate cancer,0.4699533345841206,2.4160018073215803,0.0,0.0,0.0,63/89,33.60%,MDM2;CREB1;SOS1;RAF1;CDKN1B;NFKBIA;PTEN;CDK2;TP53;CDKN1A;KRAS;CREBBP;ZEB1;NFKB1;CREB3L2;HRAS;CCNE2;IKBKB;AKT1;RB1;CTNNB1;TCF7L2;RELA;PIK3CD;CCNE1;PLAT;PDGFRB;BAD;MAP2K1;PIK3R2;PIK3R1;PLAU;BCL2;MTOR;MAPK3;TGFA;ARAF;MAPK1;CREB3L1;ERBB2;GRB2;EGFR;GSTP1;IKBKG;CASP9;ATF4;CREB3;IGF1R;BRAF;NRAS;ETV5;CCND1;ERG;HSP90AA1;GSK3B;PDGFRA;E2F1;AKT3;PIK3CA;FOXO1;AKT2;HSP90AB1;TCF7L1
5,prerank,Chronic myeloid leukemia,0.4726400426489104,2.3696996605809857,0.0,0.0,0.0,49/71,31.08%,CRK;MDM2;TGFBR1;SMAD3;SOS1;RAF1;CDKN1B;NFKBIA;TP53;CDKN1A;MYC;KRAS;NFKB1;HRAS;GADD45B;IKBKB;AKT1;RB1;CDK4;STAT5A;RELA;PIK3CD;BAD;MAP2K1;SMAD4;PIK3R2;PIK3R1;MAPK3;BAX;ARAF;MAPK1;GRB2;HDAC1;IKBKG;CDKN2A;CTBP2;BAK1;CBL;TGFB2;BCR;BCL2L1;BRAF;NRAS;CCND1;TGFBR2;E2F1;RUNX1;AKT3;PIK3CA
6,prerank,Prolactin signaling pathway,0.48180650745566167,2.358585573659194,0.0,0.0,0.0,56/64,45.40%,JAK2;SOCS4;SOS1;RAF1;SLC2A2;STAT1;SRC;KRAS;NFKB1;CCND2;HRAS;AKT1;TH;PRL;STAT5A;RELA;PIK3CD;SOCS3;GCK;MAP2K1;SOCS5;PIK3R2;PIK3R1;MAPK14;MAPK9;MAPK3;MAPK1;ESR1;GRB2;CYP17A1;FOS;TNFRSF11A;NRAS;STAT3;CCND1;GSK3B;GALT;MAPK12;SOCS2;AKT3;PIK3CA;MAPK13;AKT2;CISH;ESR2;PIK3R3;SHC4;IRF1;PRLR;TNFSF11;MAPK11;FOXO3;SOCS1;SHC1;MAP2K2;INS
7,prerank,Endometrial cancer,0.49189302828019565,2.3466901008938414,0.0,0.0,0.0,42/53,36.37%,SOS1;RAF1;PTEN;TP53;CDKN1A;AXIN2;MYC;KRAS;APC;HRAS;GADD45B;AKT1;CTNNB1;TCF7L2;AXIN1;PIK3CD;BAD;MAP2K1;PIK3R2;ILK;PIK3R1;MAPK3;BAX;ARAF;MAPK1;ERBB2;GRB2;EGFR;CASP9;BAK1;BRAF;MLH1;NRAS;CCND1;GSK3B;CDH1;AKT3;PIK3CA;AKT2;TCF7L1;PIK3R3;PDPK1
8,prerank,Small cell lung cancer,0.4633028828593363,2.329875098146683,0.0,0.0,0.0,55/79,33.89%,RXRG;CDKN1B;RXRA;NFKBIA;PTEN;CDK2;TP53;CDKN1A;PTK2;TRAF2;MYC;NFKB1;CASP3;CCNE2;MAX;GADD45B;IKBKB;AKT1;RB1;CDK4;RELA;PIK3CD;PTGS2;CCNE1;PIK3R2;PIK3R1;ITGA3;BCL2;BAX;BIRC2;TRAF1;BIRC3;TRAF4;IKBKG;RARB;APAF1;CASP9;BAK1;XIAP;BCL2L1;CKS1B;ITGA6;SKP2;CCND1;E2F1;AKT3;PIK3CA;TRAF6;COL4A5;CDKN2B;AKT2;CYCS;ITGA2;TRAF3;FN1
9,prerank,Renal cell carcinoma,0.46895537278454297,2.2918716295240973,0.0,0.0,0.0,45/62,34.68%,CRK;ARNT;SOS1;RAF1;HIF1A;RAC1;CDKN1A;TFE3;EGLN3;KRAS;CREBBP;HRAS;AKT1;PRCC;EGLN1;PIK3CD;JUN;ETS1;BAD;MAP2K1;PIK3R2;PIK3R1;VEGFA;ARNT2;MAPK3;TGFA;ARAF;MAPK1;GRB2;PAK1;TGFB2;CUL2;BRAF;NRAS;RBX1;PAK4;CDC42;VHL;AKT3;PIK3CA;EPAS1;AKT2;MET;TGFB3;RAP1A
