,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,AGE-RAGE signaling pathway in diabetic complications,0.3663045691324127,2.7008564511285114,0.0,0.0,0.0,61/89,36.42%,JAK2;TGFB1;EDN1;JUN;PRKCA;CXCL8;VCAM1;PIM1;NOX1;PIK3CD;ICAM1;EGR1;NFKB1;CCL2;BCL2;COL1A2;MAPK3;NRAS;PIK3R1;IL6;AGER;MMP2;PRKCD;CCND1;AGT;CASP3;STAT1;RAC1;SMAD3;AKT3;FOXO1;STAT3;PLCG2;CDC42;SMAD4;AGTR1;STAT5B;COL4A5;CDK4;STAT5A;NFATC1;FN1;PLCG1;PIK3CA;MAPK13;MAPK9;VEGFC;PRKCE;SELE;MAPK1;COL4A4;HRAS;AKT2;VEGFA;PLCE1;THBD;TGFB2;TGFBR1;KRAS;SERPINE1;RELA
1,prerank,Prostate cancer,0.3473286833310648,2.61308822526443,0.0,0.0,0.0,63/89,40.73%,MDM2;RB1;ZEB1;PDGFRB;CREBBP;GSTP1;PTEN;LEF1;PIK3CD;CDKN1A;TP53;TCF7L1;NFKB1;PDGFD;BCL2;MAPK3;NRAS;HSP90AA1;PIK3R1;CTNNB1;MAP2K1;ERBB2;CCND1;AKT3;CHUK;FOXO1;ETV5;CREB3L4;BRAF;CREB3L2;INS;PIK3CA;GSK3B;NKX3-1;CASP9;E2F1;CREB1;FGFR2;TGFA;BAD;HSP90B1;ATF4;CDK2;MAPK1;HRAS;ARAF;AR;AKT2;EGFR;MMP9;CREB3L1;IKBKB;PLAT;KRAS;ERG;MTOR;RELA;CCNE1;PDPK1;CDKN1B;FGFR1;PLAU;HSP90AB1
2,prerank,Influenza A,0.30892373725066125,2.6016901909223615,0.0,0.0,0.0,102/145,43.91%,JAK2;IFNA8;JUN;PRKCA;NLRP3;CXCL8;IFNG;CREBBP;IL18;HLA-DOB;RAE1;PIK3CD;HLA-DRB5;ICAM1;NFKB1;CCL2;ADAR;IFNA21;TLR3;MAPK3;DDX58;FDPS;HLA-DMB;IL33;TNFRSF10A;PIK3R1;HSPA1B;TICAM1;VDAC1;IL6;MAP2K1;TLR7;IFNA2;FURIN;TNFRSF10B;STAT2;PRSS2;IFNA14;STAT1;IFNAR1;MYD88;EIF2AK4;AKT3;IFNA7;HLA-DPA1;HSPA1A;DDX39B;JAK1;TLR4;EIF2AK2;HLA-DPB1;IKBKE;ACTB;PIK3CA;GSK3B;CASP9;IL12B;MAPK13;OAS1;TNFSF10;SLC25A6;IFIH1;MAPK9;PLG;HLA-DRA;RNASEL;NXF1;MAP2K7;MAPK1;IFNB1;IFNA16;ATF2;IL12A;NFKBIB;TBK1;AKT2;FAS;IRAK4;HLA-DOA;IKBKB;HLA-DRB3;IFNGR1;EIF2AK3;IRF9;HLA-DQB1;MAP2K4;MAP2K6;RELA;IFNA4;PML;IFNA10;OAS3;PABPN1;CIITA;IL1B;MAP2K3;TNF;CXCL10;CYCS;CPSF4;NFKBIA;PRSS3
3,prerank,Pancreatic cancer,0.36107365906937183,2.5778618478140936,0.0,0.0,0.0,50/71,39.46%,RALA;TGFB1;RB1;RPS6KB1;PIK3CD;CDKN1A;TP53;NFKB1;MAPK3;PIK3R1;MAP2K1;ERBB2;CCND1;STAT1;RAC1;SMAD3;BCL2L1;AKT3;CHUK;STAT3;CDKN2A;JAK1;CDC42;SMAD4;BRCA2;CDK4;BRAF;PIK3CA;CASP9;E2F1;MAPK9;TGFA;BAD;MAPK1;ARAF;AKT2;PLD1;EGFR;IKBKB;VEGFA;TGFB2;TGFBR1;KRAS;GADD45B;MTOR;RELA;RAD51;RAC3;CDK6;SMAD2
4,prerank,Measles,0.3099317238194923,2.5304416399137604,0.0,0.0,0.0,94/126,47.30%,IFNA8;JUN;IL2RA;PIK3CD;TP53;NFKB1;CSNK2A1;ADAR;IFNA21;CSNK2B;BCL2;DDX58;TNFAIP3;PIK3R1;HSPA1B;RCHY1;IL6;TLR7;IFNA2;APAF1;CBLB;TRADD;STAT2;TLR2;CCND1;IFNA14;CASP3;STAT1;CCND2;IL2RB;JAK3;IFNAR1;MYD88;EIF2AK4;BCL2L1;CCND3;AKT3;CHUK;IFNA7;STAT3;HSPA1A;JAK1;FADD;TLR4;EIF2AK2;SLAMF1;IKBKE;STAT5B;CDK4;STAT5A;FOS;CSNK2A2;PIK3CA;GSK3B;CASP9;CD46;IL12B;OAS1;IFIH1;MAPK9;BAD;CDK2;IFNB1;IFNA16;IL12A;NFKBIB;TBK1;AKT2;FAS;IRAK4;MAP3K7;IKBKB;EIF2AK3;BID;IRF9;RELA;CD28;CCNE1;IFNA4;CDK6;CDKN1B;IFNA10;OAS3;IL1B;CD3E;IL2;CYCS;NFKBIA;BAX;CD3D;BAK1;BBC3;IKBKG;IFNAR2
5,prerank,MicroRNAs in cancer,0.30482661885422696,2.5032266389300077,0.0,0.0,0.0,83/129,39.27%,MDM2;HDAC4;ERBB3;ZEB1;PRKCA;PDGFRB;CREBBP;PAK4;PTEN;PIM1;HMOX1;CDKN1A;TP53;PRKCG;NFKB1;BCL2;BCL2L2;NRAS;BMPR2;BCL2L11;STMN1;MAP2K1;TIMP3;NOTCH1;IRS2;RHOA;ABCB1;DICER1;ABL1;ERBB2;CCND1;CASP3;SOX4;WNT3;CCND2;CDC25B;SLC7A1;MET;RPS6KA5;ATM;MAPK7;STAT3;CDKN2A;PLCG2;DDIT4;MDM4;BRCA1;ZEB2;PLCG1;PIK3CA;SLC45A3;DNMT1;E2F1;SHC4;HDAC1;CYP24A1;PRKCE;MAPK1;SOCS1;CDC25A;SIRT1;HRAS;CD44;CYP1B1;EGFR;MMP9;VIM;IKBKB;VEGFA;TPM1;TGFB2;APC;KRAS;SHC1;IRS1;CDC25C;MTOR;CCNE1;NOTCH2;CDK6;CDKN1B;FSCN1;DNMT3A
6,prerank,Kaposi sarcoma-associated herpesvirus infection,0.2841186973006836,2.4584941182097264,0.0,0.00045810929809172025,0.003,136/159,60.77%,JAK2;IFNA8;JUN;RB1;GNG12;CXCL8;CREBBP;IL6ST;PIK3CD;C3;ICAM1;CCR5;CDKN1A;TP53;NFKB1;IFNA21;CALM1;TLR3;HIF1A;GNG7;MAPK3;NRAS;PIK3R1;CTNNB1;TICAM1;HLA-A;IL6;MAP2K1;PPP3R2;IFNA2;FGF2;MICB;CCR3;TRADD;STAT2;CCND1;IFNA14;CASP3;STAT1;GNB2;RAC1;IFNAR1;HCK;PIK3C3;CXCL1;BECN1;AKT3;CHUK;IFNA7;STAT3;TRAF2;PLCG2;JAK1;FADD;EIF2AK2;IKBKE;CDK4;NFATC1;FOS;MAPKAPK2;PLCG1;PIK3CA;GSK3B;CASP9;MAPK13;E2F1;CREB1;MAPK9;CCR4;MAP2K7;MAPK1;IFNB1;IFNA16;HRAS;TBK1;AKT2;UBB;FAS;GNGT2;PIK3CG;PIK3R5;IKBKB;VEGFA;IFNGR1;BID;IRF9;CALML6;KRAS;MAP2K4;MAP2K6;MTOR;RELA;NFATC4;IFNA4;CDK6;IFNA10;CD200R1;CYCS;NFKBIA;BAX;PIK3R6;BAK1;NFATC3;IKBKG;IFNAR2;EP300;GNG4;GNB4;AKT1;GABARAPL1;GNB1;ITPR3;TNFRSF1A;ITPR1;CD86;IRF3;CASP8;SYK;TYK2;PTGS2;PIK3R3;MAPK11;IFNA1;RAF1;CALM3;IRF7;CXCL3;MAPK8;GNG11;MAP2K2;LYN;MAPK14;PPP3CA;PIK3CB;MYC;GNB5
7,prerank,Inflammatory bowel disease (IBD),0.3504424815127871,2.429341926565069,0.0,0.000668076059717092,0.005,49/63,46.13%,TGFB1;JUN;TBX21;IFNG;IL18;HLA-DOB;FOXP3;HLA-DRB5;IL13;NOD2;IL23A;NFKB1;HLA-DMB;IL6;TLR2;STAT1;GATA3;SMAD3;IL5;MAF;STAT3;HLA-DPA1;TLR4;STAT6;HLA-DPB1;IL4R;IL21R;NFATC1;IL12B;IL18R1;RORC;HLA-DRA;IL12A;TLR5;HLA-DOA;HLA-DRB3;IFNGR1;TGFB2;HLA-DQB1;RELA;IL12RB2;SMAD2;IL1B;IL10;TNF;IL2;IL21;HLA-DQA1;IL4
8,prerank,Hepatitis B,0.2825588057820769,2.4199199479984683,0.0,0.0008313835409812701,0.007,95/153,39.46%,JAK2;TGFB1;IFNA8;JUN;RB1;PRKCA;CXCL8;CREBBP;CASP10;HSPG2;PIK3CD;CDKN1A;TP53;PRKCG;NFKB1;CCNA1;IFNA21;BCL2;TLR3;MAPK3;DDX58;NRAS;PIK3R1;TICAM1;IL6;MAP2K1;IFNA2;APAF1;STAT2;TLR2;IFNA14;CASP3;STAT1;JAK3;IFNAR1;MYD88;SMAD3;CCNA2;AKT3;CHUK;IFNA7;STAT3;JAK1;FADD;TLR4;SMAD4;STAT6;IKBKE;CREB3L4;STAT5B;BRAF;STAT5A;NFATC1;FOS;CREB3L2;PIK3CA;CASP9;EGR2;MAPK13;E2F1;IFIH1;CREB1;MAPK9;BAD;ATF4;CDK2;MAP2K7;MAPK1;IFNB1;IFNA16;ATF2;HRAS;ARAF;TBK1;AKT2;FAS;IRAK4;MMP9;CREB3L1;TIRAP;MAP3K7;IKBKB;BID;TGFB2;TGFBR1;KRAS;MAP2K4;MAP2K6;RELA;CCNE1;NFATC4;BIRC5;IFNA4;IFNA10;SMAD2
9,prerank,p53 signaling pathway,0.35689645866879294,2.4155610487872448,0.0,0.0007482451868831431,0.007,44/56,46.78%,MDM2;PTEN;SIAH1;CDKN1A;TP53;BCL2;ZMAT3;RCHY1;APAF1;TNFRSF10B;PPM1D;PMAIP1;CCND1;CASP3;CCND2;CHEK2;BCL2L1;CCND3;ATM;CDKN2A;SESN1;MDM4;CDK4;CASP9;TSC2;CDK2;FAS;BID;SERPINE1;GADD45B;CD82;CCNE1;CDK1;CDK6;IGFBP3;TP53I3;CYCS;ATR;SERPINB5;CHEK1;BAX;SHISA5;BBC3;THBS1
