,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Renal cell carcinoma,0.6204318533721443,1.8843887368185723,0.0,0.002027890846570954,0.002,32/62,19.59%,HIF1A;PIK3R3;JUN;PAK1;ARAF;PIK3CA;BAD;PIK3CD;HRAS;RAF1;PIK3R1;VEGFA;MET;AKT1;SOS2;CREBBP;KRAS;BRAF;VHL;MAP2K1;MAPK3;PIK3CB;TGFB1;FH;CRKL;PRCC;RBX1;GRB2;ETS1;SLC2A1;SOS1;CUL2
1,prerank,Endometrial cancer,0.6172253237201853,1.8442644762056948,0.0,0.0015209181349282155,0.003,27/53,18.52%,PIK3R3;ARAF;PIK3CA;BAD;PIK3CD;HRAS;FOXO3;EGFR;RAF1;PIK3R1;ILK;ERBB2;AXIN2;AKT1;SOS2;KRAS;BRAF;BAX;MAP2K1;MAPK3;PIK3CB;TP53;GRB2;MYC;CTNNB1;EGF;SOS1
2,prerank,Colorectal cancer,0.5887389083822939,1.815998908670542,0.0,0.002027890846570954,0.006,41/79,20.41%,PIK3R3;SMAD2;JUN;MTOR;ARAF;PIK3CA;BAD;PIK3CD;HRAS;EGFR;MAPK9;RAF1;PIK3R1;RPS6KB1;AXIN2;AKT1;BCL2;SOS2;SMAD4;KRAS;BRAF;BAX;MAP2K1;RALB;MAPK3;PIK3CB;TGFB1;TGFBR2;CASP3;TP53;GRB2;MAPK8;PMAIP1;MYC;CTNNB1;EGF;SOS1;CYCS;FOS;RPS6KB2;TGFBR1
3,prerank,HIF-1 signaling pathway,0.5843142651805471,1.8098400819396003,0.0,0.0015209181349282155,0.006,46/89,22.40%,MKNK2;HIF1A;PIK3R3;MTOR;PIK3CA;EDN1;NFKB1;EIF4E;RELA;PIK3CD;PGK1;EGFR;PIK3R1;RPS6KB1;ERBB2;VEGFA;SERPINE1;AKT1;BCL2;IL6;CREBBP;IFNGR1;VHL;STAT3;PRKCA;IFNG;MAP2K1;MAPK3;PIK3CB;PDHA1;CAMK2B;HMOX1;EIF4EBP1;PLCG2;RBX1;SLC2A1;HK1;EGF;CDKN1B;CUL2;CAMK2G;RPS6KB2;PDHB;MKNK1;IGF1R;INSR
4,prerank,Pancreatic cancer,0.573796458114178,1.7567989592100044,0.0,0.005272516201084481,0.026,37/71,21.12%,PIK3R3;SMAD2;MTOR;ARAF;PIK3CA;BAD;NFKB1;RELA;PIK3CD;EGFR;MAPK9;RAF1;PIK3R1;RPS6KB1;ERBB2;VEGFA;RB1;CDK6;AKT1;SMAD4;KRAS;BRAF;STAT3;BAX;MAP2K1;RALB;MAPK3;PIK3CB;TGFB1;TGFBR2;TP53;MAPK8;IKBKG;EGF;RPS6KB2;TGFBR1;CHUK
5,prerank,Progesterone-mediated oocyte maturation,0.5776438563067524,1.7546206331547807,0.0,0.0043937635009037345,0.026,36/65,22.43%,PIK3R3;ARAF;PIK3CA;CDC25B;PIK3CD;MAPK9;RAF1;HSP90AB1;PRKACA;PIK3R1;RPS6KA1;ADCY6;PRKACB;PKMYT1;AKT1;GNAI3;KRAS;BRAF;PDE3B;MAP2K1;MAPK3;PIK3CB;GNAI2;CCNB2;ADCY3;PRKACG;CDC25A;MAPK11;CCNA2;MAPK8;MAPK13;CDK2;RPS6KA6;PGR;IGF1R;HSP90AA1
6,prerank,Fc epsilon RI signaling pathway,0.5759429933949982,1.7448783150322638,0.0,0.004345480385509187,0.03,27/59,18.52%,PIK3R3;LCP2;PIK3CA;PIK3CD;HRAS;FYN;MAPK9;SYK;RAF1;LAT;PIK3R1;INPP5D;AKT1;SOS2;MAP2K4;KRAS;PRKCA;MAP2K1;MAPK3;PIK3CB;MAP2K3;PLCG2;GRB2;MAPK11;MAPK8;MAPK13;SOS1
7,prerank,ErbB signaling pathway,0.564949067519615,1.7433897869726531,0.0,0.003802295337320539,0.03,40/79,21.65%,PIK3R3;JUN;MTOR;PAK1;ARAF;PIK3CA;BAD;PIK3CD;HRAS;EGFR;MAPK9;RAF1;PIK3R1;RPS6KB1;CBLB;ERBB2;AKT1;SOS2;MAP2K4;KRAS;BRAF;PRKCA;MAP2K1;MAPK3;PIK3CB;CAMK2B;PTK2;EIF4EBP1;CRKL;PLCG2;GRB2;ABL1;MAPK8;MYC;EGF;SOS1;CDKN1B;CAMK2G;RPS6KB2;SHC1
8,prerank,Neurotrophin signaling pathway,0.5532622550109353,1.733709189467097,0.0,0.004168442295729184,0.037,51/103,21.65%,NFKBIB;PIK3R3;NGFR;JUN;CALM2;PIK3CA;BAD;NFKB1;RELA;PIK3CD;HRAS;FOXO3;MAPK9;PSEN1;RAF1;PIK3R1;RPS6KA1;MAPKAPK2;MAGED1;AKT1;BCL2;IRAK2;SOS2;PRKCD;MAPK7;KRAS;BRAF;BAX;MAP2K1;MAPK3;PIK3CB;SORT1;CAMK2B;FRS2;TP53;CRKL;IRS1;PLCG2;SH2B3;TRAF6;GRB2;NFKBIE;MAPK11;ABL1;MAPK8;MAPK13;SOS1;CAMK2G;RPS6KA6;IRAK4;SHC1
9,prerank,Insulin signaling pathway,0.5498496290384894,1.7262049575417149,0.0,0.0044613598624560985,0.041,56/111,22.40%,MKNK2;PIK3R3;MTOR;PCK2;CALM2;ARAF;PIK3CA;BAD;SOCS2;EIF4E;GCK;PIK3CD;HRAS;MAPK9;RHEB;RAF1;PRKACA;PIK3R1;RPS6KB1;CBLB;PRKACB;PRKAA1;SOCS1;PRKAR1A;AKT1;SOS2;SOCS4;KRAS;BRAF;PDE3B;MAP2K1;PHKG2;MAPK3;PIK3CB;G6PC2;RPTOR;PYGL;PHKG1;EIF4EBP1;PRKACG;CRKL;IRS1;PPP1CC;GRB2;PHKA1;MAPK8;HK1;PRKAG1;SOS1;PRKAB1;PHKB;RPS6KB2;PRKAR2B;MKNK1;SHC1;INSR
