,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pancreatic cancer,0.3959476974685766,2.200484593226538,0.0,0.010210850332784283,0.01,45/71,32.29%,BRCA2;TGFBR2;AKT1;DDB2;TGFB1;TP53;IKBKG;SMAD3;NFKB1;BAX;BCL2L1;RAD51;RAF1;RAC1;PIK3CD;BRAF;ERBB2;RPS6KB1;PIK3CA;BAD;CASP9;PIK3R3;MAPK9;E2F1;CDKN1A;CCND1;MAPK3;RALB;ARAF;AKT3;STAT3;RPS6KB2;EGFR;RB1;CDK6;PLD1;STAT1;VEGFA;CDC42;CDK4;SMAD2;MAP2K1;TGFBR1;PIK3CB;PIK3R1
1,prerank,p53 signaling pathway,0.4037872495248744,2.1810214067441116,0.0,0.006637052716309784,0.013,43/56,41.97%,PMAIP1;CCND2;DDB2;TP53;CASP8;BAX;BCL2L1;MDM4;CHEK1;APAF1;CASP9;SHISA5;CCND3;CCNG1;RRM2B;FAS;SIAH1;CDKN1A;CCND1;CDK1;BCL2;CYCS;SERPINE1;CCNE2;ZMAT3;CCNB1;ATM;CDK6;CDK4;CASP3;CDK2;PPM1D;CD82;BID;IGFBP3;RRM2;RCHY1;PTEN;CHEK2;MDM2;TP53I3;CCNB2;SERPINB5
2,prerank,Endometrial cancer,0.4108243068558222,2.174175107512327,0.0,0.004424701810873189,0.013,47/53,52.15%,SOS1;AKT1;DDB2;TP53;GRB2;BAX;RAF1;PIK3CD;BRAF;ERBB2;PIK3CA;BAD;CDH1;CASP9;PIK3R3;ILK;CDKN1A;CCND1;MAPK3;ARAF;AKT3;HRAS;PDPK1;NRAS;EGFR;AXIN1;MAP2K1;CTNNB1;PIK3CB;PIK3R1;SOS2;MLH1;PTEN;AKT2;MYC;CTNNA1;GSK3B;LEF1;APC;AXIN2;BAK1;FOXO3;KRAS;GADD45A;MAPK1;TCF7L2;GADD45B
3,prerank,"Parathyroid hormone synthesis, secretion and action",0.3707753657166117,2.139009352642367,0.0,0.004850153908072535,0.019,54/84,37.73%,ITPR1;GNAI3;PDE4B;PDE4D;CASR;TNFSF11;TRPV5;RAF1;ADCY5;BRAF;PRKACB;GNA12;CREB5;AKAP13;LRP6;ADCY7;ADCY6;GNA13;ADCY9;CDKN1A;MEF2A;RXRA;ATF4;GNAI2;EGR1;MAPK3;ADCY3;ARAF;CREB3L2;BCL2;CYP24A1;VDR;RXRG;PRKCB;PTHLH;EGFR;ATF2;PLD1;GNAS;ITPR3;MMP13;GNA11;PLCB3;MMP17;CREB3;MAP2K1;MEF2D;RHOA;ARRB1;PRKCA;FGFR1;CREB1;PRKACA;JUND
4,prerank,Alcoholism,0.3541256688637644,2.1237124710733895,0.0,0.0049012081597364565,0.024,74/103,46.66%,SLC29A1;DRD2;HDAC8;HDAC7;SOS1;GNAI3;GNG12;HDAC6;GRB2;RAF1;GRIN3A;GNB5;ADCY5;HIST1H2BK;SLC18A2;HAT1;BRAF;PKIA;HIST1H2AG;CREB5;TH;HDAC1;SHC1;HDAC10;DDC;GNG4;DRD1;ATF4;GNAI2;FOSB;GNB4;MAOA;MAPK3;ARAF;CREB3L2;PPP1CA;HRAS;SLC6A3;NRAS;MAOB;HIST1H4E;GNG7;ATF2;HIST1H2BD;HIST1H3G;ADORA2A;GNAS;GNGT2;CREB3;HDAC9;HIST1H2AH;MAP2K1;HIST1H2BJ;SOS2;HDAC11;CAMKK1;HIST1H2AL;GRIN2A;CALM1;CREB1;PRKACA;HDAC3;CAMKK2;CREB3L4;HIST1H4I;ADORA2B;SHC4;PPP1CC;GNAI1;GNG5;HIST2H2BE;HDAC4;KRAS;CALM2
5,prerank,Relaxin signaling pathway,0.35349189916018053,2.119353064459616,0.0,0.004254520971993451,0.025,77/103,46.81%,TGFBR2;SOS1;AKT1;TGFB1;GNAI3;GNG12;GRB2;SMAD3;NFKB1;MAPK11;RAF1;GNB5;ADCY5;MAPK12;PIK3CD;NFKBIA;PRKACB;GNA15;PIK3CA;CREB5;EDN1;ADCY7;SHC1;NOS2;ADCY6;PIK3R3;MAPK9;ADCY9;GNG4;ATF4;GNAI2;RXFP4;GNB4;MAPK3;ADCY3;CREB3L2;AKT3;HRAS;NRAS;GNG7;EGFR;ATF2;VEGFA;GNAS;MMP13;GNGT2;PLCB3;CREB3;SMAD2;MAP2K1;TGFBR1;PIK3CB;PIK3R1;MAP2K4;MAPK13;VEGFB;SOS2;ARRB1;PRKCA;MMP1;CREB1;PRKACA;RXFP1;AKT2;CREB3L4;COL4A5;COL1A2;PRKCZ;SHC4;MAPK8;COL4A4;GNAI1;FOS;GNG5;KRAS;ACTA2;RELA
6,prerank,Central carbon metabolism in cancer,0.38412885979264066,2.1079297907049312,0.0,0.0037926015521770194,0.026,44/60,41.49%,SIRT3;PDK1;HIF1A;AKT1;TP53;RAF1;PDGFRA;FGFR3;PIK3CD;GCK;ERBB2;IDH1;PIK3CA;PIK3R3;SLC7A5;MAPK3;NTRK1;PDHA1;SIRT6;AKT3;HRAS;NRAS;HK1;PFKP;G6PD;EGFR;RET;SLC1A5;HK3;MAP2K1;MET;PIK3CB;PFKM;PIK3R1;PTEN;PDGFRB;FGFR1;LDHA;TIGAR;SLC16A3;AKT2;NTRK3;MYC;FGFR2
7,prerank,Neurotrophin signaling pathway,0.3548701612224828,2.106618350951991,0.0,0.003318526358154892,0.026,77/103,47.06%,MAP3K1;IRAK4;RPS6KA6;SOS1;AKT1;TP53;GRB2;NFKB1;NFKBIE;MAPK11;BAX;RAF1;ARHGDIB;MAPK12;RAC1;PIK3CD;NFKBIA;BRAF;IRS1;RIPK2;PIK3CA;BAD;SHC1;ABL1;PIK3R3;RPS6KA2;MAPK9;CAMK2A;MAPKAPK2;RPS6KA1;ATF4;NFKBIB;CAMK2G;MAPK3;NTRK1;PLCG2;BCL2;AKT3;HRAS;RPS6KA3;PRKCD;NGFR;CAMK2D;PDPK1;IRAK1;NRAS;MATK;CRK;PSEN2;NGF;CDC42;MAGED1;MAP2K1;RHOA;PIK3CB;MAPK7;PIK3R1;MAPK13;SOS2;TRAF6;FRS2;CALM1;CRKL;AKT2;NTRK3;GSK3B;SHC4;FOXO3;MAPK8;IRAK2;ZNF274;KRAS;CALM2;PRDM4;RELA;RAP1A;MAP3K5
8,prerank,Prolactin signaling pathway,0.3767082964891561,2.095698020211609,0.0,0.0031767089924217766,0.028,49/64,46.81%,SOS1;AKT1;CCND2;GRB2;LHCGR;TNFSF11;NFKB1;MAPK11;RAF1;SOCS1;MAPK12;PIK3CD;SOCS2;GCK;INS;PIK3CA;TH;SHC1;PIK3R3;MAPK9;SOCS4;CCND1;MAPK3;AKT3;HRAS;STAT3;JAK2;GALT;CISH;NRAS;STAT1;ESR1;MAP2K1;ESR2;PIK3CB;PIK3R1;MAPK13;SOS2;IRF1;PRL;AKT2;CYP17A1;GSK3B;SHC4;FOXO3;MAPK8;FOS;KRAS;RELA
9,prerank,Chronic myeloid leukemia,0.37066219467536066,2.086824732826892,0.0,0.003165363603163128,0.03,58/71,52.15%,TGFBR2;SOS1;AKT1;DDB2;TGFB1;TP53;IKBKG;GRB2;SMAD3;NFKB1;BAX;BCL2L1;RAF1;PIK3CD;NFKBIA;BRAF;PIK3CA;BAD;HDAC1;SHC1;ABL1;CTBP2;PIK3R3;E2F1;CDKN1A;CCND1;MAPK3;ARAF;AKT3;HRAS;NRAS;RB1;CDK6;CRK;CDK4;CDKN1B;MAP2K1;TGFBR1;PIK3CB;PIK3R1;SOS2;CHUK;CRKL;AKT2;MDM2;MYC;TGFB3;SHC4;MECOM;BAK1;KRAS;RELA;GADD45A;CBL;MAPK1;RUNX1;SMAD4;GADD45B
