,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Toll-like receptor signaling pathway,0.3583204015987732,2.5393046464424107,0.0,0.0021099239580325345,0.002,84/98,53.66%,RAC1;IFNA16;CD86;MAPK9;IFNAR2;IRAK4;STAT1;AKT3;TBK1;TLR9;IKBKB;TLR4;NFKB1;CXCL11;LBP;CD40;RIPK1;IL12A;NFKBIA;CD80;MAPK14;IRF7;IFNA1;TNF;TLR3;CHUK;MAPK13;MAP3K8;IL6;SPP1;PIK3R3;IRF5;TLR8;MAPK1;FOS;IKBKG;IKBKE;TOLLIP;PIK3CD;MAPK3;CCL5;IFNA21;IFNA8;MAP2K3;CXCL9;MAP2K6;TIRAP;FADD;TLR5;IFNB1;IL1B;PIK3CA;TRAF6;TICAM2;TLR7;IFNA14;MAPK11;TLR2;IFNA10;IFNAR1;CASP8;AKT1;TRAF3;MAP2K4;JUN;RELA;TLR6;CCL3;PIK3R2;CD14;CTSK;IFNA2;IRAK1;MAP2K7;PIK3R1;TICAM1;TLR1;TAB2;IFNA17;MAP2K1;CXCL10;MAP2K2;AKT2;IL12B
1,prerank,TNF signaling pathway,0.3491040880676166,2.4827213754607453,0.0,0.0021099239580325345,0.004,87/104,53.27%,RPS6KA4;TRADD;VEGFC;CASP10;CX3CL1;MAPK9;ATF4;IL15;CCL2;AKT3;PTGS2;IKBKB;NFKB1;VCAM1;ATF2;RIPK1;NFKBIA;MAPK14;TNF;TNFAIP3;CHUK;IRF1;MAPK13;IL18R1;MAP3K8;CFLAR;IL6;LTA;PIK3R3;MAPK1;EDN1;FOS;IKBKG;FAS;RPS6KA5;LIF;PIK3CD;MAPK3;CCL5;CXCL5;BCL3;MAP2K3;MAP2K6;CREB1;TNFRSF1B;FADD;MAP3K5;TNFRSF1A;IFNB1;IL1B;DNM1L;PIK3CA;CREB3L2;MLKL;NOD2;MAPK11;CCL20;CEBPB;CASP3;CASP8;MMP14;CREB5;AKT1;TRAF3;TRAF2;BIRC2;MAP2K4;JUNB;JUN;BIRC3;CXCL1;CSF1;RELA;CASP7;PIK3R2;CXCL3;ICAM1;SELE;MAP2K7;MAP3K14;PIK3R1;CREB3L4;TRAF5;TAB2;MAP2K1;CXCL10;AKT2
2,prerank,Shigellosis,0.4113528857759595,2.4777583217126042,0.0,0.0014066159720216894,0.004,39/48,44.61%,CRK;ACTB;RAC1;NOD1;MAPK9;IKBKB;NFKB1;ARPC4;RIPK2;NFKBIA;MAPK14;ROCK1;ATG5;CHUK;MAPK13;CTTN;CDC42;MAPK1;IKBKG;MAPK3;ABL1;FBXW11;U2AF1;ARPC3;ROCK2;ELMO1;NOD2;MAPK11;CD44;ARPC1A;HCLS1;NFKBIB;PFN2;ARPC2;ARPC1B;RELA;ITGB1;ACTG1;SRC
3,prerank,Epstein-Barr virus infection,0.31184869566769857,2.460759446471907,0.0,0.0010549619790162672,0.004,131/174,49.57%,TP53;TRADD;RAC1;IFNA16;JAK3;HLA-A;MAPK9;CCNA2;IFNAR2;IRAK4;STAT1;AKT3;TBK1;HLA-DMB;OAS1;IKBKB;NFKB1;CDK6;CDK4;CD40;EIF2AK2;RIPK1;MDM2;CALR;APAF1;NFKBIA;DDX58;LYN;MAPK14;BID;IRF7;IFNA1;TNF;TNFAIP3;CHUK;MAPK13;PLCG2;ENTPD1;IL6;CD3D;PIK3R3;RUNX3;ENTPD3;TAP1;TYK2;CDKN1A;IKBKG;IKBKE;GADD45B;FAS;HLA-DRB1;VIM;CYCS;PIK3CD;RB1;IFNA21;IFNA8;CASP9;HDAC1;STAT3;MAP2K3;HES1;MAP2K6;CD3G;HLA-DMA;FADD;IFNB1;NFKB2;SYK;B2M;E2F1;PIK3CA;CCND2;CCND1;TRAF6;IFNA14;PSMC5;MAPK11;ITGAL;TLR2;IFNA10;CD44;ISG15;IFNAR1;RBPJ;BAX;CCNA1;BCL2L11;CASP3;CASP8;SIN3A;NFKBIB;AKT1;BCL2;SNW1;STAT2;DDB2;TRAF3;IRF9;BLNK;HLA-DQA1;HLA-DRB3;TRAF2;BTK;MAP2K4;JUN;FCER2;HLA-DQA2;HLA-DRA;CR2;CD19;RELA;CDK2;PIK3R2;CCNE1;SAP30;NEDD4;HLA-DQB1;HLA-DPA1;IFNA2;ICAM1;SKP2;CCND3;USP7;IRAK1;GADD45A;MAP2K7;PSMD2;MAP3K14;CD247;PIK3R1
4,prerank,Measles,0.3211939515081926,2.384676881361456,0.0,0.0008439695832130138,0.004,80/126,37.35%,TP53;TRADD;IFNA16;JAK3;MAPK9;IFNAR2;IRAK4;STAT1;AKT3;TBK1;IFIH1;OAS1;TLR9;IKBKB;TLR4;NFKB1;CDK6;CDK4;CSNK2A2;IL2RA;EIF2AK2;IL12A;CSNK2B;APAF1;NFKBIA;DDX58;MX1;BID;IRF7;IFNA1;TNFAIP3;CHUK;BCL2L1;CD46;IL6;CD3D;HSPA2;GSK3B;PIK3R3;TYK2;STAT5A;FOS;IKBKG;IKBKE;FAS;CYCS;HSPA1A;PIK3CD;IFNA21;IFNA8;CASP9;STAT3;CD3G;SLAMF1;FADD;IFNB1;IL1B;PIK3CA;CBLB;CSNK2A1;CCND2;HSPA1B;CCND1;TRAF6;EIF2S1;TLR7;IFNA14;TLR2;IFNA10;IFNAR1;BAX;CASP3;CASP8;NFKBIB;CD28;AKT1;BCL2;STAT2;TRAF3;IRF9
5,prerank,Necroptosis,0.32089841888913123,2.3790518796588658,0.0,0.0007033079860108447,0.004,76/121,38.39%,TRADD;IFNA16;JAK3;SLC25A4;CYBB;MAPK9;IFNAR2;STAT1;CAMK2G;STAT6;FTH1;TLR4;H2AFV;EIF2AK2;HIST1H2AG;RIPK1;JAK2;CYLD;IFNGR1;GLUD1;PLA2G4A;BID;PARP2;IFNA1;TNF;TLR3;TNFAIP3;PARP1;HSP90AA1;PYGB;CFLAR;SLC25A6;HMGB1;CHMP1A;SHARPIN;AIFM1;TYK2;STAT5A;GLUL;VDAC1;HIST1H2AC;STAT4;PYGL;IFNG;FAS;IFNA21;IFNA8;STAT3;NLRP3;FADD;TNFRSF1A;IFNB1;IL1B;DNM1L;IL33;MLKL;HIST1H2AH;HSP90AB1;TICAM2;IFNA14;IFNA10;IFNAR1;TRPM7;BAX;SQSTM1;CASP8;VPS4A;CAMK2D;BCL2;ALOX15;ZBP1;PARP4;STAT2;IRF9;TRAF2;BIRC2
6,prerank,PI3K-Akt signaling pathway,0.28305108822463887,2.3544728503586567,0.0,0.000602835416580724,0.004,198/266,52.00%,TP53;F2R;VEGFC;MLST8;ITGA3;TSC2;RAC1;GH1;IL4R;IFNA16;JAK3;INS;NTRK1;IFNAR2;ATF4;RXRA;RHEB;AKT3;PKN1;MTOR;OSMR;IKBKB;MCL1;TLR4;NFKB1;STK11;PIK3CG;CDK6;ATF2;CDK4;LPAR2;IL2RA;JAK2;EPOR;MDM2;CSF3;GNG12;CDC37;PRKAA2;LPAR1;PDPK1;IFNA1;CHUK;THBS3;HSP90AA1;MET;G6PC2;ERBB2;HSP90B1;PTEN;RPS6KB2;PPP2R5B;CSF1R;BCL2L1;GNGT2;IL6;SPP1;DDIT4;ITGA1;IL6R;PPP2R2A;GSK3B;PIK3R3;LAMB2;PRKCA;MAPK1;IGF1R;CDKN1A;PRKAA1;FGFR2;IKBKG;IGF2;GNG4;PDGFD;PGF;PPP2R1A;PIK3CD;MYB;MAPK3;IFNA21;IFNA8;CASP9;ITGB7;CHRM1;ITGAV;FGFR3;GHR;GNG11;PDGFRB;CREB1;GNB2;NGF;VEGFB;TEK;IFNB1;SYK;ITGB3;RPS6;FGF1;PIK3R6;PIK3CA;CREB3L2;PKN2;PIK3R5;PCK1;CCND2;CCND1;PKN3;PRLR;RAF1;GNB5;HSP90AB1;PHLPP1;EPO;PCK2;ITGA4;G6PC;IFNA14;ITGB5;TSC1;COL4A3;TLR2;IFNA10;IRS1;RPS6KB1;ITGA2;EIF4B;EPHA2;IFNAR1;EIF4EBP1;HRAS;LPAR6;BCL2L11;EGFR;PTK2;PPP2R3C;CSF3R;CREB5;IL7R;EIF4E;BRCA1;AKT1;BCL2;ITGB4;COL4A5;YWHAH;FGFR4;NR4A1;NTRK2;OSM;ITGA8;ERBB4;GNG8;C8ORF44-SGK3;ERBB3;CSF1;CD19;RELA;SOS2;GRB2;SGK3;LPAR5;CDK2;ITGA6;ITGB1;PIK3R2;IL3RA;NRAS;FGF9;GNB1;CCNE1;FGFR1;IFNA2;BDNF;CCND3;KITLG;FOXO3;PPP2CB;PPP2CA;VEGFA;IL4;FLT1;PDGFRA;LAMB3;IL7;PPP2R2D;PIK3R1;CREB3L4;GNB4;PRL;GNG7;RPTOR;SGK2;IFNA17;MAP2K1;KIT;RBL2;FN1
7,prerank,Kaposi sarcoma-associated herpesvirus infection,0.29852419368249544,2.3130968660848854,0.0,0.0010549619790162672,0.008,102/159,40.36%,TP53;TRADD;RAC1;IFNA16;CD86;HLA-A;MAPK9;IFNAR2;CALM3;STAT1;AKT3;TBK1;BECN1;PTGS2;MTOR;ITPR1;IKBKB;CALM1;NFKB1;PIK3CG;CDK6;CDK4;EIF2AK2;JAK2;HIF1A;NFKBIA;GNG12;IFNGR1;PLCG1;CCR4;LYN;MAPK14;CCR5;NFATC3;CTNNB1;BID;IRF7;IFNA1;TLR3;CHUK;MAPK13;NFATC4;CD200R1;PLCG2;GNGT2;IL6;GSK3B;PIK3R3;MAPKAPK2;TYK2;MAPK1;FOS;CDKN1A;IKBKG;GNG4;IKBKE;FAS;CYCS;PIK3CD;MAPK3;PPP3CC;RB1;IFNA21;IFNA8;CASP9;STAT3;EP300;GNG11;MAP2K6;CREB1;GNB2;FADD;TNFRSF1A;IFNB1;SYK;PIK3R6;E2F1;PIK3CA;PIK3R5;CCND1;RAF1;GNB5;IFNA14;MAPK11;IFNA10;IFNAR1;HRAS;BAX;CASP3;CASP8;AKT1;PIK3C3;STAT2;TRAF3;IRF9;TRAF2;MAP2K4;JUN;NFATC1;GNG8;PPP3CA;CXCL1
8,prerank,Viral myocarditis,0.3991716082330694,2.3062784727675707,0.0,0.000937743981347793,0.008,37/45,46.09%,ACTB;RAC1;CD86;HLA-A;DAG1;HLA-DMB;CAV1;CD40;CD80;BID;SGCB;FYN;ITGB2;EIF4G1;HLA-DRB1;CYCS;CASP9;RAC3;PRF1;ABL1;HLA-DMA;CCND1;CD55;ITGAL;CD40LG;CASP3;CASP8;CD28;HLA-DQA1;HLA-DRB3;CXADR;HLA-DQA2;HLA-DRA;ACTG1;HLA-DQB1;HLA-DPA1;ICAM1
9,prerank,Human cytomegalovirus infection,0.2838134178879683,2.2804907794806457,0.0,0.0013714505727211474,0.013,111/197,34.41%,TP53;TRADD;CRK;TSC2;RAC1;IFNA16;CX3CL1;HLA-A;CALM3;ATF4;CCL2;ADCY9;RHEB;AKT3;TBK1;PTGS2;MTOR;ITPR1;IKBKB;CALM1;NFKB1;CDK6;ATF2;CDK4;RIPK1;MDM2;CALR;NFKBIA;GNG12;CXCR2;PTGER4;MAPK14;CCR5;NFATC3;CTNNB1;BID;IFNA1;ROCK1;TMEM173;TNF;CHUK;MAPK13;NFATC4;RPS6KB2;CXCR4;PRKACB;GNGT2;IL6;GNAQ;IL6R;GSK3B;PIK3R3;RHOA;TAP1;PRKCA;MAPK1;CDKN1A;IKBKG;GNG4;PXN;FAS;CYCS;GNA13;PIK3CD;MAPK3;PPP3CC;CCL5;RB1;IFNA21;IFNA8;CASP9;STAT3;PLCB1;ITGAV;RAC3;GNG11;MAP2K6;CREB1;GNB2;FADD;TNFRSF1A;IFNB1;IL1B;ITGB3;B2M;E2F1;PIK3CA;CREB3L2;ARHGEF12;ROCK2;CCND1;ADCY7;RAF1;GNB5;IFNA14;GNAI3;TSC1;MAPK11;IFNA10;RPS6KB1;PLCB3;EIF4EBP1;GNAI1;HRAS;BAX;EGFR;PTK2;CASP3;PRKACA;CASP8;CREB5
