,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,FoxO signaling pathway,0.42890117705556036,2.6697736604638367,0.0,0.0,0.0,72/119,26.16%,PIK3R1;STK11;CHUK;ARAF;IL7R;GADD45A;EGFR;SGK3;PRKAG2;PRKAG1;HRAS;FOXO3;CCND1;PIK3CD;SGK1;MDM2;PRKAA1;BRAF;CDK2;EGF;MAPK3;C8ORF44-SGK3;CAT;SETD7;MAPK9;MAP2K1;MAPK12;BCL6;IKBKB;AKT1;IRS1;USP7;ATM;PCK2;IL10;CCND2;GRB2;SMAD3;AKT2;TGFB1;G6PC;MAPK14;CSNK1E;IGF1R;FOXO4;TGFBR2;HOMER2;INSR;NLK;TGFB2;S1PR4;AKT3;PIK3CA;IRS2;PLK4;PIK3CB;CCNB1;MAPK13;SKP2;BCL2L11;KRAS;MAPK8;NRAS;GRM1;STAT3;G6PC2;IL6;PCK1;PRKAG3;SOS2;CDKN1A;PRKAB1
1,prerank,Regulation of lipolysis in adipocytes,0.5109215860180226,2.6516852964498376,0.0,0.0,0.0,28/43,21.78%,PIK3R1;PRKACB;NPY1R;GNAI1;PIK3CD;PTGS2;GNAS;AKT1;IRS1;NPR1;PRKACA;AKT2;CGA;INSR;PRKACG;AKT3;PIK3CA;PRKG2;IRS2;PIK3CB;FABP4;PRKG1;ADRB3;MGLL;ADCY3;PDE3B;GNAI3;ADCY6
2,prerank,Chronic myeloid leukemia,0.4524584349870126,2.6251431888646453,0.0,0.0,0.0,48/71,30.80%,PIK3R1;TP53;CHUK;ARAF;GADD45A;HDAC1;HRAS;CCND1;PIK3CD;CDK6;MDM2;BRAF;CRKL;MAPK3;MECOM;MAP2K1;RB1;BAD;IKBKB;BAX;AKT1;ABL1;CTBP2;SHC1;GRB2;STAT5A;SMAD3;AKT2;TGFB1;RELA;RUNX1;TGFBR2;TGFB2;AKT3;PIK3CA;PIK3CB;KRAS;NRAS;BCL2L1;SOS2;CTBP1;CDKN1A;CDK4;TGFBR1;GADD45B;BCR;SMAD4;NFKB1
3,prerank,Prolactin signaling pathway,0.45068361204973173,2.586410341115509,0.0,0.0,0.0,40/64,26.63%,PIK3R1;PRLR;IRF1;JAK2;SOCS2;ESR2;SOCS5;HRAS;SOCS1;FOXO3;CCND1;PIK3CD;MAPK3;MAPK9;MAP2K1;ESR1;MAPK12;AKT1;TNFSF11;CCND2;SHC1;GRB2;STAT5A;AKT2;CGA;RELA;MAPK14;CISH;AKT3;PIK3CA;PIK3CB;MAPK13;KRAS;MAPK8;NRAS;FOS;STAT3;SOS2;TH;GCK
4,prerank,Pancreatic cancer,0.4463876876763116,2.5720288906333626,0.0,0.0,0.0,52/71,36.19%,PIK3R1;TP53;CHUK;RAC1;ARAF;GADD45A;EGFR;RALB;RPS6KB1;CCND1;PIK3CD;CDK6;BRAF;EGF;MAPK3;ERBB2;MAPK9;MAP2K1;RB1;BAD;IKBKB;BAX;AKT1;PLD1;SMAD3;AKT2;TGFB1;RELA;MTOR;TGFBR2;TGFB2;AKT3;PIK3CA;CASP9;PIK3CB;KRAS;MAPK8;BCL2L1;STAT3;CDKN1A;CDK4;SMAD2;TGFBR1;JAK1;GADD45B;SMAD4;NFKB1;CDC42;CDKN2A;STAT1;TGFB3;RAD51
5,prerank,Toxoplasmosis,0.39938820696312627,2.443441628730365,0.0,0.0,0.0,78/99,44.50%,CHUK;JAK2;LAMB1;GNAI1;HLA-DPA1;TNFRSF1A;SOCS1;CASP3;MAP2K3;MAPK3;MAPK9;CASP8;HSPA2;MAPK12;BCL2;BAD;IKBKB;AKT1;NFKBIB;IL10;MAP3K7;ITGB1;AKT2;TGFB1;IL12B;ITGA6;RELA;MAPK14;LAMB3;XIAP;HLA-DRA;IFNG;HLA-DMA;TGFB2;AKT3;TLR4;HLA-DRB1;CASP9;MAPK13;IRAK1;CD40LG;GNAI3;MAPK8;BCL2L1;IFNGR2;STAT3;TYK2;LAMA3;ALOX5;HLA-DOB;PIK3R6;HLA-DPB1;PIK3CG;TRAF6;IRAK4;IFNGR1;JAK1;MAPK11;NFKB1;BIRC3;HLA-DQA1;HSPA8;NOS2;IRGM;STAT1;TGFB3;HLA-DQB1;IL12A;IKBKG;TNF;HSPA1B;TLR2;PPIF;HSPA1A;IL10RA;HLA-DOA;MYD88;PDPK1
6,prerank,Insulin signaling pathway,0.39243551709164254,2.431063753577602,0.0,0.0,0.0,64/111,26.63%,PIK3R1;PRKACB;ARAF;PHKG2;SOCS2;PRKAG2;PRKAG1;RHEB;SREBF1;HRAS;RPS6KB1;SOCS1;PIK3CD;MKNK1;PRKAA1;MKNK2;BRAF;HK1;CRKL;MAPK3;MAPK9;MAP2K1;BAD;IKBKB;AKT1;IRS1;PKLR;PCK2;PPP1CC;TRIP10;SHC1;GRB2;TSC1;PRKACA;AKT2;EIF4EBP1;G6PC;PRKCI;PHKG1;PRKAR2A;MTOR;INSR;PRKAR1A;CALM2;PRKACG;EIF4E;PHKA1;AKT3;PIK3CA;IRS2;PIK3CB;ACACA;PTPRF;KRAS;PDE3B;MAPK8;NRAS;G6PC2;PCK1;PRKAG3;SOS2;PRKAB1;PYGL;GCK
7,prerank,Colorectal cancer,0.40200617011650375,2.385063286102334,0.0,0.0,0.0,49/79,30.57%,PIK3R1;PMAIP1;TP53;RAC1;ARAF;GADD45A;EGFR;RALB;HRAS;RPS6KB1;CASP3;CCND1;PIK3CD;BRAF;EGF;MAPK3;MAPK9;MAP2K1;BCL2;BAD;BAX;AKT1;GRB2;SMAD3;AKT2;TGFB1;AREG;MTOR;TGFBR2;TGFB2;AKT3;AXIN1;PIK3CA;CASP9;PIK3CB;CTNNB1;BCL2L11;KRAS;MAPK8;NRAS;FOS;SOS2;CDKN1A;SMAD2;JUN;TGFBR1;TCF7L2;GADD45B;SMAD4
8,prerank,Melanoma,0.43411200594257443,2.3739415334673737,0.0,0.00011426353825564035,0.001,30/52,21.52%,PIK3R1;TP53;ARAF;GADD45A;EGFR;HRAS;CCND1;PIK3CD;MET;CDK6;MDM2;MITF;BRAF;EGF;MAPK3;FGFR1;MAP2K1;RB1;BAD;BAX;AKT1;AKT2;IGF1R;AKT3;PIK3CA;FGF2;PIK3CB;PDGFRA;KRAS;NRAS
9,prerank,Non-small cell lung cancer,0.41499096069765645,2.348867272672608,0.0,0.000308511553290229,0.003,37/63,26.78%,PIK3R1;TP53;ARAF;EML4;GADD45A;EGFR;HRAS;FOXO3;CCND1;PIK3CD;CDK6;BRAF;EGF;RXRB;MAPK3;ERBB2;MAP2K1;PRKCA;RB1;BAD;BAX;AKT1;GRB2;STAT5A;AKT2;PRKCB;AKT3;PIK3CA;CASP9;PIK3CB;KRAS;NRAS;STAT3;RARB;SOS2;CDKN1A;CDK4
10,prerank,Viral carcinogenesis,0.35659919094390075,2.322430388408104,0.0,0.0004674417474094378,0.005,82/141,31.03%,PIK3R1;PMAIP1;GTF2B;PRKACB;TP53;TRAF5;RAC1;LYN;DLG1;HDAC1;EGR2;HRAS;GTF2E2;CASP3;CCND1;PIK3CD;GSN;CDK6;MDM2;CDK2;YWHAQ;MAPK3;CASP8;RBPJ;CHEK1;RB1;BAD;SNW1;BAX;DNAJA3;HIST1H4E;CCNE1;USP7;GTF2A2;TRAF3;CCND2;GRB2;STAT5A;PRKACA;MAPKAPK2;RELA;ATF2;HDAC6;CCND3;HIST2H2BE;TBP;HDAC8;HDAC4;PRKACG;TRAF1;PIK3CA;POLB;ACTN4;IRF3;IRF7;CREB3;PIK3CB;NFKB2;SKP2;REL;HDAC11;KRAS;NRAS;HDAC9;STAT3;GTF2H1;IRF9;C3;CDKN1A;CDK4;CREB1;GTF2H3;LTBR;JUN;HIST1H2BD;CREB3L2;JAK1;HDAC10;HLA-A;KAT2B;NFKB1;CDC42
11,prerank,Cellular senescence,0.3602337736024224,2.3106907802812566,0.0,0.0004284882684586513,0.005,97/135,43.65%,PIK3R1;CHEK2;TP53;RBBP4;GADD45A;RHEB;HRAS;FOXO3;CDC25A;CCND1;PIK3CD;RAD1;CDK6;PPP3R2;ETS1;MDM2;CDK2;NFATC3;MAP2K3;MAPK3;PPID;MAP2K1;CHEK1;MAPK12;RB1;AKT1;CCNE1;ATM;ITPR1;RAD9A;PPP1CC;CCND2;RAD50;TSC1;SMAD3;MAPKAPK2;AKT2;EIF4EBP1;TGFB1;RELA;MAPK14;SLC25A4;CCND3;PPP3CA;MTOR;TGFBR2;SERPINE1;CALM2;TGFB2;AKT3;PIK3CA;FBXW11;PIK3CB;CXCL8;CCNB1;MAPK13;KRAS;NRAS;TRAF3IP2;IL6;RRAS2;NFATC4;CDKN1A;SQSTM1;CDK4;ZFP36L1;HUS1;SMAD2;CALM1;E2F4;TGFBR1;HLA-A;GADD45B;MAPK11;PPP3CB;NFKB1;HIPK3;SLC25A5;BTRC;TRPM7;CDK1;CDKN2A;PPP1CA;KIR2DL4;TGFB3;PTEN;CALM3;CCNA2;HLA-B;SLC25A6;RAF1;CCNE2;NBN;MYC;CACNA1D;CAPN1;CDKN2B
12,prerank,Glioma,0.4025660418727591,2.306675759118296,0.0,0.00047463315890804457,0.006,40/65,29.80%,CAMK1D;PIK3R1;TP53;ARAF;GADD45A;EGFR;CAMK2D;HRAS;CCND1;PIK3CD;CDK6;MDM2;BRAF;EGF;MAPK3;MAP2K1;PRKCA;RB1;BAX;AKT1;SHC1;GRB2;AKT2;IGF1R;MTOR;PRKCB;CALM2;AKT3;PIK3CA;PIK3CB;PDGFRA;KRAS;NRAS;CAMK1;SOS2;CDKN1A;CDK4;CAMK2G;CALM1;GADD45B
13,prerank,Renal cell carcinoma,0.4085560277529036,2.2848656383492525,0.0,0.0004407307904146128,0.006,39/61,31.03%,PIK3R1;ARNT2;RAC1;ARAF;HRAS;PIK3CD;MET;PAK2;ETS1;BRAF;CRKL;MAPK3;MAP2K1;BAD;AKT1;EGLN3;GRB2;AKT2;HIF1A;TGFB1;RAP1A;TGFB2;AKT3;PIK3CA;EGLN2;PIK3CB;CUL2;PAK4;KRAS;NRAS;PAK3;VHL;EGLN1;SOS2;CDKN1A;JUN;PAK1;PRCC;CDC42
14,prerank,Relaxin signaling pathway,0.3722362719941203,2.281323834470857,0.0,0.00047990686067368954,0.007,63/103,32.33%,PIK3R1;PRKACB;EGFR;GNA15;COL4A5;GNAI1;HRAS;MMP13;PIK3CD;MAPK3;MAP2K4;MAPK9;MAP2K1;EDN1;PRKCA;MAPK12;GNAS;AKT1;GNG5;SHC1;GRB2;PRKACA;SMAD3;AKT2;TGFB1;RELA;ATF2;MAPK14;TGFBR2;GNGT2;GNG7;GNG12;PRKACG;AKT3;ARRB1;PIK3CA;CREB3;PIK3CB;MAPK13;KRAS;ADCY3;GNAI3;MAPK8;NRAS;FOS;ADCY6;MAP2K7;GNG4;NOS3;SOS2;GNB5;PLCB3;CREB1;SMAD2;JUN;CREB3L2;TGFBR1;RXFP1;MAPK11;NFKB1;EDNRB;NOS2;GNB4
