,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Central carbon metabolism in cancer,0.47132081309399465,2.74947183687921,0.0,0.0,0.0,44/60,32.11%,TP53;MAP2K2;IDH1;PIK3CA;PIK3R2;SIRT3;HKDC1;ERBB2;MET;SLC7A5;FGFR1;PIK3R3;FLT3;LDHA;MAPK3;KRAS;SLC2A1;HK2;PTEN;GCK;EGFR;AKT1;PDHB;PFKM;FGFR2;MYC;AKT3;PDGFRB;PFKP;RET;SLC2A2;NTRK3;PDGFRA;HIF1A;PFKL;HRAS;MAPK1;FGFR3;PGAM1;PDK1;RAF1;MTOR;MAP2K1;NRAS
1,prerank,Prostate cancer,0.4183732888081095,2.656198348034992,0.0,0.0,0.0,59/89,32.11%,CDKN1A;MDM2;TP53;PLAU;MAP2K2;GSK3B;NFKBIA;PIK3CA;PIK3R2;CREB1;ATF4;ERBB2;AR;ARAF;LEF1;FGFR1;PIK3R3;NFKB1;BRAF;MAPK3;KRAS;ZEB1;CASP9;CDK2;TCF7L2;PTEN;CCNE1;BCL2;PLAT;HSP90AA1;EGFR;PDPK1;AKT1;CCND1;FGFR2;AKT3;INS;PDGFRB;CDKN1B;GSTP1;HSP90B1;TCF7L1;FOXO1;CREBBP;PDGFD;PDGFRA;RB1;E2F1;HRAS;MAPK1;CTNNB1;RELA;IKBKG;CREB3L2;IKBKB;RAF1;MTOR;MAP2K1;NRAS
2,prerank,Apoptosis,0.389021234271096,2.626678367580287,0.0,0.0,0.0,93/123,43.04%,BCL2L1;PARP4;JUN;TP53;DAXX;MAP2K2;FOS;SPTAN1;GADD45B;EIF2AK3;CYCS;PARP2;ATM;BIRC5;MCL1;NFKBIA;CTSD;PIK3CA;PIK3R2;TNFRSF10A;ATF4;FAS;PMAIP1;PIK3R3;NFKB1;TNFSF10;MAPK3;KRAS;TNFRSF10B;BECN1;BIRC3;TUBA3C;CASP9;BCL2L11;TUBA4A;CFLAR;BCL2;CASP6;LMNB2;PARP1;PDPK1;TRAF1;BAX;AKT1;ERN1;CASP8;ACTB;TNFRSF1A;AKT3;TUBA1A;DDIT3;CASP3;CASP2;PRF1;ITPR1;CTSW;SPTA1;MAP3K5;HRAS;APAF1;CTSB;MAPK1;RELA;EIF2S1;CTSH;CTSK;IKBKG;CASP7;CASP10;XIAP;IKBKB;RAF1;MAP2K1;CTSC;NRAS;PIK3R1;CHUK;MAP3K14;CAPN1;BIRC2;BBC3;TRADD;TNF;LMNA;TUBA8;BID;HRK;IL3RA;DFFB;ITPR3;TRAF2;NTRK1;MAPK8
3,prerank,Endometrial cancer,0.44712252970096283,2.55812907934396,0.0,0.0,0.0,37/53,32.11%,CDKN1A;TP53;MAP2K2;APC;GSK3B;GADD45B;PIK3CA;PIK3R2;ELK1;ERBB2;ARAF;LEF1;PIK3R3;BRAF;MAPK3;KRAS;CASP9;TCF7L2;PTEN;AXIN2;EGFR;PDPK1;BAX;AKT1;CCND1;MYC;AKT3;TCF7L1;CDH1;AXIN1;ILK;HRAS;MAPK1;CTNNB1;RAF1;MAP2K1;NRAS
4,prerank,Thyroid cancer,0.51180980613599,2.550511828015599,0.0,0.0,0.0,26/34,32.11%,CDKN1A;TP53;MAP2K2;GADD45B;RXRA;LEF1;BRAF;MAPK3;KRAS;TCF7L2;BAX;CCND1;MYC;TPR;RET;TCF7L1;CDH1;PPARG;TFG;RXRB;HRAS;MAPK1;CTNNB1;NCOA4;MAP2K1;NRAS
5,prerank,Chronic myeloid leukemia,0.41240789703245806,2.53710784859294,0.0,0.0,0.0,48/71,34.31%,BCL2L1;CDKN1A;MDM2;SMAD4;TP53;MAP2K2;GADD45B;NFKBIA;TGFB2;BCR;PIK3CA;PIK3R2;CTBP1;TGFBR2;STAT5B;ARAF;CDK6;PIK3R3;NFKB1;BRAF;MAPK3;KRAS;HDAC2;ABL1;SHC4;CDK4;BAX;AKT1;SMAD3;CCND1;MYC;RUNX1;AKT3;CDKN1B;RB1;E2F1;HRAS;PTPN11;MAPK1;RELA;TGFB3;IKBKG;IKBKB;RAF1;MAP2K1;NRAS;PIK3R1;CHUK
6,prerank,Colorectal cancer,0.4025796497389274,2.5286352820272113,0.0,0.0,0.0,54/79,35.58%,CDKN1A;SMAD4;JUN;TP53;MAP2K2;APC;FOS;GSK3B;GADD45B;CYCS;BIRC5;TGFB2;PIK3CA;PIK3R2;TGFBR2;RHOA;ARAF;LEF1;PMAIP1;PIK3R3;BRAF;MAPK3;MSH2;KRAS;SMAD2;CASP9;TCF7L2;BCL2L11;AXIN2;BCL2;EGFR;BAX;AKT1;SMAD3;CCND1;MYC;AKT3;CASP3;RAC1;TCF7L1;AXIN1;HRAS;MAPK1;CTNNB1;TGFB3;RPS6KB2;RAC3;RAF1;MTOR;MAP2K1;NRAS;PIK3R1;RPS6KB1;BBC3
7,prerank,HIF-1 signaling pathway,0.39867230919886665,2.5273859619404506,0.0,0.0,0.0,62/89,36.72%,CDKN1A;VEGFA;MAP2K2;TLR4;GAPDH;TEK;PIK3CA;PIK3R2;HKDC1;ERBB2;PIK3R3;NFKB1;LDHA;MAPK3;RPS6;CAMK2G;VHL;PLCG2;SLC2A1;HK2;TIMP1;EDN1;CAMK2D;BCL2;PLCG1;ALDOA;EGFR;AKT1;PDHB;AKT3;ARNT;PGK1;IL6;INS;FLT1;CDKN1B;EPO;EIF4E;SERPINE1;ENO1;CREBBP;INSR;IFNGR1;HIF1A;PFKL;MAPK1;RELA;RPS6KB2;PDK1;CUL2;MTOR;MAP2K1;EGLN3;PRKCG;STAT3;EGLN1;HMOX1;PIK3R1;RPS6KB1;CYBB;IFNG;TFRC
8,prerank,Small cell lung cancer,0.4039170380705675,2.510085731053039,0.0,0.0,0.0,54/79,36.63%,BCL2L1;CDKN1A;TP53;GADD45B;CYCS;RXRA;NFKBIA;PIK3CA;PIK3R2;PTK2;LAMB2;CDK6;PIK3R3;NFKB1;BIRC3;CASP9;CDK2;PTEN;CCNE1;TRAF6;BCL2;TRAF1;CDK4;BAX;AKT1;CDKN2B;CCND1;MYC;AKT3;CKS1B;ITGB1;CASP3;CDKN1B;ITGA2;ITGA3;MAX;RB1;RXRB;E2F1;CKS2;TRAF3;APAF1;PTGS2;RELA;IKBKG;XIAP;TRAF4;LAMA3;IKBKB;ITGAV;PIK3R1;CHUK;BIRC2;RARB
9,prerank,Bladder cancer,0.47726015095485014,2.471300818721399,0.0,0.0,0.0,29/39,34.24%,CDKN1A;MDM2;TP53;VEGFA;MAP2K2;ERBB2;ARAF;SRC;BRAF;MAPK3;KRAS;TYMP;EGFR;CDK4;MMP1;CCND1;MYC;CDH1;RB1;E2F1;DAPK1;HRAS;MAPK1;FGFR3;HBEGF;RAF1;MAP2K1;NRAS;MMP2
