,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Longevity regulating pathway,0.39079273351001104,2.6730195473211946,0.0,0.0,0.0,56/85,33.22%,TP53;RHEB;STK11;PRKACG;AKT2;MTOR;NRAS;ATF4;PPARGC1A;CAT;HSPA1A;NFKB1;PIK3CD;ATF2;PRKACA;SIRT1;PRKAA1;HSPA1B;PRKAA2;EIF4E;ATG5;PRKAB2;BAX;RPS6KB2;AKT3;PIK3R3;TSC2;PRKACB;HSPA2;IRS1;ADCY5;ADIPOR1;CREB3L4;INS;PPARG;ADCY6;PIK3CA;HDAC1;AKT1;FOXO3;SESN1;PRKAG3;ADCY2;CREB5;PRKAG1;RPS6KB1;EHMT1;TSC1;PRKAG2;IGF1R;ADCY7;RPTOR;PIK3CB;SOD1;HRAS;CREB3L2
1,prerank,Toll-like receptor signaling pathway,0.37693852437864556,2.661342223827977,0.0,0.0,0.0,57/98,26.50%,IFNA16;AKT2;MAPK1;TLR9;IL12A;IRF7;MAPK14;MAPK13;IKBKB;IFNA21;CD40;TLR3;IFNA1;RAC1;TLR8;MAPK9;IRAK1;IFNA8;IRF5;JUN;NFKB1;IKBKE;PIK3CD;CHUK;FADD;MAP2K6;SPP1;TICAM1;CASP8;MAP2K1;TBK1;TRAF6;AKT3;CXCL11;PIK3R3;CCL5;TAB2;CD86;IRF3;IFNA17;STAT1;CD14;TLR4;NFKBIA;TOLLIP;PIK3CA;AKT1;TLR6;CXCL9;CXCL10;IFNAR2;CCL3;MAPK12;MAP3K8;TLR1;IFNA2;IFNB1
2,prerank,RIG-I-like receptor signaling pathway,0.4195079281445453,2.6234412650534873,0.0,0.0,0.0,35/57,26.50%,IFNA16;IL12A;IRF7;MAPK14;MAPK13;IKBKB;IFNA21;IFNA1;MAPK9;TRAF2;IFNA8;TKFC;NFKB1;IKBKE;CHUK;FADD;IFIH1;TRADD;CASP8;TBK1;TRAF6;DDX58;ATG5;IRF3;CYLD;IFNA17;CASP10;NFKBIB;NFKBIA;ISG15;TMEM173;CXCL10;MAPK12;IFNA2;IFNB1
3,prerank,TNF signaling pathway,0.36034427773642036,2.6001770256230654,0.0,0.0,0.0,70/104,37.12%,CFLAR;AKT2;MAPK1;CCL20;CCL2;FAS;MAPK14;MAPK13;IL18R1;IKBKB;CX3CL1;RPS6KA4;IL15;ATF4;LTA;MAPK9;TRAF2;CSF1;JUN;NFKB1;PIK3CD;CHUK;ATF2;FADD;MAP2K6;CASP3;VCAM1;TRADD;CASP8;MAP3K5;JAG1;MAP2K1;VEGFC;TNFRSF1B;AKT3;PIK3R3;CCL5;TAB2;CASP7;TNFAIP3;CXCL5;NOD2;CASP10;TNFRSF1A;CREB3L4;NFKBIA;PIK3CA;AKT1;CXCL10;CEBPB;CREB5;MAPK12;MAP3K8;IFNB1;MAP2K3;TNF;MAP3K14;BCL3;MMP14;PIK3CB;EDN1;CREB3L2;TRAF5;MAP2K7;IL1B;PTGS2;LIF;RPS6KA5;IRF1;CXCL1
4,prerank,Toxoplasmosis,0.35381140030691294,2.4971925701895294,0.0,0.00042129054825429656,0.002,78/99,48.42%,AKT2;MAPK1;JAK2;IL12A;MAPK14;MAPK13;IKBKB;CD40;HLA-DMA;MAPK9;SOCS1;IRAK1;PIK3CG;IFNG;HSPA1A;NFKB1;CHUK;BCL2L1;MAP2K6;TGFB3;CASP3;CASP8;HLA-DQA1;HSPA1B;HLA-DMB;IRGM;TRAF6;AKT3;IL10RB;TAB2;BCL2;STAT3;CYCS;IFNGR1;STAT1;HSPA2;LAMB3;TNFRSF1A;PIK3R5;TLR4;NFKBIB;NFKBIA;PPIF;AKT1;MAPK12;PDPK1;HLA-DPA1;MAP2K3;JAK1;GNAI3;TNF;MYD88;IRAK4;BAD;CIITA;HLA-DRA;ALOX5;LDLR;TLR2;ITGB1;CASP9;HLA-DQA2;CCR5;MAPK3;HLA-DQB1;TYK2;RELA;GNAI1;HLA-DPB1;TGFB2;BIRC3;HLA-DOB;LAMB2;LAMA3;IL12B;BIRC7;IL10;GNAI2
5,prerank,Apoptosis,0.3358676431047935,2.495342113202898,0.0,0.00035107545687858044,0.002,75/123,34.38%,TP53;DFFB;CFLAR;BCL2A1;AKT2;MAPK1;FAS;IKBKB;NRAS;ATF4;FASLG;TUBA4A;ATM;TUBA3C;MAPK9;TUBA1A;TRAF2;JUN;NFKB1;PIK3CD;CHUK;ERN1;BCL2L1;FADD;CASP3;TRADD;APAF1;CASP8;MAP3K5;SPTAN1;IL3RA;CTSL;ACTB;MAP2K1;DAXX;PARP2;ENDOG;CSF2RB;BAX;AKT3;PIK3R3;PRF1;PMAIP1;BCL2;CYCS;CASP7;NTRK1;CTSH;DFFA;BCL2L11;CASP10;TNFRSF1A;DDIT3;MCL1;LMNA;NFKBIA;GADD45B;PIK3CA;AKT1;TNFRSF10A;TUBA8;CTSB;AIFM1;TNFRSF10B;PDPK1;DIABLO;ITPR1;PARP1;TNF;MAP3K14;PIK3CB;HRAS;NGFR;BAD;BID
6,prerank,Measles,0.32854407282957493,2.4326941199524033,0.0,0.0006018436403632808,0.004,67/126,26.57%,STAT2;TP53;IFNA16;AKT2;TLR9;IL12A;FAS;IRF7;IKBKB;IFNA21;OAS1;IFNA1;FASLG;CDK2;MAPK9;IL2RG;CD46;IRAK1;IFNA8;JUN;CDK4;CSNK2B;HSPA1A;NFKB1;IKBKE;PIK3CD;CHUK;BCL2L1;FADD;IFIH1;CASP3;TRADD;APAF1;CASP8;HSPA1B;OAS3;CSNK2A1;CBLB;TBK1;TRAF6;DDX58;BAX;AKT3;PIK3R3;IL2RA;EIF2AK1;TAB2;BCL2;EIF2AK4;STAT3;CD3D;CYCS;TNFAIP3;IRF3;IFNA17;STAT1;HSPA2;TLR4;NFKBIB;NFKBIA;PIK3CA;AKT1;IFNAR2;CCND3;IFNA2;IFNB1;JAK3
7,prerank,Neurotrophin signaling pathway,0.34226919225984187,2.4324455781058973,0.0,0.0005266131853178707,0.004,67/103,36.66%,TP53;AKT2;MAPK1;MAPKAPK2;NTRK3;MAPK14;GRB2;PLCG1;MAPK13;IKBKB;PRDM4;NRAS;RAC1;ATF4;FASLG;SHC1;MAPK9;CDC42;IRAK1;RAP1A;JUN;NFKB1;PIK3CD;FRS2;SHC4;MAP3K5;MAP2K1;TRAF6;RHOA;BAX;AKT3;PIK3R3;BCL2;NTRK1;SH2B3;IRS1;PLCG2;MAGED1;ABL1;IRAK2;NFKBIB;NFKBIA;RPS6KA3;SORT1;ZNF274;PIK3CA;AKT1;FOXO3;MAPK12;CRK;BRAF;PDPK1;CALM3;PIK3CB;MAP3K3;HRAS;IRAK4;NGFR;PRKCD;BAD;MAP2K7;NTRK2;NFKBIE;CAMK2D;GSK3B;CAMK2G;RPS6KA5
8,prerank,Chagas disease (American trypanosomiasis),0.33835616024997933,2.4231122914819134,0.0,0.0004681006091714406,0.004,74/97,48.42%,PLCB1;SMAD3;CFLAR;AKT2;MAPK1;CD247;TLR9;IL12A;CCL2;FAS;MAPK14;MAPK13;IKBKB;FASLG;MAPK9;IRAK1;IFNG;JUN;GNA11;NFKB1;PPP2CB;PIK3CD;CHUK;FADD;TGFB3;TICAM1;CASP8;GNAS;BDKRB2;TGFBR2;TRAF6;AKT3;PIK3R3;CCL5;PPP2R2A;CD3D;IFNGR1;TNFRSF1A;TLR4;NFKBIA;KNG1;PIK3CA;AKT1;PPP2R1A;TLR6;CCL3;MAPK12;IFNB1;CALR;PLCB3;C3;GNAI3;GNA15;TNF;PIK3CB;MYD88;IRAK4;IL1B;PPP2R2D;TLR2;C1QC;SMAD2;C1QA;FOS;MAPK3;RELA;C1QB;GNAI1;TGFB2;MAP2K4;PIK3R1;IL12B;IL10;GNAI2
9,prerank,Hepatitis C,0.32419649091449865,2.3972787013270684,0.0,0.0005266131853178706,0.005,65/124,26.50%,STAT2;TP53;IFNA16;CFLAR;AKT2;MAPK1;FAS;IRF7;GRB2;IKBKB;IFNA21;TLR3;OAS1;IFNA1;NRAS;FASLG;EGFR;CTNNB1;CDK2;TRAF2;YWHAQ;IFNA8;IFNG;CDK4;NFKB1;PPP2CB;IKBKE;PIK3CD;CHUK;FADD;CASP3;TICAM1;TRADD;APAF1;CASP8;E2F1;OAS3;MAP2K1;TBK1;TRAF6;DDX58;BAX;AKT3;PIK3R3;EIF2AK1;PPP2R2A;EIF2AK4;RB1;STAT3;CYCS;IRF3;RXRA;IFNA17;STAT1;TNFRSF1A;CD81;NFKBIA;PIK3CA;AKT1;PPP2R1A;PPARA;CXCL10;IFNAR2;IFNA2;IFNB1
