,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pancreatic cancer,0.43804046342729014,2.284224157985408,0.0,0.0010158397115754012,0.001,55/71,40.63%,STAT3;RPS6KB2;MAPK8;SMAD4;ERBB2;ARAF;TGFB3;BCL2L1;BAD;RALBP1;CDK4;EGFR;TP53;E2F1;PIK3R1;CDKN1A;CDK6;BRCA2;AKT2;NFKB1;EGF;DDB2;TGFBR2;SMAD2;TGFA;PIK3CB;SMAD3;RAF1;MAPK9;CASP9;PIK3R3;IKBKG;RALA;RAD51;BAX;RPS6KB1;PIK3CA;RB1;AKT3;MAP2K1;VEGFA;BRAF;GADD45B;JAK1;AKT1;RELA;TGFBR1;RAC1;CDKN2A;RAC3;IKBKB;STAT1;MAPK3;CDC42;PIK3CD
1,prerank,Longevity regulating pathway,0.415500151722043,2.2265820052216587,0.0,0.0030475191347262036,0.006,64/85,42.38%,CREB3L4;PRKAG1;NRAS;RPS6KB2;SOD1;INS;FOXA2;CREB1;TP53;HSPA2;PRKAB2;IRS1;PIK3R1;ULK1;AKT2;NFKB1;CAT;CREB3;PIK3CB;SIRT1;CLPB;CREB3L1;ATF2;INSR;STK11;ATG5;PIK3R3;HDAC1;PRKAA1;ATF4;PRKACB;PRKACG;TSC2;BAX;RPS6KB1;PRKAB1;PIK3CA;ADIPOR1;AKT3;PRKACA;PRKAG3;RHEB;HRAS;ADCY6;HSPA1B;CREB3L2;SOD2;FOXO3;ADCY3;ADCY9;ADCY1;AKT1;TSC1;RELA;IGF1R;CAMKK2;PPARGC1A;EHMT2;EIF4E;HSPA1A;PIK3CD;FOXO1;EIF4EBP1;PRKAG2
2,prerank,Neurotrophin signaling pathway,0.3990696844784406,2.2117639789253385,0.0,0.0023702926603426026,0.007,86/103,50.51%,MAPK11;NRAS;RPS6KA1;MAPKAPK2;MAPK8;NTRK1;MAP3K1;BAD;RAP1A;RPS6KA2;CRK;BCL2;PLCG2;TRAF6;TP53;ARHGDIA;GSK3B;IRS1;PIK3R1;AKT2;MAGED1;NFKB1;CAMK2G;RPS6KA5;FASLG;PIK3CB;PSEN1;RAF1;IRAK3;MAPK9;MAP3K5;PIK3R3;PLCG1;MAPK12;ATF4;IRAK4;BAX;PIK3CA;CALM3;MAP2K5;AKT3;MAP2K1;NFKBIA;BRAF;RPS6KA3;HRAS;MAP2K7;ZNF274;FOXO3;CRKL;AKT1;RELA;NGFR;RHOA;RAC1;CALM2;SORT1;PDPK1;PSEN2;MAPK13;MAPK7;SH2B3;SHC4;IKBKB;JUN;NTRK3;CAMK2A;PRDM4;MAPK3;CDC42;PIK3CD;RIPK2;CAMK2D;GRB2;CALML6;IRAK1;MAPK1;CALM1;NGF;IRAK2;NTRK2;ABL1;NFKBIE;PRKCD;MATK;MAP2K2
3,prerank,Human cytomegalovirus infection,0.37200167624241187,2.2110881277830674,0.0,0.001777719495256952,0.007,152/197,47.73%,CREB3L4;STAT3;MAPK11;NRAS;CASP3;GNA11;PTK2B;ITGB3;RPS6KB2;NFATC3;GNB2;PPP3CA;TNF;CCL4;GNAQ;GNAI1;CRK;CREB1;GNG12;CXCR4;MDM2;CXCL8;CDK4;CCL4L2;EGFR;TP53;IFNA10;PLCB1;FADD;GNAS;CCR1;GSK3B;IL10RB;E2F1;PIK3R1;CDKN1A;CDK6;CXCR2;AKT2;NFKB1;PLCB4;CREB3;FASLG;PIK3CB;GNA12;GNAI2;RAF1;CREB3L1;ATF2;IL6;CASP9;PIK3R3;IKBKG;MAPK12;GNB4;PPP3CB;PPP3R2;ATF4;PRKACB;BCAR1;PRKACG;GNA13;TSC2;ITPR3;BAX;RPS6KB1;PIK3CA;RB1;CALM3;B2M;IL6R;HLA-A;AKT3;PRKACA;MAP2K1;TAP1;FAS;VEGFA;NFKBIA;PTGER2;CALR;RHEB;HRAS;ITPR2;ADCY6;PLCB3;MYC;IL1B;CREB3L2;GNAI3;CCR5;IFNA7;ADCY3;ITPR1;PRKCA;ADCY9;PTGER4;CRKL;JAK1;CCR3;ADCY1;BID;GNB5;AKT1;ARHGEF12;IRF3;TSC1;RELA;RHOA;RAC1;CDKN2A;CALM2;RAC3;ROCK1;MAPK13;IL1R1;SRC;RIPK1;GNGT2;IKBKB;PRKCG;CYCS;IFNA14;TNFRSF1A;TRADD;MAPK3;CCL2;NFATC1;PIK3CD;PPP3CC;CTNNB1;EIF4EBP1;GRB2;CALML6;PRKCB;CASP8;PTGS2;GNB1;GNG7;GNG11;CHUK;TRAF2;MAPK1;GNG8;CCND1;BAK1;CALM1;PTK2;ITGAV;TBK1;CXCL12;NFATC4
4,prerank,Colorectal cancer,0.4168499201053132,2.208817031766634,0.0,0.0014221755962055616,0.007,60/79,41.30%,NRAS;CASP3;RPS6KB2;AXIN2;MAPK8;SMAD4;ARAF;TGFB3;BAD;BCL2;EGFR;TP53;MSH2;GSK3B;LEF1;PIK3R1;CDKN1A;AKT2;EGF;DDB2;TGFBR2;SMAD2;TGFA;PIK3CB;SMAD3;RAF1;MAPK9;CASP9;PIK3R3;TCF7L2;RALA;BAX;RPS6KB1;PIK3CA;AKT3;MAP2K1;AXIN1;BRAF;HRAS;MYC;BIRC5;MSH6;BBC3;GADD45B;MLH1;AKT1;AREG;TGFBR1;RHOA;RAC1;PMAIP1;BCL2L11;TCF7;RAC3;FOS;CYCS;JUN;MAPK3;PIK3CD;CTNNB1
5,prerank,AGE-RAGE signaling pathway in diabetic complications,0.4119518489752647,2.208397925257554,0.0,0.0011851463301713013,0.007,66/89,40.95%,STAT3;MAPK11;NRAS;CASP3;ICAM1;MAPK8;SMAD4;TGFB3;TNF;MMP2;BCL2;PLCG2;F3;CXCL8;CDK4;PLCB1;PRKCZ;PIK3R1;PLCD1;AKT2;STAT5A;NFKB1;EGR1;PLCB4;TGFBR2;SMAD2;PIK3CB;SMAD3;VEGFB;AGTR1;JAK2;NOX1;MAPK9;IL6;PIK3R3;PLCG1;MAPK12;BAX;PIK3CA;AKT3;COL4A2;COL4A5;FN1;AGT;VEGFA;CDKN1B;HRAS;PLCB3;IL1B;PRKCA;AKT1;PIM1;RELA;TGFBR1;RAC1;MAPK13;VEGFC;JUN;STAT1;MAPK3;CCL2;CDC42;EDN1;NFATC1;PIK3CD;FOXO1
6,prerank,Long-term depression,0.4491771870454553,2.2073545336584153,0.0,0.0010158397115754012,0.007,33/46,33.36%,LYN;NRAS;GNA11;ARAF;GNAQ;GNAI1;GNAZ;PLCB1;GNAS;PPP2R1A;PLCB4;PPP2CA;GNA12;GNAI2;RAF1;JMJD7-PLA2G4B;GNA13;ITPR3;CRHR1;PPP2CB;MAP2K1;BRAF;HRAS;ITPR2;GRIA2;PLCB3;PLA2G4A;GNAI3;GRIA1;ITPR1;PRKCA;GUCY1A2;IGF1R
7,prerank,Bladder cancer,0.4696668416533686,2.193271816051102,0.0010224948875255625,0.0012697996394692515,0.01,26/39,26.62%,NRAS;THBS1;ERBB2;ARAF;MMP2;MDM2;CXCL8;CDK4;MMP1;EGFR;TP53;CDH1;E2F1;CDKN1A;RASSF1;EGF;RPS6KA5;RAF1;DAPK1;FGFR3;RB1;MAP2K1;VEGFA;BRAF;HRAS;MYC
8,prerank,Prostate cancer,0.4000202776255506,2.179376016194055,0.0,0.001241581869703268,0.011,51/89,26.01%,CREB3L4;NRAS;CDK2;ERBB2;ARAF;BAD;INS;HSP90AB1;BCL2;CREB1;HSP90B1;MDM2;EGFR;TP53;IL1R2;GSK3B;LEF1;E2F1;PIK3R1;CDKN1A;ERG;AKT2;NFKB1;EGF;CREB3;TGFA;PIK3CB;CCNE1;HSP90AA1;PLAU;RAF1;CREB3L1;PDGFRB;ZEB1;CASP9;PIK3R3;IKBKG;TCF7L2;ATF4;PLAT;PIK3CA;RB1;AKT3;MAP2K1;NFKBIA;PTEN;BRAF;CDKN1B;EP300;HRAS;GSTP1
9,prerank,Melanogenesis,0.40455403860394223,2.1581237037706686,0.0,0.0019300954519932624,0.019,63/79,46.27%,CREB3L4;NRAS;KITLG;WNT9B;WNT11;GNAQ;GNAI1;CREB1;PLCB1;FZD5;GNAS;GSK3B;LEF1;WNT1;KIT;CAMK2G;PLCB4;CREB3;GNAI2;RAF1;CREB3L1;TCF7L2;PRKACB;FZD2;PRKACG;WNT9A;MITF;CALM3;PRKACA;MAP2K1;EDNRB;FZD7;WNT3;EP300;HRAS;DVL3;ADCY6;PLCB3;FZD4;CREB3L2;GNAI3;FZD6;ADCY3;PRKCA;ADCY9;DVL1;ADCY1;TCF7;CALM2;PRKCG;CAMK2A;MAPK3;EDN1;FZD8;CTNNB1;WNT7B;CAMK2D;CALML6;PRKCB;FZD1;DVL2;MAPK1;CALM1
