,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,AGE-RAGE signaling pathway in diabetic complications,0.4313167009172035,2.6017065398406136,0.0,0.0,0.0,59/89,30.98%,PIK3R3;STAT3;PIK3CA;MAPK3;MAPK14;MAPK1;AKT1;EGR1;HRAS;SMAD2;NFKB1;SMAD3;STAT5A;PRKCE;PIK3R1;RELA;PLCB3;CXCL8;VEGFB;PLCG1;TNF;AGTR1;MAPK9;PLCB4;CDKN1B;PRKCZ;SERPINE1;CDK4;CCL2;COL4A5;PLCG2;BCL2;MAPK11;TGFB3;SMAD4;TGFBR1;PRKCA;AKT2;ICAM1;TGFBR2;MAPK13;JUN;MAPK8;KRAS;NOX1;RAC1;CDC42;PRKCB;PIM1;PRKCD;CASP3;MMP2;AGT;NRAS;NOS3;PLCD1;VEGFC;MAPK12;STAT1
1,prerank,Hepatitis B,0.38112660460956205,2.481015898595231,0.0,0.0,0.0,93/153,30.98%,PIK3R3;STAT3;SRC;PIK3CA;CREB3L1;NFATC3;MAPK3;MAPK14;TICAM1;MAPK1;AKT1;HRAS;PRKCG;CREB1;SMAD2;NFKB1;BID;SMAD3;STAT5A;TLR2;ARAF;SOS1;PIK3R1;RELA;CXCL8;FASLG;TNF;TRAF6;MAPK9;CASP9;CREB3L4;ATF2;CCNE2;FAS;MAP3K7;CCNE1;STAT2;MAP2K2;IFNA14;IKBKE;BCL2;CASP10;STAT6;MAPK11;TGFB3;SMAD4;TGFBR1;RB1;PRKCA;AKT2;IFNA5;ELK1;IFNA10;SLC10A1;TP53;IFNAR1;IKBKG;NFKBIA;TYK2;IFNA2;TLR4;TGFBR2;MAPK13;JUN;MAPK8;CHUK;KRAS;CDKN1A;MYC;TRAF3;MAP2K6;CYCS;TIRAP;CREB5;JAK3;PTK2B;PRKCB;STAT4;CDK2;CASP3;TAB2;EGR2;IFNA7;BAD;NRAS;MAP2K1;HSPG2;SOS2;MYD88;MAPK12;FOS;EGR3;STAT1
2,prerank,Lysine degradation,0.47518404865449054,2.4687395845712743,0.0,0.0,0.0,27/46,20.59%,HADH;PIPOX;PRDM7;ALDH1B1;EZH1;DLD;KMT2E;EHMT2;PLOD3;EZH2;ALDH2;ECHS1;DOT1L;SETDB1;ACAT2;SETD7;SETD2;KMT2D;SUV39H2;ALDH9A1;PHYKPL;ACAT1;KMT2C;NSD1;SUV39H1;AADAT;SETD1A
3,prerank,Chronic myeloid leukemia,0.42889689691092336,2.457152284092723,0.0,0.0,0.0,45/71,28.73%,PIK3R3;CBL;HDAC1;PIK3CA;MAPK3;BCL2L1;MAPK1;AKT1;HRAS;NFKB1;SMAD3;STAT5A;BCR;ARAF;SOS1;PIK3R1;RELA;PTPN11;CRK;CDKN1B;MAP2K2;GADD45B;CDK4;TGFB3;SMAD4;TGFBR1;RB1;AKT2;TP53;IKBKG;NFKBIA;GADD45A;MDM2;TGFBR2;CHUK;KRAS;CDKN1A;MYC;CTBP2;ABL1;BAD;NRAS;MAP2K1;SOS2;CDK6
4,prerank,VEGF signaling pathway,0.45077374088490213,2.453632736154902,0.0,0.0,0.0,35/52,29.99%,PLA2G4A;PIK3R3;SRC;PIK3CA;MAPK3;MAPK14;MAPK1;AKT1;HRAS;PRKCG;SPHK2;PIK3R1;PLCG1;PPP3R2;CASP9;PPP3CA;MAP2K2;PLCG2;MAPK11;PRKCA;AKT2;MAPK13;KRAS;RAC1;JMJD7-PLA2G4B;CDC42;PRKCB;PTK2;BAD;NRAS;MAP2K1;MAPKAPK3;NOS3;MAPKAPK2;MAPK12
5,prerank,Prostate cancer,0.40999855519933587,2.4315934492151356,0.0,0.0,0.0,56/89,29.85%,PIK3R3;ETV5;HSP90B1;ERBB2;PIK3CA;CREB3L1;MAPK3;MAPK1;AKT1;HRAS;CREB1;NFKB1;ARAF;SOS1;PIK3R1;TGFA;RELA;GSTP1;EGFR;PDGFRB;PDGFRA;CASP9;CREB3L4;CCNE2;CDKN1B;CCNE1;CTNNB1;MAP2K2;BCL2;TCF7L2;RB1;AKT2;TP53;IKBKG;NFKBIA;MDM2;CHUK;KRAS;HSP90AA1;TCF7;CDKN1A;FGFR2;PTEN;PLAT;GSK3B;CREB5;ZEB1;CDK2;INS;BAD;NRAS;MAP2K1;AR;SOS2;PDGFD;PLAU
6,prerank,Colorectal cancer,0.41643212007882147,2.4233301509606027,0.0,0.0,0.0,55/79,35.14%,PIK3R3;RHOA;PIK3CA;MAPK3;MAPK1;AKT1;HRAS;SMAD2;SMAD3;ARAF;SOS1;PIK3R1;MSH6;TGFA;EGFR;MAPK9;CASP9;BBC3;CTNNB1;MAP2K2;GADD45B;BCL2;TCF7L2;TGFB3;SMAD4;TGFBR1;AXIN1;AKT2;RPS6KB2;TP53;GADD45A;TGFBR2;JUN;MAPK8;KRAS;TCF7;RAC1;CDKN1A;MYC;CYCS;GSK3B;CASP3;BCL2L11;EREG;BAD;NRAS;MAP2K1;SOS2;FOS;RALA;RPS6KB1;GRB2;BRAF;LEF1;AXIN2
7,prerank,Pancreatic cancer,0.42014924100882634,2.4133898585849294,0.0,0.0,0.0,39/71,20.74%,PIK3R3;STAT3;ERBB2;PIK3CA;MAPK3;BCL2L1;MAPK1;AKT1;SMAD2;NFKB1;SMAD3;BRCA2;ARAF;PIK3R1;TGFA;RELA;EGFR;MAPK9;CASP9;RALBP1;PLD1;GADD45B;CDK4;TGFB3;SMAD4;TGFBR1;RB1;AKT2;RPS6KB2;TP53;IKBKG;GADD45A;TGFBR2;MAPK8;CHUK;KRAS;RAC1;CDKN1A;CDC42
8,prerank,Hepatocellular carcinoma,0.37455938837007235,2.3891288552601115,0.0,0.00011427721324834432,0.001,92/146,35.50%,PIK3R3;WNT3;NQO1;PIK3CA;MAPK3;BCL2L1;MAPK1;AKT1;HRAS;PRKCG;SMAD2;SMAD3;CSNK1A1;ARAF;CSNK1A1L;SOS1;PIK3R1;TGFA;GSTP1;EGFR;GSTT1;PLCG1;KEAP1;WNT7B;FZD1;CTNNB1;LRP6;MAP2K2;GADD45B;NFE2L2;CDK4;GSTA4;TXNRD1;FZD4;WNT9B;PLCG2;TCF7L2;ACTB;TGFB3;SMAD4;MGST2;TGFBR1;RB1;AXIN1;PRKCA;ARID1A;AKT2;IGF2;ELK1;RPS6KB2;TP53;GSTA1;SMARCE1;GADD45A;GSTA3;TGFBR2;KRAS;TCF7;DVL3;FZD10;DPF1;CDKN1A;WNT1;MYC;PTEN;SMARCA4;SMARCC1;GSK3B;MET;PRKCB;BRD7;ARID2;BAD;NRAS;SMARCD2;MAP2K1;DVL1;DVL2;SOS2;CDK6;GSTM1;RPS6KB1;ACTL6A;GSTM3;WNT11;GRB2;BRAF;CDKN2A;SHC4;LEF1;AXIN2;PBRM1
9,prerank,Epithelial cell signaling in Helicobacter pylori infection,0.4394236981279236,2.3617153295926503,0.0,0.0003085484757705297,0.003,38/52,35.35%,SRC;CXCR2;MAPK14;CXCL1;NFKB1;RELA;CXCL8;EGFR;PTPN11;TJP1;PLCG1;MAPK9;ATP6V1A;MAP3K14;ATP6V0B;PLCG2;PAK1;MAPK11;IKBKG;NFKBIA;TCIRG1;MAPK13;JUN;MAPK8;LYN;CHUK;RAC1;CDC42;NOD1;MET;CASP3;ATP6V1C1;MAPK12;CSK;JAM3;F11R;IGSF5;ADAM17
10,prerank,Hepatitis C,0.37567822866045536,2.3455804525613764,0.0,0.0002804986143368452,0.003,83/124,37.59%,PIK3R3;STAT3;PIK3CA;MAPK3;EIF2AK2;NR1H3;TICAM1;MAPK1;AKT1;HRAS;NFKB1;BID;ARAF;SOS1;PIK3R1;PPP2R2C;RELA;EGFR;FASLG;TNF;TRAF6;CASP9;FAS;CFLAR;STAT2;CTNNB1;MAP2K2;CDK4;IFNA14;IKBKE;RB1;AKT2;IFNA5;IFNA10;CD81;PPARA;TP53;RNASEL;IFNAR1;IKBKG;NFKBIA;TYK2;IFNA2;PIAS1;CHUK;KRAS;CDKN1A;MYC;TRAF3;CYCS;GSK3B;PPP2R1A;OAS1;OAS2;EIF2AK4;CDK2;CASP3;TRADD;IFNA7;BAD;NRAS;MAP2K1;IFNG;SOS2;CDK6;PPP2CA;IRF9;RXRA;IFIT1;STAT1;JAK1;PPP2CB;TRAF2;GRB2;BRAF;EIF2S1;TLR3;FADD;TNFRSF1A;RIPK1;CASP8;YWHAQ;PPP2R2A
