,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Thyroid cancer,0.610754547985586,1.6485114102399034,0.0,0.043073036888637256,0.043,29/34,32.64%,GADD45B;NRAS;PAX8;BAX;PPARG;KRAS;BRAF;RET;RXRA;NTRK1;RXRG;HRAS;TCF7L2;CDKN1A;TFG;TCF7L1;CCND1;MYC;RXRB;DDB2;MAP2K2;BAK1;TCF7;LEF1;CTNNB1;MAP2K1;MAPK3;NCOA4;MAPK1
1,prerank,Endometrial cancer,0.570445679210202,1.607203520797414,0.0,0.048582378816253644,0.091,46/53,35.91%,GADD45B;ERBB2;BAD;NRAS;BAX;PIK3CA;EGFR;FOXO3;KRAS;PIK3CB;BRAF;AXIN2;SOS2;AKT3;AKT1;HRAS;PIK3R1;TCF7L2;GSK3B;CDKN1A;TCF7L1;AKT2;CCND1;EGF;MYC;ILK;DDB2;PDPK1;PTEN;MLH1;MAP2K2;BAK1;TCF7;ELK1;CASP9;LEF1;CTNNB1;SOS1;ARAF;MAP2K1;MAPK3;MAPK1;PIK3CD;CTNNA1;RAF1;APC
2,prerank,HIF-1 signaling pathway,0.5493624314574127,1.6024264328662914,0.0,0.034725549119521505,0.098,64/89,33.62%,SLC2A1;IL6R;MKNK1;CAMK2D;IGF1R;ERBB2;RPS6KB1;TF;GAPDH;IGF1;PDHB;EIF4E;PIK3CA;EGFR;LDHA;PFKL;CAMK2G;PIK3CB;INSR;TLR4;CUL2;IFNGR1;VEGFA;HK1;PGK1;AKT3;AKT1;PIK3R1;STAT3;HIF1A;EPO;CDKN1A;VHL;PLCG2;IL6;EP300;AKT2;ANGPT1;EDN1;EGF;PDK1;FLT1;IFNG;MKNK2;MAP2K2;HMOX1;EIF4EBP1;PRKCA;MTOR;RELA;EGLN1;CDKN1B;BCL2;TFRC;IFNGR2;RBX1;MAP2K1;MAPK3;ARNT;MAPK1;INS;ALDOA;PIK3CD;EGLN2
3,prerank,Central carbon metabolism in cancer,0.5518242447551811,1.5808272786874564,0.0,0.03831496886024128,0.14,45/60,33.57%,SLC2A1;ERBB2;NRAS;SLC7A5;PDHB;PIK3CA;EGFR;LDHA;SLC1A5;PFKL;KRAS;PIK3CB;RET;HK1;FLT3;KIT;NTRK1;AKT3;AKT1;FGFR3;HRAS;PIK3R1;HIF1A;MET;IDH1;SIRT3;SLC16A3;SIRT6;AKT2;MYC;PDK1;FGFR2;PDGFRA;PTEN;MAP2K2;PDGFRB;MTOR;PGAM1;G6PD;MAP2K1;MAPK3;MAPK1;GLS;FGFR1;PIK3CD
4,prerank,p53 signaling pathway,0.5637069499901987,1.5800190131211493,0.0,0.0308523147946518,0.141,39/56,29.79%,PMAIP1;IGFBP3;GADD45B;APAF1;CDK2;CASP3;IGF1;BAX;FAS;THBS1;CCND3;CCNE1;SFN;CDK6;CHEK2;TSC2;CDKN1A;SIAH1;BID;CHEK1;CCND2;SERPINB5;CDK4;MDM4;CCND1;RCHY1;TP53I3;CCNB1;ATM;DDB2;ATR;PTEN;SESN1;CASP9;CCNG2;BCL2L1;CCNG1;RRM2;BCL2
5,prerank,Prostate cancer,0.5409057235447582,1.5782420466849059,0.0,0.026211111595023446,0.143,68/89,35.11%,IGF1R;ERBB2;BAD;CDK2;CREB3L4;CREB3L2;NRAS;CREB3L1;RB1;IGF1;PIK3CA;EGFR;NFKBIA;FOXO1;KRAS;PIK3CB;CCNE1;BRAF;IL1R2;CREB1;SOS2;AKT3;AKT1;HRAS;PIK3R1;TCF7L2;GSK3B;CDKN1A;EP300;IKBKB;TCF7L1;AKT2;CCND1;IKBKG;EGF;FGFR2;PDPK1;PDGFRA;GSTP1;PTEN;ERG;MAP2K2;TCF7;CASP9;LEF1;PDGFRB;CTNNB1;SOS1;ETV5;CREB3;E2F1;MTOR;RELA;ARAF;CDKN1B;BCL2;MAP2K1;HSP90AA1;MAPK3;HSP90AB1;ZEB1;MAPK1;PLAU;INS;FGFR1;PIK3CD;PDGFC;RAF1
6,prerank,Longevity regulating pathway,0.5386605438749353,1.5608968131990653,0.0,0.029335457017178195,0.181,59/85,34.00%,IGF1R;RPS6KB1;CREB3L4;CREB3L2;NRAS;PRKAB1;PRKAA1;HSPA1B;CREB3L1;IGF1;BAX;EIF4E;PIK3CA;HDAC1;PPARG;FOXO3;TSC1;FOXO1;KRAS;PRKACA;PIK3CB;INSR;CREB1;RHEB;IRS1;AKT3;AKT1;ADCY3;HRAS;PIK3R1;PRKAB2;CAT;PRKAA2;ADCY9;TSC2;ULK1;HDAC2;IRS2;AKT2;RPTOR;HSPA2;SESN1;SOD1;ATG5;EIF4EBP1;PPARGC1A;PRKACG;CREB3;MTOR;CLPB;RELA;HSPA8;PRKAG1;STK11;EHMT2;PRKACB;INS;PIK3CD;CAMKK2
7,prerank,Melanoma,0.5494306928231661,1.5493829909817343,0.0,0.03130307913418405,0.213,44/52,39.08%,GADD45B;IGF1R;BAD;NRAS;RB1;IGF1;BAX;PIK3CA;EGFR;FGF9;KRAS;PIK3CB;BRAF;AKT3;AKT1;CDK6;HRAS;PIK3R1;MET;CDKN1A;MITF;CDK4;AKT2;CCND1;EGF;DDB2;PDGFRA;PTEN;MAP2K2;BAK1;PDGFRB;E2F1;ARAF;MAP2K1;MAPK3;FGF2;MAPK1;FGFR1;PIK3CD;PDGFC;RAF1;CDH1;MDM2;TP53
8,prerank,Breast cancer,0.5233124236341886,1.5448221529027795,0.0,0.030941354664189038,0.233,81/112,35.91%,GADD45B;HES5;IGF1R;ERBB2;RPS6KB1;NRAS;DVL1;FOS;HEY1;NOTCH1;RB1;IGF1;BAX;PIK3CA;EGFR;FGF9;NCOA3;JUN;WNT9A;KRAS;PIK3CB;JAG1;BRAF;WNT11;CSNK1A1L;AXIN2;SOS2;KIT;FZD7;AKT3;AKT1;FZD6;CDK6;WNT7B;HRAS;PIK3R1;FRAT2;TCF7L2;GSK3B;FZD3;CDKN1A;WNT9B;ESR1;CDK4;TCF7L1;AKT2;CCND1;FZD2;EGF;CSNK1A1;MYC;FZD5;DDB2;PTEN;MAP2K2;BAK1;TCF7;LEF1;NCOA1;SHC1;CTNNB1;WNT3;SOS1;DVL3;E2F1;MTOR;HES1;BRCA1;ARAF;MAP2K1;FZD4;MAPK3;FGF2;MAPK1;FGFR1;FRAT1;PIK3CD;BRCA2;RAF1;FZD1;APC
9,prerank,Mitophagy,0.5567148039259466,1.5420714817965373,0.0,0.02894908758329341,0.242,34/43,40.04%,BECN1;FIS1;NRAS;TBC1D15;BNIP3;JUN;FOXO3;KRAS;NBR1;GABARAPL1;TBK1;EIF2AK3;HRAS;HIF1A;ULK1;MITF;MAPK8;MAPK9;CALCOCO2;UBB;ATG5;BCL2L13;CSNK2A2;E2F1;CSNK2A1;RELA;BCL2L1;USP15;CSNK2B;SQSTM1;RAB7A;TP53;BNIP3L;ATF4
10,prerank,Cell cycle,0.5269473822649611,1.5353022929186444,0.0,0.02768330489248568,0.252,58/94,30.03%,ABL1;GADD45B;RBL1;SMC1A;CDK2;SKP2;ORC1;MCM5;CDC45;CDKN2B;RB1;TFDP2;HDAC1;CCND3;SMC3;CCNE1;MCM3;BUB1B;CDC20;SFN;ESPL1;MCM6;CCNA2;CDK6;YWHAZ;CHEK2;GSK3B;CCNA1;CDKN1A;CDC25C;CHEK1;CCND2;HDAC2;EP300;CDK4;CCND1;CCNB1;MYC;ATM;MCM2;CCNH;CDKN2C;ATR;SMAD3;ANAPC5;CDC7;CDKN1C;SKP1;RBL2;E2F1;CDC25B;TTK;ORC4;CDC25A;CDKN1B;BUB3;SMAD2;RBX1
11,prerank,Progesterone-mediated oocyte maturation,0.540483701359658,1.5352145809892006,0.0,0.025376362818111873,0.252,44/65,33.57%,IGF1R;CDK2;IGF1;PIK3CA;RPS6KA3;MAPK13;STK10;KRAS;GNAI3;PRKACA;PIK3CB;BRAF;GNAI2;AKT3;AKT1;CCNA2;ADCY3;PIK3R1;RPS6KA1;ADCY9;CCNA1;CDC25C;MAPK8;MAPK9;AKT2;AURKA;CCNB1;GNAI1;MAPK12;ANAPC5;MAPK14;PRKACG;CDC25B;CDC25A;ARAF;MAP2K1;RPS6KA2;HSP90AA1;MAPK3;HSP90AB1;MAPK1;PRKACB;INS;PIK3CD
12,prerank,Non-small cell lung cancer,0.5306652850900454,1.5066472601431717,0.0,0.03529060983004627,0.355,52/63,39.08%,GADD45B;ERBB2;BAD;NRAS;RB1;BAX;JAK3;RARB;PIK3CA;EGFR;FOXO3;KRAS;PIK3CB;BRAF;SOS2;RXRA;AKT3;AKT1;RXRG;CDK6;HRAS;PIK3R1;STAT3;CDKN1A;PLCG2;RASSF5;CDK4;AKT2;CCND1;EGF;RXRB;DDB2;PDPK1;MAP2K2;BAK1;CASP9;SOS1;E2F1;PRKCA;ARAF;MAP2K1;MAPK3;STK4;MAPK1;EML4;PIK3CD;RAF1;STAT5A;ALK;TGFA;PLCG1;TP53
13,prerank,FoxO signaling pathway,0.5077154358295579,1.5034034190957848,0.0,0.034057750097992244,0.366,82/119,35.32%,GADD45B;SETD7;IGF1R;FOXO4;SGK3;IL7R;CDK2;SKP2;NRAS;PRKAB1;PRKAA1;CDKN2B;IGF1;BNIP3;PIK3CA;EGFR;MAPK13;FOXO3;CSNK1E;FOXO1;KRAS;PIK3CB;INSR;BRAF;BCL2L11;SOS2;GABARAPL1;PCK2;IRS1;AKT3;AKT1;HRAS;PIK3R1;ATG12;STAT3;PRKAB2;CAT;PRKAA2;CDKN1A;CCND2;IL6;EP300;IKBKB;IRS2;BCL6;MAPK8;MAPK9;KLF2;AKT2;CCND1;CCNB1;EGF;ATM;MAPK12;PDPK1;PTEN;SMAD3;MAP2K2;G6PC2;MAPK14;IL10;G6PC;SOS1;CCNG2;RBL2;GRM1;ARAF;CDKN1B;PRKAG1;SMAD2;HOMER2;MAP2K1;STK11;NLK;MAPK3;STK4;MAPK1;INS;PIK3CD;PRMT1;RAF1;SGK1
14,prerank,Glioma,0.5257950458248305,1.4996202444147435,0.0,0.03372385058722762,0.386,51/65,39.08%,GADD45B;CAMK2D;IGF1R;NRAS;CALML6;RB1;IGF1;BAX;PIK3CA;EGFR;CAMK2G;KRAS;PIK3CB;BRAF;SOS2;AKT3;AKT1;CDK6;HRAS;PIK3R1;CDKN1A;PLCG2;CALM3;CAMK1D;CDK4;AKT2;CCND1;EGF;DDB2;PDGFRA;PTEN;MAP2K2;BAK1;PDGFRB;SHC1;SOS1;E2F1;PRKCA;MTOR;CAMK1;ARAF;MAP2K1;MAPK3;MAPK1;CALM1;PIK3CD;RAF1;TGFA;PLCG1;MDM2;TP53
15,prerank,Autophagy,0.5102645957384029,1.4992159920716237,0.0,0.03174132224206263,0.387,71/100,35.45%,BECN1;IGF1R;BAD;RPS6KB1;NRAS;PRKAA1;BNIP3;PIK3CA;CTSB;TSC1;ULK2;DAPK3;LAMP2;KRAS;PRKACA;PIK3CB;ATG16L2;PIK3R4;GABARAPL1;RHEB;IRS1;DDIT4;ATG4B;AKT3;AKT1;EIF2AK3;ATG4A;IGBP1;HRAS;PIK3R1;ATG12;RRAGA;CTSD;HIF1A;PRKAA2;TSC2;ULK1;IRS2;MAPK8;MAPK9;TP53INP2;AKT2;RPTOR;NRBF2;ATG16L1;PRKCD;ATG4D;PDPK1;MAP3K7;PIK3C3;PTEN;MAP2K2;DAPK1;ATG5;PRKACG;MTOR;BCL2L1;BCL2;CFLAR;MAP2K1;STK11;TRAF6;MAPK3;PRKCQ;MAPK1;PRKACB;INS;PIK3CD;CAMKK2;RAF1;RAB7A
16,prerank,AMPK signaling pathway,0.5102933430493897,1.498273331774801,0.0,0.03058126695650169,0.392,64/100,34.00%,ACACB;PPP2R3C;IGF1R;RPS6KB1;CREB3L4;HMGCR;CREB3L2;PRKAB1;PPP2R2C;PRKAA1;CREB3L1;IGF1;PIK3CA;PPARG;FOXO3;PFKL;TSC1;FOXO1;PIK3CB;INSR;CREB1;RHEB;PCK2;IRS1;AKT3;AKT1;CCNA2;PPP2R2A;PPP2R5A;PIK3R1;PRKAB2;PPP2R5B;PRKAA2;TSC2;CCNA1;ULK1;HNF4A;CPT1A;IRS2;AKT2;CCND1;RPTOR;PPP2R5E;PDPK1;MAP3K7;PPP2R1A;ACACA;SREBF1;G6PC2;EIF4EBP1;PPARGC1A;G6PC;ELAVL1;CREB3;MTOR;PRKAG1;FBP1;STK11;MLYCD;PPP2R3A;INS;PIK3CD;CAB39;CAMKK2
