,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Autophagy,0.3915173484023742,2.3878828877550418,0.0,0.0010267937152757035,0.001,64/100,34.93%,PRKAA1;MAPK9;IRS1;STK11;BECN1;PPP2CA;AKT3;RPS6KB1;ATG4A;PRKACB;PRKACA;PIK3C3;ATG5;PRKCD;PIK3R4;MAPK1;BCL2L1;PDPK1;BCL2;CTSD;NRAS;AKT1;RHEB;SUPT20H;GABARAPL1;PIK3CD;HIF1A;RRAGA;BAD;IGF1R;ATG3;CAMKK2;DAPK3;ATG16L1;PTEN;DDIT4;MLST8;KRAS;TSC1;CFLAR;MAP2K2;INS;MAPK3;EIF2AK4;RAF1;PIK3R1;ATG7;PPP2CB;TRAF6;LAMP2;HRAS;CTSB;MAP3K7;ITPR1;PRKACG;PIK3CA;PIK3CB;RRAGC;PRKAA2;ULK2;MAP2K1;LAMP1;TSC2;MTMR3
1,prerank,Fatty acid degradation,0.48696598465373725,2.352883115366927,0.0,0.0015401905729135552,0.003,26/34,34.47%,ACSL3;ECI1;ACADM;HADH;ADH5;ACADSB;HADHA;CPT1A;CPT2;ALDH2;ADH6;ALDH7A1;ECHS1;CYP4A11;ADH1C;ALDH3A2;ACAT2;ACAT1;ALDH1B1;ADH1B;ADH7;EHHADH;ACAA1;ACAA2;ALDH9A1;ACSL4
2,prerank,Relaxin signaling pathway,0.3920426530822693,2.35251180589412,0.0,0.0010267937152757035,0.003,68/103,35.02%,MAPK9;SMAD2;PLCB1;TGFBR1;CREB3L1;MAP2K7;CREB1;GNA15;AKT3;PRKACB;PRKACA;SHC4;ADCY9;SMAD3;GNG12;EDNRB;FOS;MAPK1;TGFB1;GNAI3;NOS2;EDN1;NRAS;AKT1;PRKCA;PIK3CD;GNG8;VEGFC;ATF4;VEGFB;GNB2;COL4A5;JUN;ACTA2;GNB5;RXFP4;ADCY7;NFKBIA;EGFR;KRAS;MAP2K2;ADCY2;GNG11;MAPK3;ADCY3;RAF1;ATF2;PIK3R1;PRKCZ;CREB3L4;MAPK13;RELA;COL4A2;HRAS;GNG4;GNG7;MMP1;PRKACG;PIK3CA;PIK3CB;GNAI2;ARRB1;MAP2K4;SHC1;MAP2K1;SOS1;NFKB1;ADCY5
3,prerank,Kaposi sarcoma-associated herpesvirus infection,0.36748816774424714,2.3498926498413932,0.0,0.0007700952864567776,0.003,102/159,34.99%,SYK;TP53;JAK1;MAPK9;BECN1;TBK1;IRF9;IFNGR1;MAP2K7;CREB1;CASP3;CDKN1A;AKT3;CXCL8;PIK3C3;GNG12;FOS;MAPK1;HCK;CYCS;IKBKE;PIK3CG;ITPR3;FADD;NRAS;AKT1;RB1;RAC1;GABARAPL1;PIK3CD;GNG8;HIF1A;GNB2;JUN;NFATC4;IFNB1;CALM3;CCR5;ATG3;PLCG2;STAT3;IKBKG;ICAM1;STAT1;CCND1;GNB5;GSK3B;PPP3R2;IRF7;BID;RCAN1;TNFRSF1A;NFKBIA;MAPKAPK2;JAK2;KRAS;UBB;MAP2K2;TRADD;GNG11;CALM1;MAPK3;E2F1;RAF1;CXCL1;CXCL3;BAK1;FGF2;IFNA21;PIK3R1;IFNA10;TICAM1;CASP8;PIK3R5;MAPK13;RELA;CXCL2;HRAS;NFATC1;GNG4;CDK4;ITPR1;FAS;TRAF3;EIF2AK2;GNG7;PIK3CA;PIK3CB;NFATC3;IFNA14;IL6;TLR3;PIK3R6;IFNAR1;MAP2K4;CALML6;EP300;IFNA8;MAP2K1;CD86;HLA-A;NFKB1
4,prerank,Measles,0.37521103217586754,2.3446861772751597,0.0,0.0006160762291654221,0.003,95/126,44.48%,TP53;JAK1;MAPK9;IRAK4;IL1B;IL12A;CCND2;TBK1;IRF9;RCHY1;CSNK2A1;SLAMF1;CASP3;AKT3;CDKN1B;TLR2;FOS;EIF2AK1;BCL2L1;CYCS;IKBKE;CD46;FADD;TLR4;HSPA1A;BCL2;AKT1;JAK3;PIK3CD;CDK2;CBLB;IL2;CSNK2B;BAD;JUN;IFNB1;DDX58;OAS1;APAF1;STAT3;IKBKG;STAT1;CCND1;GSK3B;IRF7;ADAR;BID;NFKBIA;TRADD;CCND3;EIF2AK4;CSNK2A2;BAK1;IL2RA;IFNA21;PIK3R1;IFNA10;CASP8;EIF3H;CCNE1;RELA;TRAF6;TNFAIP3;IL2RB;MAP3K7;CDK4;FAS;TRAF3;EIF2AK2;PIK3CA;PIK3CB;IFNA14;CD3E;IL6;IFNAR1;TAB2;IFNA8;HSPA1B;NFKB1;CD3D;IFNA2;IL12B;TLR7;EIF2AK3;STAT5A;FCGR2B;NFKBIB;CASP9;TYK2;IFIH1;BAX;CDK6;MAPK8;IFNA17;CHUK
5,prerank,Inflammatory bowel disease (IBD),0.4040137466113694,2.276878854978829,0.0,0.0010267937152757035,0.006,50/64,44.14%,IL23A;HLA-DRB3;IL1B;IL12A;STAT6;HLA-DQB1;HLA-DRA;SMAD2;IFNGR1;HLA-DRB5;SMAD3;FOXP3;TLR2;TGFB1;TLR4;NOD2;RORC;HLA-DRB4;HLA-DPA1;IFNG;IL2;JUN;IL10;TBX21;IL4R;STAT3;HLA-DMB;STAT1;HLA-DPB1;STAT4;IL13;HLA-DOB;RELA;RORA;NFATC1;TLR5;HLA-DQA1;IL6;HLA-DQA2;TNF;IL18R1;NFKB1;IL4;IL12B;IL18;GATA3;IL5;IL17F;IL21R;IL12RB2
6,prerank,Prostate cancer,0.3872427166186441,2.2697657318764732,0.0,0.0011734785317436612,0.008,70/89,45.95%,TP53;PLAU;PDGFRA;CREB3L1;CREB1;CDKN1A;AKT3;GSTP1;CDKN1B;IL1R2;ETV5;MAPK1;PDPK1;PDGFD;ERBB2;BCL2;NRAS;AKT1;TCF7;RB1;PIK3CD;CDK2;ATF4;BAD;IGF1R;HSP90AB1;IKBKG;PDGFRB;CCND1;GSK3B;PTEN;BRAF;NFKBIA;KLK3;EGFR;INSRR;KRAS;MAP2K2;INS;MDM2;MAPK3;E2F1;RAF1;ERG;PIK3R1;CREB3L4;AR;CCNE1;RELA;HSP90AA1;HRAS;PIK3CA;PIK3CB;EP300;MAP2K1;NKX3-1;SOS1;NFKB1;CTNNB1;GRB2;TGFA;CREB5;HSP90B1;LEF1;CASP9;ZEB1;TCF7L2;CHUK;AKT2;FGFR1
7,prerank,Hepatitis B,0.3573057176785624,2.268157534262586,0.0,0.0010267937152757035,0.008,95/153,34.99%,TP53;JAK1;MAPK9;IRAK4;STAT6;SMAD2;TGFBR1;TBK1;SMAD4;CREB3L1;MAP2K7;CREB1;CASP3;CDKN1A;AKT3;CXCL8;CCNA1;SMAD3;TLR2;FOS;MAPK1;TGFB1;CYCS;IKBKE;FADD;TLR4;BIRC5;CASP10;BCL2;NRAS;AKT1;PRKCA;RB1;JAK3;PIK3CD;CDK2;ATF4;PRKCG;BAD;JUN;NFATC4;IFNB1;DDX58;APAF1;STAT3;IKBKG;STAT1;IRF7;BID;CCNA2;BRAF;NFKBIA;JAK2;TIRAP;KRAS;MAP2K2;STAT4;MAPK3;E2F1;RAF1;ATF2;IFNA21;PIK3R1;CREB3L4;IFNA10;TICAM1;CASP8;HSPG2;SLC10A1;CCNE1;MAPK13;RELA;TRAF6;HRAS;NFATC1;MAP3K7;FAS;TRAF3;PIK3CA;PIK3CB;NFATC3;IFNA14;IL6;TLR3;PTK2B;IFNAR1;MAP2K4;TNF;EP300;EGR3;TAB2;IFNA8;MAP2K1;SOS1;NFKB1
8,prerank,Viral myocarditis,0.43298663990163405,2.2309791180984266,0.0,0.0013690582870342712,0.012,32/45,34.48%,HLA-DRB3;HLA-DQB1;HLA-DRA;CAV1;CASP3;HLA-DRB5;ABL1;CYCS;FYN;RAC3;RAC1;HLA-DRB4;HLA-DPA1;ITGB2;HLA-DMB;ICAM1;EIF4G1;CCND1;HLA-DPB1;BID;ACTB;SGCB;CASP8;HLA-DOB;DMD;HLA-DQA1;PRF1;CD55;HLA-DQA2;CD80;CD86;HLA-A
9,prerank,Central carbon metabolism in cancer,0.4115871841302045,2.218680838190071,0.0,0.0016428699444411257,0.015,39/60,31.47%,RET;TP53;PDGFRA;PDHB;AKT3;HK1;SIRT3;HK3;MAPK1;NTRK1;PFKL;ERBB2;NRAS;AKT1;PFKP;MET;PIK3CD;HIF1A;FLT3;SLC1A5;SLC2A1;PFKM;LDHA;PDGFRB;G6PD;PTEN;PDHA1;PDK1;TIGAR;EGFR;KRAS;MAP2K2;MAPK3;RAF1;PIK3R1;HRAS;PIK3CA;PIK3CB;SIRT6
