,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pathogenic Escherichia coli infection,0.4361562441619279,2.1394813450927677,0.0,0.017334396262444613,0.017,33/44,40.08%,ARPC1A;TLR4;TUBB6;FYN;ABL1;ACTB;TUBB1;TUBB3;PRKCA;CTTN;NCK1;CLDN1;TUBB2A;ACTG1;TUBB;ROCK1;ARPC4;CDC42;TLR5;TUBA1A;RHOA;ARHGEF2;CTNNB1;TUBA3C;CD14;ROCK2;TUBA8;ITGB1;CDH1;TUBA4A;TUBB4B;ARPC5;ARPC1B
1,prerank,p53 signaling pathway,0.399767462931495,2.100700515109777,0.0,0.013255714788928234,0.025,39/56,36.77%,FAS;TSC2;TP53;SERPINB5;BCL2L1;CCND2;MDM4;SHISA5;BID;CCNB2;DDB2;CHEK2;ATM;SIAH1;RCHY1;CDK4;RRM2;CDK6;CCND1;IGFBP3;CYCS;CASP3;SESN1;CASP8;CCND3;PMAIP1;CCNE1;PTEN;CD82;BCL2;CDKN1A;CDK2;CASP9;CCNB1;ZMAT3;APAF1;GADD45B;MDM2;GADD45A
2,prerank,Chagas disease (American trypanosomiasis),0.35708858633552654,2.048334207757075,0.0,0.015634945648479455,0.043,76/97,49.91%,IRAK4;FAS;CFLAR;TLR4;MAPK13;IFNG;TGFBR2;GNAI1;TNFRSF1A;CALR;PPP2R1A;CD3D;IFNGR1;PLCB3;MAPK12;AKT3;GNA15;SMAD2;PPP2R2A;IL1B;GNAI2;AKT1;IL6;IL12A;MAPK8;BDKRB2;MAPK11;MAP2K4;MAPK3;IL10;FADD;TGFBR1;ACE;CHUK;FOS;MAPK9;GNA11;CASP8;SMAD3;CD3E;TLR6;RELA;PPP2CB;CCL3;IFNB1;PIK3CD;PIK3R1;CD247;IL12B;C1QC;PIK3CB;KNG1;IKBKG;CCL2;IRAK1;GNAI3;PLCB1;IL2;IKBKB;SERPINE1;TGFB3;NFKBIA;TGFB2;TICAM1;PIK3CA;ADCY1;TLR9;AKT2;C1QA;C3;GNAS;TRAF6;TLR2;MYD88;CCL5;TGFB1
3,prerank,Relaxin signaling pathway,0.35640835014007805,2.021625774914828,0.0,0.01580489070987597,0.058,72/103,42.56%,MAPK13;GNG5;COL4A3;ADCY9;TGFBR2;GNG8;ATF2;GNAI1;EGFR;GNG4;PLCB3;EDN1;CREB1;MAPK12;PRKACB;AKT3;GNA15;MAP2K1;ADCY2;GNGT2;MAP2K7;MMP1;GNG12;CREB3L4;SMAD2;PRKACG;PRKCA;GNAI2;AKT1;ATF4;MAPK8;MAPK11;MAP2K4;ADCY5;MAPK3;VEGFC;TGFBR1;RXFP1;FOS;MAPK9;SMAD3;MMP2;CREB3;GNG11;RELA;GNB4;PRKACA;ACTA2;SHC1;PIK3CD;PIK3R1;PIK3CB;RAF1;ADCY6;ADCY3;GNAI3;HRAS;PLCB1;COL4A2;EDNRB;NRAS;ARRB1;GRB2;GNB5;VEGFB;PRKCZ;NFKBIA;PIK3CA;ADCY1;CREB3L2;VEGFA;SRC
4,prerank,Epstein-Barr virus infection,0.327403698649647,2.0015437760298167,0.0,0.014887187378334787,0.068,115/174,41.91%,IKBKE;IRAK4;FAS;VIM;IFNAR2;CXCL10;MAPK13;TP53;CALR;HES1;STAT1;CD3D;NFKB2;CCND2;IFNA21;TAB2;MAPK12;AKT3;MAP2K7;DDX58;HLA-DPA1;RAC1;PLCG2;BID;IFNA2;TAP1;STAT2;TRADD;DDB2;AKT1;HLA-A;IL6;E2F1;MAPK8;NFKBIB;B2M;CDK4;MAPK11;MAP2K4;NFKBIE;BTK;CDK6;HLA-DQB1;CCND1;FADD;HLA-DMB;PSMD2;CHUK;TAP2;MAPK9;CYCS;CASP3;CASP8;TRAF5;CCND3;TBK1;SNW1;OAS1;IFNA16;STAT3;CD3E;TRAF3;RELA;HDAC1;PSMD1;TNFAIP3;CD19;MAP3K7;RUNX3;MAP2K3;CCNE1;IFNB1;RBPJ;IFNA10;PIK3CD;IFNA4;PIK3R1;CD247;TYK2;IRF9;BCL2;HLA-DQA2;CDKN1A;CDK2;CASP9;CD58;PIK3CB;IKBKG;ENTPD3;USP7;HLA-DPB1;APAF1;HLA-DQA1;IRAK1;PSMC5;GADD45B;SIN3A;RELB;MDM2;GADD45A;IFNA8;RB1;HLA-DOB;JAK3;IRF7;IFNA14;CD44;HLA-DRA;IKBKB;ICAM1;NFKBIA;FCER2;LYN;PIK3CA;MAP3K14
5,prerank,TNF signaling pathway,0.3452834422206783,1.982900581766922,0.0,0.015295055525686423,0.082,56/104,28.17%,CEBPB;FAS;CFLAR;CXCL10;MAPK13;RPS6KA4;ATF2;TNFRSF1B;TNFRSF1A;CXCL5;EDN1;CREB1;TAB2;MAPK12;AKT3;MAP2K1;MAP2K7;CASP7;CASP10;CREB3L4;IL1B;TRADD;JUNB;AKT1;IL6;ATF4;MAPK8;IRF1;MAPK11;MAP2K4;MMP14;MAPK3;VEGFC;FADD;CHUK;FOS;MAPK9;CASP3;LIF;CASP8;TRAF5;MAP3K8;BCL3;PTGS2;CREB3;TRAF3;RELA;TNFAIP3;MAP3K7;CXCL1;MAP3K5;MAP2K3;IFNB1;PIK3CD;BIRC2;PIK3R1
6,prerank,Pancreatic cancer,0.36471547531872467,1.9716766354589443,0.0010030090270812437,0.015149388330203696,0.096,55/71,48.25%,TP53;TGFBR2;EGFR;STAT1;BCL2L1;ERBB2;AKT3;MAP2K1;RAC1;SMAD2;DDB2;AKT1;E2F1;MAPK8;CDK4;RALBP1;RPS6KB2;CDK6;MAPK3;CCND1;PLD1;TGFBR1;CHUK;MAPK9;SMAD3;STAT3;RELA;ARHGEF6;CDC42;RAC3;ARAF;PIK3CD;PIK3R1;RALB;CDKN1A;SMAD4;CASP9;PIK3CB;RAF1;IKBKG;BRAF;GADD45B;GADD45A;RB1;RPS6KB1;IKBKB;TGFB3;TGFB2;PIK3CA;VEGFA;AKT2;JAK1;BAX;CDKN2A;KRAS
7,prerank,Pantothenate and CoA biosynthesis,0.5197156937499561,1.950925610790377,0.0,0.016952019874302456,0.118,13/16,33.88%,COASY;DPYD;GADL1;ENPP3;BCAT1;VNN1;PANK3;UPB1;PPCDC;PANK2;PANK4;VNN3;BCAT2
8,prerank,Base excision repair,0.4852029769580374,1.9472417057431348,0.002197802197802198,0.015861539063674806,0.124,10/21,12.35%,POLB;HMGB1;POLE3;APEX1;LIG1;UNG;PARP2;POLD4;MBD4;POLE2
9,prerank,Citrate cycle (TCA cycle),0.43815867546413045,1.9421320372346187,0.0010526315789473684,0.015193088488848514,0.133,23/27,45.47%,PCK2;SUCLA2;DLAT;IDH3A;IDH2;PDHA1;SUCLG1;IDH3G;MDH2;OGDH;MDH1;DLD;SDHC;ACLY;FH;CS;SDHB;ACO1;IDH1;ACO2;SDHD;PC;SUCLG2
