,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Regulation of lipolysis in adipocytes,0.5233990178235501,2.1897459098149157,0.0,0.002019677217528749,0.002,32/43,31.30%,ADRB2;FABP4;MGLL;PRKACB;PDE3B;INS;ADRB3;PRKG2;PIK3R1;PIK3CA;GNAS;ADCY2;PIK3R3;CGA;PRKACA;PIK3CB;AKT1;AKT3;IRS1;AKT2;ADCY6;PTGS2;PRKACG;GNAI1;ADRB1;GNAI3;NPR1;IRS2;PIK3CD;ADCY3;GNAI2;NPY1R
1,prerank,Prolactin signaling pathway,0.4858738082610191,2.1319353377008787,0.0,0.002019677217528749,0.004,43/63,30.80%,CISH;FOXO3;SOS2;MAPK8;INS;JAK2;NRAS;MAP2K1;PIK3R1;PIK3CA;ESR1;MAPK3;PRL;SHC1;GCK;STAT3;MAPK9;PRLR;HRAS;TH;PIK3R3;GRB2;CGA;STAT5A;RELA;PIK3CB;AKT1;NFKB1;MAPK12;AKT3;AKT2;RAF1;CCND2;IRF1;MAPK1;SOCS3;MAPK11;MAPK13;TNFRSF11A;SLC2A2;PIK3CD;FOS;CCND1
2,prerank,AGE-RAGE signaling pathway in diabetic complications,0.451897803724244,2.0813055711162023,0.0,0.0020196772175287495,0.006,61/89,34.20%,PRKCA;NOX1;JUN;TGFBR1;COL4A5;IL6;CASP3;NFATC1;MAPK8;PRKCD;JAK2;NRAS;BCL2;BAX;PIK3R1;PIK3CA;MAPK3;STAT3;MAPK9;PRKCZ;AGTR1;HRAS;PIK3R3;CDK4;F3;IL1B;PLCG2;SERPINE1;FN1;ICAM1;RAC1;STAT5A;RELA;PIK3CB;AKT1;NFKB1;MAPK12;AKT3;VEGFC;TGFBR2;AKT2;SMAD2;MAPK1;EDN1;MAPK11;MAPK13;THBD;AGT;EGR1;CDKN1B;SMAD4;PRKCB;PIK3CD;AGER;CCND1;CCL2;SMAD3;VEGFA;VEGFB;CDC42;PLCB3
3,prerank,Neurotrophin signaling pathway,0.4423709415716711,2.0476802731679506,0.0,0.0022721368697198427,0.009,76/103,41.15%,TP53;JUN;FOXO3;SOS2;MAPK8;PRKCD;RIPK2;NRAS;MAP2K1;BCL2;BAX;PIK3R1;CAMK2B;IRAK4;TRAF6;PIK3CA;MAPK3;ABL1;SHC1;NFKBIE;MAPK9;ARHGDIB;SH2B3;HRAS;PIK3R3;NFKBIB;GRB2;PLCG2;MAPKAPK2;ZNF274;RAC1;RELA;PIK3CB;AKT1;BAD;NTRK3;NFKB1;MAPK12;IRAK1;AKT3;IRS1;AKT2;RAF1;MAPK7;NGFR;MAPK1;IRAK2;BRAF;MAPK11;MAPK13;NTRK1;NTRK2;IRAK3;RPS6KA1;NFKBIA;RPS6KA6;PSEN2;PIK3CD;SORT1;CALM2;MAP2K7;ARHGDIA;CDC42;RPS6KA3;CAMK2G;MAP3K1;FRS2;RAP1A;MAGED1;CALM1;PRDM4;CALM3;CAMK2D;KRAS;IKBKB;MAP3K5
4,prerank,C-type lectin receptor signaling pathway,0.44368093102907746,2.0416101215508697,0.0,0.0020196772175287495,0.01,75/99,40.97%,CHUK;MAP3K14;JUN;PPP3CA;IL6;IL10;CBLB;NFATC1;MAPK8;PRKCD;CARD9;NRAS;IL23A;PPP3CB;LSP1;BCL3;PIK3R1;EGR2;PIK3CA;MAPK3;IL2;CASP8;CLEC4D;MAPK9;HRAS;PIK3R3;NFATC3;SYK;IL1B;PLCG2;MAPKAPK2;PAK1;PLK3;RELA;PIK3CB;AKT1;NFKB1;STAT2;MAPK12;CYLD;AKT3;AKT2;RAF1;FCER1G;IRF1;MAPK1;PTGS2;IRF9;MAPK11;MDM2;MAPK13;NFKB2;NLRP3;ITPR3;NFKBIA;ITPR1;CCL17;PIK3CD;IL12A;CLEC4M;ARHGEF12;CALM2;PYCARD;IL12B;PPP3CC;PPP3R2;RELB;EGR3;CALM1;CALM3;BCL10;KRAS;IKBKB;MALT1;RRAS2
5,prerank,Relaxin signaling pathway,0.4336775990415835,2.0373046459964557,0.0,0.0016830643479406246,0.01,66/103,32.89%,PRKCA;RXFP1;JUN;PRKACB;TGFBR1;COL4A5;SOS2;MAPK8;GNGT2;MMP13;NRAS;CREB1;MAP2K1;ATF2;RXFP4;PIK3R1;PIK3CA;MAPK3;GNG4;SHC1;GNAS;GNG12;GNG7;MAPK9;PRKCZ;ADCY2;HRAS;PIK3R3;EGFR;GRB2;GNB5;ARRB1;PRKACA;RELA;PIK3CB;AKT1;CREB3L4;NFKB1;MAPK12;AKT3;VEGFC;CREB3;TGFBR2;AKT2;RAF1;GNA15;SMAD2;ADCY6;MAPK1;ACTA2;PRKACG;EDN1;MAPK11;GNAI1;MAPK13;GNAI3;NFKBIA;PIK3CD;GNG5;ADCY3;FOS;GNAI2;SMAD3;VEGFA;VEGFB;MAP2K7
6,prerank,B cell receptor signaling pathway,0.4533557115540854,2.013669100086995,0.0,0.0020196772175287495,0.014,45/68,30.18%,CHUK;JUN;PPP3CA;SOS2;FCGR2B;NFATC1;CD81;NRAS;MAP2K1;PPP3CB;PIK3AP1;PIK3R1;CD22;LILRB3;PIK3CA;MAPK3;NFKBIE;HRAS;PIK3R3;NFKBIB;GRB2;NFATC3;SYK;PLCG2;RAC1;RELA;PIK3CB;AKT1;BLNK;NFKB1;AKT3;PTPN6;AKT2;CD79A;RAF1;INPP5D;MAPK1;CD19;CARD11;NFKBIA;PRKCB;LYN;PIK3CD;VAV3;FOS
7,prerank,Prion diseases,0.5197198298531918,1.9941749706881844,0.0,0.0026508263480064832,0.02,19/29,26.60%,PRKACB;NOTCH1;C8B;SOD1;FYN;IL6;MAP2K1;BAX;MAPK3;C7;IL1B;PRKACA;C9;MAPK1;PRNP;NCAM1;PRKACG;C5;EGR1
8,prerank,Non-small cell lung cancer,0.43880195777852704,1.9475464010383,0.0,0.003702741565469374,0.032,39/63,30.80%,PRKCA;TP53;FOXO3;RB1;SOS2;EML4;NRAS;MAP2K1;BAX;JAK3;PIK3R1;RARB;PIK3CA;MAPK3;STAT3;HRAS;PIK3R3;ERBB2;EGFR;GRB2;CDK4;ALK;PLCG2;STAT5A;PIK3CB;AKT1;BAD;AKT3;AKT2;RAF1;MAPK1;BRAF;ARAF;DDB2;CDK6;PRKCB;PIK3CD;GADD45B;CCND1
9,prerank,Melanoma,0.4488340608062709,1.9302648890718892,0.0,0.00393837057418106,0.038,43/52,45.45%,TP53;RB1;NRAS;MAP2K1;FGF2;BAX;PIK3R1;CDH1;PIK3CA;MAPK3;MITF;HRAS;PIK3R3;EGFR;CDK4;PIK3CB;AKT1;BAD;FGFR1;AKT3;AKT2;RAF1;MAPK1;PTEN;BRAF;MDM2;ARAF;PDGFD;DDB2;CDK6;PIK3CD;GADD45B;CCND1;MET;CDKN2A;CDKN1A;FGF10;FGF1;KRAS;FGF9;EGF;PDGFRA;IGF1R
