,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pertussis,0.4549313588934457,2.0325254842821616,0.0,0.013031341803827454,0.012,38/66,22.79%,CALM3;MAPK12;CALM1;IRF8;NOD1;RHOA;TICAM1;C1QC;C1QB;FOS;MAPK1;CFL1;MAPK13;ITGB2;GNAI1;C4BPA;RELA;TLR4;CXCL8;GNAI3;MAPK8;IRAK1;NFKB1;CASP3;CD14;C4A;IRF3;IRAK4;C4BPB;IRF1;C2;C5;JUN;IL10;IL12A;IL6;IL1B;MAPK9
1,prerank,Chagas disease (American trypanosomiasis),0.4158919524056002,1.9347174470860682,0.0,0.017542190889767727,0.033,58/97,30.42%,CFLAR;AKT3;MAPK12;CALR;TLR2;FAS;CCL2;FADD;AKT1;TICAM1;C1QC;C1QB;FOS;MAPK1;TGFB3;FASLG;MAPK13;IKBKB;GNAI1;IFNB1;PPP2R2C;IFNGR2;RELA;TGFBR1;SMAD3;TLR4;CXCL8;GNAI3;ADCY1;MAPK8;IRAK1;NFKBIA;NFKB1;PPP2R1A;IRAK4;CHUK;PIK3CA;SMAD2;IFNG;PLCB1;JUN;CCL5;IL10;IL12A;IL6;IL1B;MAPK9;IFNGR1;CD247;PIK3R1;BDKRB2;MAPK3;CCL3;C3;KNG1;CASP8;CD3D;GNAI2
2,prerank,Graft-versus-host disease,0.48708587207463483,1.9345123518523328,0.0,0.011694793926511817,0.033,21/34,24.63%,KLRC1;FAS;HLA-A;KIR2DL3;FASLG;HLA-DPB1;HLA-DQA1;HLA-DQB1;GZMB;HLA-DMA;PRF1;CD80;KLRD1;HLA-DRA;KIR3DL2;HLA-DPA1;IFNG;IL6;IL1B;HLA-DRB4;CD28
3,prerank,Inflammatory bowel disease (IBD),0.4332140010868879,1.9025028484169946,0.0,0.013783149984817498,0.05,36/64,24.15%,IL13;TLR2;IL4;STAT3;TGFB3;RORC;HLA-DPB1;HLA-DQA1;NOD2;IFNGR2;RELA;SMAD3;TLR4;TLR5;HLA-DQB1;STAT4;NFKB1;HLA-DMA;STAT1;HLA-DRA;GATA3;FOXP3;STAT6;SMAD2;HLA-DPA1;IFNG;IL4R;JUN;IL10;IL12A;IL18R1;IL6;IL1B;RORA;IFNGR1;HLA-DRB4
4,prerank,Apoptosis,0.3959257745835475,1.8883247260308142,0.0,0.01583809234619029,0.071,94/123,46.42%,CFLAR;TP53;ATM;MCL1;ACTB;AKT3;PARP2;PDPK1;BCL2L11;DAXX;FAS;RAF1;PARP1;FADD;HRAS;AKT1;KRAS;TUBA3C;FOS;CYCS;MAPK1;NGFR;FASLG;IKBKB;TNFRSF10B;RELA;BAX;BIRC3;CASP9;MAPK8;GZMB;NFKBIA;BECN1;NFKB1;CASP3;PRF1;XIAP;TRADD;ERN1;AIFM1;DIABLO;CHUK;PIK3CA;DFFB;CTSL;NGF;BCL2L1;BIRC2;APAF1;CASP10;JUN;TUBA1A;MAPK9;PARP4;SPTA1;ATF4;CTSW;TRAF1;PIK3R1;MAPK3;TNFRSF10A;LMNA;NRAS;BCL2;CASP8;CASP2;BID;SPTAN1;PMAIP1;DDIT3;CTSH;TUBA4A;MAP3K14;CAPN1;DFFA;ITPR3;GADD45B;TUBA8;IKBKG;CTSB;BIRC5;CSF2RB;CTSD;CASP7;PIK3CD;MAP3K5;MAP2K1;RIPK1;CASP6;ITPR1;BCL2A1;PIK3CB;EIF2AK3;BBC3
5,prerank,Epithelial cell signaling in Helicobacter pylori infection,0.43519350615115704,1.8748309682213335,0.0,0.014869095135136453,0.081,29/52,25.10%,MAPK12;ATP6V1F;RAC1;HBEGF;NOD1;MET;MAPK13;IKBKB;PLCG2;IGSF5;RELA;CXCL8;MAPK8;PAK1;NFKBIA;NFKB1;CASP3;CDC42;LYN;CHUK;ADAM10;JUN;CCL5;CSK;MAPK9;CXCR2;ADAM17;CXCL1;EGFR
6,prerank,Citrate cycle (TCA cycle),0.48330392164527247,1.862966035274869,0.002072538860103627,0.015179365178084726,0.097,23/27,43.02%,IDH3A;PDHA1;PDHB;PC;PCK2;OGDH;ACLY;IDH2;SUCLA2;SDHB;SUCLG2;IDH3B;CS;IDH1;MDH1;PCK1;SDHC;ACO1;SDHA;MDH2;ACO2;SDHD;DLAT
7,prerank,FoxO signaling pathway,0.38146986331600097,1.8139091073106113,0.0,0.023180752247193067,0.162,64/119,29.49%,ATM;AKT3;PLK1;PDPK1;BCL2L11;MAPK12;STK11;SMAD4;PLK2;RAF1;HRAS;PCK2;AKT1;CAT;PRKAG1;KRAS;MAPK1;STAT3;TGFB3;HOMER2;FASLG;RAG2;SETD7;MAPK13;IKBKB;GRB2;CDKN1A;TGFBR1;SMAD3;PRKAG2;SIRT1;MAPK8;FOXO4;INS;PRMT1;CHUK;PIK3CA;PLK4;CSNK1E;SMAD2;ATG12;RAG1;G6PC;IRS1;ARAF;SGK3;CDK2;IL10;CDKN2B;IL6;MAPK9;IRS2;PCK1;EGFR;MDM2;PRKAA1;USP7;PIK3R1;MAPK3;EP300;G6PC2;PTEN;NRAS;STK4
8,prerank,Hepatitis B,0.3682531494486133,1.7989673200295246,0.0,0.024169240781457754,0.187,86/153,31.67%,JAK2;TP53;AKT3;RB1;MAPK12;TLR2;SMAD4;FAS;PRKCG;TAB2;PRKCA;RAF1;FADD;HRAS;MAP3K1;AKT1;TICAM1;CREB3L4;KRAS;TBK1;FOS;CYCS;MAPK1;STAT3;TGFB3;IFNA16;FASLG;MAPK13;IKBKB;GRB2;IFNB1;CDKN1A;RELA;TGFBR1;SMAD3;BAX;TLR4;CXCL8;CASP9;TLR3;MAPK8;STAT4;IRAK1;IFNA10;NFKBIA;NFKB1;CASP3;STAT1;EGR3;HSPG2;IRF3;IFIH1;NFATC3;IRAK4;JAK3;CHUK;PIK3CA;STAT6;SMAD2;STAT5A;IFNA7;APAF1;IFNA8;CASP10;ARAF;JUN;CDK2;IL6;MAPK9;ATF4;IKBKE;CREB1;ATF2;IRF7;PIK3R1;MAPK3;EP300;SLC10A1;DDB2;NRAS;BCL2;CASP8;IFNAR1;BID;BRAF;ELK1
9,prerank,Pancreatic cancer,0.40284882739821665,1.793143360067186,0.0,0.023255933065292073,0.199,39/71,26.73%,TP53;AKT3;RB1;RALBP1;SMAD4;RAC1;RAF1;CDK4;AKT1;RPS6KB1;KRAS;MAPK1;STAT3;TGFB3;IKBKB;RALB;CDKN1A;RELA;TGFBR1;SMAD3;BAX;ERBB2;CASP9;MAPK8;CDK6;NFKB1;STAT1;CDC42;CHUK;PIK3CA;SMAD2;RAD51;BCL2L1;PLD1;ARAF;MAPK9;EGFR;PIK3R1;MAPK3
